"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Number of plants planted per NET plot|CO_331:0000678","Weight of vines per NET plot in kg|CO_331:0000227","Number of plants harvested per NET plot|CO_331:0000679","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Number of storage roots after harvest per NET plot|CO_331:0000233","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Average total storage root weight computation kg|CO_331:0002040","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant harvested|CO_331:2000036","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant harvested|CO_331:0000681","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant harvested|CO_331:0000990","Vine weight in kg per plant planted|CO_331:0000991","Percentage of commercial storage root|CO_331:0000682","Harvest index computing percent|CO_331:0000302","Survival index computing percent|CO_331:0000301","Commercial storage root yield tons per ha|CO_331:0000809","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield computation tons per ha|CO_331:0000296","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield in tons per ha|CO_331:0000684","Total foliage yield adjusted in tons per ha|CO_331:0001002","Biomass yield in tons per ha|CO_331:0001003","Biomass yield adjusted in tons per ha|CO_331:0001004"
"","","PEP2012SPE-AT02","","","","","","","","","PEP2012SPE-AT02-00021","","","","30","18.74","30","100","386","8.86","2.65","11.51","30.25","486","0.0886","0.006865285","0.023683128","16.2","16.2","3.333333333","3.333333333","0.383666667","0.383666667","0.624666667","0.624666667","20.57613169","38.04958678","100","13.12592593","13.12592593","17.05185185","17.05185185","27.76296296","27.76296296","44.81481481","44.81481481"
"","","PEP2012SPE-AT02","","","","","","","","","PEP2012SPE-AT02-00022","","","","30","26.28","26","90","198","6.88","4.37","11.25","37.53","288","0.076444444","0.022070707","0.0390625","11.07692308","9.6","3.461538462","3","0.432692308","0.375","1.010769231","0.876","31.25","29.97601918","86.66666667","10.19259259","11.76068376","16.66666667","19.23076923","38.93333333","44.92307692","55.6","64.15384615"
"","","PEP2012SPE-AT02","","","","","","","","","PEP2012SPE-AT02-00023","","","","30","23.58","29","156","213","11.65","4.03","15.68","39.26","369","0.074679487","0.018920188","0.042493225","12.72413793","12.3","5.379310345","5.2","0.540689655","0.522666667","0.813103448","0.786","42.27642276","39.93886908","96.66666667","17.25925926","17.85440613","23.22962963","24.03065134","34.93333333","36.13793103","58.16296296","60.16858238"
"","","PEP2012SPE-AT02","","","","","","","","","PEP2012SPE-AT02-00024","","","","30","30.05","28","117","77","13.26","2.15","15.41","45.46","194","0.113333333","0.027922078","0.07943299","6.928571429","6.466666667","4.178571429","3.9","0.550357143","0.513666667","1.073214286","1.001666667","60.30927835","33.89793225","93.33333333","19.64444444","21.04761905","22.82962963","24.46031746","44.51851852","47.6984127","67.34814815","72.15873016"
"","","PEP2012SPE-AT02","","","","","","","","","PEP2012SPE-AT02-00025","","","","30","31.5","30","107","112","15.3","4.04","19.34","50.84","219","0.142990654","0.036071429","0.088310502","7.3","7.3","3.566666667","3.566666667","0.644666667","0.644666667","1.05","1.05","48.85844749","38.04091267","100","22.66666667","22.66666667","28.65185185","28.65185185","46.66666667","46.66666667","75.31851852","75.31851852"
"","","PEP2012SPE-AT02","","","","","","","","","PEP2012SPE-AT02-00026","","","","30","29.56","28","113","165","12.59","3.75","16.34","45.9","278","0.111415929","0.022727273","0.058776978","9.928571429","9.266666667","4.035714286","3.766666667","0.583571429","0.544666667","1.055714286","0.985333333","40.64748201","35.59912854","93.33333333","18.65185185","19.98412698","24.20740741","25.93650794","43.79259259","46.92063492","68","72.85714286"
"","","PEP2012SPE-AT02","","","","","","","","","PEP2012SPE-AT02-00027","","","","30","27.2","27","91","46","17.26","1.38","18.64","45.84","137","0.18967033","0.03","0.136058394","5.074074074","4.566666667","3.37037037","3.033333333","0.69037037","0.621333333","1.007407407","0.906666667","66.42335766","40.66317627","90","25.57037037","28.41152263","27.61481481","30.68312757","40.2962963","44.77366255","67.91111111","75.45679012"
"","","PEP2012SPE-AT02","","","","","","","","","PEP2012SPE-AT02-00028","","","","30","23.96","25","49","58","8.38","1.69","10.07","34.03","107","0.171020408","0.029137931","0.09411215","4.28","3.566666667","1.96","1.633333333","0.4028","0.335666667","0.9584","0.798666667","45.79439252","29.59153688","83.33333333","12.41481481","14.89777778","14.91851852","17.90222222","35.4962963","42.59555556","50.41481481","60.49777778"
"","","PEP2012SPE-AT02","","","","","","","","","PEP2012SPE-AT02-00029","","","","30","37.02","26","68","50","20.09","1.26","21.35","58.37","118","0.295441176","0.0252","0.180932203","4.538461538","3.933333333","2.615384615","2.266666667","0.821153846","0.711666667","1.423846154","1.234","57.62711864","36.57700874","86.66666667","29.76296296","34.34188034","31.62962963","36.4957265","54.84444444","63.28205128","86.47407407","99.77777778"
"","","PEP2012SPE-AT02","","","","","","","","","PEP2012SPE-AT02-00030","","","","30","24.81","21","55","40","11.11","1.46","12.57","37.38","95","0.202","0.0365","0.132315789","4.523809524","3.166666667","2.619047619","1.833333333","0.598571429","0.419","1.181428571","0.827","57.89473684","33.62760835","70","16.45925926","23.51322751","18.62222222","26.6031746","36.75555556","52.50793651","55.37777778","79.11111111"
"","","PEP2012SPE-AT02","","","","","","","","","PEP2012SPE-AT02-00031","","","","30","19.45","30","66","50","20.25","2.16","22.41","41.86","116","0.306818182","0.0432","0.193189655","3.866666667","3.866666667","2.2","2.2","0.747","0.747","0.648333333","0.648333333","56.89655172","53.53559484","100","30","30","33.2","33.2","28.81481481","28.81481481","62.01481481","62.01481481"
"","","PEP2012SPE-AT02","","","","","","","","","PEP2012SPE-AT02-00032","","","","30","12.67","12","36","40","6.15","1.3","7.45","20.12","76","0.170833333","0.0325","0.098026316","6.333333333","2.533333333","3","1.2","0.620833333","0.248333333","1.055833333","0.422333333","47.36842105","37.027833","40","9.111111111","22.77777778","11.03703704","27.59259259","18.77037037","46.92592593","29.80740741","74.51851852"
"","","PEP2012SPE-AT02","","","","","","","","","PEP2012SPE-AT02-00033","","","","30","15.46","30","56","31","10.41","0.9","11.31","26.77","87","0.185892857","0.029032258","0.13","2.9","2.9","1.866666667","1.866666667","0.377","0.377","0.515333333","0.515333333","64.36781609","42.24878595","100","15.42222222","15.42222222","16.75555556","16.75555556","22.9037037","22.9037037","39.65925926","39.65925926"
"","","PEP2012SPE-AT02","","","","","","","","","PEP2012SPE-AT02-00034","","","","30","2.12","5","5","12","0.39","0.06","0.45","2.57","17","0.078","0.005","0.026470588","3.4","0.566666667","1","0.166666667","0.09","0.015","0.424","0.070666667","29.41176471","17.50972763","16.66666667","0.577777778","3.466666667","0.666666667","4","3.140740741","18.84444444","3.807407407","22.84444444"
"","","PEP2012SPE-AT02","","","","","","","","","PEP2012SPE-AT02-00035","","","","30","11.92","30","89","49","20.22","1.43","21.65","33.57","138","0.227191011","0.029183673","0.156884058","4.6","4.6","2.966666667","2.966666667","0.721666667","0.721666667","0.397333333","0.397333333","64.49275362","64.49210605","100","29.95555556","29.95555556","32.07407407","32.07407407","17.65925926","17.65925926","49.73333333","49.73333333"
"","","PEP2012SPE-AT02","","","","","","","","","PEP2012SPE-AT02-00036","","","","30","5.4","27","80","37","17.5","0.96","18.46","23.86","117","0.21875","0.025945946","0.157777778","4.333333333","3.9","2.962962963","2.666666667","0.683703704","0.615333333","0.2","0.18","68.37606838","77.36797988","90","25.92592593","28.80658436","27.34814815","30.38683128","8","8.888888889","35.34814815","39.27572016"
"","","PEP2012SPE-AT02","","","","","","","","","PEP2012SPE-AT02-00037","","","","30","16.61","30","75","36","18.53","1.26","19.79","36.4","111","0.247066667","0.035","0.178288288","3.7","3.7","2.5","2.5","0.659666667","0.659666667","0.553666667","0.553666667","67.56756757","54.36813187","100","27.45185185","27.45185185","29.31851852","29.31851852","24.60740741","24.60740741","53.92592593","53.92592593"
"","","PEP2012SPE-AT02","","","","","","","","","PEP2012SPE-AT02-00038","","","","30","10.84","21","55","64","8.67","2.05","10.72","21.56","119","0.157636364","0.03203125","0.090084034","5.666666667","3.966666667","2.619047619","1.833333333","0.51047619","0.357333333","0.516190476","0.361333333","46.21848739","49.72170686","70","12.84444444","18.34920635","15.88148148","22.68783069","16.05925926","22.94179894","31.94074074","45.62962963"
