"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Number of plants planted per NET plot|CO_331:0000678","Number of plants harvested per NET plot|CO_331:0000679","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Weight of vines per NET plot in kg|CO_331:0000227","Storage root dry matter content computing percent|CO_331:0000297","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Number of storage roots after harvest per NET plot|CO_331:0000233","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Average total storage root weight computation kg|CO_331:0002040","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant harvested|CO_331:2000036","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant harvested|CO_331:0000681","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant harvested|CO_331:0000990","Vine weight in kg per plant planted|CO_331:0000991","Percentage of commercial storage root|CO_331:0000682","Harvest index computing percent|CO_331:0000302","Survival index computing percent|CO_331:0000301","Total storage root weight in dry weight basis per NET plot in kg|CO_331:0000995","Commercial storage root yield tons per ha|CO_331:0000809","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield computation tons per ha|CO_331:0000296","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield in tons per ha|CO_331:0000684","Total foliage yield adjusted in tons per ha|CO_331:0001002","Storage root dry matter yield per NET plot in tons per ha|CO_331:0001000","Storage root dry matter yield adjusted per NET plot in tons per ha|CO_331:0001001","Biomass yield in tons per ha|CO_331:0001003","Biomass yield adjusted in tons per ha|CO_331:0001004","treatment_dap100","treatment_dap120"
"","","PEP2013SAT-AT02","","","","","","","","","PEP2013SAT-AT02-00023","","","","10","5","16","10","6.84","0.31","20.56","27.32728265","7.15","27.71","26","0.4275","0.031","0.275","5.2","2.6","3.2","1.6","1.43","0.715","4.112","2.056","61.53846154","25.80295922","50","1.953900709","30.4","60.8","31.77777778","63.55555556","91.37777778","182.7555556","8.684003153","17.36800631","123.1555556","246.3111111","","1"
"","","PEP2013SAT-AT02","","","","","","","","","PEP2013SAT-AT02-00024","","","","10","7","13","16","2.77","0.41","13.42","29.26343068","3.18","16.6","29","0.213076923","0.025625","0.109655172","4.142857143","2.9","1.857142857","1.3","0.454285714","0.318","1.917142857","1.342","44.82758621","19.15662651","70","0.930577096","12.31111111","17.58730159","14.13333333","20.19047619","59.64444444","85.20634921","4.135898203","5.908426004","73.77777778","105.3968254","","1"
"","","PEP2013SAT-AT02","","","","","","","","","PEP2013SAT-AT02-00025","","","","10","7","10","18","1.52","0.65","11.5","28.60918566","2.17","13.67","28","0.152","0.036111111","0.0775","4","2.8","1.428571429","1","0.31","0.217","1.642857143","1.15","35.71428571","15.87417703","70","0.620819329","6.755555556","9.650793651","9.644444444","13.77777778","51.11111111","73.01587302","2.759197017","3.941710024","60.75555556","86.79365079","1",""
"","","PEP2013SAT-AT02","","","","","","","","","PEP2013SAT-AT02-00026","","","","10","6","5","4","0.4","0.28","10.87","29.33861779","0.68","11.55","9","0.08","0.07","0.075555556","1.5","0.9","0.833333333","0.5","0.113333333","0.068","1.811666667","1.087","55.55555556","5.887445887","60","0.199502601","1.777777778","2.962962963","3.022222222","5.037037037","48.31111111","80.51851852","0.886678227","1.477797044","51.33333333","85.55555556","1",""
"","","PEP2013SAT-AT02","","","","","","","","","PEP2013SAT-AT02-00027","","","","10","5","1","5","0.16","0.18","11.1","24.99690326","0.34","11.44","6","0.16","0.036","0.056666667","1.2","0.6","0.2","0.1","0.068","0.034","2.22","1.11","16.66666667","2.972027972","50","0.084989471","0.711111111","1.422222222","1.511111111","3.022222222","49.33333333","98.66666667","0.377730983","0.755461965","50.84444444","101.6888889","","1"
"","","PEP2013SAT-AT02","","","","","","","","","PEP2013SAT-AT02-00028","","","","10","8","8","6","1.72","0.47","19.2","22.87614133","2.19","21.39","14","0.215","0.078333333","0.156428571","1.75","1.4","1","0.8","0.27375","0.219","2.4","1.92","57.14285714","10.23842917","80","0.500987495","7.644444444","9.555555556","9.733333333","12.16666667","85.33333333","106.6666667","2.226611089","2.783263862","95.06666667","118.8333333","","1"
"","","PEP2013SAT-AT02","","","","","","","","","PEP2013SAT-AT02-00029","","","","10","7","3","8","0.84","0.29","6.19","29.16999202","1.13","7.32","11","0.28","0.03625","0.102727273","1.571428571","1.1","0.428571429","0.3","0.161428571","0.113","0.884285714","0.619","27.27272727","15.43715847","70","0.32962091","3.733333333","5.333333333","5.022222222","7.174603175","27.51111111","39.3015873","1.464981821","2.092831173","32.53333333","46.47619048","1",""
"","","PEP2013SAT-AT02","","","","","","","","","PEP2013SAT-AT02-00030","","","","10","5","3","5","0.82","0.1","7","28.79309485","0.92","7.92","8","0.273333333","0.02","0.115","1.6","0.8","0.6","0.3","0.184","0.092","1.4","0.7","37.5","11.61616162","50","0.264896473","3.644444444","7.288888889","4.088888889","8.177777778","31.11111111","62.22222222","1.177317656","2.354635312","35.2","70.4","1",""
"","","PEP2013SAT-AT02","","","","","","","","","PEP2013SAT-AT02-00031","","","","10","2","3","2","1.35","0.05","4.69","27.25424065","1.4","6.09","5","0.45","0.025","0.28","2.5","0.5","1.5","0.3","0.7","0.14","2.345","0.469","60","22.98850575","20","0.381559369","6","30","6.222222222","31.11111111","20.84444444","104.2222222","1.695819418","8.479097091","27.06666667","135.3333333","","1"
"","","PEP2013SAT-AT02","","","","","","","","","PEP2013SAT-AT02-00032","","","","10","5","6","5","2.03","0.29","7.42","29.06947829","2.32","9.74","11","0.338333333","0.058","0.210909091","2.2","1.1","1.2","0.6","0.464","0.232","1.484","0.742","54.54545455","23.81930185","50","0.674411896","9.022222222","18.04444444","10.31111111","20.62222222","32.97777778","65.95555556","2.997386206","5.994772412","43.28888889","86.57777778","","1"
