"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Number of plants planted per NET plot|CO_331:0000678","Number of plants harvested per NET plot|CO_331:0000679","Weight of vines per NET plot in kg|CO_331:0000227","Number of commercial storage roots per NET plot|CO_331:0000214","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Storage root appearance estimating 1-9 CIP|CO_331:0000202","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Average commercial storage root weight computation kg|CO_331:0000680","Number of commercial storage roots per plant harvested|CO_331:2000036","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant harvested|CO_331:0000681","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant harvested|CO_331:0000990","Vine weight in kg per plant planted|CO_331:0000991","Harvest index computing percent|CO_331:0000302","Survival index computing percent|CO_331:0000301","Commercial storage root yield tons per ha|CO_331:0000809","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield computation tons per ha|CO_331:0000296","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield in tons per ha|CO_331:0000684","Total foliage yield adjusted in tons per ha|CO_331:0001002","Biomass yield in tons per ha|CO_331:0001003","Biomass yield adjusted in tons per ha|CO_331:0001004","Fresh weight of storage root samples measuring g|CO_331:0000243","Dry weight of storage root samples measuring g|CO_331:0000247","Content of protein in dry weight basis in raw storage roots measuring percentage|CO_331:0000278","Content of beta-carotene in dry weight basis in raw storage roots measuring mg per 100g|CO_331:0000289","Content of iron in dry weight basis measuring mg per 100g by NIRS|CO_331:0001016","Content of zinc in dry weight basis measuring mg per 100g by NIRS|CO_331:0001017","Content of calcium in dry weight basis measuring mg per 100g by NIRS|CO_331:0001029","Content of magnesium in dry weight basis measuring mg per 100g by NIRS|CO_331:0001030","Content of starch in dry weight basis in raw storage roots measuring percentage|CO_331:0000291","Content of fructose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001045","Content of glucose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001047","Content of sucrose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001049","Content of maltose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001051","Storage root dry matter content computing percent|CO_331:0000297","Total storage root weight in dry weight basis per NET plot in kg|CO_331:0000995","Storage root dry matter yield per NET plot in tons per ha|CO_331:0001000","Storage root dry matter yield adjusted per NET plot in tons per ha|CO_331:0001001"
"","","PEP2019SAT-PT01","","","","","","","","","PEP2019SAT-PT01-00123","","","","30","17","5.27","46","10.99","1.16","4","12.15","17.42","0.238913043","2.705882353","1.533333333","0.714705882","0.405","0.31","0.175666667","69.74741676","56.66666667","16.28148148","28.73202614","18","31.76470588","7.807407407","13.77777778","25.80740741","45.54248366","51.1","13.7","6.9408264","62.2154846","1.9763741","1.2767272","99.8546143","99.9836731","56.7647591","5.3705807","8.6533146","8.0154133","0.5166836","26.81017613","3.257436399","4.825831703","8.516173593"
"","","PEP2019SAT-PT01","","","","","","","","","PEP2019SAT-PT01-00147","","","","30","24","4.95","42","12.31","1.83","4","14.14","19.09","0.293095238","1.75","1.4","0.589166667","0.471333333","0.20625","0.165","74.07019382","80","18.23703704","22.7962963","20.94814815","26.18518519","7.333333333","9.166666667","28.28148148","35.35185185","51.6","11","6.4865541","21.2785645","2.1010599","1.3404865","73.7474365","115.7880249","41.7311974","5.6325693","8.9520426","21.5371265","0.5306902","21.31782946","3.014341085","4.465690497","5.582113121"
"","","PEP2019SAT-PT01","","","","","","","","","PEP2019SAT-PT01-00171","","","","30","21","2.91","28","5.23","2.42","6","7.65","10.56","0.186785714","1.333333333","0.933333333","0.364285714","0.255","0.138571429","0.097","72.44318182","70","7.748148148","11.06878307","11.33333333","16.19047619","4.311111111","6.158730159","15.64444444","22.34920635","51.2","13.6","8.553525","44.9211731","2.6711271","1.6972656","149.086792","142.3082428","48.9192924","2.8791122","5.4646959","14.6895809","0.6727982","26.5625","2.03203125","3.010416667","4.300595238"
"","","PEP2019SAT-PT01","","","","","","","","","PEP2019SAT-PT01-00004","","","","30","12","4.5","25","7.67","1.09","5","8.76","13.26","0.3068","2.083333333","0.833333333","0.73","0.292","0.375","0.15","66.06334842","40","11.36296296","28.40740741","12.97777778","32.44444444","6.666666667","16.66666667","19.64444444","49.11111111","50.9","11.6","12.0303669","62.7767639","2.9806008","1.8380594","126.8096924","137.5990448","41.1528931","2.7672272","5.5546608","23.045372","0.8183784","22.78978389","1.996385069","2.957607509","7.394018773"
"","","PEP2019SAT-PT01","","","","","","","","","PEP2019SAT-PT01-00028","","","","30","24","3.11","18","2.23","4.1","6","6.33","9.44","0.123888889","0.75","0.6","0.26375","0.211","0.129583333","0.103666667","67.05508475","80","3.303703704","4.12962963","9.377777778","11.72222222","4.607407407","5.759259259","13.98518519","17.48148148","50.6","14.5","8.8433943","60.1159363","2.4283617","1.6744027","143.255249","127.4433594","55.7391853","2.1766739","4.1035109","16.8766346","0.9533215","28.65612648","1.813932806","2.687307861","3.359134827"
"","","PEP2019SAT-PT01","","","","","","","","","PEP2019SAT-PT01-00052","","","","30","21","5.28","32","7.04","2.65","6","9.69","14.97","0.22","1.523809524","1.066666667","0.461428571","0.323","0.251428571","0.176","64.72945892","70","10.42962963","14.8994709","14.35555556","20.50793651","7.822222222","11.17460317","22.17777778","31.68253968","40.5","9.4","11.1987886","77.3628235","3.197088","2.1638584","270.7978516","131.7555084","47.2151756","5.1135263","8.7153435","10.7521381","1.2062397","23.20987654","2.249037037","3.331906722","4.759866745"
"","","PEP2019SAT-PT01","","","","","","","","","PEP2019SAT-PT01-00076","","","","30","20","5.01","13","2.18","1.72","5","3.9","8.91","0.167692308","0.65","0.433333333","0.195","0.13","0.2505","0.167","43.77104377","66.66666667","3.22962963","4.844444444","5.777777778","8.666666667","7.422222222","11.13333333","13.2","19.8","50.5","13.4","9.8415051","51.6855164","2.9318411","2.0076637","157.1678467","141.1891785","51.6702156","1.4527912","3.4848714","16.5739384","0.9008064","26.53465347","1.034851485","1.533113311","2.299669967"
"","","PEP2019SAT-PT01","","","","","","","","","PEP2019SAT-PT01-00100","","","","30","13","1.26","19","2.84","1.23","5","4.07","5.33","0.149473684","1.461538462","0.633333333","0.313076923","0.135666667","0.096923077","0.042","76.36022514","43.33333333","4.207407407","9.709401709","6.02962963","13.91452991","1.866666667","4.307692308","7.896296296","18.22222222","50.5","12.2","9.3516293","58.2966003","2.7709696","1.6501231","160.7025146","143.3908691","48.1041489","5.4355326","9.3356285","12.9786663","0.8427181","24.15841584","0.983247525","1.456663","3.361529999"
"","","PEP2019SAT-PT01","","","","","","","","","PEP2019SAT-PT01-00124","","","","30","22","3.11","28","3.55","3.03","5","6.58","9.69","0.126785714","1.272727273","0.933333333","0.299090909","0.219333333","0.141363636","0.103666667","67.90505676","73.33333333","5.259259259","7.171717172","9.748148148","13.29292929","4.607407407","6.282828283","14.35555556","19.57575758","51","13","6.5485792","61.2937012","2.159256","1.4250307","101.7875977","113.9420166","49.5571289","2.3272371","4.3298893","20.6558933","0.6126413","25.49019608","1.677254902","2.484822077","3.388393741"
"","","PEP2019SAT-PT01","","","","","","","","","PEP2019SAT-PT01-00148","","","","30","13","1.54","4","1.38","0.27","6","1.65","3.19","0.345","0.307692308","0.133333333","0.126923077","0.055","0.118461538","0.051333333","51.72413793","43.33333333","2.044444444","4.717948718","2.444444444","5.641025641","2.281481481","5.264957265","4.725925926","10.90598291","50.2","10","10.3274069","58.3964844","2.7474575","1.7285099","124.9042969","116.4315796","46.0078354","5.6395674","8.641654","16.7956638","1.0772381","19.92031873","0.328685259","0.486941124","1.123710287"
