"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Number of plants planted per NET plot|CO_331:0000678","Weight of vines per NET plot in kg|CO_331:0000227","Number of plants harvested per NET plot|CO_331:0000679","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Storage root dry matter content computing percent|CO_331:0000297","Content of protein in dry weight basis in raw storage roots measuring percentage|CO_331:0000278","Content of iron in dry weight basis measuring mg per 100g by NIRS|CO_331:0001016","Content of zinc in dry weight basis measuring mg per 100g by NIRS|CO_331:0001017","Content of calcium in dry weight basis measuring mg per 100g by NIRS|CO_331:0001029","Content of magnesium in dry weight basis measuring mg per 100g by NIRS|CO_331:0001030","Content of beta-carotene in dry weight basis in raw storage roots measuring mg per 100g|CO_331:0000289","Content of starch in dry weight basis in raw storage roots measuring percentage|CO_331:0000291","Content of fructose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001045","Content of glucose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001047","Content of sucrose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001049","Content of maltose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001051","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Number of storage roots after harvest per NET plot|CO_331:0000233","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Average total storage root weight computation kg|CO_331:0002040","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant harvested|CO_331:2000036","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant harvested|CO_331:0000681","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant harvested|CO_331:0000990","Vine weight in kg per plant planted|CO_331:0000991","Percentage of commercial storage root|CO_331:0000682","Harvest index computing percent|CO_331:0000302","Survival index computing percent|CO_331:0000301","Total storage root weight in dry weight basis per NET plot in kg|CO_331:0000995","Commercial storage root yield tons per ha|CO_331:0000809","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield computation tons per ha|CO_331:0000296","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield in tons per ha|CO_331:0000684","Total foliage yield adjusted in tons per ha|CO_331:0001002","Storage root dry matter yield per NET plot in tons per ha|CO_331:0001000","Storage root dry matter yield adjusted per NET plot in tons per ha|CO_331:0001001","Biomass yield in tons per ha|CO_331:0001003","Biomass yield adjusted in tons per ha|CO_331:0001004"
"","","PEP2013OVI-AT01","","","","","","","","","PEP2013OVI-AT01-00022","","","","20","4.79","13","25","11","8","0.66","27.77777778","4.1321468","1.702549","1.2015491","79.3310547","114.1324158","34.4806824","63.8936882","1.1878786","3.5901518","14.1270399","0.0324774","8.66","13.45","36","0.32","0.06","0.240555556","2.769230769","1.8","1.923076923","1.25","0.666153846","0.433","0.368461538","0.2395","69.44444444","64.3866171","65","2.405555556","17.77777778","27.35042735","19.24444444","29.60683761","10.64444444","16.37606838","5.345679013","8.224121558","29.88888889","45.98290598"
"","","PEP2013OVI-AT01","","","","","","","","","PEP2013OVI-AT01-00023","","","","20","0.57","11","4","0","0.7","0","32.8685259","4.6396465","1.708127","1.2105651","90.510498","99.1867676","17.5057983","67.5669632","0.4717903","2.4869184","10.7260237","0","0.7","1.27","4","0.175","","0.175","0.363636364","0.2","0.363636364","0.2","0.063636364","0.035","0.051818182","0.0285","100","55.11811024","55","0.230079681","1.555555556","2.828282828","1.555555556","2.828282828","1.266666667","2.303030303","0.511288181","0.929614874","2.822222222","5.131313131"
"","","PEP2013OVI-AT01","","","","","","","","","PEP2013OVI-AT01-00024","","","","20","12.27","16","1","3","0.15","0.16","","","","","","","","","","","","","0.31","12.58","4","0.15","0.053333333","0.0775","0.25","0.2","0.0625","0.05","0.019375","0.0155","0.766875","0.6135","25","2.464228935","80","","0.333333333","0.416666667","0.688888889","0.861111111","27.26666667","34.08333333","","","27.95555556","34.94444444"
"","","PEP2013OVI-AT01","","","","","","","","","PEP2013OVI-AT01-00025","","","","20","0.61","5","3","2","0.35","0.12","30.69306931","6.8734894","2.307797","1.5037031","180.7974854","163.6418457","34.8360672","62.0254097","1.4639988","4.0637622","9.7062931","0","0.47","1.08","5","0.116666667","0.06","0.094","1","0.25","0.6","0.15","0.094","0.0235","0.122","0.0305","60","43.51851852","25","0.144257426","0.777777778","3.111111111","1.044444444","4.177777778","1.355555556","5.422222222","0.320572057","1.282288229","2.4","9.6"
"","","PEP2013OVI-AT01","","","","","","","","","PEP2013OVI-AT01-00026","","","","20","2.42","15","11","5","2.1","0.38","31.47410359","5.9537563","2.1092315","1.4951968","139.4696045","143.1589355","39.7259903","62.658493","0.8312149","3.0568042","11.387167","0","2.48","4.9","16","0.190909091","0.076","0.155","1.066666667","0.8","0.733333333","0.55","0.165333333","0.124","0.161333333","0.121","68.75","50.6122449","75","0.780557769","4.666666667","6.222222222","5.511111111","7.348148148","5.377777778","7.17037037","1.73457282","2.31276376","10.88888889","14.51851852"
"","","PEP2013OVI-AT01","","","","","","","","","PEP2013OVI-AT01-00027","","","","20","0.97","9","7","16","0.66","0.4","28.2306163","5.8879166","2.0881033","1.4231429","54.112793","113.8739471","27.5426788","60.0433311","1.9124565","4.6690493","16.1167965","0.9362249","1.06","2.03","23","0.094285714","0.025","0.046086957","2.555555556","1.15","0.777777778","0.35","0.117777778","0.053","0.107777778","0.0485","30.43478261","52.21674877","45","0.299244533","1.466666667","3.259259259","2.355555556","5.234567901","2.155555556","4.790123457","0.664987851","1.477750779","4.511111111","10.02469136"
"","","PEP2013OVI-AT01","","","","","","","","","PEP2013OVI-AT01-00028","","","","20","1.21","5","7","10","0.72","0.32","27.88844622","4.0952396","1.7195592","1.2156339","90.9121094","109.169342","32.0903168","64.5483322","1.5509443","3.8869925","11.7028141","0.0409241","1.04","2.25","17","0.102857143","0.032","0.061176471","3.4","0.85","1.4","0.35","0.208","0.052","0.242","0.0605","41.17647059","46.22222222","25","0.290039841","1.6","6.4","2.311111111","9.244444444","2.688888889","10.75555556","0.644532979","2.578131917","5","20"
"","","PEP2013OVI-AT01","","","","","","","","","PEP2013OVI-AT01-00029","","","","20","1.65","10","6","12","0.9","0.47","30.67729084","4.2399883","1.6682429","1.2156696","49.0795898","100.2520142","38.7716141","68.3692017","0.2303114","2.2283792","10.3021746","0.0352659","1.37","3.02","18","0.15","0.039166667","0.076111111","1.8","0.9","0.6","0.3","0.137","0.0685","0.165","0.0825","33.33333333","45.36423841","50","0.420278885","2","4","3.044444444","6.088888889","3.666666667","7.333333333","0.933953077","1.867906153","6.711111111","13.42222222"
"","","PEP2013OVI-AT01","","","","","","","","","PEP2013OVI-AT01-00030","","","","20","1.46","5","3","5","0.57","0.22","27.72277228","3.6648769","1.6212182","1.1070848","69.3293457","97.7263641","34.2656174","64.6753693","1.322916","3.4456296","11.871336","0","0.79","2.25","8","0.19","0.044","0.09875","1.6","0.4","0.6","0.15","0.158","0.0395","0.292","0.073","37.5","35.11111111","25","0.219009901","1.266666667","5.066666667","1.755555556","7.022222222","3.244444444","12.97777778","0.486688669","1.946754676","5","20"
"","","PEP2013OVI-AT01","","","","","","","","","PEP2013OVI-AT01-00031","","","","20","2.35","13","7","11","0.9","0.42","26.89243028","3.97365","1.6967187","1.1749763","94.699585","120.0995331","33.754425","62.6548958","1.4001999","4.0098286","15.1507072","0.2651892","1.32","3.67","18","0.128571429","0.038181818","0.073333333","1.384615385","0.9","0.538461538","0.35","0.101538462","0.066","0.180769231","0.1175","38.88888889","35.96730245","65","0.35498008","2","3.076923077","2.933333333","4.512820513","5.222222222","8.034188034","0.788844622","1.21360711","8.155555556","12.54700855"
