"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Number of plants planted per NET plot|CO_331:0000678","Number of plants harvested per NET plot|CO_331:0000679","Weight of vines per NET plot in kg|CO_331:0000227","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Storage root dry matter content computing percent|CO_331:0000297","Content of protein in dry weight basis in raw storage roots measuring percentage|CO_331:0000278","Content of beta-carotene in dry weight basis in raw storage roots measuring mg per 100g|CO_331:0000289","Content of iron in dry weight basis measuring mg per 100g by NIRS|CO_331:0001016","Content of zinc in dry weight basis measuring mg per 100g by NIRS|CO_331:0001017","Content of calcium in dry weight basis measuring mg per 100g by NIRS|CO_331:0001029","Content of magnesium in dry weight basis measuring mg per 100g by NIRS|CO_331:0001030","Content of starch in dry weight basis in raw storage roots measuring percentage|CO_331:0000291","Content of fructose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001045","Content of glucose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001047","Content of sucrose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001049","Content of maltose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001051","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Number of storage roots after harvest per NET plot|CO_331:0000233","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Average total storage root weight computation kg|CO_331:0002040","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant harvested|CO_331:2000036","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant harvested|CO_331:0000681","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant harvested|CO_331:0000990","Vine weight in kg per plant planted|CO_331:0000991","Percentage of commercial storage root|CO_331:0000682","Harvest index computing percent|CO_331:0000302","Survival index computing percent|CO_331:0000301","Total storage root weight in dry weight basis per NET plot in kg|CO_331:0000995","Commercial storage root yield tons per ha|CO_331:0000809","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield computation tons per ha|CO_331:0000296","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield in tons per ha|CO_331:0000684","Total foliage yield adjusted in tons per ha|CO_331:0001002","Storage root dry matter yield per NET plot in tons per ha|CO_331:0001000","Storage root dry matter yield adjusted per NET plot in tons per ha|CO_331:0001001","Biomass yield in tons per ha|CO_331:0001003","Biomass yield adjusted in tons per ha|CO_331:0001004","treatment_dap120"
"","","PEP2016HUA-ST01","","","","","","","","","PEP2016HUA-ST01-00021","","","","120","95","199.19","15","42","1.17","1.07","34.18972332","8.07","0","1.86","1.38","54.62","107.85","67.57","0.61","2.41","8.86","0.11","2.24","201.43","57","0.078","0.02547619","0.039298246","0.6","0.475","0.157894737","0.125","0.023578947","0.018666667","2.096736842","1.659916667","26.31578947","1.112048851","79.16666667","0.765849802","0.433333333","0.547368421","0.82962963","1.047953216","73.77407407","93.18830409","0.283648075","0.358292305","74.6037037","94.23625731","1"
"","","PEP2016HUA-ST01","","","","","","","","","PEP2016HUA-ST01-00022","","","","120","93","209.23","1","46","0.17","1.6","29.78303748","8.45","0","2.2","1.5","54.68","111.06","67.94","0.51","2.31","7.96","0.17","1.77","211","47","0.17","0.034782609","0.037659574","0.505376344","0.391666667","0.010752688","0.008333333","0.019032258","0.01475","2.249784946","1.743583333","2.127659574","0.838862559","77.5","0.527159763","0.062962963","0.081242533","0.655555556","0.845878136","77.49259259","99.99044205","0.195244357","0.251928202","78.14814815","100.8363202","1"
"","","PEP2016HUA-ST01","","","","","","","","","PEP2016HUA-ST01-00023","","","","120","80","169.5","0","4","0","0.19","23.07692308","7.05","26.19","2.04","1.35","220.07","140.69","48.34","7.08","11.75","15.02","0.7","0.19","169.69","4","","0.0475","0.0475","0.05","0.033333333","0","0","0.002375","0.001583333","2.11875","1.4125","0","0.111968884","66.66666667","0.043846154","0","0","0.07037037","0.105555556","62.77777778","94.16666667","0.016239316","0.024358974","62.84814815","94.27222222","1"
"","","PEP2016HUA-ST01","","","","","","","","","PEP2016HUA-ST01-00024","","","","120","108","215.46","3","22","0.46","1.12","24.01574803","6.85","24.61","2","1.26","254.91","139.99","54.63","4.89","8.3","13.56","0.63","1.58","217.04","25","0.153333333","0.050909091","0.0632","0.231481481","0.208333333","0.027777778","0.025","0.01462963","0.013166667","1.995","1.7955","12","0.72797641","90","0.379448819","0.17037037","0.189300412","0.585185185","0.650205761","79.8","88.66666667","0.1405366","0.156151777","80.38518519","89.31687243","1"
"","","PEP2016HUA-ST01","","","","","","","","","PEP2016HUA-ST01-00025","","","","120","90","152.97","58","77","8.86","2.52","29.9009901","7.69","16.61","2.11","1.57","333.77","176.17","58.74","2.53","6.4","13.58","0.54","11.38","164.35","135","0.152758621","0.032727273","0.084296296","1.5","1.125","0.644444444","0.483333333","0.126444444","0.094833333","1.699666667","1.27475","42.96296296","6.924247034","75","3.402732673","3.281481481","4.375308642","4.214814815","5.619753086","56.65555556","75.54074074","1.260271361","1.680361814","60.87037037","81.16049383","1"
"","","PEP2016HUA-ST01","","","","","","","","","PEP2016HUA-ST01-00026","","","","120","97","143.61","59","101","11.87","5.33","28.28685259","6.84","24.11","2.04","1.44","280.46","153.24","60.61","1.56","4.49","14.72","0.29","17.2","160.81","160","0.201186441","0.052772277","0.1075","1.649484536","1.333333333","0.608247423","0.491666667","0.177319588","0.143333333","1.480515464","1.19675","36.875","10.69585225","80.83333333","4.865338645","4.396296296","5.438717068","6.37037037","7.880870561","53.18888889","65.80068729","1.801977276","2.229250238","59.55925926","73.68155785","1"
"","","PEP2016HUA-ST01","","","","","","","","","PEP2016HUA-ST01-00027","","","","120","94","154.21","65","88","9.44","3.81","29.7029703","7.74","0","1.85","1.32","71.88","101.38","61.55","1.45","3.66","13.9","0.35","13.25","167.46","153","0.145230769","0.043295455","0.086601307","1.627659574","1.275","0.691489362","0.541666667","0.140957447","0.110416667","1.640531915","1.285083333","42.48366013","7.912337275","78.33333333","3.935643565","3.496296296","4.463356974","4.907407407","6.264775414","57.11481481","72.91252955","1.457645765","1.86082438","62.02222222","79.17730496","1"
"","","PEP2016HUA-ST01","","","","","","","","","PEP2016HUA-ST01-00028","","","","120","94","158.63","71","48","13.03","1.9","28.96825397","6.54","0","1.71","1.21","108.18","111.69","65.44","1.3","3.71","10.97","0","14.93","173.56","119","0.183521127","0.039583333","0.125462185","1.265957447","0.991666667","0.755319149","0.591666667","0.158829787","0.124416667","1.687553191","1.321916667","59.66386555","8.602212491","78.33333333","4.324960318","4.825925926","6.160756501","5.52962963","7.059101655","58.75185185","75.00236407","1.601837155","2.044898495","64.28148148","82.06146572","1"
"","","PEP2016HUA-ST01","","","","","","","","","PEP2016HUA-ST01-00029","","","","120","96","190.35","40","149","3","4.63","32.14285714","4.35","0","1.26","1","52.16","85.77","66.65","3.44","6.2","6.89","0.73","7.63","197.98","189","0.075","0.031073826","0.04037037","1.96875","1.575","0.416666667","0.333333333","0.079479167","0.063583333","1.9828125","1.58625","21.16402116","3.853924639","80","2.4525","1.111111111","1.388888889","2.825925926","3.532407407","70.5","88.125","0.908333333","1.135416667","73.32592593","91.65740741","1"
"","","PEP2016HUA-ST01","","","","","","","","","PEP2016HUA-ST01-00030","","","","120","105","229.85","3","186","0.33","5.58","31.13772455","6.26","0","1.57","1.14","68.05","95.04","70.35","1.16","3.41","6.32","0.16","5.91","235.76","189","0.11","0.03","0.031269841","1.8","1.575","0.028571429","0.025","0.056285714","0.04925","2.189047619","1.915416667","1.587301587","2.506786563","87.5","1.840239521","0.122222222","0.13968254","2.188888889","2.501587302","85.12962963","97.29100529","0.681570193","0.778937363","87.31851852","99.79259259","1"
