"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Number of plants planted per NET plot|CO_331:0000678","Weight of vines per NET plot in kg|CO_331:0000227","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Number of storage roots after harvest per NET plot|CO_331:0000233","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Average total storage root weight computation kg|CO_331:0002040","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant planted|CO_331:0000991","Percentage of commercial storage root|CO_331:0000682","Harvest index computing percent|CO_331:0000302","Commercial storage root yield tons per ha|CO_331:0000809","Total storage roots yield computation tons per ha|CO_331:0000296","Total foliage yield in tons per ha|CO_331:0000684","Biomass yield in tons per ha|CO_331:0001003"
"","","PEP2015ICA-ST01","","","","","","","","","PEP2015ICA-ST01-00130","","","","3","1.17","4","3","0.77","0.13","0.9","2.07","7","0.1925","0.043333333","0.128571429","2.333333333","1.333333333","0.3","0.39","57.14285714","43.47826087","11.40740741","13.33333333","17.33333333","30.66666667"
"","","PEP2015ICA-ST01","","","","","","","","","PEP2015ICA-ST01-00131","","","","3","0.53","0","0","0","0","0","0.53","0","","","","0","0","0","0.176666667","","0","0","0","7.851851852","7.851851852"
"","","PEP2015ICA-ST01","","","","","","","","","PEP2015ICA-ST01-00132","","","","3","0.2","2","1","0.21","0.07","0.28","0.48","3","0.105","0.07","0.093333333","1","0.666666667","0.093333333","0.066666667","66.66666667","58.33333333","3.111111111","4.148148148","2.962962963","7.111111111"
"","","PEP2015ICA-ST01","","","","","","","","","PEP2015ICA-ST01-00133","","","","3","0","0","0","0","0","0","0","0","","","","0","0","0","0","","","0","0","0","0"
"","","PEP2015ICA-ST01","","","","","","","","","PEP2015ICA-ST01-00134","","","","3","0.11","2","0","0.19","0","0.19","0.3","2","0.095","","0.095","0.666666667","0.666666667","0.063333333","0.036666667","100","63.33333333","2.814814815","2.814814815","1.62962963","4.444444444"
"","","PEP2015ICA-ST01","","","","","","","","","PEP2015ICA-ST01-00135","","","","3","1.65","5","8","0.51","0.12","0.63","2.28","13","0.102","0.015","0.048461538","4.333333333","1.666666667","0.21","0.55","38.46153846","27.63157895","7.555555556","9.333333333","24.44444444","33.77777778"
"","","PEP2015ICA-ST01","","","","","","","","","PEP2015ICA-ST01-00136","","","","3","0.66","2","1","0.19","0.06","0.25","0.91","3","0.095","0.06","0.083333333","1","0.666666667","0.083333333","0.22","66.66666667","27.47252747","2.814814815","3.703703704","9.777777778","13.48148148"
"","","PEP2015ICA-ST01","","","","","","","","","PEP2015ICA-ST01-00137","","","","3","0.33","0","5","0","0.12","0.12","0.45","5","","0.024","0.024","1.666666667","0","0.04","0.11","0","26.66666667","0","1.777777778","4.888888889","6.666666667"
"","","PEP2015ICA-ST01","","","","","","","","","PEP2015ICA-ST01-00138","","","","3","","1","0","0.12","0","0.12","","1","0.12","","0.12","0.333333333","0.333333333","0.04","","100","","1.777777778","1.777777778","",""
"","","PEP2015ICA-ST01","","","","","","","","","PEP2015ICA-ST01-00139","","","","3","0.42","3","3","0.21","0.11","0.32","0.74","6","0.07","0.036666667","0.053333333","2","1","0.106666667","0.14","50","43.24324324","3.111111111","4.740740741","6.222222222","10.96296296"
"","","PEP2015ICA-ST01","","","","","","","","","PEP2015ICA-ST01-00140","","","","3","0.74","4","9","0.49","0.1","0.59","1.33","13","0.1225","0.011111111","0.045384615","4.333333333","1.333333333","0.196666667","0.246666667","30.76923077","44.36090226","7.259259259","8.740740741","10.96296296","19.7037037"
"","","PEP2015ICA-ST01","","","","","","","","","PEP2015ICA-ST01-00141","","","","3","1.19","5","4","0.84","0.15","0.99","2.18","9","0.168","0.0375","0.11","3","1.666666667","0.33","0.396666667","55.55555556","45.41284404","12.44444444","14.66666667","17.62962963","32.2962963"
"","","PEP2015ICA-ST01","","","","","","","","","PEP2015ICA-ST01-00142","","","","3","1.78","4","4","0.41","0.11","0.52","2.3","8","0.1025","0.0275","0.065","2.666666667","1.333333333","0.173333333","0.593333333","50","22.60869565","6.074074074","7.703703704","26.37037037","34.07407407"
"","","PEP2015ICA-ST01","","","","","","","","","PEP2015ICA-ST01-00143","","","","3","0","0","0","0","0","0","0","0","","","","0","0","0","0","","","0","0","0","0"
