"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Number of plants planted per NET plot|CO_331:0000678","Weight of vines per NET plot in kg|CO_331:0000227","Number of plants harvested per NET plot|CO_331:0000679","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Storage root appearance estimating 1-9 CIP|CO_331:0000202","Storage root dry matter content computing percent|CO_331:0000297","Content of protein in dry weight basis in raw storage roots measuring percentage|CO_331:0000278","Content of iron in dry weight basis measuring mg per 100g by NIRS|CO_331:0001016","Content of zinc in dry weight basis measuring mg per 100g by NIRS|CO_331:0001017","Content of calcium in dry weight basis measuring mg per 100g by NIRS|CO_331:0001029","Content of magnesium in dry weight basis measuring mg per 100g by NIRS|CO_331:0001030","Content of beta-carotene in dry weight basis in raw storage roots measuring mg per 100g|CO_331:0000289","Content of starch in dry weight basis in raw storage roots measuring percentage|CO_331:0000291","Content of fructose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001045","Content of glucose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001047","Content of sucrose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001049","Content of maltose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001051","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Number of storage roots after harvest per NET plot|CO_331:0000233","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Average total storage root weight computation kg|CO_331:0002040","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant harvested|CO_331:2000036","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant harvested|CO_331:0000681","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant harvested|CO_331:0000990","Vine weight in kg per plant planted|CO_331:0000991","Percentage of commercial storage root|CO_331:0000682","Harvest index computing percent|CO_331:0000302","Survival index computing percent|CO_331:0000301","Total storage root weight in dry weight basis per NET plot in kg|CO_331:0000995","Commercial storage root yield tons per ha|CO_331:0000809","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield computation tons per ha|CO_331:0000296","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield in tons per ha|CO_331:0000684","Total foliage yield adjusted in tons per ha|CO_331:0001002","Storage root dry matter yield per NET plot in tons per ha|CO_331:0001000","Storage root dry matter yield adjusted per NET plot in tons per ha|CO_331:0001001","Biomass yield in tons per ha|CO_331:0001003","Biomass yield adjusted in tons per ha|CO_331:0001004"
"","","PEP2013POC-AT01","","","","","","","","","PEP2013POC-AT01-00021","","","","20","4.78","14","31","14","8.93","0.62","4","27.23658052","5.6432419","2.0041165","1.3865089","88.375","109.7826691","34.9945755","59.8034782","1.4720373","3.8628149","14.2130661","0","9.55","14.33","45","0.288064516","0.044285714","0.212222222","3.214285714","2.25","2.214285714","1.55","0.682142857","0.4775","0.341428571","0.239","68.88888889","66.64340544","70","2.60109344","19.84444444","28.34920635","21.22222222","30.31746032","10.62222222","15.17460317","5.780207644","8.257439491","31.84444444","45.49206349"
"","","PEP2013POC-AT01","","","","","","","","","PEP2013POC-AT01-00022","","","","20","6.41","15","34","17","9.78","0.9","4","25.59055118","3.6245842","1.5923414","1.1603193","94.6975098","102.1924744","39.5659561","60.8095551","1.4793854","3.6457472","18.1244144","0.0662823","10.68","17.09","51","0.287647059","0.052941176","0.209411765","3.4","2.55","2.266666667","1.7","0.712","0.534","0.427333333","0.3205","66.66666667","62.49268578","75","2.733070866","21.73333333","28.97777778","23.73333333","31.64444444","14.24444444","18.99259259","6.073490813","8.097987751","37.97777778","50.63703704"
"","","PEP2013POC-AT01","","","","","","","","","PEP2013POC-AT01-00023","","","","20","6.45","7","15","33","1.57","0.7","5","26.29482072","2.8607388","1.5284877","1.0563745","72.4317627","80.2261353","37.3955688","57.6705513","5.7102098","8.5347595","9.021328","0.3754015","2.27","8.72","48","0.104666667","0.021212121","0.047291667","6.857142857","2.4","2.142857143","0.75","0.324285714","0.1135","0.921428571","0.3225","31.25","26.03211009","35","0.59689243","3.488888889","9.968253968","5.044444444","14.41269841","14.33333333","40.95238095","1.326427623","3.789793209","19.37777778","55.36507937"
"","","PEP2013POC-AT01","","","","","","","","","PEP2013POC-AT01-00024","","","","20","7.68","15","29","27","2.77","0.8","5","25.88932806","5.2288971","1.9875321","1.3211012","59.927002","91.7794952","38.2179718","56.3224564","4.8160782","7.7082696","10.3732672","0.4613867","3.57","11.25","56","0.095517241","0.02962963","0.06375","3.733333333","2.8","1.933333333","1.45","0.238","0.1785","0.512","0.384","51.78571429","31.73333333","75","0.924249012","6.155555556","8.207407407","7.933333333","10.57777778","17.06666667","22.75555556","2.053886693","2.73851559","25","33.33333333"
"","","PEP2013POC-AT01","","","","","","","","","PEP2013POC-AT01-00025","","","","20","4.96","11","21","5","5.22","0.42","5","27.21893491","7.738287","2.3109763","1.4603977","200.8482056","138.7232666","42.995163","55.2107544","2.0565434","4.488842","14.5072861","0","5.64","10.6","26","0.248571429","0.084","0.216923077","2.363636364","1.3","1.909090909","1.05","0.512727273","0.282","0.450909091","0.248","80.76923077","53.20754717","55","1.535147929","11.6","21.09090909","12.53333333","22.78787879","11.02222222","20.04040404","3.411439842","6.202617895","23.55555556","42.82828283"
"","","PEP2013POC-AT01","","","","","","","","","PEP2013POC-AT01-00026","","","","20","4.88","12","24","3","6.66","0.29","5","29.33070866","6.9889326","2.2276785","1.4486141","95.7792969","122.4266815","41.4774704","58.3010483","2.2773409","4.9111605","11.2495298","0.1020041","6.95","11.83","27","0.2775","0.096666667","0.257407407","2.25","1.35","2","1.2","0.579166667","0.3475","0.406666667","0.244","88.88888889","58.74894336","60","2.038484252","14.8","24.66666667","15.44444444","25.74074074","10.84444444","18.07407407","4.529965004","7.549941674","26.28888889","43.81481481"
"","","PEP2013POC-AT01","","","","","","","","","PEP2013POC-AT01-00027","","","","20","14.91","15","27","28","7.1","1.23","5","27.09163347","5.1461258","1.882246","1.2865672","91.7572021","110.8147583","39.2056046","55.7749367","1.3375664","3.6366529","20.8842659","0.0859623","8.33","23.24","55","0.262962963","0.043928571","0.151454545","3.666666667","2.75","1.8","1.35","0.555333333","0.4165","0.994","0.7455","49.09090909","35.84337349","75","2.256733068","15.77777778","21.03703704","18.51111111","24.68148148","33.13333333","44.17777778","5.014962373","6.686616498","51.64444444","68.85925926"
"","","PEP2013POC-AT01","","","","","","","","","PEP2013POC-AT01-00028","","","","20","8.27","18","37","42","8","2.04","4","26.89243028","5.9823437","2.081109","1.3657961","82.7885742","103.5940704","34.6004715","59.4717598","1.9781513","4.3767509","14.114604","0.2574015","10.04","18.31","79","0.216216216","0.048571429","0.127088608","4.388888889","3.95","2.055555556","1.85","0.557777778","0.502","0.459444444","0.4135","46.83544304","54.83342436","90","2.7","17.77777778","19.75308642","22.31111111","24.79012346","18.37777778","20.41975309","6","6.666666667","40.68888889","45.20987654"
"","","PEP2013POC-AT01","","","","","","","","","PEP2013POC-AT01-00029","","","","20","13.81","13","29","5","4.97","0.26","5","24.9500998","5.2027626","1.9587193","1.29003","110.2078857","110.5990601","38.3542862","57.7226639","3.0166826","5.9959755","14.0716105","0.1879568","5.23","19.04","34","0.17137931","0.052","0.153823529","2.615384615","1.7","2.230769231","1.45","0.402307692","0.2615","1.062307692","0.6905","85.29411765","27.46848739","65","1.30489022","11.04444444","16.99145299","11.62222222","17.88034188","30.68888889","47.21367521","2.899756043","4.461163144","42.31111111","65.09401709"
"","","PEP2013POC-AT01","","","","","","","","","PEP2013POC-AT01-00030","","","","20","3.94","7","14","4","3.29","0.29","5","29.36507937","4.178833","1.6466732","1.3007641","144.4355469","101.4980927","23.7696991","66.6661835","1.438117","3.5595031","10.3823948","0.2744751","3.58","7.52","18","0.235","0.0725","0.198888889","2.571428571","0.9","2","0.7","0.511428571","0.179","0.562857143","0.197","77.77777778","47.60638298","35","1.051269841","7.311111111","20.88888889","7.955555556","22.73015873","8.755555556","25.01587302","2.336155203","6.674729152","16.71111111","47.74603175"
