"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Number of plants planted per NET plot|CO_331:0000678","Number of plants harvested per NET plot|CO_331:0000679","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Weight of vines per NET plot in kg|CO_331:0000227","Storage root dry matter content computing percent|CO_331:0000297","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Number of storage roots after harvest per NET plot|CO_331:0000233","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Average total storage root weight computation kg|CO_331:0002040","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant harvested|CO_331:2000036","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant harvested|CO_331:0000681","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant harvested|CO_331:0000990","Vine weight in kg per plant planted|CO_331:0000991","Percentage of commercial storage root|CO_331:0000682","Harvest index computing percent|CO_331:0000302","Survival index computing percent|CO_331:0000301","Total storage root weight in dry weight basis per NET plot in kg|CO_331:0000995","Commercial storage root yield tons per ha|CO_331:0000809","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield computation tons per ha|CO_331:0000296","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield in tons per ha|CO_331:0000684","Total foliage yield adjusted in tons per ha|CO_331:0001002","Storage root dry matter yield per NET plot in tons per ha|CO_331:0001000","Storage root dry matter yield adjusted per NET plot in tons per ha|CO_331:0001001","Biomass yield in tons per ha|CO_331:0001003","Biomass yield adjusted in tons per ha|CO_331:0001004","treatment_dap100","treatment_dap120"
"","","PEP2013PIU-AT02","","","","","","","","","PEP2013PIU-AT02-00021","","","","10","3","11","9","4.44","0.3","5.81","25.01498801","4.74","10.55","20","0.403636364","0.033333333","0.237","6.666666667","2","3.666666667","1.1","1.58","0.474","1.936666667","0.581","55","44.92890995","30","1.185710432","19.73333333","65.77777778","21.06666667","70.22222222","25.82222222","86.07407407","5.269824141","17.56608047","46.88888889","156.2962963","1",""
"","","PEP2013PIU-AT02","","","","","","","","","PEP2013PIU-AT02-00022","","","","10","4","5","5","2.7","0.1","3.83","23.59578611","2.8","6.63","10","0.54","0.02","0.28","2.5","1","1.25","0.5","0.7","0.28","0.9575","0.383","50","42.23227753","40","0.660682011","12","30","12.44444444","31.11111111","17.02222222","42.55555556","2.936364494","7.340911234","29.46666667","73.66666667","1",""
"","","PEP2013PIU-AT02","","","","","","","","","PEP2013PIU-AT02-00023","","","","10","5","15","4","5.23","0.46","7.85","24.0423513","5.69","13.54","19","0.348666667","0.115","0.299473684","3.8","1.9","3","1.5","1.138","0.569","1.57","0.785","78.94736842","42.02363368","50","1.368009789","23.24444444","46.48888889","25.28888889","50.57777778","34.88888889","69.77777778","6.080043507","12.16008701","60.17777778","120.3555556","","1"
"","","PEP2013PIU-AT02","","","","","","","","","PEP2013PIU-AT02-00024","","","","10","8","2","3","4.6","0.23","5.61","21.77667494","4.83","10.44","5","2.3","0.076666667","0.966","0.625","0.5","0.25","0.2","0.60375","0.483","0.70125","0.561","40","46.26436782","80","1.0518134","20.44444444","25.55555556","21.46666667","26.83333333","24.93333333","31.16666667","4.67472622","5.843407776","46.4","58","","1"
"","","PEP2013PIU-AT02","","","","","","","","","PEP2013PIU-AT02-00025","","","","10","2","0","3","0","0.33","3.18","","0.33","3.51","3","","0.11","0.11","1.5","0.3","0","0","0.165","0.033","1.59","0.318","0","9.401709402","20","","0","0","1.466666667","7.333333333","14.13333333","70.66666667","","","15.6","78","1",""
"","","PEP2013PIU-AT02","","","","","","","","","PEP2013PIU-AT02-00026","","","","10","6","4","4","1.3","0.5","3.28","21.52208675","1.8","5.08","8","0.325","0.125","0.225","1.333333333","0.8","0.666666667","0.4","0.3","0.18","0.546666667","0.328","50","35.43307087","60","0.387397562","5.777777778","9.62962963","8","13.33333333","14.57777778","24.2962963","1.72176694","2.869611567","22.57777778","37.62962963","1",""
"","","PEP2013PIU-AT02","","","","","","","","","PEP2013PIU-AT02-00027","","","","10","5","8","0","2.97","0","9.04","21.83063635","2.97","12.01","8","0.37125","","0.37125","1.6","0.8","1.6","0.8","0.594","0.297","1.808","0.904","100","24.72939217","50","0.6483699","13.2","26.4","13.2","26.4","40.17777778","80.35555556","2.881643998","5.763287996","53.37777778","106.7555556","","1"
"","","PEP2013PIU-AT02","","","","","","","","","PEP2013PIU-AT02-00028","","","","10","4","3","4","1","0.14","7.88","25.55583188","1.14","9.02","7","0.333333333","0.035","0.162857143","1.75","0.7","0.75","0.3","0.285","0.114","1.97","0.788","42.85714286","12.63858093","40","0.291336483","4.444444444","11.11111111","5.066666667","12.66666667","35.02222222","87.55555556","1.294828815","3.237072038","40.08888889","100.2222222","","1"
"","","PEP2013PIU-AT02","","","","","","","","","PEP2013PIU-AT02-00029","","","","10","2","3","11","0.94","0.33","4.05","31.82693732","1.27","5.32","14","0.313333333","0.03","0.090714286","7","1.4","1.5","0.3","0.635","0.127","2.025","0.405","21.42857143","23.87218045","20","0.404202104","4.177777778","20.88888889","5.644444444","28.22222222","18","90","1.796453795","8.982268977","23.64444444","118.2222222","1",""
"","","PEP2013PIU-AT02","","","","","","","","","PEP2013PIU-AT02-00030","","","","10","0","0","0","0","0","0","","0","0","0","","","","","0","","0","","0","","0","","","0","","0","","0","","0","","","","0","","1",""
