"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Number of plants planted per NET plot|CO_331:0000678","Number of plants harvested per NET plot|CO_331:0000679","Weight of vines per NET plot in kg|CO_331:0000227","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Storage root dry matter content computing percent|CO_331:0000297","Content of protein in dry weight basis in raw storage roots measuring percentage|CO_331:0000278","Content of beta-carotene in dry weight basis in raw storage roots measuring mg per 100g|CO_331:0000289","Content of iron in dry weight basis measuring mg per 100g by NIRS|CO_331:0001016","Content of zinc in dry weight basis measuring mg per 100g by NIRS|CO_331:0001017","Content of calcium in dry weight basis measuring mg per 100g by NIRS|CO_331:0001029","Content of magnesium in dry weight basis measuring mg per 100g by NIRS|CO_331:0001030","Content of starch in dry weight basis in raw storage roots measuring percentage|CO_331:0000291","Content of fructose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001045","Content of glucose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001047","Content of sucrose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001049","Content of maltose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001051","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Number of storage roots after harvest per NET plot|CO_331:0000233","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Average total storage root weight computation kg|CO_331:0002040","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant harvested|CO_331:2000036","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant harvested|CO_331:0000681","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant harvested|CO_331:0000990","Vine weight in kg per plant planted|CO_331:0000991","Percentage of commercial storage root|CO_331:0000682","Harvest index computing percent|CO_331:0000302","Survival index computing percent|CO_331:0000301","Total storage root weight in dry weight basis per NET plot in kg|CO_331:0000995","Commercial storage root yield tons per ha|CO_331:0000809","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield computation tons per ha|CO_331:0000296","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield in tons per ha|CO_331:0000684","Total foliage yield adjusted in tons per ha|CO_331:0001002","Storage root dry matter yield per NET plot in tons per ha|CO_331:0001000","Storage root dry matter yield adjusted per NET plot in tons per ha|CO_331:0001001","Biomass yield in tons per ha|CO_331:0001003","Biomass yield adjusted in tons per ha|CO_331:0001004"
"","","PEP2011OVI-AT01","","","","","","","","","PEP2011OVI-AT01-00021","","","","20","19","1.7","43","28","5.5","1","27.93834297","4.1533165","25.9533634","1.7279714","1.1425009","131.0557251","105.1706696","58.6760635","1.8595147","3.3951519","15.4117279","0","6.5","8.2","71","0.127906977","0.035714286","0.091549296","3.736842105","3.55","2.263157895","2.15","0.342105263","0.325","0.089473684","0.085","60.56338028","79.26829268","95","1.815992293","12.22222222","12.86549708","14.44444444","15.20467836","3.777777778","3.976608187","4.035538429","4.247935188","18.22222222","19.18128655"
"","","PEP2011OVI-AT01","","","","","","","","","PEP2011OVI-AT01-00022","","","","20","19","3.5","31","26","5.7","1","27.88844622","3.2593472","24.588459","1.604592","0.956852","89.201767","98.3881989","54.996273","4.0043864","6.3110523","15.5014524","0.0597854","6.7","10.2","57","0.183870968","0.038461538","0.11754386","3","2.85","1.631578947","1.55","0.352631579","0.335","0.184210526","0.175","54.38596491","65.68627451","95","1.868525897","12.66666667","13.33333333","14.88888889","15.67251462","7.777777778","8.187134503","4.152279771","4.370820811","22.66666667","23.85964912"
"","","PEP2011OVI-AT01","","","","","","","","","PEP2011OVI-AT01-00023","","","","20","14","5","5","20","0.7","0.5","33.53293413","5.0080972","16.9272137","1.7939925","1.2372454","267.0260315","130.3639526","62.1404877","3.5496645","5.6400161","7.3164711","0.3725369","1.2","6.2","25","0.14","0.025","0.048","1.785714286","1.25","0.357142857","0.25","0.085714286","0.06","0.357142857","0.25","20","19.35483871","70","0.40239521","1.555555556","2.222222222","2.666666667","3.80952381","11.11111111","15.87301587","0.894211577","1.27744511","13.77777778","19.68253968"
"","","PEP2011OVI-AT01","","","","","","","","","PEP2011OVI-AT01-00024","","","","20","9","4.2","10","20","1.14","1","31.58914729","3.6125772","18.3053989","1.607843","1.1325721","227.1109467","116.0119476","62.1622772","3.9989777","6.2749157","6.3610458","0","2.14","6.34","30","0.114","0.05","0.071333333","3.333333333","1.5","1.111111111","0.5","0.237777778","0.107","0.466666667","0.21","33.33333333","33.75394322","45","0.676007752","2.533333333","5.62962963","4.755555556","10.56790123","9.333333333","20.74074074","1.502239449","3.338309886","14.08888889","31.30864198"
"","","PEP2011OVI-AT01","","","","","","","","","PEP2011OVI-AT01-00025","","","","20","20","1.7","31","26","4","1","31.22529644","5.7091475","29.8980103","2.0878193","1.244321","188.611618","123.7245255","54.6339912","3.860249","6.4846945","11.4766512","0.2870868","5","6.7","57","0.129032258","0.038461538","0.087719298","2.85","2.85","1.55","1.55","0.25","0.25","0.085","0.085","54.38596491","74.62686567","100","1.561264822","8.888888889","8.888888889","11.11111111","11.11111111","3.777777778","3.777777778","3.469477382","3.469477382","14.88888889","14.88888889"
"","","PEP2011OVI-AT01","","","","","","","","","PEP2011OVI-AT01-00026","","","","20","16","5","20","16","2.8","0.7","30.0589391","7.0153036","27.8264389","2.2681139","1.3367943","143.6649628","117.2351685","52.9788628","4.056047","6.7040105","12.7380457","0.2477862","3.5","8.5","36","0.14","0.04375","0.097222222","2.25","1.8","1.25","1","0.21875","0.175","0.3125","0.25","55.55555556","41.17647059","80","1.052062869","6.222222222","7.777777778","7.777777778","9.722222222","11.11111111","13.88888889","2.337917486","2.922396857","18.88888889","23.61111111"
"","","PEP2011OVI-AT01","","","","","","","","","PEP2011OVI-AT01-00027","","","","20","20","0.7","41","28","3.8","1","31.2992126","5.1438632","29.3706093","1.7676033","1.0714642","103.6586151","84.3347321","54.0033989","3.9340365","6.2193203","15.6689844","0.7153897","4.8","5.5","69","0.092682927","0.035714286","0.069565217","3.45","3.45","2.05","2.05","0.24","0.24","0.035","0.035","59.42028986","87.27272727","100","1.502362205","8.444444444","8.444444444","10.66666667","10.66666667","1.555555556","1.555555556","3.338582677","3.338582677","12.22222222","12.22222222"
"","","PEP2011OVI-AT01","","","","","","","","","PEP2011OVI-AT01-00028","","","","20","8","0.2","","","","","34.13173653","4.5992036","35.7852821","1.6792897","1.0271058","127.1846924","90.5746689","62.017189","3.0792363","4.9433937","9.5061493","0.1890863","","","","","","","","","","","","","0.025","0.01","","","40","","","","","","0.444444444","1.111111111","","","",""
"","","PEP2011OVI-AT01","","","","","","","","","PEP2011OVI-AT01-00029","","","","20","13","1.3","16","9","2","0.5","27.54491018","6.5579281","36.3926506","2.2528806","1.4041234","147.7340088","117.7168198","56.0529442","2.7139363","4.7853007","15.4735775","0.4962945","2.5","3.8","25","0.125","0.055555556","0.1","1.923076923","1.25","1.230769231","0.8","0.192307692","0.125","0.1","0.065","64","65.78947368","65","0.688622755","4.444444444","6.837606838","5.555555556","8.547008547","2.888888889","4.444444444","1.530272788","2.354265827","8.444444444","12.99145299"
"","","PEP2011OVI-AT01","","","","","","","","","PEP2011OVI-AT01-00030","","","","20","6","1.8","5","4","0.7","0.1","29.56349206","4.4039273","27.1599789","1.5460387","0.9885519","110.17836","90.1476135","60.3541489","3.7325363","6.027802","9.5749378","0.048323","0.8","2.6","9","0.14","0.025","0.088888889","1.5","0.45","0.833333333","0.25","0.133333333","0.04","0.3","0.09","55.55555556","30.76923077","30","0.236507936","1.555555556","5.185185185","1.777777778","5.925925926","4","13.33333333","0.525573192","1.751910641","5.777777778","19.25925926"
