"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Number of plants planted per NET plot|CO_331:0000678","Number of plants harvested per NET plot|CO_331:0000679","Weight of vines per NET plot in kg|CO_331:0000227","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Storage root appearance estimating 1-9 CIP|CO_331:0000202","Content of protein in dry weight basis in raw storage roots measuring percentage|CO_331:0000278","Content of beta-carotene in dry weight basis in raw storage roots measuring mg per 100g|CO_331:0000289","Content of iron in dry weight basis measuring mg per 100g by NIRS|CO_331:0001016","Content of zinc in dry weight basis measuring mg per 100g by NIRS|CO_331:0001017","Content of calcium in dry weight basis measuring mg per 100g by NIRS|CO_331:0001029","Content of magnesium in dry weight basis measuring mg per 100g by NIRS|CO_331:0001030","Content of starch in dry weight basis in raw storage roots measuring percentage|CO_331:0000291","Content of fructose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001045","Content of glucose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001047","Content of sucrose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001049","Content of maltose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001051","Fresh weight of storage root samples measuring g|CO_331:0000243","Dry weight of storage root samples measuring g|CO_331:0000247","Storage root dry matter content computing percent|CO_331:0000297","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Number of storage roots after harvest per NET plot|CO_331:0000233","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Average total storage root weight computation kg|CO_331:0002040","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant harvested|CO_331:2000036","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant harvested|CO_331:0000681","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant harvested|CO_331:0000990","Vine weight in kg per plant planted|CO_331:0000991","Percentage of commercial storage root|CO_331:0000682","Harvest index computing percent|CO_331:0000302","Survival index computing percent|CO_331:0000301","Total storage root weight in dry weight basis per NET plot in kg|CO_331:0000995","Commercial storage root yield tons per ha|CO_331:0000809","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield computation tons per ha|CO_331:0000296","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield in tons per ha|CO_331:0000684","Total foliage yield adjusted in tons per ha|CO_331:0001002","Storage root dry matter yield per NET plot in tons per ha|CO_331:0001000","Storage root dry matter yield adjusted per NET plot in tons per ha|CO_331:0001001","Biomass yield in tons per ha|CO_331:0001003","Biomass yield adjusted in tons per ha|CO_331:0001004"
"","","PEP2017CAN-OT01","","","","","","","","","PEP2017CAN-OT01-00021","","","","3","3","3.63","7","33","0.81","1.11","7","5.8384151","53.340744","2.0103745","1.3075118","298.838623","112.51651","50.2341537","7.1417227","11.0551252","9.8984594","0.5011749","50.1","11.1","22.15568862","1.92","5.55","40","0.115714286","0.033636364","0.048","13.33333333","13.33333333","2.333333333","2.333333333","0.64","0.64","1.21","1.21","17.5","34.59459459","100","0.425389222","12","12","28.44444444","28.44444444","53.77777778","53.77777778","6.302062542","6.302062542","82.22222222","82.22222222"
"","","PEP2017CAN-OT01","","","","","","","","","PEP2017CAN-OT01-00022","","","","3","3","6.04","4","4","1.12","0.31","6","6.6758108","36.8322372","1.9972019","1.3607616","258.2687988","126.0357971","60.454731","4.2301626","7.2465873","8.2008705","0.1318884","50.7","13.2","26.03550296","1.43","7.47","8","0.28","0.0775","0.17875","2.666666667","2.666666667","1.333333333","1.333333333","0.476666667","0.476666667","2.013333333","2.013333333","50","19.14323963","100","0.372307692","16.59259259","16.59259259","21.18518519","21.18518519","89.48148148","89.48148148","5.515669516","5.515669516","110.6666667","110.6666667"
"","","PEP2017CAN-OT01","","","","","","","","","PEP2017CAN-OT01-00023","","","","3","3","1.51","6","10","3.75","0.55","5","3.4464741","39.3810043","1.6785512","0.9793587","78.8693848","85.0657501","22.9765053","13.1348982","19.6693478","29.0493393","0","50.5","7.8","15.44554455","4.3","5.81","16","0.625","0.055","0.26875","5.333333333","5.333333333","2","2","1.433333333","1.433333333","0.503333333","0.503333333","37.5","74.01032702","100","0.664158416","55.55555556","55.55555556","63.7037037","63.7037037","22.37037037","22.37037037","9.839383938","9.839383938","86.07407407","86.07407407"
"","","PEP2017CAN-OT01","","","","","","","","","PEP2017CAN-OT01-00024","","","","3","1","0.91","0","2","0","0.13","7","","","","","","","","","","","","","","","0.13","1.04","2","","0.065","0.065","2","0.666666667","0","0","0.13","0.043333333","0.91","0.303333333","0","12.5","33.33333333","","0","0","1.925925926","5.777777778","13.48148148","40.44444444","","","15.40740741","46.22222222"
"","","PEP2017CAN-OT01","","","","","","","","","PEP2017CAN-OT01-00025","","","","3","2","1.46","6","3","2.55","0.09","5","3.6845016","50.9415359","1.624238","0.9836326","77.7017822","56.1395721","50.9819984","8.5612478","12.2529449","9.5024109","0.483881","50.5","10.5","20.79207921","2.64","4.1","9","0.425","0.03","0.293333333","4.5","3","3","2","1.32","0.88","0.73","0.486666667","66.66666667","64.3902439","66.66666667","0.548910891","37.77777778","56.66666667","39.11111111","58.66666667","21.62962963","32.44444444","8.132013201","12.1980198","60.74074074","91.11111111"
"","","PEP2017CAN-OT01","","","","","","","","","PEP2017CAN-OT01-00026","","","","3","3","2.5","17","8","4.54","0.29","5","6.667222","40.0840225","2.1111956","1.4067616","156.2894287","108.7082672","52.6778603","5.1767731","8.3623753","14.8871841","0.2801352","50","10.2","20.4","4.83","7.33","25","0.267058824","0.03625","0.1932","8.333333333","8.333333333","5.666666667","5.666666667","1.61","1.61","0.833333333","0.833333333","68","65.89358799","100","0.98532","67.25925926","67.25925926","71.55555556","71.55555556","37.03703704","37.03703704","14.59733333","14.59733333","108.5925926","108.5925926"
"","","PEP2017CAN-OT01","","","","","","","","","PEP2017CAN-OT01-00027","","","","3","3","2.9","8","6","3.23","0.1","5","4.7951851","23.6638336","2.116993","1.1907735","147.9482422","117.4743958","48.0445404","9.9270849","14.4058008","7.0784817","0.3752871","50.3","8.8","17.49502982","3.33","6.23","14","0.40375","0.016666667","0.237857143","4.666666667","4.666666667","2.666666667","2.666666667","1.11","1.11","0.966666667","0.966666667","57.14285714","53.45104334","100","0.582584493","47.85185185","47.85185185","49.33333333","49.33333333","42.96296296","42.96296296","8.630881378","8.630881378","92.2962963","92.2962963"
"","","PEP2017CAN-OT01","","","","","","","","","PEP2017CAN-OT01-00028","","","","3","3","2.66","11","4","2.88","0.27","5","5.9012756","48.3209381","2.0726576","1.4025378","271.5321045","134.8451996","42.0979195","5.2814026","8.3791094","24.5139179","0.7201643","50.8","10.8","21.25984252","3.15","5.81","15","0.261818182","0.0675","0.21","5","5","3.666666667","3.666666667","1.05","1.05","0.886666667","0.886666667","73.33333333","54.21686747","100","0.669685039","42.66666667","42.66666667","46.66666667","46.66666667","39.40740741","39.40740741","9.921259843","9.921259843","86.07407407","86.07407407"
"","","PEP2017CAN-OT01","","","","","","","","","PEP2017CAN-OT01-00029","","","","3","1","0.63","1","3","0.14","0.12","5","9.5385828","0","2.0811343","1.463799","76.8497314","111.0493011","65.9794235","3.1296234","5.7086983","6.8630581","0","50.5","14.5","28.71287129","0.26","0.89","4","0.14","0.04","0.065","4","1.333333333","1","0.333333333","0.26","0.086666667","0.63","0.21","25","29.21348315","33.33333333","0.074653465","2.074074074","6.222222222","3.851851852","11.55555556","9.333333333","28","1.105977264","3.317931793","13.18518519","39.55555556"
"","","PEP2017CAN-OT01","","","","","","","","","PEP2017CAN-OT01-00030","","","","3","3","0.97","3","9","0.44","0.42","6","4.523695","51.2394867","1.9837494","1.2166209","144.3424072","94.566452","52.1212082","6.6613417","9.9239111","9.7702255","0.6083908","50.6","11","21.73913043","0.86","1.83","12","0.146666667","0.046666667","0.071666667","4","4","1","1","0.286666667","0.286666667","0.323333333","0.323333333","25","46.99453552","100","0.186956522","6.518518519","6.518518519","12.74074074","12.74074074","14.37037037","14.37037037","2.769726248","2.769726248","27.11111111","27.11111111"
