"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Number of plants planted per NET plot|CO_331:0000678","Number of plants harvested per NET plot|CO_331:0000679","Weight of vines per NET plot in kg|CO_331:0000227","Number of commercial storage roots per NET plot|CO_331:0000214","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Storage root appearance estimating 1-9 CIP|CO_331:0000202","Content of protein in dry weight basis in raw storage roots measuring percentage|CO_331:0000278","Content of beta-carotene in dry weight basis in raw storage roots measuring mg per 100g|CO_331:0000289","Content of iron in dry weight basis measuring mg per 100g by NIRS|CO_331:0001016","Content of zinc in dry weight basis measuring mg per 100g by NIRS|CO_331:0001017","Content of calcium in dry weight basis measuring mg per 100g by NIRS|CO_331:0001029","Content of magnesium in dry weight basis measuring mg per 100g by NIRS|CO_331:0001030","Content of starch in dry weight basis in raw storage roots measuring percentage|CO_331:0000291","Content of fructose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001045","Content of glucose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001047","Content of sucrose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001049","Content of maltose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001051","Fresh weight of storage root samples measuring g|CO_331:0000243","Dry weight of storage root samples measuring g|CO_331:0000247","Storage root dry matter content computing percent|CO_331:0000297","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Average commercial storage root weight computation kg|CO_331:0000680","Number of commercial storage roots per plant harvested|CO_331:2000036","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant harvested|CO_331:0000681","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant harvested|CO_331:0000990","Vine weight in kg per plant planted|CO_331:0000991","Harvest index computing percent|CO_331:0000302","Survival index computing percent|CO_331:0000301","Total storage root weight in dry weight basis per NET plot in kg|CO_331:0000995","Commercial storage root yield tons per ha|CO_331:0000809","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield computation tons per ha|CO_331:0000296","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield in tons per ha|CO_331:0000684","Total foliage yield adjusted in tons per ha|CO_331:0001002","Storage root dry matter yield per NET plot in tons per ha|CO_331:0001000","Storage root dry matter yield adjusted per NET plot in tons per ha|CO_331:0001001","Biomass yield in tons per ha|CO_331:0001003","Biomass yield adjusted in tons per ha|CO_331:0001004"
"","","PEP2017SAT-OT01","","","","","","","","","PEP2017SAT-OT01-00021","","","","3","3","0.97","12","3.39","0.73","5","5.1894341","42.2787247","2.027956","1.2890596","119.4473877","105.6455078","51.4999275","5.4049902","8.5817118","13.7591429","0.646945","50.1","10.7","21.35728543","4.12","5.09","0.2825","4","4","1.373333333","1.373333333","0.323333333","0.323333333","80.94302554","100","0.87992016","50.22222222","50.22222222","61.03703704","61.03703704","14.37037037","14.37037037","13.03585422","13.03585422","75.40740741","75.40740741"
"","","PEP2017SAT-OT01","","","","","","","","","PEP2017SAT-OT01-00022","","","","3","3","1.68","8","1.85","0.69","5","6.4321318","53.0665512","2.3814771","1.6158624","76.7470703","127.6659851","45.7516785","2.2209053","3.9810729","24.9318123","0.5379934","50.2","10.9","21.71314741","2.54","4.22","0.23125","2.666666667","2.666666667","0.846666667","0.846666667","0.56","0.56","60.18957346","100","0.551513944","27.40740741","27.40740741","37.62962963","37.62962963","24.88888889","24.88888889","8.170576951","8.170576951","62.51851852","62.51851852"
"","","PEP2017SAT-OT01","","","","","","","","","PEP2017SAT-OT01-00023","","","","3","3","1.84","9","2.46","0.13","5","6.0497017","42.5697556","2.0721827","1.2453799","154.9078369","104.4276123","38.7333603","8.3661127","12.0939026","19.6001244","0.3954697","50.5","11.1","21.98019802","2.59","4.43","0.273333333","3","3","0.863333333","0.863333333","0.613333333","0.613333333","58.46501129","100","0.569287129","36.44444444","36.44444444","38.37037037","38.37037037","27.25925926","27.25925926","8.433883388","8.433883388","65.62962963","65.62962963"
"","","PEP2017SAT-OT01","","","","","","","","","PEP2017SAT-OT01-00024","","","","3","2","3.48","7","1.13","0.7","5","7.6279058","31.9392395","2.7097182","1.6296062","179.2008057","141.1153564","37.9818878","5.5536995","8.7697058","26.0371418","1.3855333","50.5","9.2","18.21782178","1.83","5.31","0.161428571","3.5","2.333333333","0.915","0.61","1.74","1.16","34.46327684","66.66666667","0.333386139","16.74074074","25.11111111","27.11111111","40.66666667","51.55555556","77.33333333","4.939053905","7.408580858","78.66666667","118"
"","","PEP2017SAT-OT01","","","","","","","","","PEP2017SAT-OT01-00025","","","","3","2","0.58","6","1.31","0","5","5.8179569","41.3796616","1.8313389","1.1162653","94.1043701","81.0523376","47.1469879","8.0562849","11.8656244","12.6443567","0.41329","50.3","10.9","21.66998012","1.31","1.89","0.218333333","3","2","0.655","0.436666667","0.29","0.193333333","69.31216931","66.66666667","0.28387674","19.40740741","29.11111111","19.40740741","29.11111111","8.592592593","12.88888889","4.205581327","6.30837199","28","42"
"","","PEP2017SAT-OT01","","","","","","","","","PEP2017SAT-OT01-00026","","","","3","3","2.91","11","3.36","0.5","5","4.419096","45.2624741","1.7902107","1.1427684","266.7462158","119.8544464","45.8322983","7.2288084","10.7658787","17.720892","1.0686522","50.5","12.1","23.96039604","3.86","6.77","0.305454545","3.666666667","3.666666667","1.286666667","1.286666667","0.97","0.97","57.01624815","100","0.924871287","49.77777778","49.77777778","57.18518519","57.18518519","43.11111111","43.11111111","13.70179685","13.70179685","100.2962963","100.2962963"
"","","PEP2017SAT-OT01","","","","","","","","","PEP2017SAT-OT01-00027","","","","3","3","2.05","10","2.36","0.4","5","6.2687349","0","1.4956594","1.1145515","77.4187012","83.839325","70.4529953","2.7233362","4.656146","2.4372368","0.3128738","50.4","17.4","34.52380952","2.76","4.81","0.236","3.333333333","3.333333333","0.92","0.92","0.683333333","0.683333333","57.38045738","100","0.952857143","34.96296296","34.96296296","40.88888889","40.88888889","30.37037037","30.37037037","14.11640212","14.11640212","71.25925926","71.25925926"
"","","PEP2017SAT-OT01","","","","","","","","","PEP2017SAT-OT01-00028","","","","3","3","1.68","15","2.74","0.35","5","4.8529797","30.0466003","2.0945754","1.2712879","107.1108398","95.6259003","46.3754578","8.6490374","12.7990179","9.9966354","0.4927912","50.2","9.5","18.92430279","3.09","4.77","0.182666667","5","5","1.03","1.03","0.56","0.56","64.77987421","100","0.584760956","40.59259259","40.59259259","45.77777778","45.77777778","24.88888889","24.88888889","8.663125277","8.663125277","70.66666667","70.66666667"
"","","PEP2017SAT-OT01","","","","","","","","","PEP2017SAT-OT01-00029","","","","3","3","1.93","18","5.7","0.21","5","5.1167088","27.9237976","1.9663496","1.1669497","108.0235596","112.1073914","50.2022858","6.7969522","10.5553703","13.793992","0.4160805","50.7","9.4","18.54043393","5.91","7.84","0.316666667","6","6","1.97","1.97","0.643333333","0.643333333","75.38265306","100","1.095739645","84.44444444","84.44444444","87.55555556","87.55555556","28.59259259","28.59259259","16.23317993","16.23317993","116.1481481","116.1481481"
"","","PEP2017SAT-OT01","","","","","","","","","PEP2017SAT-OT01-00030","","","","3","3","2.64","11","5.8","0.38","5","2.9900417","0","1.0622478","1.0004129","56.7047119","87.4741516","73.1854553","2.897604","4.8812237","3.1405425","0.0692635","50.2","16","31.87250996","6.18","8.82","0.527272727","3.666666667","3.666666667","2.06","2.06","0.88","0.88","70.06802721","100","1.969721116","85.92592593","85.92592593","91.55555556","91.55555556","39.11111111","39.11111111","29.18105356","29.18105356","130.6666667","130.6666667"
