"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Number of plants planted per NET plot|CO_331:0000678","Number of plants harvested per NET plot|CO_331:0000679","Weight of vines per NET plot in kg|CO_331:0000227","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Storage root appearance estimating 1-9 CIP|CO_331:0000202","Storage root dry matter content computing percent|CO_331:0000297","Content of protein in dry weight basis in raw storage roots measuring percentage|CO_331:0000278","Content of beta-carotene in dry weight basis in raw storage roots measuring mg per 100g|CO_331:0000289","Content of iron in dry weight basis measuring mg per 100g by NIRS|CO_331:0001016","Content of zinc in dry weight basis measuring mg per 100g by NIRS|CO_331:0001017","Content of calcium in dry weight basis measuring mg per 100g by NIRS|CO_331:0001029","Content of magnesium in dry weight basis measuring mg per 100g by NIRS|CO_331:0001030","Content of starch in dry weight basis in raw storage roots measuring percentage|CO_331:0000291","Content of fructose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001045","Content of glucose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001047","Content of sucrose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001049","Content of maltose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001051","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Number of storage roots after harvest per NET plot|CO_331:0000233","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Average total storage root weight computation kg|CO_331:0002040","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant harvested|CO_331:2000036","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant harvested|CO_331:0000681","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant harvested|CO_331:0000990","Vine weight in kg per plant planted|CO_331:0000991","Percentage of commercial storage root|CO_331:0000682","Harvest index computing percent|CO_331:0000302","Survival index computing percent|CO_331:0000301","Total storage root weight in dry weight basis per NET plot in kg|CO_331:0000995","Commercial storage root yield tons per ha|CO_331:0000809","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield computation tons per ha|CO_331:0000296","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield in tons per ha|CO_331:0000684","Total foliage yield adjusted in tons per ha|CO_331:0001002","Storage root dry matter yield per NET plot in tons per ha|CO_331:0001000","Storage root dry matter yield adjusted per NET plot in tons per ha|CO_331:0001001","Biomass yield in tons per ha|CO_331:0001003","Biomass yield adjusted in tons per ha|CO_331:0001004"
"","","PEP2011BEL-AT01","","","","","","","","","PEP2011BEL-AT01-00023","","","","20","13","3.2","4","35","1.1","0.2","7","27.34375","5.6466012","12.1910791","2.1569862","1.4293219","138.1712036","95.9913406","56.8778381","4.1036558","6.6743321","7.4354625","0","1.3","4.5","39","0.275","0.005714286","0.033333333","3","1.95","0.307692308","0.2","0.1","0.065","0.246153846","0.16","10.25641026","28.88888889","65","0.35546875","2.444444444","3.760683761","2.888888889","4.444444444","7.111111111","10.94017094","0.789930556","1.215277778","10","15.38461538"
"","","PEP2011BEL-AT01","","","","","","","","","PEP2011BEL-AT01-00024","","","","20","4","3.2","5","2","1","0.05","7","26.2745098","9.1712971","43.6660194","2.82391","1.7925702","182.5174713","125.9007797","51.7968979","3.3433254","5.630898","13.565856","0.6221531","1.05","4.25","7","0.2","0.025","0.15","1.75","0.35","1.25","0.25","0.2625","0.0525","0.8","0.16","71.42857143","24.70588235","20","0.275882353","2.222222222","11.11111111","2.333333333","11.66666667","7.111111111","35.55555556","0.613071895","3.065359477","9.444444444","47.22222222"
"","","PEP2011BEL-AT01","","","","","","","","","PEP2011BEL-AT01-00025","","","","20","10","3.5","23","16","5.5","0.6","1","28.85375494","6.8437853","29.9378128","2.3748345","1.4707968","183.7599335","119.6231384","55.8654404","2.8830121","5.211576","10.6441956","0.0222849","6.1","9.6","39","0.239130435","0.0375","0.156410256","3.9","1.95","2.3","1.15","0.61","0.305","0.35","0.175","58.97435897","63.54166667","50","1.760079051","12.22222222","24.44444444","13.55555556","27.11111111","7.777777778","15.55555556","3.911286781","7.822573562","21.33333333","42.66666667"
"","","PEP2011BEL-AT01","","","","","","","","","PEP2011BEL-AT01-00026","","","","20","14","2.8","11","5","2.5","0.2","7","28.0876494","9.3242521","28.0669079","2.6168506","1.5726768","172.1126099","128.6834564","55.1592751","2.1046338","3.9164495","12.4440365","0","2.7","5.5","16","0.227272727","0.04","0.16875","1.142857143","0.8","0.785714286","0.55","0.192857143","0.135","0.2","0.14","68.75","49.09090909","70","0.758366534","5.555555556","7.936507937","6","8.571428571","6.222222222","8.888888889","1.685258964","2.407512806","12.22222222","17.46031746"
"","","PEP2011BEL-AT01","","","","","","","","","PEP2011BEL-AT01-00027","","","","20","16","0.5","11","42","1.1","1.2","5","26.54690619","4.1657591","29.0534096","1.844825","1.1932783","89.3571396","88.7951202","55.759407","1.5871565","3.2278142","20.652813","0.5947955","2.3","2.8","53","0.1","0.028571429","0.043396226","3.3125","2.65","0.6875","0.55","0.14375","0.115","0.03125","0.025","20.75471698","82.14285714","80","0.610578842","2.444444444","3.055555556","5.111111111","6.388888889","1.111111111","1.388888889","1.356841872","1.69605234","6.222222222","7.777777778"
"","","PEP2011BEL-AT01","","","","","","","","","PEP2011BEL-AT01-00028","","","","20","18","2.4","21","27","2.4","0.6","5","27.18253968","5.9462318","29.4054146","2.1205089","1.346275","96.3019562","90.9939957","56.2377243","1.1879202","2.6706574","19.1363239","0.4566728","3","5.4","48","0.114285714","0.022222222","0.0625","2.666666667","2.4","1.166666667","1.05","0.166666667","0.15","0.133333333","0.12","43.75","55.55555556","90","0.81547619","5.333333333","5.925925926","6.666666667","7.407407407","5.333333333","5.925925926","1.812169312","2.013521458","12","13.33333333"
"","","PEP2011BEL-AT01","","","","","","","","","PEP2011BEL-AT01-00029","","","","20","2","0.5","0","0","0","0","9","28.48605578","4.6069508","25.6024952","1.7345709","1.0882447","144.3150024","104.2364655","58.1079178","4.0554295","6.2782645","10.5422306","0.3585074","0","0.5","0","","","","0","0","0","0","0","0","0.25","0.025","","0","10","0","0","0","0","0","1.111111111","11.11111111","0","0","1.111111111","11.11111111"
"","","PEP2011BEL-AT01","","","","","","","","","PEP2011BEL-AT01-00030","","","","20","","0.5","","","","","","29.30693069","4.4456296","27.8626232","1.7770913","1.174509","109.9729385","94.6392136","62.3227844","1.9676788","3.8072896","10.8665409","0.2577712","","","","","","","","","","","","","","0.025","","","","","","","","","1.111111111","","","","",""
"","","PEP2011BEL-AT01","","","","","","","","","PEP2011BEL-AT01-00031","","","","20","6","3.2","9","10","2.4","0.5","3","24.21259843","6.2959285","26.6891079","2.3443484","1.4923069","100.8808136","95.617691","54.6414642","2.6926785","4.9474392","14.2432346","0.5107449","2.9","6.1","19","0.266666667","0.05","0.152631579","3.166666667","0.95","1.5","0.45","0.483333333","0.145","0.533333333","0.16","47.36842105","47.54098361","30","0.702165354","5.333333333","17.77777778","6.444444444","21.48148148","7.111111111","23.7037037","1.560367454","5.201224848","13.55555556","45.18518519"
"","","PEP2011BEL-AT01","","","","","","","","","PEP2011BEL-AT01-00032","","","","20","6","1.6","12","2","2.9","0.09","7","27.2","6.3786426","17.3468456","2.3418181","1.5373487","233.7264709","136.0763092","52.9530907","2.3587716","4.7053547","17.1637001","0.3925588","2.99","4.59","14","0.241666667","0.045","0.213571429","2.333333333","0.7","2","0.6","0.498333333","0.1495","0.266666667","0.08","85.71428571","65.1416122","30","0.81328","6.444444444","21.48148148","6.644444444","22.14814815","3.555555556","11.85185185","1.807288889","6.024296296","10.2","34"
