"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Number of plants planted per NET plot|CO_331:0000678","Number of plants harvested per NET plot|CO_331:0000679","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Weight of vines per NET plot in kg|CO_331:0000227","Storage root dry matter content computing percent|CO_331:0000297","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Number of storage roots after harvest per NET plot|CO_331:0000233","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Average total storage root weight computation kg|CO_331:0002040","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant harvested|CO_331:2000036","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant harvested|CO_331:0000681","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant harvested|CO_331:0000990","Vine weight in kg per plant planted|CO_331:0000991","Percentage of commercial storage root|CO_331:0000682","Harvest index computing percent|CO_331:0000302","Survival index computing percent|CO_331:0000301","Total storage root weight in dry weight basis per NET plot in kg|CO_331:0000995","Commercial storage root yield tons per ha|CO_331:0000809","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield computation tons per ha|CO_331:0000296","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield in tons per ha|CO_331:0000684","Total foliage yield adjusted in tons per ha|CO_331:0001002","Storage root dry matter yield per NET plot in tons per ha|CO_331:0001000","Storage root dry matter yield adjusted per NET plot in tons per ha|CO_331:0001001","Biomass yield in tons per ha|CO_331:0001003","Biomass yield adjusted in tons per ha|CO_331:0001004","treatment_dap100","treatment_dap120"
"","","PEP2013CSR-AT02","","","","","","","","","PEP2013CSR-AT02-00021","","","","10","8","16","14","3.15","0.62","5.11","31.11598684","3.77","8.88","30","0.196875","0.044285714","0.125666667","3.75","3","2","1.6","0.47125","0.377","0.63875","0.511","53.33333333","42.45495495","80","1.173072704","14","17.5","16.75555556","20.94444444","22.71111111","28.38888889","5.213656462","6.517070577","39.46666667","49.33333333","1",""
"","","PEP2013CSR-AT02","","","","","","","","","PEP2013CSR-AT02-00022","","","","10","9","14","29","2.68","1.15","4.14","29.68111609","3.83","7.97","43","0.191428571","0.039655172","0.089069767","4.777777778","4.3","1.555555556","1.4","0.425555556","0.383","0.46","0.414","32.55813953","48.05520703","90","1.136786746","11.91111111","13.2345679","17.02222222","18.91358025","18.4","20.44444444","5.052385539","5.61376171","35.42222222","39.35802469","1",""
"","","PEP2013CSR-AT02","","","","","","","","","PEP2013CSR-AT02-00023","","","","10","9","21","6","6.88","0.43","4.18","29.60051739","7.31","11.49","27","0.327619048","0.071666667","0.270740741","3","2.7","2.333333333","2.1","0.812222222","0.731","0.464444444","0.418","77.77777778","63.6205396","90","2.163797821","30.57777778","33.97530864","32.48888889","36.09876543","18.57777778","20.64197531","9.616879205","10.68542134","51.06666667","56.74074074","","1"
"","","PEP2013CSR-AT02","","","","","","","","","PEP2013CSR-AT02-00024","","","","10","9","28","6","5.64","0.17","3.47","30.49401198","5.81","9.28","34","0.201428571","0.028333333","0.170882353","3.777777778","3.4","3.111111111","2.8","0.645555556","0.581","0.385555556","0.347","82.35294118","62.60775862","90","1.771702096","25.06666667","27.85185185","25.82222222","28.69135802","15.42222222","17.13580247","7.874231538","8.749146153","41.24444444","45.82716049","","1"
"","","PEP2013CSR-AT02","","","","","","","","","PEP2013CSR-AT02-00025","","","","10","7","10","9","2.52","0.13","7.5","29.11028501","2.65","10.15","19","0.252","0.014444444","0.139473684","2.714285714","1.9","1.428571429","1","0.378571429","0.265","1.071428571","0.75","52.63157895","26.10837438","70","0.771422553","11.2","16","11.77777778","16.82539683","33.33333333","47.61904762","3.428544679","4.89792097","45.11111111","64.44444444","1",""
"","","PEP2013CSR-AT02","","","","","","","","","PEP2013CSR-AT02-00026","","","","10","9","25","15","2.9","0.45","5.7","28.62068966","3.35","9.05","40","0.116","0.03","0.08375","4.444444444","4","2.777777778","2.5","0.372222222","0.335","0.633333333","0.57","62.5","37.01657459","90","0.958793104","12.88888889","14.32098765","14.88888889","16.54320988","25.33333333","28.14814815","4.261302683","4.734780759","40.22222222","44.69135802","1",""
"","","PEP2013CSR-AT02","","","","","","","","","PEP2013CSR-AT02-00027","","","","10","8","21","13","4.85","0.32","4.01","29.73763825","5.17","9.18","34","0.230952381","0.024615385","0.152058824","4.25","3.4","2.625","2.1","0.64625","0.517","0.50125","0.401","61.76470588","56.31808279","80","1.537435898","21.55555556","26.94444444","22.97777778","28.72222222","17.82222222","22.27777778","6.833048433","8.541310542","40.8","51","","1"
"","","PEP2013CSR-AT02","","","","","","","","","PEP2013CSR-AT02-00028","","","","10","10","18","17","4.06","0.73","3.83","31.74104023","4.79","8.62","35","0.225555556","0.042941176","0.136857143","3.5","3.5","1.8","1.8","0.479","0.479","0.383","0.383","51.42857143","55.56844548","100","1.520395827","18.04444444","18.04444444","21.28888889","21.28888889","17.02222222","17.02222222","6.757314787","6.757314787","38.31111111","38.31111111","","1"
"","","PEP2013CSR-AT02","","","","","","","","","PEP2013CSR-AT02-00029","","","","10","7","10","16","1.87","0.79","2.47","28.60062815","2.66","5.13","26","0.187","0.049375","0.102307692","3.714285714","2.6","1.428571429","1","0.38","0.266","0.352857143","0.247","38.46153846","51.85185185","70","0.760776709","8.311111111","11.87301587","11.82222222","16.88888889","10.97777778","15.68253968","3.381229817","4.83032831","22.8","32.57142857","1",""
"","","PEP2013CSR-AT02","","","","","","","","","PEP2013CSR-AT02-00030","","","","10","7","3","9","0.45","0.27","2.49","29.0425585","0.72","3.21","12","0.15","0.03","0.06","1.714285714","1.2","0.428571429","0.3","0.102857143","0.072","0.355714286","0.249","25","22.42990654","70","0.209106421","2","2.857142857","3.2","4.571428571","11.06666667","15.80952381","0.929361872","1.327659817","14.26666667","20.38095238","1",""
