"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Number of plants planted per NET plot|CO_331:0000678","Number of plants harvested per NET plot|CO_331:0000679","Weight of vines per NET plot in kg|CO_331:0000227","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Storage root dry matter content computing percent|CO_331:0000297","Content of protein in dry weight basis in raw storage roots measuring percentage|CO_331:0000278","Content of beta-carotene in dry weight basis in raw storage roots measuring mg per 100g|CO_331:0000289","Content of iron in dry weight basis measuring mg per 100g by NIRS|CO_331:0001016","Content of zinc in dry weight basis measuring mg per 100g by NIRS|CO_331:0001017","Content of calcium in dry weight basis measuring mg per 100g by NIRS|CO_331:0001029","Content of magnesium in dry weight basis measuring mg per 100g by NIRS|CO_331:0001030","Content of starch in dry weight basis in raw storage roots measuring percentage|CO_331:0000291","Content of fructose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001045","Content of glucose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001047","Content of sucrose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001049","Content of maltose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001051","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Number of storage roots after harvest per NET plot|CO_331:0000233","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Average total storage root weight computation kg|CO_331:0002040","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant harvested|CO_331:2000036","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant harvested|CO_331:0000681","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant harvested|CO_331:0000990","Vine weight in kg per plant planted|CO_331:0000991","Percentage of commercial storage root|CO_331:0000682","Harvest index computing percent|CO_331:0000302","Survival index computing percent|CO_331:0000301","Total storage root weight in dry weight basis per NET plot in kg|CO_331:0000995","Commercial storage root yield tons per ha|CO_331:0000809","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield computation tons per ha|CO_331:0000296","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield in tons per ha|CO_331:0000684","Total foliage yield adjusted in tons per ha|CO_331:0001002","Storage root dry matter yield per NET plot in tons per ha|CO_331:0001000","Storage root dry matter yield adjusted per NET plot in tons per ha|CO_331:0001001","Biomass yield in tons per ha|CO_331:0001003","Biomass yield adjusted in tons per ha|CO_331:0001004"
"","","PEP2011SPE-AT01","","","","","","","","","PEP2011SPE-AT01-00021","","","","20","15","3.8","57","21","14.36","0.75","28.11881188","4.1730752","23.7378006","1.6671315","1.0821514","81.479805","74.7082138","64.9427567","1.4266292","2.4606819","10.7541113","0","15.11","18.91","78","0.251929825","0.035714286","0.193717949","5.2","3.9","3.8","2.85","1.007333333","0.7555","0.253333333","0.19","73.07692308","79.90481227","75","4.248752475","31.91111111","42.54814815","33.57777778","44.77037037","8.444444444","11.25925926","9.441672167","12.58889622","42.02222222","56.02962963"
"","","PEP2011SPE-AT01","","","","","","","","","PEP2011SPE-AT01-00022","","","","20","16","9.2","55","31","17.13","1.56","26.47058824","4.2864943","26.3125229","1.6980292","1.1602083","95.9762955","73.2855682","65.1163635","1.3341799","2.1350071","11.1490002","0","18.69","27.89","86","0.311454545","0.050322581","0.217325581","5.375","4.3","3.4375","2.75","1.168125","0.9345","0.575","0.46","63.95348837","67.0132664","80","4.947352942","38.06666667","47.58333333","41.53333333","51.91666667","20.44444444","25.55555556","10.99411765","13.74264706","61.97777778","77.47222222"
"","","PEP2011SPE-AT01","","","","","","","","","PEP2011SPE-AT01-00023","","","","20","14","7.6","30","50","5.14","1.76","25.89641434","4.7007627","17.331892","1.9895931","1.2270005","142.1265106","97.7828979","60.0948486","3.4418068","5.0024147","10.2493191","0.0713106","6.9","14.5","80","0.171333333","0.0352","0.08625","5.714285714","4","2.142857143","1.5","0.492857143","0.345","0.542857143","0.38","37.5","47.5862069","70","1.786852589","11.42222222","16.31746032","15.33333333","21.9047619","16.88888889","24.12698413","3.970783532","5.672547903","32.22222222","46.03174603"
"","","PEP2011SPE-AT01","","","","","","","","","PEP2011SPE-AT01-00024","","","","20","14","7.2","30","95","3.4","2.86","31.18908382","3.7072854","13.4916553","1.7512795","1.0730278","156.6766663","96.4067307","64.5244827","3.4982789","4.9505906","6.5881743","0.0657959","6.26","13.46","125","0.113333333","0.030105263","0.05008","8.928571429","6.25","2.142857143","1.5","0.447142857","0.313","0.514285714","0.36","24","46.50817236","70","1.952436647","7.555555556","10.79365079","13.91111111","19.87301587","16","22.85714286","4.338748105","6.198211578","29.91111111","42.73015873"
"","","PEP2011SPE-AT01","","","","","","","","","PEP2011SPE-AT01-00025","","","","20","12","1.18","41","7","7.82","0.24","26.2745098","7.2729797","28.9831142","2.5354202","1.4155211","110.304451","114.2368469","56.3656349","1.7731898","3.00914","11.5350533","0","8.06","9.24","48","0.190731707","0.034285714","0.167916667","4","2.4","3.416666667","2.05","0.671666667","0.403","0.098333333","0.059","85.41666667","87.22943723","60","2.11772549","17.37777778","28.96296296","17.91111111","29.85185185","2.622222222","4.37037037","4.706056644","7.84342774","20.53333333","34.22222222"
"","","PEP2011SPE-AT01","","","","","","","","","PEP2011SPE-AT01-00026","","","","20","18","3.42","14","26","2.94","1.39","31.67330677","4.4030366","22.1896687","1.7716303","1.1037136","166.4667816","116.5553131","63.6020622","1.4926348","2.5586171","10.2009621","0","4.33","7.75","40","0.21","0.053461538","0.10825","2.222222222","2","0.777777778","0.7","0.240555556","0.2165","0.19","0.171","35","55.87096774","90","1.371454183","6.533333333","7.259259259","9.622222222","10.69135802","7.6","8.444444444","3.047675963","3.386306625","17.22222222","19.13580247"
"","","PEP2011SPE-AT01","","","","","","","","","PEP2011SPE-AT01-00027","","","","20","12","2.37","30","35","4.75","1.28","29.42345924","4.6739998","24.6216106","1.8544341","1.1202388","106.9593201","87.0614014","63.3217087","1.6108506","2.3894169","11.0251455","0","6.03","8.4","65","0.158333333","0.036571429","0.092769231","5.416666667","3.25","2.5","1.5","0.5025","0.3015","0.1975","0.1185","46.15384615","71.78571429","60","1.774234592","10.55555556","17.59259259","13.4","22.33333333","5.266666667","8.777777778","3.942743538","6.57123923","18.66666667","31.11111111"
"","","PEP2011SPE-AT01","","","","","","","","","PEP2011SPE-AT01-00028","","","","20","15","6.87","42","40","8.8","1.6","31.61033797","4.3676929","32.1278496","1.6715868","1.0189397","98.6519699","79.5468674","65.4608307","1.7375129","2.9659636","10.2535858","0.0862113","10.4","17.27","82","0.20952381","0.04","0.126829268","5.466666667","4.1","2.8","2.1","0.693333333","0.52","0.458","0.3435","51.2195122","60.22003474","75","3.287475149","19.55555556","26.07407407","23.11111111","30.81481481","15.26666667","20.35555556","7.305500331","9.740667108","38.37777778","51.17037037"
"","","PEP2011SPE-AT01","","","","","","","","","PEP2011SPE-AT01-00029","","","","20","8","1.8","19","8","6","0.34","28.88015717","4.7515488","33.0703545","1.8387229","1.104313","68.7342529","78.4357224","62.283638","1.7813965","3.0571139","12.0662155","0","6.34","8.14","27","0.315789474","0.0425","0.234814815","3.375","1.35","2.375","0.95","0.7925","0.317","0.225","0.09","70.37037037","77.88697789","40","1.831001965","13.33333333","33.33333333","14.08888889","35.22222222","4","10","4.068893255","10.17223314","18.08888889","45.22222222"
"","","PEP2011SPE-AT01","","","","","","","","","PEP2011SPE-AT01-00030","","","","20","17","2.52","33","22","5.6","0.81","27.27272727","4.9753799","23.440155","1.840874","1.0655854","80.876503","86.9357681","61.274189","2.5280027","3.8522542","10.4447241","0","6.41","8.93","55","0.16969697","0.036818182","0.116545455","3.235294118","2.75","1.941176471","1.65","0.377058824","0.3205","0.148235294","0.126","60","71.78051512","85","1.748181818","12.44444444","14.64052288","14.24444444","16.75816993","5.6","6.588235294","3.884848484","4.570409982","19.84444444","23.34640523"
