"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Number of plants planted per NET plot|CO_331:0000678","Number of plants established per NET plot|CO_331:0000192","Virus symptoms estimating 1-9|month 1|after planting|COMP:0000023","Virus symptoms estimating 1-9|month 1|before harvest|COMP:0000024","Number of plants harvested per NET plot|CO_331:0000679","Weight of vines per NET plot in kg|CO_331:0000227","Number of commercial storage roots per NET plot|CO_331:0000214","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Storage root appearance estimating 1-9 CIP|CO_331:0000202","Fresh weight of storage root samples measuring g|CO_331:0000243","Dry weight of storage root samples measuring g|CO_331:0000247","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Average commercial storage root weight computation kg|CO_331:0000680","Number of commercial storage roots per plant harvested|CO_331:2000036","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant harvested|CO_331:0000681","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant harvested|CO_331:0000990","Vine weight in kg per plant planted|CO_331:0000991","Harvest index computing percent|CO_331:0000302","Survival index computing percent|CO_331:0000301","Storage root dry matter content computing percent|CO_331:0000297","Total storage root weight in dry weight basis per NET plot in kg|CO_331:0000995","Commercial storage root yield tons per ha|CO_331:0000809","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield computation tons per ha|CO_331:0000296","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield in tons per ha|CO_331:0000684","Total foliage yield adjusted in tons per ha|CO_331:0001002","Storage root dry matter yield per NET plot in tons per ha|CO_331:0001000","Storage root dry matter yield adjusted per NET plot in tons per ha|CO_331:0001001","Biomass yield in tons per ha|CO_331:0001003","Biomass yield adjusted in tons per ha|CO_331:0001004","Content of beta-carotene in fresh weight basis in raw storage roots estimating from RHS color chart in mg per 100g|CO_331:0001023"
"","","PEP2019HUA-ST05","","","","","","","","","PEP2019HUA-ST05-00026","","","","30","30","1","6","21","58.75","0","0","1.05","7","","","1.05","59.8","","0","0","0.05","0.035","2.797619048","1.958333333","1.755852843","70","","","0","0","1.555555556","2.222222222","87.03703704","124.3386243","","","88.59259259","126.5608466",""
"","","PEP2019HUA-ST05","","","","","","","","","PEP2019HUA-ST05-00027","","","","30","30","2","3","26","48.52","1","0.4","1.11","7","157.07","34.07","1.51","50.03","0.4","0.038461538","0.033333333","0.058076923","0.050333333","1.866153846","1.617333333","3.018189087","86.66666667","21.69096581","0.327533584","0.592592593","0.683760684","2.237037037","2.581196581","71.88148148","82.94017094","0.485234939","0.559886468","74.11851852","85.52136752","7.76"
"","","PEP2019HUA-ST05","","","","","","","","","PEP2019HUA-ST05-00028","","","","30","29","1","3","27","29.12","50","18.43","1.03","4","158.05","38.95","19.46","48.58","0.3686","1.851851852","1.666666667","0.720740741","0.648666667","1.078518519","0.970666667","40.05763689","90","24.64409997","4.795741854","27.3037037","30.33744856","28.82962963","32.03292181","43.14074074","47.93415638","7.104802746","7.894225274","71.97037037","79.96707819","4.92"
"","","PEP2019HUA-ST05","","","","","","","","","PEP2019HUA-ST05-00029","","","","30","29","2","5","24","34.53","19","9.71","0.6","6","157.13","35.06","10.31","44.84","0.511052632","0.791666667","0.633333333","0.429583333","0.343666667","1.43875","1.151","22.99286351","80","22.31273468","2.300442945","14.38518519","17.98148148","15.27407407","19.09259259","51.15555556","63.94444444","3.408063623","4.260079528","66.42962963","83.03703704","1.32"
"","","PEP2019HUA-ST05","","","","","","","","","PEP2019HUA-ST05-00030","","","","30","30","1","2","26","36.54","36","18.89","0.81","4","157.07","37.61","19.7","56.24","0.524722222","1.384615385","1.2","0.757692308","0.656666667","1.405384615","1.218","35.0284495","86.66666667","23.94473801","4.717113389","27.98518519","32.29059829","29.18518519","33.67521368","54.13333333","62.46153846","6.988316132","8.06344169","83.31851852","96.13675214","1.76"
"","","PEP2019HUA-ST05","","","","","","","","","PEP2019HUA-ST05-00031","","","","30","24","1","1","22","59.08","20","4.02","1.89","6","158.68","35.79","5.91","64.99","0.201","0.909090909","0.666666667","0.268636364","0.197","2.685454545","1.969333333","9.093706724","73.33333333","22.55482733","1.332990295","5.955555556","8.121212121","8.755555556","11.93939394","87.52592593","119.3535354","1.974800437","2.692909687","96.28148148","131.2929293","1.76"
"","","PEP2019HUA-ST05","","","","","","","","","PEP2019HUA-ST05-00032","","","","30","29","1","1","26","29.34","63","12.7","4.81","5","157.76","33.34","17.51","46.85","0.201587302","2.423076923","2.1","0.673461538","0.583666667","1.128461538","0.978","37.37459979","86.66666667","21.13336714","3.700452586","18.81481481","21.70940171","25.94074074","29.93162393","43.46666667","50.15384615","5.48215198","6.325559976","69.40740741","80.08547009","0.02"
"","","PEP2019HUA-ST05","","","","","","","","","PEP2019HUA-ST05-00033","","","","30","25","2","1","25","25.19","57","11.72","3.71","6","158.24","37.23","15.43","40.62","0.205614035","2.28","1.9","0.6172","0.514333333","1.0076","0.839666667","37.98621369","83.33333333","23.52755308","3.630301441","17.36296296","20.83555556","22.85925926","27.43111111","37.31851852","44.78222222","5.378224357","6.453869228","60.17777778","72.21333333","0.02"
"","","PEP2019HUA-ST05","","","","","","","","","PEP2019HUA-ST05-00034","","","","30","21","3","8","12","20.52","7","0.99","0.18","6","158.02","36.28","1.17","21.69","0.141428571","0.583333333","0.233333333","0.0975","0.039","1.71","0.684","5.394190871","40","22.9591191","0.268621693","1.466666667","3.666666667","1.733333333","4.333333333","30.4","76","0.397958064","0.994895161","32.13333333","80.33333333","7.23"
"","","PEP2019HUA-ST05","","","","","","","","","PEP2019HUA-ST05-00035","","","","30","26","3","7","23","25.14","20","4.64","2.43","5","159.79","36.9","7.07","32.21","0.232","0.869565217","0.666666667","0.307391304","0.235666667","1.093043478","0.838","21.94970506","76.66666667","23.09280931","1.632661618","6.874074074","8.966183575","10.47407407","13.66183575","37.24444444","48.57971014","2.418757953","3.154901678","47.71851852","62.24154589","4.92"
"","","PEP2019HUA-ST05","","","","","","","","","PEP2019HUA-ST05-00036","","","","30","27","3","8","24","18.44","27","5.37","3.59","6","159.85","36.95","8.96","27.4","0.198888889","1.125","0.9","0.373333333","0.298666667","0.768333333","0.614666667","32.70072993","80","23.11542071","2.071141695","7.955555556","9.944444444","13.27407407","16.59259259","27.31851852","34.14814815","3.068358067","3.835447584","40.59259259","50.74074074","11.03"
"","","PEP2019HUA-ST05","","","","","","","","","PEP2019HUA-ST05-00037","","","","30","27","1","5","19","33.29","11","3.82","0.95","6","156.64","48.62","4.77","38.06","0.347272727","0.578947368","0.366666667","0.251052632","0.159","1.752105263","1.109666667","12.53284288","63.33333333","31.03932584","1.480575843","5.659259259","8.935672515","7.066666667","11.15789474","49.31851852","77.87134503","2.193445693","3.463335305","56.38518519","89.02923977","1.04"
"","","PEP2019HUA-ST05","","","","","","","","","PEP2019HUA-ST05-00038","","","","30","30","2","6","20","21.49","23","6.71","1.01","6","159.62","51.52","7.72","29.21","0.29173913","1.15","0.766666667","0.386","0.257333333","1.0745","0.716333333","26.42930503","66.66666667","32.27665706","2.491757925","9.940740741","14.91111111","11.43703704","17.15555556","31.83703704","47.75555556","3.691493222","5.537239833","43.27407407","64.91111111","1.32"
"","","PEP2019HUA-ST05","","","","","","","","","PEP2019HUA-ST05-00039","","","","30","26","1","5","23","32.29","35","8.22","1.39","5","159.07","51.31","9.61","41.9","0.234857143","1.52173913","1.166666667","0.417826087","0.320333333","1.403913043","1.076333333","22.93556086","76.66666667","32.25623939","3.099824606","12.17777778","15.88405797","14.23703704","18.57004831","47.83703704","62.39613527","4.592332749","5.989999238","62.07407407","80.96618357","1.04"
"","","PEP2019HUA-ST05","","","","","","","","","PEP2019HUA-ST05-00040","","","","30","27","1","1","26","25.54","94","20.57","4.21","4","159.59","37.31","24.78","50.32","0.218829787","3.615384615","3.133333333","0.953076923","0.826","0.982307692","0.851333333","49.24483307","86.66666667","23.37865781","5.793231405","30.47407407","35.16239316","36.71111111","42.35897436","37.83703704","43.65811966","8.582565045","9.902959667","74.54814815","86.01709402","6.12"
"","","PEP2019HUA-ST05","","","","","","","","","PEP2019HUA-ST05-00041","","","","30","29","1","1","29","17.72","58","13.08","3.32","5","159.34","37.01","16.4","34.12","0.225517241","2","1.933333333","0.565517241","0.546666667","0.611034483","0.590666667","48.06565064","96.66666667","23.22706163","3.809238107","19.37777778","20.04597701","24.2962963","25.13409962","26.25185185","27.15708812","5.643315714","5.837912808","50.54814815","52.29118774","6.12"
"","","PEP2019HUA-ST05","","","","","","","","","PEP2019HUA-ST05-00042","","","","30","28","1","1","28","31.44","104","18.08","3.42","4","156.29","39.63","21.5","52.94","0.173846154","3.714285714","3.466666667","0.767857143","0.716666667","1.122857143","1.048","40.6120136","93.33333333","25.35670868","5.451692367","26.78518519","28.6984127","31.85185185","34.12698413","46.57777778","49.9047619","8.076581284","8.653479947","78.42962963","84.03174603","5.46"
"","","PEP2019HUA-ST05","","","","","","","","","PEP2019HUA-ST05-00043","","","","30","26","4","5","26","52.88","15","2.07","1.32","6","159.79","47.33","3.39","56.27","0.138","0.576923077","0.5","0.130384615","0.113","2.033846154","1.762666667","6.024524613","86.66666667","29.62012642","1.004122285","3.066666667","3.538461538","5.022222222","5.794871795","78.34074074","90.39316239","1.487588571","1.716448351","83.36296296","96.18803419","1.04"
"","","PEP2019HUA-ST05","","","","","","","","","PEP2019HUA-ST05-00044","","","","30","24","6","7","23","52.34","9","1.98","0.88","6","158.02","42.15","2.86","55.2","0.22","0.391304348","0.3","0.124347826","0.095333333","2.275652174","1.744666667","5.18115942","76.66666667","26.67383875","0.762871788","2.933333333","3.826086957","4.237037037","5.526570048","77.54074074","101.1400966","1.130180427","1.474148383","81.77777778","106.6666667","1.04"
"","","PEP2019HUA-ST05","","","","","","","","","PEP2019HUA-ST05-00045","","","","30","28","6","6","27","33.12","18","3.13","3.28","6","158.07","47.01","6.41","39.53","0.173888889","0.666666667","0.6","0.237407407","0.213666667","1.226666667","1.104","16.21553251","90","29.73998861","1.90633327","4.637037037","5.152263374","9.496296296","10.55144033","49.06666667","54.51851852","2.824197437","3.137997152","58.56296296","65.06995885","1.76"
"","","PEP2019HUA-ST05","","","","","","","","","PEP2019HUA-ST05-00046","","","","30","30","3","6","25","24.2","43","9.36","2.05","6","158.5","41.82","11.41","35.61","0.217674419","1.72","1.433333333","0.4564","0.380333333","0.968","0.806666667","32.04156136","83.33333333","26.38485804","3.010512303","13.86666667","16.64","16.9037037","20.28444444","35.85185185","43.02222222","4.460018226","5.352021872","52.75555556","63.30666667","1.32"
"","","PEP2019HUA-ST05","","","","","","","","","PEP2019HUA-ST05-00047","","","","30","30","4","4","28","30.58","45","7.81","2.89","5","158.13","43.34","10.7","41.28","0.173555556","1.607142857","1.5","0.382142857","0.356666667","1.092142857","1.019333333","25.92054264","93.33333333","27.407829","2.932637703","11.57037037","12.3968254","15.85185185","16.98412698","45.3037037","48.53968254","4.344648449","4.654980481","61.15555556","65.52380952","3.96"
"","","PEP2019HUA-ST05","","","","","","","","","PEP2019HUA-ST05-00048","","","","30","26","3","7","26","18.34","88","15.28","2.48","5","157.12","41.37","17.76","36.1","0.173636364","3.384615385","2.933333333","0.683076923","0.592","0.705384615","0.611333333","49.1966759","86.66666667","26.33019348","4.676242363","22.63703704","26.11965812","26.31111111","30.35897436","27.17037037","31.35042735","6.927766463","7.993576688","53.48148148","61.70940171","4.92"
"","","PEP2019HUA-ST05","","","","","","","","","PEP2019HUA-ST05-00049","","","","30","14","3","5","14","22.74","10","3.52","0","6","157.78","47.36","3.52","26.26","0.352","0.714285714","0.333333333","0.251428571","0.117333333","1.624285714","0.758","13.40441736","46.66666667","30.01647864","1.056580048","5.214814815","11.17460317","5.214814815","11.17460317","33.68888889","72.19047619","1.565303775","3.354222375","38.9037037","83.36507937","1.32"
"","","PEP2019HUA-ST05","","","","","","","","","PEP2019HUA-ST05-00050","","","","30","20","1","2","17","10.27","35","10.28","0.61","4","158.37","44.16","10.89","21.16","0.293714286","2.058823529","1.166666667","0.640588235","0.363","0.604117647","0.342333333","51.46502836","56.66666667","27.88406895","3.036575109","15.22962963","26.87581699","16.13333333","28.47058824","15.21481481","26.8496732","4.498629791","7.938758455","31.34814815","55.32026144","6.12"
"","","PEP2019HUA-ST05","","","","","","","","","PEP2019HUA-ST05-00051","","","","30","21","3","6","20","9.89","33","10.14","0.79","4","159.88","46.04","10.93","20.82","0.307272727","1.65","1.1","0.5465","0.364333333","0.4945","0.329666667","52.49759846","66.66666667","28.79659745","3.147468101","15.02222222","22.53333333","16.19259259","24.28888889","14.65185185","21.97777778","4.662915705","6.994373558","30.84444444","46.26666667","3.96"
"","","PEP2019HUA-ST05","","","","","","","","","PEP2019HUA-ST05-00052","","","","30","25","6","7","20","12.32","7","1.4","0.41","6","158.67","46.19","1.81","14.13","0.2","0.35","0.233333333","0.0905","0.060333333","0.616","0.410666667","12.80962491","66.66666667","29.11073297","0.526904267","2.074074074","3.111111111","2.681481481","4.022222222","18.25185185","27.37777778","0.780598914","1.17089837","20.93333333","31.4","0"
"","","PEP2019HUA-ST05","","","","","","","","","PEP2019HUA-ST05-00053","","","","30","29","2","7","23","13.04","2","0.65","0.42","6","158.32","47.52","1.07","14.11","0.325","0.086956522","0.066666667","0.046521739","0.035666667","0.566956522","0.434666667","7.583274274","76.66666667","30.01515917","0.321162203","0.962962963","1.256038647","1.585185185","2.06763285","19.31851852","25.19806763","0.475795856","0.620603291","20.9037037","27.26570048","1.04"
"","","PEP2019HUA-ST05","","","","","","","","","PEP2019HUA-ST05-00054","","","","30","26","4","9","20","8.98","11","2.19","0.19","6","157.68","44.24","2.38","11.36","0.199090909","0.55","0.366666667","0.119","0.079333333","0.449","0.299333333","20.95070423","66.66666667","28.05682395","0.66775241","3.244444444","4.866666667","3.525925926","5.288888889","13.3037037","19.95555556","0.98926283","1.483894244","16.82962963","25.24444444","0"
"","","PEP2019HUA-ST05","","","","","","","","","PEP2019HUA-ST05-00055","","","","30","28","6","8","21","60.24","17","4.96","0.66","6","158.34","42.78","5.62","65.86","0.291764706","0.80952381","0.566666667","0.267619048","0.187333333","2.868571429","2.008","8.533252353","70","27.01780978","1.518400909","7.348148148","10.4973545","8.325925926","11.89417989","89.24444444","127.4920635","2.249482829","3.213546898","97.57037037","139.3862434","0.02"
"","","PEP2019HUA-ST05","","","","","","","","","PEP2019HUA-ST05-00056","","","","30","26","6","8","19","26.78","25","6.64","0.32","6","159.62","43.21","6.96","33.74","0.2656","1.315789474","0.833333333","0.366315789","0.232","1.409473684","0.892666667","20.62833432","63.33333333","27.07054254","1.884109761","9.837037037","15.53216374","10.31111111","16.28070175","39.67407407","62.64327485","2.79127372","4.407274294","49.98518519","78.92397661","1.04"
"","","PEP2019HUA-ST05","","","","","","","","","PEP2019HUA-ST05-00057","","","","30","20","7","8","18","23.96","9","3.61","0.86","6","158.43","42.9","4.47","28.43","0.401111111","0.5","0.3","0.248333333","0.149","1.331111111","0.798666667","15.722828","60","27.07820489","1.210395758","5.348148148","8.913580247","6.622222222","11.03703704","35.4962963","59.16049383","1.793178901","2.988631502","42.11851852","70.19753086","0.02"
