"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Number of plants planted per NET plot|CO_331:0000678","Number of plants established per NET plot|CO_331:0000192","Virus symptoms estimating 1-9|month 1|after planting|COMP:0000023","Virus symptoms estimating 1-9|month 1|before harvest|COMP:0000024","Vine vigor estimating 1-9|CO_331:0000197","Alternaria symptoms estimating 1-9|month 1|before harvest|COMP:0000022","Alternaria symptoms estimating 1-9|month 1|after planting|COMP:0000026","Number of plants harvested per NET plot|CO_331:0000679","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Weight of vines per NET plot in kg|CO_331:0000227","Storage root skin predominant color estimating 1-9 CIP|CO_331:0000175","Reaction to sweet potato weevil estimating 1-9|CO_331:0000207","Sprouting ability estimating 1-9|CO_331:0000277","Storage root appearance estimating 1-9 CIP|CO_331:0000202","Storage root size estimating 1-9|CO_331:0000184","Content of beta-carotene in fresh weight basis in raw storage roots estimating from RHS color chart in mg per 100g|CO_331:0001023","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Number of storage roots after harvest per NET plot|CO_331:0000233","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant harvested|CO_331:2000036","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant harvested|CO_331:0000681","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant harvested|CO_331:0000990","Vine weight in kg per plant planted|CO_331:0000991","Percentage of commercial storage root|CO_331:0000682","Harvest index computing percent|CO_331:0000302","Survival index computing percent|CO_331:0000301","Average total storage root weight computation kg|CO_331:0002040","Commercial storage root yield tons per ha|CO_331:0000809","Total storage roots yield computation tons per ha|CO_331:0000296","Total foliage yield in tons per ha|CO_331:0000684","Biomass yield in tons per ha|CO_331:0001003","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield adjusted in tons per ha|CO_331:0001002","Biomass yield adjusted in tons per ha|CO_331:0001004"
"","","UGP2017NAM-AT02","","","","","","","","","UGP2017NAM-AT02-00021","","","","30","30","2","3","7","1","2","30","126","9","17","0.8","5.5","3","2","2","8","4","11.03","17.8","23.3","0.134920635","0.088888889","135","4.5","4.5","4.2","4.2","0.593333333","0.593333333","0.183333333","0.183333333","93.33333333","76.39484979","100","0.131851852","18.88888889","19.77777778","6.111111111","25.88888889","18.88888889","19.77777778","6.111111111","25.88888889"
"","","UGP2017NAM-AT02","","","","","","","","","UGP2017NAM-AT02-00022","","","","30","21","3","4","7","1","2","21","24","13","8","0.4","4","8","3","2","6","1","7.23","8.4","12.4","0.333333333","0.030769231","37","1.761904762","1.233333333","1.142857143","0.8","0.4","0.28","0.19047619","0.133333333","64.86486486","67.74193548","70","0.227027027","8.888888889","9.333333333","4.444444444","13.77777778","12.6984127","13.33333333","6.349206349","19.68253968"
"","","UGP2017NAM-AT02","","","","","","","","","UGP2017NAM-AT02-00023","","","","30","23","3","3","8","1","2","23","50","8","14","0.2","5","3","5","1","8","2","0","14.2","19.2","0.28","0.025","58","2.52173913","1.933333333","2.173913043","1.666666667","0.617391304","0.473333333","0.217391304","0.166666667","86.20689655","73.95833333","76.66666667","0.244827586","15.55555556","15.77777778","5.555555556","21.33333333","20.28985507","20.57971014","7.246376812","27.82608696"
"","","UGP2017NAM-AT02","","","","","","","","","UGP2017NAM-AT02-00024","","","","30","29","2","3","9","1","2","29","70","20","12","0.2","8","4","4","2","3","3","11.03","12.2","20.2","0.171428571","0.01","90","3.103448276","3","2.413793103","2.333333333","0.420689655","0.406666667","0.275862069","0.266666667","77.77777778","60.3960396","96.66666667","0.135555556","13.33333333","13.55555556","8.888888889","22.44444444","13.79310345","14.02298851","9.195402299","23.2183908"
"","","UGP2017NAM-AT02","","","","","","","","","UGP2017NAM-AT02-00025","","","","30","29","4","3","6","1","2","29","25","19","1.5","0.28","1.5","5","3","2","3","5","6.12","1.78","3.28","0.06","0.014736842","44","1.517241379","1.466666667","0.862068966","0.833333333","0.06137931","0.059333333","0.051724138","0.05","56.81818182","54.26829268","96.66666667","0.040454545","1.666666667","1.977777778","1.666666667","3.644444444","1.724137931","2.045977011","1.724137931","3.770114943"
"","","UGP2017NAM-AT02","","","","","","","","","UGP2017NAM-AT02-00026","","","","30","29","4","3","9","1","2","29","19","13","2","0.39","2.1","3","2","1","3","4","1.5","2.39","4.49","0.105263158","0.03","32","1.103448276","1.066666667","0.655172414","0.633333333","0.082413793","0.079666667","0.072413793","0.07","59.375","53.22939866","96.66666667","0.0746875","2.222222222","2.655555556","2.333333333","4.988888889","2.298850575","2.747126437","2.413793103","5.16091954"
"","","UGP2017NAM-AT02","","","","","","","","","UGP2017NAM-AT02-00027","","","","30","27","2","3","7","2","2","27","15","10","3.5","0.22","8","","1","1","4","2","1.5","3.72","11.72","0.233333333","0.022","25","0.925925926","0.833333333","0.555555556","0.5","0.137777778","0.124","0.296296296","0.266666667","60","31.74061433","90","0.1488","3.888888889","4.133333333","8.888888889","13.02222222","4.320987654","4.592592593","9.87654321","14.4691358"
"","","UGP2017NAM-AT02","","","","","","","","","UGP2017NAM-AT02-00028","","","","30","29","2","3","7","1","2","29","23","7","5","0.2","27","4","5","1","2","3","0","5.2","32.2","0.217391304","0.028571429","30","1.034482759","1","0.793103448","0.766666667","0.179310345","0.173333333","0.931034483","0.9","76.66666667","16.14906832","96.66666667","0.173333333","5.555555556","5.777777778","30","35.77777778","5.747126437","5.977011494","31.03448276","37.01149425"
"","","UGP2017NAM-AT02","","","","","","","","","UGP2017NAM-AT02-00029","","","","30","23","2","3","7","1","3","23","30","13","8.2","0.4","23","8","2","1","6","2","3.03","8.6","31.6","0.273333333","0.030769231","43","1.869565217","1.433333333","1.304347826","1","0.373913043","0.286666667","1","0.766666667","69.76744186","27.21518987","76.66666667","0.2","9.111111111","9.555555556","25.55555556","35.11111111","11.88405797","12.46376812","33.33333333","45.79710145"
"","","UGP2017NAM-AT02","","","","","","","","","UGP2017NAM-AT02-00030","","","","30","26","3","3","8","1","2","26","69","48","10","1","6.8","4","3","3","3","3","7.76","11","17.8","0.144927536","0.020833333","117","4.5","3.9","2.653846154","2.3","0.423076923","0.366666667","0.261538462","0.226666667","58.97435897","61.79775281","86.66666667","0.094017094","11.11111111","12.22222222","7.555555556","19.77777778","12.82051282","14.1025641","8.717948718","22.82051282"
