"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Number of plants planted per NET plot|CO_331:0000678","Virus symptoms estimating 1-9|month 1|before harvest|COMP:0000024","Vine vigor estimating 1-9|CO_331:0000197","Alternaria symptoms estimating 1-9|month 1|after planting|COMP:0000026","Total storage root weight per NET plot in kg|CO_331:0000237","Weight of vines per NET plot in kg|CO_331:0000227","Storage root skin predominant color estimating 1-9 CIP|CO_331:0000175","Reaction to sweet potato weevil estimating 1-9|CO_331:0000207","Sprouting ability estimating 1-9|CO_331:0000277","Storage root appearance estimating 1-9 CIP|CO_331:0000202","Storage root size estimating 1-9|CO_331:0000184","Content of beta-carotene in fresh weight basis in raw storage roots estimating from RHS color chart in mg per 100g|CO_331:0001023","Biomass yield in kg per plot|CO_331:0000683","Harvest index computing percent|CO_331:0000302","Total storage roots yield computation tons per ha|CO_331:0000296","Total foliage yield in tons per ha|CO_331:0000684","Biomass yield in tons per ha|CO_331:0001003","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant planted|CO_331:0000991"
"","","UGP2014SER-PT04","","","","","","","","","UGP2014SER-PT04-00040","","","","30","","","","0","0","","","","","","","0","","0","0","0","0","0"
"","","UGP2014SER-PT04","","","","","","","","","UGP2014SER-PT04-00041","","","","30","1","5","2","27.3","2","2","3","1","5","3","3.03","29.3","93.17406143","30.33333333","2.222222222","32.55555556","0.91","0.066666667"
"","","UGP2014SER-PT04","","","","","","","","","UGP2014SER-PT04-00042","","","","30","2","4","1","0","2.2","","","","","","","2.2","0","0","2.444444444","2.444444444","0","0.073333333"
"","","UGP2014SER-PT04","","","","","","","","","UGP2014SER-PT04-00043","","","","30","2","5","1","0","1.7","","","","","","","1.7","0","0","1.888888889","1.888888889","0","0.056666667"
"","","UGP2014SER-PT04","","","","","","","","","UGP2014SER-PT04-00044","","","","30","3","3","2","0","1.1","","","","","","","1.1","0","0","1.222222222","1.222222222","0","0.036666667"
"","","UGP2014SER-PT04","","","","","","","","","UGP2014SER-PT04-00045","","","","30","","","","0","0","","","","","","","0","","0","0","0","0","0"
"","","UGP2014SER-PT04","","","","","","","","","UGP2014SER-PT04-00046","","","","30","3","6","2","4.5","6.7","8","1","1","2","7","14.37","11.2","40.17857143","5","7.444444444","12.44444444","0.15","0.223333333"
"","","UGP2014SER-PT04","","","","","","","","","UGP2014SER-PT04-00047","","","","30","2","5","6","0","10","","","","","","","10","0","0","11.11111111","11.11111111","0","0.333333333"
"","","UGP2014SER-PT04","","","","","","","","","UGP2014SER-PT04-00048","","","","30","2","4","3","4","6.7","5","9","3","3","7","0","10.7","37.38317757","4.444444444","7.444444444","11.88888889","0.133333333","0.223333333"
"","","UGP2014SER-PT04","","","","","","","","","UGP2014SER-PT04-00049","","","","30","","","","0","0","","","","","","","0","","0","0","0","0","0"
"","","UGP2014SER-PT04","","","","","","","","","UGP2014SER-PT04-00050","","","","30","3","8","2","22.7","140","5","1","1","3","7","1.65","162.7","13.952059","25.22222222","155.5555556","180.7777778","0.756666667","4.666666667"
"","","UGP2014SER-PT04","","","","","","","","","UGP2014SER-PT04-00051","","","","30","","","","0","0","","","","","","","0","","0","0","0","0","0"
"","","UGP2014SER-PT04","","","","","","","","","UGP2014SER-PT04-00052","","","","30","2","7","2","36.7","16.7","6","1","1","2","1","7.76","53.4","68.72659176","40.77777778","18.55555556","59.33333333","1.223333333","0.556666667"
"","","UGP2014SER-PT04","","","","","","","","","UGP2014SER-PT04-00053","","","","30","2","7","2","42.2","22.2","8","3","2","4","1","14.37","64.4","65.52795031","46.88888889","24.66666667","71.55555556","1.406666667","0.74"
"","","UGP2014SER-PT04","","","","","","","","","UGP2014SER-PT04-00054","","","","30","","","","0","0","","","","","","","0","","0","0","0","0","0"
"","","UGP2014SER-PT04","","","","","","","","","UGP2014SER-PT04-00055","","","","30","","","","0","0","","","","","","","0","","0","0","0","0","0"
"","","UGP2014SER-PT04","","","","","","","","","UGP2014SER-PT04-00056","","","","30","2","8","2","45.3","40","5","2","1","6","3","1.65","85.3","53.1066823","50.33333333","44.44444444","94.77777778","1.51","1.333333333"
"","","UGP2014SER-PT04","","","","","","","","","UGP2014SER-PT04-00057","","","","30","","","","0","0","","","","","","","0","","0","0","0","0","0"
"","","UGP2014SER-PT04","","","","","","","","","UGP2014SER-PT04-00058","","","","30","2","8","2","16.5","13.3","5","1","1","8","1","7.76","29.8","55.36912752","18.33333333","14.77777778","33.11111111","0.55","0.443333333"
"","","UGP2014SER-PT04","","","","","","","","","UGP2014SER-PT04-00059","","","","30","1","6","1","11.8","4.3","8","6","3","","5","12.39","16.1","73.29192547","13.11111111","4.777777778","17.88888889","0.393333333","0.143333333"
"","","UGP2014SER-PT04","","","","","","","","","UGP2014SER-PT04-00060","","","","30","","","","0","0","","","","","","","0","","0","0","0","0","0"
"","","UGP2014SER-PT04","","","","","","","","","UGP2014SER-PT04-00061","","","","30","","","","0","0","","","","","","","0","","0","0","0","0","0"
"","","UGP2014SER-PT04","","","","","","","","","UGP2014SER-PT04-00062","","","","30","","","","0","0","","","","","","","0","","0","0","0","0","0"
"","","UGP2014SER-PT04","","","","","","","","","UGP2014SER-PT04-00063","","","","30","","","","0","0","","","","","","","0","","0","0","0","0","0"
"","","UGP2014SER-PT04","","","","","","","","","UGP2014SER-PT04-00064","","","","30","","","","0","0","","","","","","","0","","0","0","0","0","0"
"","","UGP2014SER-PT04","","","","","","","","","UGP2014SER-PT04-00065","","","","30","2","8","3","0","140","","","","","","","140","0","0","155.5555556","155.5555556","0","4.666666667"
"","","UGP2014SER-PT04","","","","","","","","","UGP2014SER-PT04-00066","","","","30","","","","0","0","","","","","","","0","","0","0","0","0","0"
"","","UGP2014SER-PT04","","","","","","","","","UGP2014SER-PT04-00067","","","","30","2","5","3","6.7","4","5","1","1","3","7","4.41","10.7","62.61682243","7.444444444","4.444444444","11.88888889","0.223333333","0.133333333"
"","","UGP2014SER-PT04","","","","","","","","","UGP2014SER-PT04-00068","","","","30","","","","0","0","","","","","","","0","","0","0","0","0","0"
"","","UGP2014SER-PT04","","","","","","","","","UGP2014SER-PT04-00069","","","","30","2","7","2","0","13.3","","","","","","","13.3","0","0","14.77777778","14.77777778","0","0.443333333"
"","","UGP2014SER-PT04","","","","","","","","","UGP2014SER-PT04-00070","","","","30","3","7","2","32.6","12.2","5","6","2","6","1","12.39","44.8","72.76785714","36.22222222","13.55555556","49.77777778","1.086666667","0.406666667"
"","","UGP2014SER-PT04","","","","","","","","","UGP2014SER-PT04-00071","","","","30","4","","2","40.7","33.3","5","3","1","1","3","1.04","74","55","45.22222222","37","82.22222222","1.356666667","1.11"
"","","UGP2014SER-PT04","","","","","","","","","UGP2014SER-PT04-00072","","","","30","","","","0","0","","","","","","","0","","0","0","0","0","0"
"","","UGP2014SER-PT04","","","","","","","","","UGP2014SER-PT04-00073","","","","30","1","6","2","6.7","16.7","2","1","1","2","3","0.15","23.4","28.63247863","7.444444444","18.55555556","26","0.223333333","0.556666667"
"","","UGP2014SER-PT04","","","","","","","","","UGP2014SER-PT04-00074","","","","30","2","7","2","33.8","32.2","2","3","2","4","5","1.5","66","51.21212121","37.55555556","35.77777778","73.33333333","1.126666667","1.073333333"
"","","UGP2014SER-PT04","","","","","","","","","UGP2014SER-PT04-00075","","","","30","2","6","2","11","2.2","2","7","4","5","5","0.15","13.2","83.33333333","12.22222222","2.444444444","14.66666667","0.366666667","0.073333333"
"","","UGP2014SER-PT04","","","","","","","","","UGP2014SER-PT04-00076","","","","30","","","","0","0","","","","","","","0","","0","0","0","0","0"
"","","UGP2014SER-PT04","","","","","","","","","UGP2014SER-PT04-00077","","","","30","","","","0","0","","","","","","","0","","0","0","0","0","0"
"","","UGP2014SER-PT04","","","","","","","","","UGP2014SER-PT04-00078","","","","30","2","4","1","0.7","0.5","8","2","1","9","9","7.23","1.2","58.33333333","0.777777778","0.555555556","1.333333333","0.023333333","0.016666667"
"","","UGP2014SER-PT04","","","","","","","","","UGP2014SER-PT04-00079","","","","30","","","","0","0","","","","","","","0","","0","0","0","0","0"
