"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Number of plants planted per NET plot|CO_331:0000678","Number of plants established per NET plot|CO_331:0000192","Virus symptoms estimating 1-9|month 1|after planting|COMP:0000023","Virus symptoms estimating 1-9|month 1|before harvest|COMP:0000024","Vine vigor estimating 1-9|CO_331:0000197","Alternaria symptoms estimating 1-9|month 1|before harvest|COMP:0000022","Alternaria symptoms estimating 1-9|month 1|after planting|COMP:0000026","Number of plants harvested per NET plot|CO_331:0000679","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Weight of vines per NET plot in kg|CO_331:0000227","Storage root skin predominant color estimating 1-9 CIP|CO_331:0000175","Reaction to sweet potato weevil estimating 1-9|CO_331:0000207","Sprouting ability estimating 1-9|CO_331:0000277","Storage root appearance estimating 1-9 CIP|CO_331:0000202","Storage root size estimating 1-9|CO_331:0000184","Content of beta-carotene in fresh weight basis in raw storage roots estimating from RHS color chart in mg per 100g|CO_331:0001023","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Number of storage roots after harvest per NET plot|CO_331:0000233","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant harvested|CO_331:2000036","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant harvested|CO_331:0000681","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant harvested|CO_331:0000990","Vine weight in kg per plant planted|CO_331:0000991","Percentage of commercial storage root|CO_331:0000682","Harvest index computing percent|CO_331:0000302","Survival index computing percent|CO_331:0000301","Commercial storage root yield tons per ha|CO_331:0000809","Total storage roots yield computation tons per ha|CO_331:0000296","Total foliage yield in tons per ha|CO_331:0000684","Biomass yield in tons per ha|CO_331:0001003","Average total storage root weight computation kg|CO_331:0002040","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield adjusted in tons per ha|CO_331:0001002","Biomass yield adjusted in tons per ha|CO_331:0001004"
"","","UGP2016SER-AT02","","","","","","","","","UGP2016SER-AT02-00021","","","","5","3","1","2","5","1","2","2","2","1","0.24","0.02","2","9","1","1","3","6","0","0.26","2.26","0.12","0.02","3","1.5","0.6","1","0.4","0.13","0.052","1","0.4","66.66666667","11.50442478","40","1.6","1.733333333","13.33333333","15.06666667","0.086666667","4","4.333333333","33.33333333","37.66666667"
"","","UGP2016SER-AT02","","","","","","","","","UGP2016SER-AT02-00022","","","","5","4","2","2","7","1","2","3","6","2","1","0.06","5","2","1","1","6","5","0","1.06","6.06","0.166666667","0.03","8","2.666666667","1.6","2","1.2","0.353333333","0.212","1.666666667","1","75","17.49174917","60","6.666666667","7.066666667","33.33333333","40.4","0.1325","11.11111111","11.77777778","55.55555556","67.33333333"
"","","UGP2016SER-AT02","","","","","","","","","UGP2016SER-AT02-00023","","","","5","4","2","2","7","1","2","2","0","0","0","0","5","","","","","","","0","5","","","0","0","0","0","0","0","0","2.5","1","","0","40","0","0","33.33333333","33.33333333","","0","0","83.33333333","83.33333333"
"","","UGP2016SER-AT02","","","","","","","","","UGP2016SER-AT02-00024","","","","5","0","","","","","","0","0","0","0","0","0","","","","","","","0","0","","","0","","0","","0","","0","","0","","","0","0","0","0","0","","","","",""
"","","UGP2016SER-AT02","","","","","","","","","UGP2016SER-AT02-00025","","","","5","5","1","2","8","1","2","5","7","12","0.5","0.24","12","9","2","1","3","7","0","0.74","12.74","0.071428571","0.02","19","3.8","3.8","1.4","1.4","0.148","0.148","2.4","2.4","36.84210526","5.808477237","100","3.333333333","4.933333333","80","84.93333333","0.038947368","3.333333333","4.933333333","80","84.93333333"
"","","UGP2016SER-AT02","","","","","","","","","UGP2016SER-AT02-00026","","","","5","5","2","2","7","2","2","4","8","5","3.5","0.06","4","4","3","1","2","6","0","3.56","7.56","0.4375","0.012","13","3.25","2.6","2","1.6","0.89","0.712","1","0.8","61.53846154","47.08994709","80","23.33333333","23.73333333","26.66666667","50.4","0.273846154","29.16666667","29.66666667","33.33333333","63"
"","","UGP2016SER-AT02","","","","","","","","","UGP2016SER-AT02-00027","","","","5","3","2","2","6","1","2","2","4","1","0.6","0.04","1","5","3","1","3","5","0.12","0.64","1.64","0.15","0.04","5","2.5","1","2","0.8","0.32","0.128","0.5","0.2","80","39.02439024","40","4","4.266666667","6.666666667","10.93333333","0.128","10","10.66666667","16.66666667","27.33333333"
"","","UGP2016SER-AT02","","","","","","","","","UGP2016SER-AT02-00028","","","","5","4","2","2","6","2","2","3","9","12","1","0.06","3.5","8","3","1","1","5","0.15","1.06","4.56","0.111111111","0.005","21","7","4.2","3","1.8","0.353333333","0.212","1.166666667","0.7","42.85714286","23.24561404","60","6.666666667","7.066666667","23.33333333","30.4","0.05047619","11.11111111","11.77777778","38.88888889","50.66666667"
"","","UGP2016SER-AT02","","","","","","","","","UGP2016SER-AT02-00029","","","","5","5","2","2","8","1","2","5","2","0","0.3","0","9","9","1","1","3","5","0","0.3","9.3","0.15","","2","0.4","0.4","0.4","0.4","0.06","0.06","1.8","1.8","100","3.225806452","100","2","2","60","62","0.15","2","2","60","62"
"","","UGP2016SER-AT02","","","","","","","","","UGP2016SER-AT02-00030","","","","5","5","2","2","7","1","2","4","7","1","1.4","0.02","6","9","4","1","2","3","0.12","1.42","7.42","0.2","0.02","8","2","1.6","1.75","1.4","0.355","0.284","1.5","1.2","87.5","19.13746631","80","9.333333333","9.466666667","40","49.46666667","0.1775","11.66666667","11.83333333","50","61.83333333"
