"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Number of plants planted per NET plot|CO_331:0000678","Number of plants established per NET plot|CO_331:0000192","Virus symptoms estimating 1-9|month 1|after planting|COMP:0000023","Virus symptoms estimating 1-9|month 1|before harvest|COMP:0000024","Vine vigor estimating 1-9|CO_331:0000197","Alternaria symptoms estimating 1-9|month 1|before harvest|COMP:0000022","Alternaria symptoms estimating 1-9|month 1|after planting|COMP:0000026","Number of plants harvested per NET plot|CO_331:0000679","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Weight of vines per NET plot in kg|CO_331:0000227","Storage root skin predominant color estimating 1-9 CIP|CO_331:0000175","Storage root predominant Flesh color estimating 1-9|CO_331:0000178","Reaction to sweet potato weevil estimating 1-9|CO_331:0000207","Sprouting ability estimating 1-9|CO_331:0000277","Storage root appearance estimating 1-9 CIP|CO_331:0000202","Storage root size estimating 1-9|CO_331:0000184","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Number of storage roots after harvest per NET plot|CO_331:0000233","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Average total storage root weight computation kg|CO_331:0002040","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant harvested|CO_331:2000036","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant harvested|CO_331:0000681","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant harvested|CO_331:0000990","Vine weight in kg per plant planted|CO_331:0000991","Percentage of commercial storage root|CO_331:0000682","Harvest index computing percent|CO_331:0000302","Survival index computing percent|CO_331:0000301","Commercial storage root yield tons per ha|CO_331:0000809","Total storage roots yield computation tons per ha|CO_331:0000296","Total foliage yield in tons per ha|CO_331:0000684","Biomass yield in tons per ha|CO_331:0001003","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield adjusted in tons per ha|CO_331:0001002","Biomass yield adjusted in tons per ha|CO_331:0001004"
"","","UGP2015SER-PT05","","","","","","","","","UGP2015SER-PT05-00021","","","","30","23","2","3","7","1","3","16","0","0","0","0","3.5","","","","","","","0","3.5","0","","","","0","0","0","0","0","0","0.21875","0.116666667","","0","53.33333333","0","0","3.888888889","3.888888889","0","0","7.291666667","7.291666667"
"","","UGP2015SER-PT05","","","","","","","","","UGP2015SER-PT05-00022","","","","30","29","2","1","8","1","2","12","0","0","0","0","18.3","","","","","","","0","18.3","0","","","","0","0","0","0","0","0","1.525","0.61","","0","40","0","0","20.33333333","20.33333333","0","0","50.83333333","50.83333333"
"","","UGP2015SER-PT05","","","","","","","","","UGP2015SER-PT05-00023","","","","30","25","2","2","7","1","2","14","13","2","1","0.04","9.2","9","2","1","1","2","3","1.04","10.24","15","0.076923077","0.02","0.069333333","1.071428571","0.5","0.928571429","0.433333333","0.074285714","0.034666667","0.657142857","0.306666667","86.66666667","10.15625","46.66666667","1.111111111","1.155555556","10.22222222","11.37777778","2.380952381","2.476190476","21.9047619","24.38095238"
"","","UGP2015SER-PT05","","","","","","","","","UGP2015SER-PT05-00024","","","","30","9","4","5","7","1","2","9","0","1","0","0.02","4.5","2","3","1","1","3","9","0.02","4.52","1","","0.02","0.02","0.111111111","0.033333333","0","0","0.002222222","0.000666667","0.5","0.15","0","0.442477876","30","0","0.022222222","5","5.022222222","0","0.074074074","16.66666667","16.74074074"
"","","UGP2015SER-PT05","","","","","","","","","UGP2015SER-PT05-00025","","","","30","30","2","2","8","1","2","27","61","4","25.2","0.08","17","8","3","1","1","4","1","25.28","42.28","65","0.413114754","0.02","0.388923077","2.407407407","2.166666667","2.259259259","2.033333333","0.936296296","0.842666667","0.62962963","0.566666667","93.84615385","59.79186377","90","28","28.08888889","18.88888889","46.97777778","31.11111111","31.20987654","20.98765432","52.19753086"
"","","UGP2015SER-PT05","","","","","","","","","UGP2015SER-PT05-00026","","","","30","25","3","4","8","1","3","18","0","0","0","0","26","","","","","","","0","26","0","","","","0","0","0","0","0","0","1.444444444","0.866666667","","0","60","0","0","28.88888889","28.88888889","0","0","48.14814815","48.14814815"
"","","UGP2015SER-PT05","","","","","","","","","UGP2015SER-PT05-00027","","","","30","29","2","2","8","1","2","7","5","0","3","0","5.2","9","2","1","1","8","3","3","8.2","5","0.6","","0.6","0.714285714","0.166666667","0.714285714","0.166666667","0.428571429","0.1","0.742857143","0.173333333","100","36.58536585","23.33333333","3.333333333","3.333333333","5.777777778","9.111111111","14.28571429","14.28571429","24.76190476","39.04761905"
"","","UGP2015SER-PT05","","","","","","","","","UGP2015SER-PT05-00028","","","","30","25","3","2","7","1","3","20","28","16","5","0.46","27.2","2","3","1","1","5","3","5.46","32.66","44","0.178571429","0.02875","0.124090909","2.2","1.466666667","1.4","0.933333333","0.273","0.182","1.36","0.906666667","63.63636364","16.71769749","66.66666667","5.555555556","6.066666667","30.22222222","36.28888889","8.333333333","9.1","45.33333333","54.43333333"
"","","UGP2015SER-PT05","","","","","","","","","UGP2015SER-PT05-00029","","","","30","28","1","2","8","1","2","21","50","1","13","0.02","22.3","9","3","1","1","4","3","13.02","35.32","51","0.26","0.02","0.255294118","2.428571429","1.7","2.380952381","1.666666667","0.62","0.434","1.061904762","0.743333333","98.03921569","36.86296716","70","14.44444444","14.46666667","24.77777778","39.24444444","20.63492063","20.66666667","35.3968254","56.06349206"
"","","UGP2015SER-PT05","","","","","","","","","UGP2015SER-PT05-00030","","","","30","30","1","2","8","1","2","21","11","0","2.5","0","21","9","3","1","1","8","3","2.5","23.5","11","0.227272727","","0.227272727","0.523809524","0.366666667","0.523809524","0.366666667","0.119047619","0.083333333","1","0.7","100","10.63829787","70","2.777777778","2.777777778","23.33333333","26.11111111","3.968253968","3.968253968","33.33333333","37.3015873"
"","","UGP2015SER-PT05","","","","","","","","","UGP2015SER-PT05-00031","","","","30","23","1","3","8","1","2","19","47","7","12.8","0.2","24","2","3","1","1","8","3","13","37","54","0.272340426","0.028571429","0.240740741","2.842105263","1.8","2.473684211","1.566666667","0.684210526","0.433333333","1.263157895","0.8","87.03703704","35.13513514","63.33333333","14.22222222","14.44444444","26.66666667","41.11111111","22.45614035","22.80701754","42.10526316","64.9122807"
"","","UGP2015SER-PT05","","","","","","","","","UGP2015SER-PT05-00032","","","","30","24","2","3","7","1","2","15","33","0","10","0","7.2","8","3","1","1","4","1","10","17.2","33","0.303030303","","0.303030303","2.2","1.1","2.2","1.1","0.666666667","0.333333333","0.48","0.24","100","58.13953488","50","11.11111111","11.11111111","8","19.11111111","22.22222222","22.22222222","16","38.22222222"
"","","UGP2015SER-PT05","","","","","","","","","UGP2015SER-PT05-00033","","","","30","0","","","","","","0","0","0","0","0","0","","","","","","","0","0","0","","","","","0","","0","","0","","0","","","0","0","0","0","0","","","",""
