"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Number of plants planted per NET plot|CO_331:0000678","Number of plants established per NET plot|CO_331:0000192","Virus symptoms estimating 1-9|month 1|after planting|COMP:0000023","Alternaria symptoms estimating 1-9|month 1|before harvest|COMP:0000022","Vine vigor estimating 1-9|CO_331:0000197","Virus symptoms estimating 1-9|month 1|before harvest|COMP:0000024","Alternaria symptoms estimating 1-9|month 1|after planting|COMP:0000026","Number of plants harvested per NET plot|CO_331:0000679","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Weight of vines per NET plot in kg|CO_331:0000227","Storage root skin predominant color estimating 1-9 CIP|CO_331:0000175","Storage root predominant Flesh color estimating 1-9|CO_331:0000178","Reaction to sweet potato weevil estimating 1-9|CO_331:0000207","Storage root appearance estimating 1-9 CIP|CO_331:0000202","Storage root size estimating 1-9|CO_331:0000184","Sprouting ability estimating 1-9|CO_331:0000277","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Number of storage roots after harvest per NET plot|CO_331:0000233","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Average total storage root weight computation kg|CO_331:0002040","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant harvested|CO_331:2000036","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant harvested|CO_331:0000681","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant harvested|CO_331:0000990","Vine weight in kg per plant planted|CO_331:0000991","Percentage of commercial storage root|CO_331:0000682","Harvest index computing percent|CO_331:0000302","Survival index computing percent|CO_331:0000301","Commercial storage root yield tons per ha|CO_331:0000809","Total storage roots yield computation tons per ha|CO_331:0000296","Total foliage yield in tons per ha|CO_331:0000684","Biomass yield in tons per ha|CO_331:0001003","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield adjusted in tons per ha|CO_331:0001002","Biomass yield adjusted in tons per ha|CO_331:0001004"
"","","UGP2018SER-PT01","","","","","","","","","UGP2018SER-PT01-00021","","","","20","5","3","1","3","3","1","5","0","0","0","0","0.9","","","","","","","0","0.9","0","","","","0","0","0","0","0","0","0.18","0.045","","0","25","0","0","1.5","1.5","0","0","6","6"
"","","UGP2018SER-PT01","","","","","","","","","UGP2018SER-PT01-00022","","","","20","16","2","1","2","7","1","16","7","3","0.5","0.02","5.2","8","6","3","3","3","4","0.52","5.72","10","0.071428571","0.006666667","0.052","0.625","0.5","0.4375","0.35","0.0325","0.026","0.325","0.26","70","9.090909091","80","0.833333333","0.866666667","8.666666667","9.533333333","1.041666667","1.083333333","10.83333333","11.91666667"
"","","UGP2018SER-PT01","","","","","","","","","UGP2018SER-PT01-00023","","","","20","15","2","1","2","8","1","15","10","4","0.85","0.02","1","3","6","3","3","6","1","0.87","1.87","14","0.085","0.005","0.062142857","0.933333333","0.7","0.666666667","0.5","0.058","0.0435","0.066666667","0.05","71.42857143","46.52406417","75","1.416666667","1.45","1.666666667","3.116666667","1.888888889","1.933333333","2.222222222","4.155555556"
"","","UGP2018SER-PT01","","","","","","","","","UGP2018SER-PT01-00024","","","","20","9","1","1","1","7","1","9","20","2","1.75","0.01","5.34","2","4","3","7","4","5","1.76","7.1","22","0.0875","0.005","0.08","2.444444444","1.1","2.222222222","1","0.195555556","0.088","0.593333333","0.267","90.90909091","24.78873239","45","2.916666667","2.933333333","8.9","11.83333333","6.481481481","6.518518519","19.77777778","26.2962963"
"","","UGP2018SER-PT01","","","","","","","","","UGP2018SER-PT01-00025","","","","20","20","1","1","1","8","1","17","9","0","0.95","0","9.45","6","2","3","3","5","3","0.95","10.4","9","0.105555556","","0.105555556","0.529411765","0.45","0.529411765","0.45","0.055882353","0.0475","0.555882353","0.4725","100","9.134615385","85","1.583333333","1.583333333","15.75","17.33333333","1.862745098","1.862745098","18.52941176","20.39215686"
"","","UGP2018SER-PT01","","","","","","","","","UGP2018SER-PT01-00026","","","","20","15","2","1","2","8","1","15","19","0","5.5","0","4.85","5","6","2","2","3","1","5.5","10.35","19","0.289473684","","0.289473684","1.266666667","0.95","1.266666667","0.95","0.366666667","0.275","0.323333333","0.2425","100","53.14009662","75","9.166666667","9.166666667","8.083333333","17.25","12.22222222","12.22222222","10.77777778","23"
"","","UGP2018SER-PT01","","","","","","","","","UGP2018SER-PT01-00027","","","","20","14","2","1","2","8","2","14","31","5","2.8","0.04","5","2","7","3","3","3","4","2.84","7.84","36","0.090322581","0.008","0.078888889","2.571428571","1.8","2.214285714","1.55","0.202857143","0.142","0.357142857","0.25","86.11111111","36.2244898","70","4.666666667","4.733333333","8.333333333","13.06666667","6.666666667","6.761904762","11.9047619","18.66666667"
"","","UGP2018SER-PT01","","","","","","","","","UGP2018SER-PT01-00028","","","","20","13","2","1","2","6","1","13","2","2","0.3","0.01","9.45","5","5","1","3","5","1","0.31","9.76","4","0.15","0.005","0.0775","0.307692308","0.2","0.153846154","0.1","0.023846154","0.0155","0.726923077","0.4725","50","3.176229508","65","0.5","0.516666667","15.75","16.26666667","0.769230769","0.794871795","24.23076923","25.02564103"
"","","UGP2018SER-PT01","","","","","","","","","UGP2018SER-PT01-00029","","","","20","20","1","1","1","9","1","17","17","0","1.8","0","9.7","2","3","4","3","4","3","1.8","11.5","17","0.105882353","","0.105882353","1","0.85","1","0.85","0.105882353","0.09","0.570588235","0.485","100","15.65217391","85","3","3","16.16666667","19.16666667","3.529411765","3.529411765","19.01960784","22.54901961"
"","","UGP2018SER-PT01","","","","","","","","","UGP2018SER-PT01-00030","","","","20","10","2","1","2","7","1","10","4","0","0.65","0","0.5","3","3","3","3","4","1","0.65","1.15","4","0.1625","","0.1625","0.4","0.2","0.4","0.2","0.065","0.0325","0.05","0.025","100","56.52173913","50","1.083333333","1.083333333","0.833333333","1.916666667","2.166666667","2.166666667","1.666666667","3.833333333"
