"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Number of plants planted per NET plot|CO_331:0000678","Number of plants established per NET plot|CO_331:0000192","Virus symptoms estimating 1-9|month 1|after planting|COMP:0000023","Alternaria symptoms estimating 1-9|month 1|before harvest|COMP:0000022","Vine vigor estimating 1-9|CO_331:0000197","Virus symptoms estimating 1-9|month 1|before harvest|COMP:0000024","Alternaria symptoms estimating 1-9|month 1|after planting|COMP:0000026","Number of plants harvested per NET plot|CO_331:0000679","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Weight of vines per NET plot in kg|CO_331:0000227","Storage root skin predominant color estimating 1-9 CIP|CO_331:0000175","Storage root size estimating 1-9|CO_331:0000184","Storage root appearance estimating 1-9 CIP|CO_331:0000202","Reaction to sweet potato weevil estimating 1-9|CO_331:0000207","Sprouting ability estimating 1-9|CO_331:0000277","Content of beta-carotene in fresh weight basis in raw storage roots estimating from RHS color chart in mg per 100g|CO_331:0001023","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Number of storage roots after harvest per NET plot|CO_331:0000233","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Average total storage root weight computation kg|CO_331:0002040","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant harvested|CO_331:2000036","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant harvested|CO_331:0000681","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant harvested|CO_331:0000990","Vine weight in kg per plant planted|CO_331:0000991","Percentage of commercial storage root|CO_331:0000682","Harvest index computing percent|CO_331:0000302","Survival index computing percent|CO_331:0000301","Commercial storage root yield tons per ha|CO_331:0000809","Total storage roots yield computation tons per ha|CO_331:0000296","Total foliage yield in tons per ha|CO_331:0000684","Biomass yield in tons per ha|CO_331:0001003","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield adjusted in tons per ha|CO_331:0001002","Biomass yield adjusted in tons per ha|CO_331:0001004"
"","","UGP2014NAM-PT08","","","","","","","","","UGP2014NAM-PT08-00037","","","","30","16","3","6","7","1","4","16","38","11","4.5","0.2","6","9","5","2","4","4","0","4.7","10.7","49","0.118421053","0.018181818","0.095918367","3.0625","1.633333333","2.375","1.266666667","0.29375","0.156666667","0.375","0.2","77.55102041","43.92523364","53.33333333","5","5.222222222","6.666666667","11.88888889","9.375","9.791666667","12.5","22.29166667"
"","","UGP2014NAM-PT08","","","","","","","","","UGP2014NAM-PT08-00038","","","","30","16","1","2","9","1","2","16","36","29","5.3","0.52","19","2","5","8","1","1","0.12","5.82","24.82","65","0.147222222","0.017931034","0.089538462","4.0625","2.166666667","2.25","1.2","0.36375","0.194","1.1875","0.633333333","55.38461538","23.44883159","53.33333333","5.888888889","6.466666667","21.11111111","27.57777778","11.04166667","12.125","39.58333333","51.70833333"
"","","UGP2014NAM-PT08","","","","","","","","","UGP2014NAM-PT08-00039","","","","30","18","1","2","9","1","2","18","121","64","15.6","1.1","21.7","9","5","2","3","2","0","16.7","38.4","185","0.12892562","0.0171875","0.09027027","10.27777778","6.166666667","6.722222222","4.033333333","0.927777778","0.556666667","1.205555556","0.723333333","65.40540541","43.48958333","60","17.33333333","18.55555556","24.11111111","42.66666667","28.88888889","30.92592593","40.18518519","71.11111111"
"","","UGP2014NAM-PT08","","","","","","","","","UGP2014NAM-PT08-00040","","","","30","19","3","7","5","1","3","4","0","0","0","0","0.44","","","","","","","0","0.44","0","","","","0","0","0","0","0","0","0.11","0.014666667","","0","13.33333333","0","0","0.488888889","0.488888889","0","0","3.666666667","3.666666667"
"","","UGP2014NAM-PT08","","","","","","","","","UGP2014NAM-PT08-00041","","","","30","13","3","6","9","1","3","13","17","10","4.5","0.26","23","8","3","8","2","2","0","4.76","27.76","27","0.264705882","0.026","0.176296296","2.076923077","0.9","1.307692308","0.566666667","0.366153846","0.158666667","1.769230769","0.766666667","62.96296296","17.14697406","43.33333333","5","5.288888889","25.55555556","30.84444444","11.53846154","12.20512821","58.97435897","71.17948718"
"","","UGP2014NAM-PT08","","","","","","","","","UGP2014NAM-PT08-00042","","","","30","18","1","3","9","1","2","18","47","14","15","1.6","22.4","6","3","4","2","1","0","16.6","39","61","0.319148936","0.114285714","0.272131148","3.388888889","2.033333333","2.611111111","1.566666667","0.922222222","0.553333333","1.244444444","0.746666667","77.04918033","42.56410256","60","16.66666667","18.44444444","24.88888889","43.33333333","27.77777778","30.74074074","41.48148148","72.22222222"
"","","UGP2014NAM-PT08","","","","","","","","","UGP2014NAM-PT08-00043","","","","30","28","1","2","9","1","2","18","60","18","10.2","0.2","30.3","9","3","4","2","1","0","10.4","40.7","78","0.17","0.011111111","0.133333333","4.333333333","2.6","3.333333333","2","0.577777778","0.346666667","1.683333333","1.01","76.92307692","25.55282555","60","11.33333333","11.55555556","33.66666667","45.22222222","18.88888889","19.25925926","56.11111111","75.37037037"
"","","UGP2014NAM-PT08","","","","","","","","","UGP2014NAM-PT08-00044","","","","30","20","1","4","8","1","3","15","40","8","9.2","0.26","25","9","3","3","3","2","0.12","9.46","34.46","48","0.23","0.0325","0.197083333","3.2","1.6","2.666666667","1.333333333","0.630666667","0.315333333","1.666666667","0.833333333","83.33333333","27.4521184","50","10.22222222","10.51111111","27.77777778","38.28888889","20.44444444","21.02222222","55.55555556","76.57777778"
"","","UGP2014NAM-PT08","","","","","","","","","UGP2014NAM-PT08-00045","","","","30","26","2","6","7","1","3","12","16","7","4.5","0.1","5","6","3","2","2","2","0.12","4.6","9.6","23","0.28125","0.014285714","0.2","1.916666667","0.766666667","1.333333333","0.533333333","0.383333333","0.153333333","0.416666667","0.166666667","69.56521739","47.91666667","40","5","5.111111111","5.555555556","10.66666667","12.5","12.77777778","13.88888889","26.66666667"
"","","UGP2014NAM-PT08","","","","","","","","","UGP2014NAM-PT08-00046","","","","30","21","1","4","7","1","5","15","17","6","7","0.08","13","2","3","4","2","4","0.12","7.08","20.08","23","0.411764706","0.013333333","0.307826087","1.533333333","0.766666667","1.133333333","0.566666667","0.472","0.236","0.866666667","0.433333333","73.91304348","35.25896414","50","7.777777778","7.866666667","14.44444444","22.31111111","15.55555556","15.73333333","28.88888889","44.62222222"
