"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Number of plants planted per NET plot|CO_331:0000678","Number of plants established per NET plot|CO_331:0000192","Virus symptoms estimating 1-9|month 1|after planting|COMP:0000023","Virus symptoms estimating 1-9|month 1|before harvest|COMP:0000024","Vine vigor estimating 1-9|CO_331:0000197","Alternaria symptoms estimating 1-9|month 1|before harvest|COMP:0000022","Alternaria symptoms estimating 1-9|month 1|after planting|COMP:0000026","Number of plants harvested per NET plot|CO_331:0000679","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Weight of vines per NET plot in kg|CO_331:0000227","Storage root skin predominant color estimating 1-9 CIP|CO_331:0000175","Storage root predominant Flesh color estimating 1-9|CO_331:0000178","Reaction to sweet potato weevil estimating 1-9|CO_331:0000207","Sprouting ability estimating 1-9|CO_331:0000277","Storage root appearance estimating 1-9 CIP|CO_331:0000202","Storage root size estimating 1-9|CO_331:0000184","Content of beta-carotene in fresh weight basis in raw storage roots estimating from RHS color chart in mg per 100g|CO_331:0001023","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Number of storage roots after harvest per NET plot|CO_331:0000233","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Average total storage root weight computation kg|CO_331:0002040","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant harvested|CO_331:2000036","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant harvested|CO_331:0000681","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant harvested|CO_331:0000990","Vine weight in kg per plant planted|CO_331:0000991","Percentage of commercial storage root|CO_331:0000682","Harvest index computing percent|CO_331:0000302","Survival index computing percent|CO_331:0000301","Commercial storage root yield tons per ha|CO_331:0000809","Total storage roots yield computation tons per ha|CO_331:0000296","Total foliage yield in tons per ha|CO_331:0000684","Biomass yield in tons per ha|CO_331:0001003","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield adjusted in tons per ha|CO_331:0001002","Biomass yield adjusted in tons per ha|CO_331:0001004"
"","","UGP2015KAC-PT04","","","","","","","","","UGP2015KAC-PT04-00021","","","","30","26","1","2","6","1","2","9","3","0","0.28","0","0.2","8","2","1","1","5","7","0","0.28","0.48","3","0.093333333","","0.093333333","0.333333333","0.1","0.333333333","0.1","0.031111111","0.009333333","0.022222222","0.006666667","100","58.33333333","30","0.311111111","0.311111111","0.222222222","0.533333333","1.037037037","1.037037037","0.740740741","1.777777778"
"","","UGP2015KAC-PT04","","","","","","","","","UGP2015KAC-PT04-00022","","","","30","17","2","3","5","1","2","9","1","6","0.1","0.1","2.2","2","3","2","3","5","7","0.12","0.2","2.4","7","0.1","0.016666667","0.028571429","0.777777778","0.233333333","0.111111111","0.033333333","0.022222222","0.006666667","0.244444444","0.073333333","14.28571429","8.333333333","30","0.111111111","0.222222222","2.444444444","2.666666667","0.37037037","0.740740741","8.148148148","8.888888889"
"","","UGP2015KAC-PT04","","","","","","","","","UGP2015KAC-PT04-00023","","","","30","22","1","2","6","1","3","12","4","18","0.32","0.22","7.6","8","2","1","1","5","5","0","0.54","8.14","22","0.08","0.012222222","0.024545455","1.833333333","0.733333333","0.333333333","0.133333333","0.045","0.018","0.633333333","0.253333333","18.18181818","6.633906634","40","0.355555556","0.6","8.444444444","9.044444444","0.888888889","1.5","21.11111111","22.61111111"
"","","UGP2015KAC-PT04","","","","","","","","","UGP2015KAC-PT04-00024","","","","30","22","2","4","6","1","2","13","3","4","0.42","0.09","2.9","2","3","1","4","4","5","0.12","0.51","3.41","7","0.14","0.0225","0.072857143","0.538461538","0.233333333","0.230769231","0.1","0.039230769","0.017","0.223076923","0.096666667","42.85714286","14.95601173","43.33333333","0.466666667","0.566666667","3.222222222","3.788888889","1.076923077","1.307692308","7.435897436","8.743589744"
"","","UGP2015KAC-PT04","","","","","","","","","UGP2015KAC-PT04-00025","","","","30","30","1","1","7","1","1","26","25","22","4.6","0.8","6.3","6","3","1","1","9","3","0.12","5.4","11.7","47","0.184","0.036363636","0.114893617","1.807692308","1.566666667","0.961538462","0.833333333","0.207692308","0.18","0.242307692","0.21","53.19148936","46.15384615","86.66666667","5.111111111","6","7","13","5.897435897","6.923076923","8.076923077","15"
"","","UGP2015KAC-PT04","","","","","","","","","UGP2015KAC-PT04-00026","","","","30","27","1","2","9","1","2","22","5","68","0.4","1.6","36.4","2","7","1","1","9","7","1.38","2","38.4","73","0.08","0.023529412","0.02739726","3.318181818","2.433333333","0.227272727","0.166666667","0.090909091","0.066666667","1.654545455","1.213333333","6.849315068","5.208333333","73.33333333","0.444444444","2.222222222","40.44444444","42.66666667","0.606060606","3.03030303","55.15151515","58.18181818"
"","","UGP2015KAC-PT04","","","","","","","","","UGP2015KAC-PT04-00027","","","","30","24","1","2","8","1","2","23","23","11","4","0.32","14.2","8","2","1","1","8","3","0","4.32","18.52","34","0.173913043","0.029090909","0.127058824","1.47826087","1.133333333","1","0.766666667","0.187826087","0.144","0.617391304","0.473333333","67.64705882","23.32613391","76.66666667","4.444444444","4.8","15.77777778","20.57777778","5.797101449","6.260869565","20.57971014","26.84057971"
"","","UGP2015KAC-PT04","","","","","","","","","UGP2015KAC-PT04-00028","","","","30","19","1","2","9","2","3","18","20","4","4.4","0.1","24","2","3","1","1","9","3","0.12","4.5","28.5","24","0.22","0.025","0.1875","1.333333333","0.8","1.111111111","0.666666667","0.25","0.15","1.333333333","0.8","83.33333333","15.78947368","60","4.888888889","5","26.66666667","31.66666667","8.148148148","8.333333333","44.44444444","52.77777778"
"","","UGP2015KAC-PT04","","","","","","","","","UGP2015KAC-PT04-00029","","","","30","28","1","3","8","1","2","25","33","36","4","1.7","26.2","8","5","1","4","8","5","0","5.7","31.9","69","0.121212121","0.047222222","0.082608696","2.76","2.3","1.32","1.1","0.228","0.19","1.048","0.873333333","47.82608696","17.86833856","83.33333333","4.444444444","6.333333333","29.11111111","35.44444444","5.333333333","7.6","34.93333333","42.53333333"
"","","UGP2015KAC-PT04","","","","","","","","","UGP2015KAC-PT04-00030","","","","30","28","1","2","9","1","2","21","8","11","1.4","0.2","30","8","3","1","1","9","5","0.12","1.6","31.6","19","0.175","0.018181818","0.084210526","0.904761905","0.633333333","0.380952381","0.266666667","0.076190476","0.053333333","1.428571429","1","42.10526316","5.063291139","70","1.555555556","1.777777778","33.33333333","35.11111111","2.222222222","2.53968254","47.61904762","50.15873016"
"","","UGP2015KAC-PT04","","","","","","","","","UGP2015KAC-PT04-00031","","","","30","27","1","3","8","1","2","25","40","70","6.2","2.8","32.1","2","2","1","1","9","5","0","9","41.1","110","0.155","0.04","0.081818182","4.4","3.666666667","1.6","1.333333333","0.36","0.3","1.284","1.07","36.36363636","21.89781022","83.33333333","6.888888889","10","35.66666667","45.66666667","8.266666667","12","42.8","54.8"
"","","UGP2015KAC-PT04","","","","","","","","","UGP2015KAC-PT04-00032","","","","30","28","1","3","7","1","1","26","27","28","4.8","0.88","10.4","8","2","2","3","6","3","0","5.68","16.08","55","0.177777778","0.031428571","0.103272727","2.115384615","1.833333333","1.038461538","0.9","0.218461538","0.189333333","0.4","0.346666667","49.09090909","35.32338308","86.66666667","5.333333333","6.311111111","11.55555556","17.86666667","6.153846154","7.282051282","13.33333333","20.61538462"
"","","UGP2015KAC-PT04","","","","","","","","","UGP2015KAC-PT04-00033","","","","30","30","1","2","8","1","2","29","25","15","4.6","0.6","23","2","5","1","1","4","3","0","5.2","28.2","40","0.184","0.04","0.13","1.379310345","1.333333333","0.862068966","0.833333333","0.179310345","0.173333333","0.793103448","0.766666667","62.5","18.43971631","96.66666667","5.111111111","5.777777778","25.55555556","31.33333333","5.287356322","5.977011494","26.43678161","32.4137931"
