"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Number of plants planted per NET plot|CO_331:0000678","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Number of plants harvested per NET plot|CO_331:0000679","Storage root skin predominant color estimating 1-9 CIP|CO_331:0000175","Alternaria symptoms estimating 1-9|month 1|after planting|COMP:0000026","Alternaria symptoms estimating 1-9|month 1|before harvest|COMP:0000022","Reaction to sweet potato weevil estimating 1-9|CO_331:0000207","Sprouting ability estimating 1-9|CO_331:0000277","Storage root appearance estimating 1-9 CIP|CO_331:0000202","Storage root size estimating 1-9|CO_331:0000184","Vine vigor estimating 1-9|CO_331:0000197","Virus symptoms estimating 1-9|month 1|after planting|COMP:0000023","Virus symptoms estimating 1-9|month 1|before harvest|COMP:0000024","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Weight of vines per NET plot in kg|CO_331:0000227","Content of beta-carotene in fresh weight basis in raw storage roots estimating from RHS color chart in mg per 100g|CO_331:0001023","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Number of storage roots after harvest per NET plot|CO_331:0000233","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant harvested|CO_331:2000036","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant harvested|CO_331:0000681","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant harvested|CO_331:0000990","Vine weight in kg per plant planted|CO_331:0000991","Percentage of commercial storage root|CO_331:0000682","Harvest index computing percent|CO_331:0000302","Survival index computing percent|CO_331:0000301","Average total storage root weight computation kg|CO_331:0002040","Commercial storage root yield tons per ha|CO_331:0000809","Total storage roots yield computation tons per ha|CO_331:0000296","Total foliage yield in tons per ha|CO_331:0000684","Biomass yield in tons per ha|CO_331:0001003","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield adjusted in tons per ha|CO_331:0001002","Biomass yield adjusted in tons per ha|CO_331:0001004"
"","","UGP2018KAC-AT01","","","","","","","","","UGP2018KAC-AT01-02007","","","","30","31","26","30","8","2","2","1","3","8","2","8","1","1","6.8","0.8","10.5","11.03","7.6","18.1","0.219354839","0.030769231","57","1.9","1.9","1.033333333","1.033333333","0.253333333","0.253333333","0.35","0.35","54.38596491","41.98895028","100","0.133333333","7.555555556","8.444444444","11.66666667","20.11111111","7.555555556","8.444444444","11.66666667","20.11111111"
"","","UGP2018KAC-AT01","","","","","","","","","UGP2018KAC-AT01-02004","","","","30","18","57","30","5","4","2","2","3","3","5","8","2","3","1.1","1.05","13","10.5","2.15","15.15","0.061111111","0.018421053","75","2.5","2.5","0.6","0.6","0.071666667","0.071666667","0.433333333","0.433333333","24","14.19141914","100","0.028666667","1.222222222","2.388888889","14.44444444","16.83333333","1.222222222","2.388888889","14.44444444","16.83333333"
"","","UGP2018KAC-AT01","","","","","","","","","UGP2018KAC-AT01-02011","","","","30","41","21","28","9","2","2","2","1","6","2","8","2","2","11.5","0.6","2","7.76","12.1","14.1","0.280487805","0.028571429","62","2.214285714","2.066666667","1.464285714","1.366666667","0.432142857","0.403333333","0.071428571","0.066666667","66.12903226","85.81560284","93.33333333","0.19516129","12.77777778","13.44444444","2.222222222","15.66666667","13.69047619","14.4047619","2.380952381","16.78571429"
"","","UGP2018KAC-AT01","","","","","","","","","UGP2018KAC-AT01-02006","","","","30","28","33","30","4","2","2","2","3","3","1","7","2","3","6","0.85","6","11.03","6.85","12.85","0.214285714","0.025757576","61","2.033333333","2.033333333","0.933333333","0.933333333","0.228333333","0.228333333","0.2","0.2","45.90163934","53.307393","100","0.112295082","6.666666667","7.611111111","6.666666667","14.27777778","6.666666667","7.611111111","6.666666667","14.27777778"
"","","UGP2018KAC-AT01","","","","","","","","","UGP2018KAC-AT01-02003","","","","30","84","40","30","9","1","1","1","4","3","3","7","1","2","11","0.75","18.5","11.03","11.75","30.25","0.130952381","0.01875","124","4.133333333","4.133333333","2.8","2.8","0.391666667","0.391666667","0.616666667","0.616666667","67.74193548","38.84297521","100","0.094758065","12.22222222","13.05555556","20.55555556","33.61111111","12.22222222","13.05555556","20.55555556","33.61111111"
"","","UGP2018KAC-AT01","","","","","","","","","UGP2018KAC-AT01-02002","","","","30","97","108","30","3","1","1","2","3","3","4","8","1","1","7.5","2","13.5","10.5","9.5","23","0.077319588","0.018518519","205","6.833333333","6.833333333","3.233333333","3.233333333","0.316666667","0.316666667","0.45","0.45","47.31707317","41.30434783","100","0.046341463","8.333333333","10.55555556","15","25.55555556","8.333333333","10.55555556","15","25.55555556"
"","","UGP2018KAC-AT01","","","","","","","","","UGP2018KAC-AT01-03005","","","","30","20","37","29","5","2","2","2","3","3","5","6","2","3","2.5","1.05","3","7.76","3.55","6.55","0.125","0.028378378","57","1.965517241","1.9","0.689655172","0.666666667","0.122413793","0.118333333","0.103448276","0.1","35.0877193","54.19847328","96.66666667","0.062280702","2.777777778","3.944444444","3.333333333","7.277777778","2.873563218","4.08045977","3.448275862","7.528735632"
"","","UGP2018KAC-AT01","","","","","","","","","UGP2018KAC-AT01-03010","","","","30","82","50","30","3","1","2","2","3","4","3","8","1","1","11","2.6","12","14.37","13.6","25.6","0.134146341","0.052","132","4.4","4.4","2.733333333","2.733333333","0.453333333","0.453333333","0.4","0.4","62.12121212","53.125","100","0.103030303","12.22222222","15.11111111","13.33333333","28.44444444","12.22222222","15.11111111","13.33333333","28.44444444"
"","","UGP2018KAC-AT01","","","","","","","","","UGP2018KAC-AT01-03002","","","","30","23","194","30","9","5","2","2","1","4","3","6","2","2","4.5","4.2","12","14.37","8.7","20.7","0.195652174","0.021649485","217","7.233333333","7.233333333","0.766666667","0.766666667","0.29","0.29","0.4","0.4","10.59907834","42.02898551","100","0.040092166","5","9.666666667","13.33333333","23","5","9.666666667","13.33333333","23"
"","","UGP2018KAC-AT01","","","","","","","","","UGP2018KAC-AT01-03009","","","","30","8","28","25","5","3","2","1","1","3","3","6","2","2","1.2","0.8","1.2","4.92","2","3.2","0.15","0.028571429","36","1.44","1.2","0.32","0.266666667","0.08","0.066666667","0.048","0.04","22.22222222","62.5","83.33333333","0.055555556","1.333333333","2.222222222","1.333333333","3.555555556","1.6","2.666666667","1.6","4.266666667"
"","","UGP2018KAC-AT01","","","","","","","","","UGP2018KAC-AT01-03006","","","","30","83","72","30","9","1","2","1","1","3","2","7","1","1","16.8","3","10.5","14.37","19.8","30.3","0.202409639","0.041666667","155","5.166666667","5.166666667","2.766666667","2.766666667","0.66","0.66","0.35","0.35","53.5483871","65.34653465","100","0.127741935","18.66666667","22","11.66666667","33.66666667","18.66666667","22","11.66666667","33.66666667"
"","","UGP2018KAC-AT01","","","","","","","","","UGP2018KAC-AT01-03013","","","","30","41","60","30","3","2","2","1","3","2","4","8","1","1","6.4","1.5","9","14.37","7.9","16.9","0.156097561","0.025","101","3.366666667","3.366666667","1.366666667","1.366666667","0.263333333","0.263333333","0.3","0.3","40.59405941","46.74556213","100","0.078217822","7.111111111","8.777777778","10","18.77777778","7.111111111","8.777777778","10","18.77777778"
"","","UGP2018KAC-AT01","","","","","","","","","UGP2018KAC-AT01-03004","","","","30","45","58","29","9","2","2","2","1","4","3","7","1","1","9.3","2.05","6","11.03","11.35","17.35","0.206666667","0.035344828","103","3.551724138","3.433333333","1.551724138","1.5","0.39137931","0.378333333","0.206896552","0.2","43.68932039","65.41786744","96.66666667","0.110194175","10.33333333","12.61111111","6.666666667","19.27777778","10.68965517","13.04597701","6.896551724","19.94252874"
"","","UGP2018KAC-AT01","","","","","","","","","UGP2018KAC-AT01-03001","","","","30","33","28","30","8","2","3","1","1","3","3","8","2","1","5.5","0.9","12","14.37","6.4","18.4","0.166666667","0.032142857","61","2.033333333","2.033333333","1.1","1.1","0.213333333","0.213333333","0.4","0.4","54.09836066","34.7826087","100","0.104918033","6.111111111","7.111111111","13.33333333","20.44444444","6.111111111","7.111111111","13.33333333","20.44444444"
"","","UGP2018KAC-AT01","","","","","","","","","UGP2018KAC-AT01-03007","","","","30","35","185","30","5","6","3","2","1","4","4","7","2","2","5.1","3.35","14.5","12.39","8.45","22.95","0.145714286","0.018108108","220","7.333333333","7.333333333","1.166666667","1.166666667","0.281666667","0.281666667","0.483333333","0.483333333","15.90909091","36.81917211","100","0.038409091","5.666666667","9.388888889","16.11111111","25.5","5.666666667","9.388888889","16.11111111","25.5"
"","","UGP2018KAC-AT01","","","","","","","","","UGP2018KAC-AT01-03003","","","","30","68","28","30","8","2","1","2","1","6","2","7","2","2","17.4","0.85","7","11.03","18.25","25.25","0.255882353","0.030357143","96","3.2","3.2","2.266666667","2.266666667","0.608333333","0.608333333","0.233333333","0.233333333","70.83333333","72.27722772","100","0.190104167","19.33333333","20.27777778","7.777777778","28.05555556","19.33333333","20.27777778","7.777777778","28.05555556"
"","","UGP2018KAC-AT01","","","","","","","","","UGP2018KAC-AT01-03011","","","","30","23","21","30","4","2","2","2","3","3","3","7","3","3","5","0.9","4","14.37","5.9","9.9","0.217391304","0.042857143","44","1.466666667","1.466666667","0.766666667","0.766666667","0.196666667","0.196666667","0.133333333","0.133333333","52.27272727","59.5959596","100","0.134090909","5.555555556","6.555555556","4.444444444","11","5.555555556","6.555555556","4.444444444","11"
"","","UGP2018KAC-AT01","","","","","","","","","UGP2018KAC-AT01-03012","","","","30","35","145","30","9","2","1","1","3","3","3","7","1","1","6.5","4.5","10","10.5","11","21","0.185714286","0.031034483","180","6","6","1.166666667","1.166666667","0.366666667","0.366666667","0.333333333","0.333333333","19.44444444","52.38095238","100","0.061111111","7.222222222","12.22222222","11.11111111","23.33333333","7.222222222","12.22222222","11.11111111","23.33333333"
"","","UGP2018KAC-AT01","","","","","","","","","UGP2018KAC-AT01-03008","","","","30","66","64","30","3","2","1","2","1","3","4","8","1","2","8","1.6","27","12.39","9.6","36.6","0.121212121","0.025","130","4.333333333","4.333333333","2.2","2.2","0.32","0.32","0.9","0.9","50.76923077","26.2295082","100","0.073846154","8.888888889","10.66666667","30","40.66666667","8.888888889","10.66666667","30","40.66666667"
