"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Number of plants planted per NET plot|CO_331:0000678","Number of plants established per NET plot|CO_331:0000192","Virus symptoms estimating 1-9|month 1|after planting|COMP:0000023","Alternaria symptoms estimating 1-9|month 1|before harvest|COMP:0000022","Vine vigor estimating 1-9|CO_331:0000197","Virus symptoms estimating 1-9|month 1|before harvest|COMP:0000024","Alternaria symptoms estimating 1-9|month 1|after planting|COMP:0000026","Number of plants harvested per NET plot|CO_331:0000679","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Weight of vines per NET plot in kg|CO_331:0000227","Storage root skin predominant color estimating 1-9 CIP|CO_331:0000175","Storage root predominant Flesh color estimating 1-9|CO_331:0000178","Reaction to sweet potato weevil estimating 1-9|CO_331:0000207","Storage root appearance estimating 1-9 CIP|CO_331:0000202","Storage root size estimating 1-9|CO_331:0000184","Sprouting ability estimating 1-9|CO_331:0000277","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Number of storage roots after harvest per NET plot|CO_331:0000233","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Number of commercial storage roots per plant harvested|CO_331:2000036","Storage roots yield in kg per plant harvested|CO_331:0000681","Vine weight in kg per plant harvested|CO_331:0000990","Percentage of commercial storage root|CO_331:0000682","Harvest index computing percent|CO_331:0000302","Average total storage root weight computation kg|CO_331:0002040","Commercial storage root yield tons per ha|CO_331:0000809","Total storage roots yield computation tons per ha|CO_331:0000296","Total foliage yield in tons per ha|CO_331:0000684","Biomass yield in tons per ha|CO_331:0001003","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant planted|CO_331:0000991","Survival index computing percent|CO_331:0000301","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield adjusted in tons per ha|CO_331:0001002","Biomass yield adjusted in tons per ha|CO_331:0001004"
"","","UGP2018KAC-ST01","","","","","","","","","UGP2018KAC-ST01-02001","","","","10","10","2","1","8","2","2","8","10","6","1.03","0.19","0.75","3","3","1","3","4","1","1.22","1.97","0.103","0.031666667","16","2","1.25","0.1525","0.09375","62.5","61.92893401","0.07625","3.433333333","4.066666667","2.5","6.566666667","1.6","1","0.122","0.075","80","4.291666667","5.083333333","3.125","8.208333333"
"","","UGP2018KAC-ST01","","","","","","","","","UGP2018KAC-ST01-02002","","","","10","10","1","1","8","2","2","9","10","15","1.03","0.32","2.65","3","7","2","7","4","3","1.35","4","0.103","0.021333333","25","2.777777778","1.111111111","0.15","0.294444444","40","33.75","0.054","3.433333333","4.5","8.833333333","13.33333333","2.5","1","0.135","0.265","90","3.814814815","5","9.814814815","14.81481481"
"","","UGP2018KAC-ST01","","","","","","","","","UGP2018KAC-ST01-02003","","","","10","10","2","2","6","2","2","10","11","6","1.07","0.26","1.6","8","6","1","4","4","1","1.33","2.93","0.097272727","0.043333333","17","1.7","1.1","0.133","0.16","64.70588235","45.39249147","0.078235294","3.566666667","4.433333333","5.333333333","9.766666667","1.7","1.1","0.133","0.16","100","3.566666667","4.433333333","5.333333333","9.766666667"
"","","UGP2018KAC-ST01","","","","","","","","","UGP2018KAC-ST01-02004","","","","10","10","2","2","8","2","2","8","7","11","1.14","0.3","2.75","8","7","1","6","4","1","1.44","4.19","0.162857143","0.027272727","18","2.25","0.875","0.18","0.34375","38.88888889","34.36754177","0.08","3.8","4.8","9.166666667","13.96666667","1.8","0.7","0.144","0.275","80","4.75","6","11.45833333","17.45833333"
"","","UGP2018KAC-ST01","","","","","","","","","UGP2018KAC-ST01-02005","","","","10","10","2","2","8","2","2","10","11","8","1.01","0.28","3.35","8","2","2","4","4","1","1.29","4.64","0.091818182","0.035","19","1.9","1.1","0.129","0.335","57.89473684","27.80172414","0.067894737","3.366666667","4.3","11.16666667","15.46666667","1.9","1.1","0.129","0.335","100","3.366666667","4.3","11.16666667","15.46666667"
"","","UGP2018KAC-ST01","","","","","","","","","UGP2018KAC-ST01-02006","","","","10","10","2","2","6","2","2","9","0","0","0","0","2.65","","","","","","","0","2.65","","","0","0","0","0","0.294444444","","0","","0","0","8.833333333","8.833333333","0","0","0","0.265","90","0","0","9.814814815","9.814814815"
"","","UGP2018KAC-ST01","","","","","","","","","UGP2018KAC-ST01-02007","","","","10","10","3","1","7","3","3","8","8","10","0.56","0.26","0.06","3","7","2","7","5","1","0.82","0.88","0.07","0.026","18","2.25","1","0.1025","0.0075","44.44444444","93.18181818","0.045555556","1.866666667","2.733333333","0.2","2.933333333","1.8","0.8","0.082","0.006","80","2.333333333","3.416666667","0.25","3.666666667"
"","","UGP2018KAC-ST01","","","","","","","","","UGP2018KAC-ST01-02008","","","","10","9","1","1","5","1","1","7","0","0","0","0","0.4","","","","","","","0","0.4","","","0","0","0","0","0.057142857","","0","","0","0","1.333333333","1.333333333","0","0","0","0.04","70","0","0","1.904761905","1.904761905"
"","","UGP2018KAC-ST01","","","","","","","","","UGP2018KAC-ST01-02009","","","","10","10","2","3","6","2","2","9","6","4","0.94","0.23","0.95","8","6","2","7","5","1","1.17","2.12","0.156666667","0.0575","10","1.111111111","0.666666667","0.13","0.105555556","60","55.18867925","0.117","3.133333333","3.9","3.166666667","7.066666667","1","0.6","0.117","0.095","90","3.481481481","4.333333333","3.518518519","7.851851852"
"","","UGP2018KAC-ST01","","","","","","","","","UGP2018KAC-ST01-02010","","","","10","10","2","2","7","2","2","9","28","19","1.9","0.37","0.65","5","8","2","6","6","1","2.27","2.92","0.067857143","0.019473684","47","5.222222222","3.111111111","0.252222222","0.072222222","59.57446809","77.73972603","0.048297872","6.333333333","7.566666667","2.166666667","9.733333333","4.7","2.8","0.227","0.065","90","7.037037037","8.407407407","2.407407407","10.81481481"
