"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Number of plants planted per NET plot|CO_331:0000678","Number of plants established per NET plot|CO_331:0000192","Virus symptoms estimating 1-9|month 1|after planting|COMP:0000023","Virus symptoms estimating 1-9|month 1|before harvest|COMP:0000024","Vine vigor estimating 1-9|CO_331:0000197","Alternaria symptoms estimating 1-9|month 1|before harvest|COMP:0000022","Alternaria symptoms estimating 1-9|month 1|after planting|COMP:0000026","Number of plants harvested per NET plot|CO_331:0000679","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Weight of vines per NET plot in kg|CO_331:0000227","Storage root skin predominant color estimating 1-9 CIP|CO_331:0000175","Storage root size estimating 1-9|CO_331:0000184","Storage root appearance estimating 1-9 CIP|CO_331:0000202","Reaction to sweet potato weevil estimating 1-9|CO_331:0000207","Sprouting ability estimating 1-9|CO_331:0000277","Content of beta-carotene in fresh weight basis in raw storage roots estimating from RHS color chart in mg per 100g|CO_331:0001023","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Number of storage roots after harvest per NET plot|CO_331:0000233","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant harvested|CO_331:2000036","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant harvested|CO_331:0000681","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant harvested|CO_331:0000990","Vine weight in kg per plant planted|CO_331:0000991","Percentage of commercial storage root|CO_331:0000682","Harvest index computing percent|CO_331:0000302","Survival index computing percent|CO_331:0000301","Average total storage root weight computation kg|CO_331:0002040","Commercial storage root yield tons per ha|CO_331:0000809","Total storage roots yield computation tons per ha|CO_331:0000296","Total foliage yield in tons per ha|CO_331:0000684","Biomass yield in tons per ha|CO_331:0001003","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield adjusted in tons per ha|CO_331:0001002","Biomass yield adjusted in tons per ha|CO_331:0001004"
"","","UGP2013NAM-PT01","","","","","","","","","UGP2013NAM-PT01-00068","","","","30","6","1","2","9","1","2","6","37","29","17.1","0.74","19.4","8","3","7","1","1","0","17.84","37.24","0.462162162","0.025517241","66","11","2.2","6.166666667","1.233333333","2.973333333","0.594666667","3.233333333","0.646666667","56.06060606","47.90547798","20","0.27030303","19","19.82222222","21.55555556","41.37777778","95","99.11111111","107.7777778","206.8888889"
"","","UGP2013NAM-PT01","","","","","","","","","UGP2013NAM-PT01-00069","","","","30","1","1","2","5","1","2","1","1","1","0.7","0.04","1.4","2","3","6","1","1","1.32","0.74","2.14","0.7","0.04","2","2","0.066666667","1","0.033333333","0.74","0.024666667","1.4","0.046666667","50","34.57943925","3.333333333","0.37","0.777777778","0.822222222","1.555555556","2.377777778","23.33333333","24.66666667","46.66666667","71.33333333"
"","","UGP2013NAM-PT01","","","","","","","","","UGP2013NAM-PT01-00070","","","","30","4","1","2","5","1","2","4","15","45","7","0.8","3.3","5","3","4","1","1","10.5","7.8","11.1","0.466666667","0.017777778","60","15","2","3.75","0.5","1.95","0.26","0.825","0.11","25","70.27027027","13.33333333","0.13","7.777777778","8.666666667","3.666666667","12.33333333","58.33333333","65","27.5","92.5"
"","","UGP2013NAM-PT01","","","","","","","","","UGP2013NAM-PT01-00071","","","","30","0","","","","","","0","0","0","0","0","0","","","","","","","0","0","","","0","","0","","0","","0","","0","","","0","","0","0","0","0","","","",""
"","","UGP2013NAM-PT01","","","","","","","","","UGP2013NAM-PT01-00072","","","","30","11","2","4","8","1","2","11","9","5","5.5","0.12","25.8","8","3","3","2","1","0","5.62","31.42","0.611111111","0.024","14","1.272727273","0.466666667","0.818181818","0.3","0.510909091","0.187333333","2.345454545","0.86","64.28571429","17.88669637","36.66666667","0.401428571","6.111111111","6.244444444","28.66666667","34.91111111","16.66666667","17.03030303","78.18181818","95.21212121"
"","","UGP2013NAM-PT01","","","","","","","","","UGP2013NAM-PT01-00073","","","","30","10","1","4","8","1","2","10","16","0","11.2","0","15.9","2","1","6","2","1","1.38","11.2","27.1","0.7","","16","1.6","0.533333333","1.6","0.533333333","1.12","0.373333333","1.59","0.53","100","41.32841328","33.33333333","0.7","12.44444444","12.44444444","17.66666667","30.11111111","37.33333333","37.33333333","53","90.33333333"
"","","UGP2013NAM-PT01","","","","","","","","","UGP2013NAM-PT01-00074","","","","30","4","1","2","8","1","2","4","10","9","4.3","","4.8","8","3","4","1","1","0","","","0.43","","19","4.75","0.633333333","2.5","0.333333333","","","1.2","0.16","52.63157895","","13.33333333","","4.777777778","","5.333333333","","35.83333333","","40",""
"","","UGP2013NAM-PT01","","","","","","","","","UGP2013NAM-PT01-00075","","","","30","5","3","4","6","1","2","0","0","0","0","0","0","","","","","","","0","0","","","0","","0","","0","","0","","0","","","0","","0","0","0","0","","","",""
"","","UGP2013NAM-PT01","","","","","","","","","UGP2013NAM-PT01-00076","","","","30","10","1","4","6","1","2","8","23","9","14.7","0.29","27","2","3","1","3","3","0.69","14.99","41.99","0.639130435","0.032222222","32","4","1.066666667","2.875","0.766666667","1.87375","0.499666667","3.375","0.9","71.875","35.69897595","26.66666667","0.4684375","16.33333333","16.65555556","30","46.65555556","61.25","62.45833333","112.5","174.9583333"
"","","UGP2013NAM-PT01","","","","","","","","","UGP2013NAM-PT01-00077","","","","30","16","2","5","7","2","2","14","30","22","5.7","0.6","8.1","6","3","3","3","1","0.12","6.3","14.4","0.19","0.027272727","52","3.714285714","1.733333333","2.142857143","1","0.45","0.21","0.578571429","0.27","57.69230769","43.75","46.66666667","0.121153846","6.333333333","7","9","16","13.57142857","15","19.28571429","34.28571429"
"","","UGP2013NAM-PT01","","","","","","","","","UGP2013NAM-PT01-00078","","","","30","0","","","","","","0","0","0","0","0","0","","","","","","","0","0","","","0","","0","","0","","0","","0","","","0","","0","0","0","0","","","",""
"","","UGP2013NAM-PT01","","","","","","","","","UGP2013NAM-PT01-00079","","","","30","8","1","2","9","1","2","8","15","8","5.8","0.18","7.2","8","3","6","2","1","0.15","5.98","13.18","0.386666667","0.0225","23","2.875","0.766666667","1.875","0.5","0.7475","0.199333333","0.9","0.24","65.2173913","45.37177542","26.66666667","0.26","6.444444444","6.644444444","8","14.64444444","24.16666667","24.91666667","30","54.91666667"
"","","UGP2013NAM-PT01","","","","","","","","","UGP2013NAM-PT01-00080","","","","30","15","1","2","9","1","2","15","37","29","27.9","0.72","32","8","3","4","4","3","0","28.62","60.62","0.754054054","0.024827586","66","4.4","2.2","2.466666667","1.233333333","1.908","0.954","2.133333333","1.066666667","56.06060606","47.21214121","50","0.433636364","31","31.8","35.55555556","67.35555556","62","63.6","71.11111111","134.7111111"
"","","UGP2013NAM-PT01","","","","","","","","","UGP2013NAM-PT01-00081","","","","30","0","","","","","","0","0","0","0","0","0","","","","","","","0","0","","","0","","0","","0","","0","","0","","","0","","0","0","0","0","","","",""
"","","UGP2013NAM-PT01","","","","","","","","","UGP2013NAM-PT01-00082","","","","30","10","2","2","9","1","2","7","44","48","9.7","1.3","28.6","2","3","8","3","1","0","11","39.6","0.220454545","0.027083333","92","13.14285714","3.066666667","6.285714286","1.466666667","1.571428571","0.366666667","4.085714286","0.953333333","47.82608696","27.77777778","23.33333333","0.119565217","10.77777778","12.22222222","31.77777778","44","46.19047619","52.38095238","136.1904762","188.5714286"
