"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Number of plants planted per NET plot|CO_331:0000678","Number of plants established per NET plot|CO_331:0000192","Virus symptoms estimating 1-9|month 1|after planting|COMP:0000023","Virus symptoms estimating 1-9|month 1|before harvest|COMP:0000024","Vine vigor estimating 1-9|CO_331:0000197","Alternaria symptoms estimating 1-9|month 1|before harvest|COMP:0000022","Alternaria symptoms estimating 1-9|month 1|after planting|COMP:0000026","Number of plants harvested per NET plot|CO_331:0000679","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Weight of vines per NET plot in kg|CO_331:0000227","Storage root skin predominant color estimating 1-9 CIP|CO_331:0000175","Reaction to sweet potato weevil estimating 1-9|CO_331:0000207","Sprouting ability estimating 1-9|CO_331:0000277","Storage root appearance estimating 1-9 CIP|CO_331:0000202","Storage root size estimating 1-9|CO_331:0000184","Content of beta-carotene in fresh weight basis in raw storage roots estimating from RHS color chart in mg per 100g|CO_331:0001023","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Number of storage roots after harvest per NET plot|CO_331:0000233","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant harvested|CO_331:2000036","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant harvested|CO_331:0000681","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant harvested|CO_331:0000990","Vine weight in kg per plant planted|CO_331:0000991","Percentage of commercial storage root|CO_331:0000682","Harvest index computing percent|CO_331:0000302","Survival index computing percent|CO_331:0000301","Average total storage root weight computation kg|CO_331:0002040","Commercial storage root yield tons per ha|CO_331:0000809","Total storage roots yield computation tons per ha|CO_331:0000296","Total foliage yield in tons per ha|CO_331:0000684","Biomass yield in tons per ha|CO_331:0001003","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield adjusted in tons per ha|CO_331:0001002","Biomass yield adjusted in tons per ha|CO_331:0001004"
"","","UGP2014NAM-PT07","","","","","","","","","UGP2014NAM-PT07-00048","","","","5","4","2","2","4","1","3","3","0","4","0","0.04","0.12","5","2","1","2","9","0.15","0.04","0.16","","0.01","4","1.333333333","0.8","0","0","0.013333333","0.008","0.04","0.024","0","25","60","0.01","0","0.266666667","0.8","1.066666667","0","0.444444444","1.333333333","1.777777778"
"","","UGP2014NAM-PT07","","","","","","","","","UGP2014NAM-PT07-00049","","","","5","0","","","","","","0","0","0","0","0","0","","","","","","","0","0","","","0","","0","","0","","0","","0","","","0","","0","0","0","0","","","",""
"","","UGP2014NAM-PT07","","","","","","","","","UGP2014NAM-PT07-00050","","","","5","5","2","7","6","1","2","4","0","4","0","0.12","0.2","2","2","2","3","9","0.15","0.12","0.32","","0.03","4","1","0.8","0","0","0.03","0.024","0.05","0.04","0","37.5","80","0.03","0","0.8","1.333333333","2.133333333","0","1","1.666666667","2.666666667"
"","","UGP2014NAM-PT07","","","","","","","","","UGP2014NAM-PT07-00051","","","","5","5","3","3","6","1","4","3","0","4","0","0.08","0.18","2","1","1","2","9","3.03","0.08","0.26","","0.02","4","1.333333333","0.8","0","0","0.026666667","0.016","0.06","0.036","0","30.76923077","60","0.02","0","0.533333333","1.2","1.733333333","0","0.888888889","2","2.888888889"
"","","UGP2014NAM-PT07","","","","","","","","","UGP2014NAM-PT07-00052","","","","5","0","","","","","","0","0","0","0","0","0","","","","","","","0","0","","","0","","0","","0","","0","","0","","","0","","0","0","0","0","","","",""
"","","UGP2014NAM-PT07","","","","","","","","","UGP2014NAM-PT07-00053","","","","5","2","5","6","5","2","3","2","0","1","0","0.04","0.06","6","1","1","2","9","12.39","0.04","0.1","","0.04","1","0.5","0.2","0","0","0.02","0.008","0.03","0.012","0","40","40","0.04","0","0.266666667","0.4","0.666666667","0","0.666666667","1","1.666666667"
"","","UGP2014NAM-PT07","","","","","","","","","UGP2014NAM-PT07-00054","","","","5","5","2","3","8","2","3","4","3","31","0.24","0.38","3.6","6","2","1","3","","0","0.62","4.22","0.08","0.012258065","34","8.5","6.8","0.75","0.6","0.155","0.124","0.9","0.72","8.823529412","14.69194313","80","0.018235294","1.6","4.133333333","24","28.13333333","2","5.166666667","30","35.16666667"
"","","UGP2014NAM-PT07","","","","","","","","","UGP2014NAM-PT07-00055","","","","5","5","3","3","6","2","2","3","0","1","0","0.01","0.16","2","1","4","3","9","4.41","0.01","0.17","","0.01","1","0.333333333","0.2","0","0","0.003333333","0.002","0.053333333","0.032","0","5.882352941","60","0.01","0","0.066666667","1.066666667","1.133333333","0","0.111111111","1.777777778","1.888888889"
"","","UGP2014NAM-PT07","","","","","","","","","UGP2014NAM-PT07-00056","","","","5","5","2","3","5","1","2","5","1","6","0.06","0.12","0.12","5","1","1","3","9","0","0.18","0.3","0.06","0.02","7","1.4","1.4","0.2","0.2","0.036","0.036","0.024","0.024","14.28571429","60","100","0.025714286","0.4","1.2","0.8","2","0.4","1.2","0.8","2"
"","","UGP2014NAM-PT07","","","","","","","","","UGP2014NAM-PT07-00057","","","","5","5","3","3","6","1","2","5","0","4","0","0.02","0.16","2","1","1","9","9","3.03","0.02","0.18","","0.005","4","0.8","0.8","0","0","0.004","0.004","0.032","0.032","0","11.11111111","100","0.005","0","0.133333333","1.066666667","1.2","0","0.133333333","1.066666667","1.2"
"","","UGP2014NAM-PT07","","","","","","","","","UGP2014NAM-PT07-00058","","","","5","5","3","3","7","2","2","5","5","16","0.32","0.32","0.32","2","2","1","2","7","7.23","0.64","0.96","0.064","0.02","21","4.2","4.2","1","1","0.128","0.128","0.064","0.064","23.80952381","66.66666667","100","0.03047619","2.133333333","4.266666667","2.133333333","6.4","2.133333333","4.266666667","2.133333333","6.4"
"","","UGP2014NAM-PT07","","","","","","","","","UGP2014NAM-PT07-00059","","","","5","4","2","2","4","5","7","2","0","7","0","0.04","","8","2","3","3","9","14.37","0.04","","","0.005714286","7","3.5","1.4","0","0","0.02","0.008","","","0","","40","0.005714286","0","0.266666667","","","0","0.666666667","",""
"","","UGP2014NAM-PT07","","","","","","","","","UGP2014NAM-PT07-00060","","","","5","4","3","4","7","2","2","4","0","8","0","0.04","0.42","2","1","1","9","9","0.12","0.04","0.46","","0.005","8","2","1.6","0","0","0.01","0.008","0.105","0.084","0","8.695652174","80","0.005","0","0.266666667","2.8","3.066666667","0","0.333333333","3.5","3.833333333"
