"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Number of plants planted per NET plot|CO_331:0000678","Number of plants established per NET plot|CO_331:0000192","Virus symptoms estimating 1-9|month 1|after planting|COMP:0000023","Virus symptoms estimating 1-9|month 1|before harvest|COMP:0000024","Vine vigor estimating 1-9|CO_331:0000197","Alternaria symptoms estimating 1-9|month 1|before harvest|COMP:0000022","Alternaria symptoms estimating 1-9|month 1|after planting|COMP:0000026","Number of plants harvested per NET plot|CO_331:0000679","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Weight of vines per NET plot in kg|CO_331:0000227","Storage root skin predominant color estimating 1-9 CIP|CO_331:0000175","Storage root predominant Flesh color estimating 1-9|CO_331:0000178","Reaction to sweet potato weevil estimating 1-9|CO_331:0000207","Sprouting ability estimating 1-9|CO_331:0000277","Storage root appearance estimating 1-9 CIP|CO_331:0000202","Storage root size estimating 1-9|CO_331:0000184","Content of beta-carotene in fresh weight basis in raw storage roots estimating from RHS color chart in mg per 100g|CO_331:0001023","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Number of storage roots after harvest per NET plot|CO_331:0000233","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant harvested|CO_331:2000036","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant harvested|CO_331:0000681","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant harvested|CO_331:0000990","Vine weight in kg per plant planted|CO_331:0000991","Percentage of commercial storage root|CO_331:0000682","Harvest index computing percent|CO_331:0000302","Survival index computing percent|CO_331:0000301","Commercial storage root yield tons per ha|CO_331:0000809","Total storage roots yield computation tons per ha|CO_331:0000296","Total foliage yield in tons per ha|CO_331:0000684","Biomass yield in tons per ha|CO_331:0001003","Average total storage root weight computation kg|CO_331:0002040","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield adjusted in tons per ha|CO_331:0001002","Biomass yield adjusted in tons per ha|CO_331:0001004"
"","","UGP2016NAM-PT07","","","","","","","","","UGP2016NAM-PT07-00021","","","","30","30","1","3","7","1","2","30","38","8","8","0.32","7","8","4","1","1","3","3","0.02","8.32","15.32","0.210526316","0.04","46","1.533333333","1.533333333","1.266666667","1.266666667","0.277333333","0.277333333","0.233333333","0.233333333","82.60869565","54.30809399","100","8.888888889","9.244444444","7.777777778","17.02222222","0.180869565","8.888888889","9.244444444","7.777777778","17.02222222"
"","","UGP2016NAM-PT07","","","","","","","","","UGP2016NAM-PT07-00022","","","","30","29","2","4","7","1","2","29","29","6","5","0.18","11","6","5","1","1","3","3","0","5.18","16.18","0.172413793","0.03","35","1.206896552","1.166666667","1","0.966666667","0.17862069","0.172666667","0.379310345","0.366666667","82.85714286","32.01483313","96.66666667","5.555555556","5.755555556","12.22222222","17.97777778","0.148","5.747126437","5.954022989","12.64367816","18.59770115"
"","","UGP2016NAM-PT07","","","","","","","","","UGP2016NAM-PT07-00023","","","","30","25","1","2","8","1","2","21","50","23","6.5","0.47","11.1","8","2","1","1","2","4","0","6.97","18.07","0.13","0.020434783","73","3.476190476","2.433333333","2.380952381","1.666666667","0.331904762","0.232333333","0.528571429","0.37","68.49315068","38.57221915","70","7.222222222","7.744444444","12.33333333","20.07777778","0.095479452","10.31746032","11.06349206","17.61904762","28.68253968"
"","","UGP2016NAM-PT07","","","","","","","","","UGP2016NAM-PT07-00024","","","","30","26","2","6","7","1","3","26","38","10","4.2","0.23","9","5","4","2","2","3","5","0.02","4.43","13.43","0.110526316","0.023","48","1.846153846","1.6","1.461538462","1.266666667","0.170384615","0.147666667","0.346153846","0.3","79.16666667","32.98585257","86.66666667","4.666666667","4.922222222","10","14.92222222","0.092291667","5.384615385","5.679487179","11.53846154","17.21794872"
"","","UGP2016NAM-PT07","","","","","","","","","UGP2016NAM-PT07-00025","","","","30","20","1","2","7","1","3","19","30","9","6","0.24","5","4","3","2","1","3","3","0.12","6.24","11.24","0.2","0.026666667","39","2.052631579","1.3","1.578947368","1","0.328421053","0.208","0.263157895","0.166666667","76.92307692","55.51601423","63.33333333","6.666666667","6.933333333","5.555555556","12.48888889","0.16","10.52631579","10.94736842","8.771929825","19.71929825"
"","","UGP2016NAM-PT07","","","","","","","","","UGP2016NAM-PT07-00026","","","","30","22","6","7","6","1","2","10","4","7","0.2","0.11","2.3","3","3","1","1","3","8","0.12","0.31","2.61","0.05","0.015714286","11","1.1","0.366666667","0.4","0.133333333","0.031","0.010333333","0.23","0.076666667","36.36363636","11.87739464","33.33333333","0.222222222","0.344444444","2.555555556","2.9","0.028181818","0.666666667","1.033333333","7.666666667","8.7"
"","","UGP2016NAM-PT07","","","","","","","","","UGP2016NAM-PT07-00027","","","","30","28","3","3","7","1","2","19","44","20","6","0.6","7.6","8","2","1","1","3","5","0","6.6","14.2","0.136363636","0.03","64","3.368421053","2.133333333","2.315789474","1.466666667","0.347368421","0.22","0.4","0.253333333","68.75","46.47887324","63.33333333","6.666666667","7.333333333","8.444444444","15.77777778","0.103125","10.52631579","11.57894737","13.33333333","24.9122807"
"","","UGP2016NAM-PT07","","","","","","","","","UGP2016NAM-PT07-00028","","","","30","26","2","3","6","1","2","19","31","9","5.7","0.23","7","8","2","1","4","3","3","0","5.93","12.93","0.183870968","0.025555556","40","2.105263158","1.333333333","1.631578947","1.033333333","0.312105263","0.197666667","0.368421053","0.233333333","77.5","45.86233565","63.33333333","6.333333333","6.588888889","7.777777778","14.36666667","0.14825","10","10.40350877","12.28070175","22.68421053"
"","","UGP2016NAM-PT07","","","","","","","","","UGP2016NAM-PT07-00029","","","","30","30","2","3","8","1","2","24","25","4","4.3","0.2","11.8","6","5","1","1","3","3","0","4.5","16.3","0.172","0.05","29","1.208333333","0.966666667","1.041666667","0.833333333","0.1875","0.15","0.491666667","0.393333333","86.20689655","27.60736196","80","4.777777778","5","13.11111111","18.11111111","0.155172414","5.972222222","6.25","16.38888889","22.63888889"
"","","UGP2016NAM-PT07","","","","","","","","","UGP2016NAM-PT07-00030","","","","30","30","1","2","7","1","2","15","19","5","2.7","0.22","13.2","8","5","1","1","3","5","0","2.92","16.12","0.142105263","0.044","24","1.6","0.8","1.266666667","0.633333333","0.194666667","0.097333333","0.88","0.44","79.16666667","18.11414392","50","3","3.244444444","14.66666667","17.91111111","0.121666667","6","6.488888889","29.33333333","35.82222222"
"","","UGP2016NAM-PT07","","","","","","","","","UGP2016NAM-PT07-00031","","","","30","25","1","2","8","1","2","25","31","5","6","0.18","8.3","3","4","1","1","3","4","0.02","6.18","14.48","0.193548387","0.036","36","1.44","1.2","1.24","1.033333333","0.2472","0.206","0.332","0.276666667","86.11111111","42.67955801","83.33333333","6.666666667","6.866666667","9.222222222","16.08888889","0.171666667","8","8.24","11.06666667","19.30666667"
"","","UGP2016NAM-PT07","","","","","","","","","UGP2016NAM-PT07-00032","","","","30","30","2","3","7","1","2","14","33","1","6.2","0.02","8","9","4","1","1","2","3","0.02","6.22","14.22","0.187878788","0.02","34","2.428571429","1.133333333","2.357142857","1.1","0.444285714","0.207333333","0.571428571","0.266666667","97.05882353","43.74120956","46.66666667","6.888888889","6.911111111","8.888888889","15.8","0.182941176","14.76190476","14.80952381","19.04761905","33.85714286"
"","","UGP2016NAM-PT07","","","","","","","","","UGP2016NAM-PT07-00033","","","","30","30","2","2","8","1","2","27","35","2","8","0.03","8.3","4","5","1","1","2","3","0","8.03","16.33","0.228571429","0.015","37","1.37037037","1.233333333","1.296296296","1.166666667","0.297407407","0.267666667","0.307407407","0.276666667","94.59459459","49.17330067","90","8.888888889","8.922222222","9.222222222","18.14444444","0.217027027","9.87654321","9.913580247","10.24691358","20.16049383"
