"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Number of plants planted per NET plot|CO_331:0000678","Number of plants established per NET plot|CO_331:0000192","Virus symptoms estimating 1-9|month 1|after planting|COMP:0000023","Virus symptoms estimating 1-9|month 1|before harvest|COMP:0000024","Vine vigor estimating 1-9|CO_331:0000197","Alternaria symptoms estimating 1-9|month 1|before harvest|COMP:0000022","Alternaria symptoms estimating 1-9|month 1|after planting|COMP:0000026","Number of plants harvested per NET plot|CO_331:0000679","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Weight of vines per NET plot in kg|CO_331:0000227","Storage root skin predominant color estimating 1-9 CIP|CO_331:0000175","Reaction to sweet potato weevil estimating 1-9|CO_331:0000207","Sprouting ability estimating 1-9|CO_331:0000277","Storage root appearance estimating 1-9 CIP|CO_331:0000202","Storage root size estimating 1-9|CO_331:0000184","Content of beta-carotene in fresh weight basis in raw storage roots estimating from RHS color chart in mg per 100g|CO_331:0001023","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Number of storage roots after harvest per NET plot|CO_331:0000233","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant harvested|CO_331:2000036","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant harvested|CO_331:0000681","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant harvested|CO_331:0000990","Vine weight in kg per plant planted|CO_331:0000991","Percentage of commercial storage root|CO_331:0000682","Harvest index computing percent|CO_331:0000302","Survival index computing percent|CO_331:0000301","Average total storage root weight computation kg|CO_331:0002040","Commercial storage root yield tons per ha|CO_331:0000809","Total storage roots yield computation tons per ha|CO_331:0000296","Total foliage yield in tons per ha|CO_331:0000684","Biomass yield in tons per ha|CO_331:0001003","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield adjusted in tons per ha|CO_331:0001002","Biomass yield adjusted in tons per ha|CO_331:0001004"
"","","UGP2013SER-OT01","","","","","","","","","UGP2013SER-OT01-00042","","","","5","5","2","2","6","2","6","3","0","2","0","0.1","0.3","2","1","1","2","5","0","0.1","0.4","","0.05","2","0.666666667","0.4","0","0","0.033333333","0.02","0.1","0.06","0","25","60","0.05","0","0.666666667","2","2.666666667","0","1.111111111","3.333333333","4.444444444"
"","","UGP2013SER-OT01","","","","","","","","","UGP2013SER-OT01-00044","","","","5","3","2","2","6","3","1","2","2","1","0.4","0.05","2.9","2","1","1","4","5","0.12","0.45","3.35","0.2","0.05","3","1.5","0.6","1","0.4","0.225","0.09","1.45","0.58","66.66666667","13.43283582","40","0.15","2.666666667","3","19.33333333","22.33333333","6.666666667","7.5","48.33333333","55.83333333"
"","","UGP2013SER-OT01","","","","","","","","","UGP2013SER-OT01-00045","","","","5","5","2","2","7","4","2","3","2","3","0.24","0.06","0.4","5","2","1","4","5","0.02","0.3","0.7","0.12","0.02","5","1.666666667","1","0.666666667","0.4","0.1","0.06","0.133333333","0.08","40","42.85714286","60","0.06","1.6","2","2.666666667","4.666666667","2.666666667","3.333333333","4.444444444","7.777777778"
"","","UGP2013SER-OT01","","","","","","","","","UGP2013SER-OT01-00046","","","","5","4","3","2","8","3","6","3","5","2","1","0.01","3.2","2","1","3","7","3","0.12","1.01","4.21","0.2","0.005","7","2.333333333","1.4","1.666666667","1","0.336666667","0.202","1.066666667","0.64","71.42857143","23.99049881","60","0.144285714","6.666666667","6.733333333","21.33333333","28.06666667","11.11111111","11.22222222","35.55555556","46.77777778"
"","","UGP2013SER-OT01","","","","","","","","","UGP2013SER-OT01-00047","","","","5","1","2","2","4","2","2","1","0","1","0","0.01","0.5","2","1","1","2","9","0.02","0.01","0.51","","0.01","1","1","0.2","0","0","0.01","0.002","0.5","0.1","0","1.960784314","20","0.01","0","0.066666667","3.333333333","3.4","0","0.333333333","16.66666667","17"
"","","UGP2013SER-OT01","","","","","","","","","UGP2013SER-OT01-00048","","","","5","1","1","1","8","1","2","1","0","2","0","0.1","1.1","5","1","1","8","5","0.12","0.1","1.2","","0.05","2","2","0.4","0","0","0.1","0.02","1.1","0.22","0","8.333333333","20","0.05","0","0.666666667","7.333333333","8","0","3.333333333","36.66666667","40"
"","","UGP2013SER-OT01","","","","","","","","","UGP2013SER-OT01-00051","","","","5","1","3","2","7","1","2","1","0","5","0","0.2","6.8","2","1","3","9","7","0.02","0.2","7","","0.04","5","5","1","0","0","0.2","0.04","6.8","1.36","0","2.857142857","20","0.04","0","1.333333333","45.33333333","46.66666667","0","6.666666667","226.6666667","233.3333333"
"","","UGP2013SER-OT01","","","","","","","","","UGP2013SER-OT01-00052","","","","5","4","2","2","6","1","2","3","4","7","0.4","0.08","0.8","2","1","4","6","5","0.12","0.48","1.28","0.1","0.011428571","11","3.666666667","2.2","1.333333333","0.8","0.16","0.096","0.266666667","0.16","36.36363636","37.5","60","0.043636364","2.666666667","3.2","5.333333333","8.533333333","4.444444444","5.333333333","8.888888889","14.22222222"
"","","UGP2013SER-OT01","","","","","","","","","UGP2013SER-OT01-00053","","","","5","4","1","3","5","2","5","2","4","11","1.16","0.2","2.4","5","1","1","8","3","0.02","1.36","3.76","0.29","0.018181818","15","7.5","3","2","0.8","0.68","0.272","1.2","0.48","26.66666667","36.17021277","40","0.090666667","7.733333333","9.066666667","16","25.06666667","19.33333333","22.66666667","40","62.66666667"
"","","UGP2013SER-OT01","","","","","","","","","UGP2013SER-OT01-00063","","","","5","4","2","2","9","2","2","1","0","1","0","0.04","8.4","8","1","1","9","9","0","0.04","8.44","","0.04","1","1","0.2","0","0","0.04","0.008","8.4","1.68","0","0.473933649","20","0.04","0","0.266666667","56","56.26666667","0","1.333333333","280","281.3333333"
