"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Number of plants planted per NET plot|CO_331:0000678","Number of plants established per NET plot|CO_331:0000192","Virus symptoms estimating 1-9|month 1|after planting|COMP:0000023","Virus symptoms estimating 1-9|month 1|before harvest|COMP:0000024","Vine vigor estimating 1-9|CO_331:0000197","Alternaria symptoms estimating 1-9|month 1|before harvest|COMP:0000022","Alternaria symptoms estimating 1-9|month 1|after planting|COMP:0000026","Number of plants harvested per NET plot|CO_331:0000679","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Weight of vines per NET plot in kg|CO_331:0000227","Storage root skin predominant color estimating 1-9 CIP|CO_331:0000175","Reaction to sweet potato weevil estimating 1-9|CO_331:0000207","Sprouting ability estimating 1-9|CO_331:0000277","Storage root shape estimating 1-9 CIP|CO_331:0000181","Storage root size estimating 1-9|CO_331:0000184","Content of beta-carotene in fresh weight basis in raw storage roots estimating from RHS color chart in mg per 100g|CO_331:0001023","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Number of storage roots after harvest per NET plot|CO_331:0000233","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Average total storage root weight computation kg|CO_331:0002040","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant harvested|CO_331:2000036","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant harvested|CO_331:0000681","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant harvested|CO_331:0000990","Vine weight in kg per plant planted|CO_331:0000991","Percentage of commercial storage root|CO_331:0000682","Harvest index computing percent|CO_331:0000302","Survival index computing percent|CO_331:0000301","Commercial storage root yield tons per ha|CO_331:0000809","Total storage roots yield computation tons per ha|CO_331:0000296","Total foliage yield in tons per ha|CO_331:0000684","Biomass yield in tons per ha|CO_331:0001003","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield adjusted in tons per ha|CO_331:0001002","Biomass yield adjusted in tons per ha|CO_331:0001004"
"","","UGP2017NAM-PT03","","","","","","","","","UGP2017NAM-PT03-00029","","","","30","17","2","4","6","2","2","17","32","19","4","0.5","13","9","3","1","2","4","0","4.5","17.5","51","0.125","0.026315789","0.088235294","3","1.7","1.882352941","1.066666667","0.264705882","0.15","0.764705882","0.433333333","62.74509804","25.71428571","56.66666667","4.444444444","5","14.44444444","19.44444444","7.843137255","8.823529412","25.49019608","34.31372549"
"","","UGP2017NAM-PT03","","","","","","","","","UGP2017NAM-PT03-00030","","","","30","18","2","4","8","2","3","18","16","0","9","0","35","8","4","3","6","2","0","9","44","16","0.5625","","0.5625","0.888888889","0.533333333","0.888888889","0.533333333","0.5","0.3","1.944444444","1.166666667","100","20.45454545","60","10","10","38.88888889","48.88888889","16.66666667","16.66666667","64.81481481","81.48148148"
"","","UGP2017NAM-PT03","","","","","","","","","UGP2017NAM-PT03-00031","","","","30","11","2","3","7","2","5","11","7","1","2","","11","3","2","1","4","3","0","","","8","0.285714286","","","0.727272727","0.266666667","0.636363636","0.233333333","","","1","0.366666667","87.5","","36.66666667","2.222222222","","12.22222222","","6.060606061","","33.33333333",""
"","","UGP2017NAM-PT03","","","","","","","","","UGP2017NAM-PT03-00032","","","","30","22","3","5","6","2","2","20","21","10","4.5","0.3","9","5","3","1","4","3","0","4.8","13.8","31","0.214285714","0.03","0.15483871","1.55","1.033333333","1.05","0.7","0.24","0.16","0.45","0.3","67.74193548","34.7826087","66.66666667","5","5.333333333","10","15.33333333","7.5","8","15","23"
"","","UGP2017NAM-PT03","","","","","","","","","UGP2017NAM-PT03-00033","","","","30","20","3","7","7","2","2","20","31","8","6","0.3","3","5","4","3","3","3","0.12","6.3","9.3","39","0.193548387","0.0375","0.161538462","1.95","1.3","1.55","1.033333333","0.315","0.21","0.15","0.1","79.48717949","67.74193548","66.66666667","6.666666667","7","3.333333333","10.33333333","10","10.5","5","15.5"
"","","UGP2017NAM-PT03","","","","","","","","","UGP2017NAM-PT03-00034","","","","30","20","3","6","6","2","4","20","6","7","2","0.25","7","5","2","1","2","3","0.12","2.25","9.25","13","0.333333333","0.035714286","0.173076923","0.65","0.433333333","0.3","0.2","0.1125","0.075","0.35","0.233333333","46.15384615","24.32432432","66.66666667","2.222222222","2.5","7.777777778","10.27777778","3.333333333","3.75","11.66666667","15.41666667"
"","","UGP2017NAM-PT03","","","","","","","","","UGP2017NAM-PT03-00036","","","","30","24","2","3","8","2","2","23","30","9","8","0.45","55","9","3","1","7","2","1.65","8.45","63.45","39","0.266666667","0.05","0.216666667","1.695652174","1.3","1.304347826","1","0.367391304","0.281666667","2.391304348","1.833333333","76.92307692","13.31757289","76.66666667","8.888888889","9.388888889","61.11111111","70.5","11.5942029","12.24637681","79.71014493","91.95652174"
"","","UGP2017NAM-PT03","","","","","","","","","UGP2017NAM-PT03-00037","","","","30","20","2","4","6","2","2","20","39","9","10","0.35","12","3","4","1","3","4","0","10.35","22.35","48","0.256410256","0.038888889","0.215625","2.4","1.6","1.95","1.3","0.5175","0.345","0.6","0.4","81.25","46.30872483","66.66666667","11.11111111","11.5","13.33333333","24.83333333","16.66666667","17.25","20","37.25"
"","","UGP2017NAM-PT03","","","","","","","","","UGP2017NAM-PT03-00038","","","","30","18","2","2","8","2","2","16","34","11","7.5","0.3","48","8","2","1","4","3","0.02","7.8","55.8","45","0.220588235","0.027272727","0.173333333","2.8125","1.5","2.125","1.133333333","0.4875","0.26","3","1.6","75.55555556","13.97849462","53.33333333","8.333333333","8.666666667","53.33333333","62","15.625","16.25","100","116.25"
"","","UGP2017NAM-PT03","","","","","","","","","UGP2017NAM-PT03-00039","","","","30","16","2","7","6","2","3","14","17","9","1.5","0.2","8","5","2","1","2","5","7.76","1.7","9.7","26","0.088235294","0.022222222","0.065384615","1.857142857","0.866666667","1.214285714","0.566666667","0.121428571","0.056666667","0.571428571","0.266666667","65.38461538","17.5257732","46.66666667","1.666666667","1.888888889","8.888888889","10.77777778","3.571428571","4.047619048","19.04761905","23.0952381"
"","","UGP2017NAM-PT03","","","","","","","","","UGP2017NAM-PT03-00040","","","","30","26","3","3","8","2","2","19","26","0","15","0","28","8","2","1","4","1","0","15","43","26","0.576923077","","0.576923077","1.368421053","0.866666667","1.368421053","0.866666667","0.789473684","0.5","1.473684211","0.933333333","100","34.88372093","63.33333333","16.66666667","16.66666667","31.11111111","47.77777778","26.31578947","26.31578947","49.12280702","75.43859649"
"","","UGP2017NAM-PT03","","","","","","","","","UGP2017NAM-PT03-00041","","","","30","22","2","4","8","2","2","19","53","8","13.5","0.3","40","6","3","1","6","2","0","13.8","53.8","61","0.254716981","0.0375","0.226229508","3.210526316","2.033333333","2.789473684","1.766666667","0.726315789","0.46","2.105263158","1.333333333","86.8852459","25.65055762","63.33333333","15","15.33333333","44.44444444","59.77777778","23.68421053","24.21052632","70.1754386","94.38596491"
"","","UGP2017NAM-PT03","","","","","","","","","UGP2017NAM-PT03-00042","","","","30","28","2","3","9","2","2","28","12","0","6.5","0","70","8","4","1","4","1","0","6.5","76.5","12","0.541666667","","0.541666667","0.428571429","0.4","0.428571429","0.4","0.232142857","0.216666667","2.5","2.333333333","100","8.496732026","93.33333333","7.222222222","7.222222222","77.77777778","85","7.738095238","7.738095238","83.33333333","91.07142857"
"","","UGP2017NAM-PT03","","","","","","","","","UGP2017NAM-PT03-00043","","","","30","17","1","3","9","1","2","17","58","5","21","0.45","9","3","3","1","4","1","0","21.45","30.45","63","0.362068966","0.09","0.34047619","3.705882353","2.1","3.411764706","1.933333333","1.261764706","0.715","0.529411765","0.3","92.06349206","70.44334975","56.66666667","23.33333333","23.83333333","10","33.83333333","41.17647059","42.05882353","17.64705882","59.70588235"
"","","UGP2017NAM-PT03","","","","","","","","","UGP2017NAM-PT03-00044","","","","30","17","3","5","6","2","2","17","44","5","14","","38","3","3","1","6","1","0","","","49","0.318181818","","","2.882352941","1.633333333","2.588235294","1.466666667","","","2.235294118","1.266666667","89.79591837","","56.66666667","15.55555556","","42.22222222","","27.45098039","","74.50980392",""
"","","UGP2017NAM-PT03","","","","","","","","","UGP2017NAM-PT03-00045","","","","30","21","2","3","8","2","2","16","23","0","14","0","30","3","2","1","8","1","0","14","44","23","0.608695652","","0.608695652","1.4375","0.766666667","1.4375","0.766666667","0.875","0.466666667","1.875","1","100","31.81818182","53.33333333","15.55555556","15.55555556","33.33333333","48.88888889","29.16666667","29.16666667","62.5","91.66666667"
"","","UGP2017NAM-PT03","","","","","","","","","UGP2017NAM-PT03-00046","","","","30","26","2","5","7","2","2","22","57","0","23","0","37","8","4","1","4","1","0.02","23","60","57","0.403508772","","0.403508772","2.590909091","1.9","2.590909091","1.9","1.045454545","0.766666667","1.681818182","1.233333333","100","38.33333333","73.33333333","25.55555556","25.55555556","41.11111111","66.66666667","34.84848485","34.84848485","56.06060606","90.90909091"
"","","UGP2017NAM-PT03","","","","","","","","","UGP2017NAM-PT03-00047","","","","30","9","2","2","6","2","2","9","21","4","6","0.1","6","4","2","1","2","2","1.04","6.1","12.1","25","0.285714286","0.025","0.244","2.777777778","0.833333333","2.333333333","0.7","0.677777778","0.203333333","0.666666667","0.2","84","50.41322314","30","6.666666667","6.777777778","6.666666667","13.44444444","22.22222222","22.59259259","22.22222222","44.81481481"
"","","UGP2017NAM-PT03","","","","","","","","","UGP2017NAM-PT03-00048","","","","30","25","2","2","9","2","2","23","34","14","9.5","0.3","105","9","2","1","3","2","0","9.8","114.8","48","0.279411765","0.021428571","0.204166667","2.086956522","1.6","1.47826087","1.133333333","0.426086957","0.326666667","4.565217391","3.5","70.83333333","8.536585366","76.66666667","10.55555556","10.88888889","116.6666667","127.5555556","13.76811594","14.20289855","152.173913","166.3768116"
