"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Number of plants planted per NET plot|CO_331:0000678","Number of plants established per NET plot|CO_331:0000192","Virus symptoms estimating 1-9|month 1|after planting|COMP:0000023","Alternaria symptoms estimating 1-9|month 1|before harvest|COMP:0000022","Vine vigor estimating 1-9|CO_331:0000197","Virus symptoms estimating 1-9|month 1|before harvest|COMP:0000024","Alternaria symptoms estimating 1-9|month 1|after planting|COMP:0000026","Number of plants harvested per NET plot|CO_331:0000679","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Weight of vines per NET plot in kg|CO_331:0000227","Storage root skin predominant color estimating 1-9 CIP|CO_331:0000175","Storage root predominant Flesh color estimating 1-9|CO_331:0000178","Reaction to sweet potato weevil estimating 1-9|CO_331:0000207","Storage root size estimating 1-9|CO_331:0000184","Storage root appearance estimating 1-9 CIP|CO_331:0000202","Sprouting ability estimating 1-9|CO_331:0000277","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Number of storage roots after harvest per NET plot|CO_331:0000233","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant harvested|CO_331:2000036","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant harvested|CO_331:0000681","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant harvested|CO_331:0000990","Vine weight in kg per plant planted|CO_331:0000991","Percentage of commercial storage root|CO_331:0000682","Harvest index computing percent|CO_331:0000302","Survival index computing percent|CO_331:0000301","Commercial storage root yield tons per ha|CO_331:0000809","Total storage roots yield computation tons per ha|CO_331:0000296","Total foliage yield in tons per ha|CO_331:0000684","Biomass yield in tons per ha|CO_331:0001003","Average total storage root weight computation kg|CO_331:0002040","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield adjusted in tons per ha|CO_331:0001002","Biomass yield adjusted in tons per ha|CO_331:0001004"
"","","UGP2018NAM-OT05","","","","","","","","","UGP2018NAM-OT05-00306","","","","3","2","4","2","7","6","2","2","0","0","0","0","2.8","","","","","","","0","2.8","","","0","0","0","0","0","0","0","1.4","0.933333333","","0","66.66666667","0","0","31.11111111","31.11111111","","0","0","46.66666667","46.66666667"
"","","UGP2018NAM-OT05","","","","","","","","","UGP2018NAM-OT05-00307","","","","3","2","3","3","7","6","6","2","2","4","0.5","0.08","0.55","5","7","3","7","7","1","0.58","1.13","0.25","0.02","6","3","2","1","0.666666667","0.29","0.193333333","0.275","0.183333333","33.33333333","51.32743363","66.66666667","5.555555556","6.444444444","6.111111111","12.55555556","0.096666667","8.333333333","9.666666667","9.166666667","18.83333333"
"","","UGP2018NAM-OT05","","","","","","","","","UGP2018NAM-OT05-00308","","","","3","3","4","4","7","8","6","3","3","0","0.7","0","1.9","2","3","1","4","3","1","0.7","2.6","0.233333333","","3","1","1","1","1","0.233333333","0.233333333","0.633333333","0.633333333","100","26.92307692","100","7.777777778","7.777777778","21.11111111","28.88888889","0.233333333","7.777777778","7.777777778","21.11111111","28.88888889"
"","","UGP2018NAM-OT05","","","","","","","","","UGP2018NAM-OT05-00309","","","","3","1","4","2","6","5","2","1","1","0","0.35","0","1.6","3","3","1","6","2","1","0.35","1.95","0.35","","1","1","0.333333333","1","0.333333333","0.35","0.116666667","1.6","0.533333333","100","17.94871795","33.33333333","3.888888889","3.888888889","17.77777778","21.66666667","0.35","11.66666667","11.66666667","53.33333333","65"
"","","UGP2018NAM-OT05","","","","","","","","","UGP2018NAM-OT05-00310","","","","3","2","6","2","9","7","2","2","2","0","0.55","0","3.1","3","7","2","6","3","3","0.55","3.65","0.275","","2","1","0.666666667","1","0.666666667","0.275","0.183333333","1.55","1.033333333","100","15.06849315","66.66666667","6.111111111","6.111111111","34.44444444","40.55555556","0.275","9.166666667","9.166666667","51.66666667","60.83333333"
"","","UGP2018NAM-OT05","","","","","","","","","UGP2018NAM-OT05-00311","","","","3","2","3","2","7","4","2","2","4","0","2.1","0","7","6","6","2","6","1","1","2.1","9.1","0.525","","4","2","1.333333333","2","1.333333333","1.05","0.7","3.5","2.333333333","100","23.07692308","66.66666667","23.33333333","23.33333333","77.77777778","101.1111111","0.525","35","35","116.6666667","151.6666667"
"","","UGP2018NAM-OT05","","","","","","","","","UGP2018NAM-OT05-00312","","","","3","0","","","","","","0","0","0","0","0","0","","","","","","","0","0","","","0","","0","","0","","0","","0","","","0","0","0","0","0","","","","",""
"","","UGP2018NAM-OT05","","","","","","","","","UGP2018NAM-OT05-00313","","","","3","3","6","2","7","7","2","2","1","0","0.21","0","0.75","2","3","3","2","5","1","0.21","0.96","0.21","","1","0.5","0.333333333","0.5","0.333333333","0.105","0.07","0.375","0.25","100","21.875","66.66666667","2.333333333","2.333333333","8.333333333","10.66666667","0.21","3.5","3.5","12.5","16"
"","","UGP2018NAM-OT05","","","","","","","","","UGP2018NAM-OT05-00314","","","","3","3","3","2","9","6","2","3","1","0","0.44","0","3.54","9","7","1","3","6","1","0.44","3.98","0.44","","1","0.333333333","0.333333333","0.333333333","0.333333333","0.146666667","0.146666667","1.18","1.18","100","11.05527638","100","4.888888889","4.888888889","39.33333333","44.22222222","0.44","4.888888889","4.888888889","39.33333333","44.22222222"
"","","UGP2018NAM-OT05","","","","","","","","","UGP2018NAM-OT05-00315","","","","3","3","4","2","8","5","2","3","3","0","2.41","0","1.71","6","6","1","5","1","1","2.41","4.12","0.803333333","","3","1","1","1","1","0.803333333","0.803333333","0.57","0.57","100","58.49514563","100","26.77777778","26.77777778","19","45.77777778","0.803333333","26.77777778","26.77777778","19","45.77777778"
