"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Number of plants planted per NET plot|CO_331:0000678","Number of plants harvested per NET plot|CO_331:0000679","Vine vigor estimating 1-9|CO_331:0000197","Virus symptoms estimating 1-9|month 1|before harvest|COMP:0000024","Alternaria symptoms estimating 1-9|CO_331:0000198","Number of commercial storage roots per NET plot|CO_331:0000214","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Number of non-commercial storage roots per NET plot|CO_331:0000217","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Weight of vines per NET plot in kg|CO_331:0000227","Reaction to sweet potato weevil estimating 1-9|CO_331:0000207","Storage root shape estimating 1-9 CIP|CO_331:0000181","Sprouting ability estimating 1-9|CO_331:0000277","Storage root skin predominant color estimating 1-9 CIP|CO_331:0000175","Content of beta-carotene in fresh weight basis in raw storage roots estimating from RHS color chart in mg per 100g|CO_331:0001023","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Number of storage roots after harvest per NET plot|CO_331:0000233","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Average total storage root weight computation kg|CO_331:0002040","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant harvested|CO_331:2000036","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant harvested|CO_331:0000681","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant harvested|CO_331:0000990","Vine weight in kg per plant planted|CO_331:0000991","Percentage of commercial storage root|CO_331:0000682","Harvest index computing percent|CO_331:0000302","Survival index computing percent|CO_331:0000301","Commercial storage root yield tons per ha|CO_331:0000809","Total storage roots yield computation tons per ha|CO_331:0000296","Total foliage yield in tons per ha|CO_331:0000684","Biomass yield in tons per ha|CO_331:0001003","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield adjusted in tons per ha|CO_331:0001002","Biomass yield adjusted in tons per ha|CO_331:0001004"
"","","UGP2012OYA-FT01","","","","","","","","","UGP2012OYA-FT01-00021","","","","54","52","1","1","1","105","40","30","2.4","32.2","1","9","1","8","1.65","42.4","74.6","135","0.380952381","0.08","0.314074074","2.596153846","2.5","2.019230769","1.944444444","0.815384615","0.785185185","0.619230769","0.596296296","77.77777778","56.83646113","96.2962963","24.69135802","26.17283951","19.87654321","46.04938272","25.64102564","27.17948718","20.64102564","47.82051282"
"","","UGP2012OYA-FT01","","","","","","","","","UGP2012OYA-FT01-00022","","","","54","50","1","1","1","31","7.2","23","2","58.5","1","9","1","2","1.65","9.2","67.7","54","0.232258065","0.086956522","0.17037037","1.08","1","0.62","0.574074074","0.184","0.17037037","1.17","1.083333333","57.40740741","13.58936484","92.59259259","4.444444444","5.679012346","36.11111111","41.79012346","4.8","6.133333333","39","45.13333333"
"","","UGP2012OYA-FT01","","","","","","","","","UGP2012OYA-FT01-00023","","","","54","52","1","1","1","158","39.2","64","4.8","34.8","1","4","2","8","1.65","44","78.8","222","0.248101266","0.075","0.198198198","4.269230769","4.111111111","3.038461538","2.925925926","0.846153846","0.814814815","0.669230769","0.644444444","71.17117117","55.83756345","96.2962963","24.19753086","27.16049383","21.48148148","48.64197531","25.12820513","28.20512821","22.30769231","50.51282051"
"","","UGP2012OYA-FT01","","","","","","","","","UGP2012OYA-FT01-00024","","","","54","51","1","1","1","85","22.2","59","3.4","37","2","9","1","2","1.65","25.6","62.6","144","0.261176471","0.057627119","0.177777778","2.823529412","2.666666667","1.666666667","1.574074074","0.501960784","0.474074074","0.725490196","0.685185185","59.02777778","40.89456869","94.44444444","13.7037037","15.80246914","22.83950617","38.64197531","14.50980392","16.73202614","24.18300654","40.91503268"
"","","UGP2012OYA-FT01","","","","","","","","","UGP2012OYA-FT01-00025","","","","54","50","1","3","1","92","26.8","27","2.6","21","2","9","1","8","1.65","29.4","50.4","119","0.291304348","0.096296296","0.247058824","2.38","2.203703704","1.84","1.703703704","0.588","0.544444444","0.42","0.388888889","77.31092437","58.33333333","92.59259259","16.54320988","18.14814815","12.96296296","31.11111111","17.86666667","19.6","14","33.6"
"","","UGP2012OYA-FT01","","","","","","","","","UGP2012OYA-FT01-00026","","","","54","51","1","1","1","31","5","25","1.4","57.8","2","9","1","2","1.65","6.4","64.2","56","0.161290323","0.056","0.114285714","1.098039216","1.037037037","0.607843137","0.574074074","0.125490196","0.118518519","1.133333333","1.07037037","55.35714286","9.968847352","94.44444444","3.086419753","3.950617284","35.67901235","39.62962963","3.267973856","4.183006536","37.77777778","41.96078431"
"","","UGP2012OYA-FT01","","","","","","","","","UGP2012OYA-FT01-00027","","","","54","49","1","3","1","96","27.6","31","2.6","25","2","4","2","8","1.65","30.2","55.2","127","0.2875","0.083870968","0.237795276","2.591836735","2.351851852","1.959183673","1.777777778","0.616326531","0.559259259","0.510204082","0.462962963","75.59055118","54.71014493","90.74074074","17.03703704","18.64197531","15.43209877","34.07407407","18.7755102","20.54421769","17.00680272","37.55102041"
"","","UGP2012OYA-FT01","","","","","","","","","UGP2012OYA-FT01-00028","","","","54","50","1","2","1","37","9.4","23","1.8","21","1","9","1","2","1.65","11.2","32.2","60","0.254054054","0.07826087","0.186666667","1.2","1.111111111","0.74","0.685185185","0.224","0.207407407","0.42","0.388888889","61.66666667","34.7826087","92.59259259","5.802469136","6.913580247","12.96296296","19.87654321","6.266666667","7.466666667","14","21.46666667"
"","","UGP2012OYA-FT01","","","","","","","","","UGP2012OYA-FT01-00029","","","","54","52","1","1","1","60","18.2","27","1.4","22","2","9","1","8","1.65","19.6","41.6","87","0.303333333","0.051851852","0.225287356","1.673076923","1.611111111","1.153846154","1.111111111","0.376923077","0.362962963","0.423076923","0.407407407","68.96551724","47.11538462","96.2962963","11.2345679","12.09876543","13.58024691","25.67901235","11.66666667","12.56410256","14.1025641","26.66666667"
"","","UGP2012OYA-FT01","","","","","","","","","UGP2012OYA-FT01-00030","","","","54","49","1","2","1","62","12","52","2","40.6","2","9","1","2","1.65","14","54.6","114","0.193548387","0.038461538","0.122807018","2.326530612","2.111111111","1.265306122","1.148148148","0.285714286","0.259259259","0.828571429","0.751851852","54.38596491","25.64102564","90.74074074","7.407407407","8.641975309","25.0617284","33.7037037","8.163265306","9.523809524","27.61904762","37.14285714"
"","","UGP2012OYA-FT01","","","","","","","","","UGP2012OYA-FT01-00031","","","","54","54","1","1","1","106","27.8","64","3.6","28.4","2","4","3","8","1.65","31.4","59.8","170","0.262264151","0.05625","0.184705882","3.148148148","3.148148148","1.962962963","1.962962963","0.581481481","0.581481481","0.525925926","0.525925926","62.35294118","52.5083612","100","17.16049383","19.38271605","17.5308642","36.91358025","17.16049383","19.38271605","17.5308642","36.91358025"
"","","UGP2012OYA-FT01","","","","","","","","","UGP2012OYA-FT01-00032","","","","54","52","1","2","1","59","15","35","2.4","32.8","2","9","1","2","1.65","17.4","50.2","94","0.254237288","0.068571429","0.185106383","1.807692308","1.740740741","1.134615385","1.092592593","0.334615385","0.322222222","0.630769231","0.607407407","62.76595745","34.66135458","96.2962963","9.259259259","10.74074074","20.24691358","30.98765432","9.615384615","11.15384615","21.02564103","32.17948718"
