"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Number of plants planted per NET plot|CO_331:0000678","Number of plants harvested per NET plot|CO_331:0000679","Vine vigor estimating 1-9|CO_331:0000197","Virus symptoms estimating 1-9|month 1|before harvest|COMP:0000024","Alternaria symptoms estimating 1-9|CO_331:0000198","Number of commercial storage roots per NET plot|CO_331:0000214","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Number of non-commercial storage roots per NET plot|CO_331:0000217","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Weight of vines per NET plot in kg|CO_331:0000227","Reaction to sweet potato weevil estimating 1-9|CO_331:0000207","Storage root shape estimating 1-9 CIP|CO_331:0000181","Sprouting ability estimating 1-9|CO_331:0000277","Storage root skin predominant color estimating 1-9 CIP|CO_331:0000175","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Number of storage roots after harvest per NET plot|CO_331:0000233","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Average total storage root weight computation kg|CO_331:0002040","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant harvested|CO_331:2000036","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant harvested|CO_331:0000681","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant harvested|CO_331:0000990","Vine weight in kg per plant planted|CO_331:0000991","Percentage of commercial storage root|CO_331:0000682","Harvest index computing percent|CO_331:0000302","Survival index computing percent|CO_331:0000301","Commercial storage root yield tons per ha|CO_331:0000809","Total storage roots yield computation tons per ha|CO_331:0000296","Total foliage yield in tons per ha|CO_331:0000684","Biomass yield in tons per ha|CO_331:0001003","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield adjusted in tons per ha|CO_331:0001002","Biomass yield adjusted in tons per ha|CO_331:0001004"
"","","UGP2012RAK-FT01","","","","","","","","","UGP2012RAK-FT01-00021","","","","54","49","1","3","1","33","8.4","59","3.8","26","4","9","1","8","12.2","38.2","92","0.254545455","0.06440678","0.132608696","1.87755102","1.703703704","0.673469388","0.611111111","0.248979592","0.225925926","0.530612245","0.481481481","35.86956522","31.93717277","90.74074074","5.185185185","7.530864198","16.04938272","23.58024691","5.714285714","8.299319728","17.68707483","25.98639456"
"","","UGP2012RAK-FT01","","","","","","","","","UGP2012RAK-FT01-00022","","","","54","53","2","2","1","18","2.6","115","5.2","46.2","3","9","1","2","7.8","54","133","0.144444444","0.045217391","0.058646617","2.509433962","2.462962963","0.339622642","0.333333333","0.147169811","0.144444444","0.871698113","0.855555556","13.53383459","14.44444444","98.14814815","1.604938272","4.814814815","28.51851852","33.33333333","1.635220126","4.905660377","29.05660377","33.96226415"
"","","UGP2012RAK-FT01","","","","","","","","","UGP2012RAK-FT01-00023","","","","54","54","2","3","1","75","14.4","80","2.8","29.4","3","4","5","8","17.2","46.6","155","0.192","0.035","0.110967742","2.87037037","2.87037037","1.388888889","1.388888889","0.318518519","0.318518519","0.544444444","0.544444444","48.38709677","36.90987124","100","8.888888889","10.61728395","18.14814815","28.7654321","8.888888889","10.61728395","18.14814815","28.7654321"
"","","UGP2012RAK-FT01","","","","","","","","","UGP2012RAK-FT01-00024","","","","54","50","1","2","1","47","13","30","2.2","58","3","9","1","2","15.2","73.2","77","0.276595745","0.073333333","0.197402597","1.54","1.425925926","0.94","0.87037037","0.304","0.281481481","1.16","1.074074074","61.03896104","20.76502732","92.59259259","8.024691358","9.382716049","35.80246914","45.18518519","8.666666667","10.13333333","38.66666667","48.8"
"","","UGP2012RAK-FT01","","","","","","","","","UGP2012RAK-FT01-00025","","","","54","51","2","3","1","50","11","43","2","10","5","9","1","8","13","23","93","0.22","0.046511628","0.139784946","1.823529412","1.722222222","0.980392157","0.925925926","0.254901961","0.240740741","0.196078431","0.185185185","53.76344086","56.52173913","94.44444444","6.790123457","8.024691358","6.172839506","14.19753086","7.189542484","8.496732026","6.535947712","15.03267974"
"","","UGP2012RAK-FT01","","","","","","","","","UGP2012RAK-FT01-00026","","","","54","52","3","3","1","64","12","52","3","12.2","4","9","1","2","15","27.2","116","0.1875","0.057692308","0.129310345","2.230769231","2.148148148","1.230769231","1.185185185","0.288461538","0.277777778","0.234615385","0.225925926","55.17241379","55.14705882","96.2962963","7.407407407","9.259259259","7.530864198","16.79012346","7.692307692","9.615384615","7.820512821","17.43589744"
"","","UGP2012RAK-FT01","","","","","","","","","UGP2012RAK-FT01-00027","","","","54","52","1","3","1","115","20.5","27","1.4","23","3","4","6","8","21.9","44.9","142","0.17826087","0.051851852","0.154225352","2.730769231","2.62962963","2.211538462","2.12962963","0.421153846","0.405555556","0.442307692","0.425925926","80.98591549","48.77505568","96.2962963","12.65432099","13.51851852","14.19753086","27.71604938","13.14102564","14.03846154","14.74358974","28.78205128"
"","","UGP2012RAK-FT01","","","","","","","","","UGP2012RAK-FT01-00028","","","","54","48","2","3","1","65","22","122","8","27","3","9","1","2","30","57","187","0.338461538","0.06557377","0.160427807","3.895833333","3.462962963","1.354166667","1.203703704","0.625","0.555555556","0.5625","0.5","34.75935829","52.63157895","88.88888889","13.58024691","18.51851852","16.66666667","35.18518519","15.27777778","20.83333333","18.75","39.58333333"
"","","UGP2012RAK-FT01","","","","","","","","","UGP2012RAK-FT01-00029","","","","54","39","1","3","1","32","5.4","61","3","20.7","3","9","5","8","8.4","29.1","93","0.16875","0.049180328","0.090322581","2.384615385","1.722222222","0.820512821","0.592592593","0.215384615","0.155555556","0.530769231","0.383333333","34.40860215","28.86597938","72.22222222","3.333333333","5.185185185","12.77777778","17.96296296","4.615384615","7.179487179","17.69230769","24.87179487"
"","","UGP2012RAK-FT01","","","","","","","","","UGP2012RAK-FT01-00030","","","","54","42","1","5","2","17","3","110","5.2","29","2","9","1","2","8.2","37.2","127","0.176470588","0.047272727","0.064566929","3.023809524","2.351851852","0.404761905","0.314814815","0.195238095","0.151851852","0.69047619","0.537037037","13.38582677","22.04301075","77.77777778","1.851851852","5.061728395","17.90123457","22.96296296","2.380952381","6.507936508","23.01587302","29.52380952"
"","","UGP2012RAK-FT01","","","","","","","","","UGP2012RAK-FT01-00031","","","","54","53","1","4","2","72","14.8","120","5","26.2","4","4","7","8","19.8","46","192","0.205555556","0.041666667","0.103125","3.622641509","3.555555556","1.358490566","1.333333333","0.373584906","0.366666667","0.494339623","0.485185185","37.5","43.04347826","98.14814815","9.135802469","12.22222222","16.17283951","28.39506173","9.308176101","12.45283019","16.47798742","28.93081761"
"","","UGP2012RAK-FT01","","","","","","","","","UGP2012RAK-FT01-00032","","","","54","47","1","3","1","38","7.2","62","2.6","23.2","2","9","1","2","9.8","33","100","0.189473684","0.041935484","0.098","2.127659574","1.851851852","0.808510638","0.703703704","0.208510638","0.181481481","0.493617021","0.42962963","38","29.6969697","87.03703704","4.444444444","6.049382716","14.32098765","20.37037037","5.106382979","6.95035461","16.45390071","23.40425532"
