"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Number of plants planted per NET plot|CO_331:0000678","Number of plants established per NET plot|CO_331:0000192","Virus symptoms estimating 1-9|month 1|after planting|COMP:0000023","Alternaria symptoms estimating 1-9|month 1|before harvest|COMP:0000022","Vine vigor estimating 1-9|CO_331:0000197","Virus symptoms estimating 1-9|month 1|before harvest|COMP:0000024","Alternaria symptoms estimating 1-9|month 1|after planting|COMP:0000026","Number of plants harvested per NET plot|CO_331:0000679","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Weight of vines per NET plot in kg|CO_331:0000227","Storage root skin predominant color estimating 1-9 CIP|CO_331:0000175","Reaction to sweet potato weevil estimating 1-9|CO_331:0000207","Storage root appearance estimating 1-9 CIP|CO_331:0000202","Storage root size estimating 1-9|CO_331:0000184","Sprouting ability estimating 1-9|CO_331:0000277","Storage root predominant Flesh color estimating 1-9|CO_331:0000178","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Number of storage roots after harvest per NET plot|CO_331:0000233","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Average total storage root weight computation kg|CO_331:0002040","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant harvested|CO_331:2000036","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant harvested|CO_331:0000681","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant harvested|CO_331:0000990","Vine weight in kg per plant planted|CO_331:0000991","Percentage of commercial storage root|CO_331:0000682","Harvest index computing percent|CO_331:0000302","Survival index computing percent|CO_331:0000301","Commercial storage root yield tons per ha|CO_331:0000809","Total storage roots yield computation tons per ha|CO_331:0000296","Total foliage yield in tons per ha|CO_331:0000684","Biomass yield in tons per ha|CO_331:0001003","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield adjusted in tons per ha|CO_331:0001002","Biomass yield adjusted in tons per ha|CO_331:0001004"
"","","UGP2018NAM-OT02","","","","","","","","","UGP2018NAM-OT02-00661","","","","3","3","3","1","8","5","2","3","20","5","4.4","0.2","3.2","3","2","7","2","1","8","4.6","7.8","25","0.22","0.04","0.184","8.333333333","8.333333333","6.666666667","6.666666667","1.533333333","1.533333333","1.066666667","1.066666667","80","58.97435897","100","48.88888889","51.11111111","35.55555556","86.66666667","48.88888889","51.11111111","35.55555556","86.66666667"
"","","UGP2018NAM-OT02","","","","","","","","","UGP2018NAM-OT02-00684","","","","3","3","4","1","8","6","2","3","11","5","4","0.35","1.6","3","2","4","1","4","8","4.35","5.95","16","0.363636364","0.07","0.271875","5.333333333","5.333333333","3.666666667","3.666666667","1.45","1.45","0.533333333","0.533333333","68.75","73.1092437","100","44.44444444","48.33333333","17.77777778","66.11111111","44.44444444","48.33333333","17.77777778","66.11111111"
"","","UGP2018NAM-OT02","","","","","","","","","UGP2018NAM-OT02-00706","","","","3","3","3","1","9","4","2","3","7","5","3","0.35","8.2","3","4","6","2","1","8","3.35","11.55","12","0.428571429","0.07","0.279166667","4","4","2.333333333","2.333333333","1.116666667","1.116666667","2.733333333","2.733333333","58.33333333","29.004329","100","33.33333333","37.22222222","91.11111111","128.3333333","33.33333333","37.22222222","91.11111111","128.3333333"
"","","UGP2018NAM-OT02","","","","","","","","","UGP2018NAM-OT02-00728","","","","3","3","1","1","7","3","2","3","2","0","1","0","1.2","3","4","4","1","1","6","1","2.2","2","0.5","","0.5","0.666666667","0.666666667","0.666666667","0.666666667","0.333333333","0.333333333","0.4","0.4","100","45.45454545","100","11.11111111","11.11111111","13.33333333","24.44444444","11.11111111","11.11111111","13.33333333","24.44444444"
"","","UGP2018NAM-OT02","","","","","","","","","UGP2018NAM-OT02-00729","","","","3","3","2","1","8","3","2","3","5","1","1.4","0.02","1.3","3","4","4","4","1","6","1.42","2.72","6","0.28","0.02","0.236666667","2","2","1.666666667","1.666666667","0.473333333","0.473333333","0.433333333","0.433333333","83.33333333","52.20588235","100","15.55555556","15.77777778","14.44444444","30.22222222","15.55555556","15.77777778","14.44444444","30.22222222"
"","","UGP2018NAM-OT02","","","","","","","","","UGP2018NAM-OT02-00751","","","","3","3","1","1","7","4","2","3","5","1","1.2","0.02","1.7","4","5","4","3","4","6","1.22","2.92","6","0.24","0.02","0.203333333","2","2","1.666666667","1.666666667","0.406666667","0.406666667","0.566666667","0.566666667","83.33333333","41.78082192","100","13.33333333","13.55555556","18.88888889","32.44444444","13.33333333","13.55555556","18.88888889","32.44444444"
"","","UGP2018NAM-OT02","","","","","","","","","UGP2018NAM-OT02-00773","","","","3","3","4","1","8","5","2","3","11","5","2.2","0.24","1.7","3","3","4","3","3","8","2.44","4.14","16","0.2","0.048","0.1525","5.333333333","5.333333333","3.666666667","3.666666667","0.813333333","0.813333333","0.566666667","0.566666667","68.75","58.93719807","100","24.44444444","27.11111111","18.88888889","46","24.44444444","27.11111111","18.88888889","46"
"","","UGP2018NAM-OT02","","","","","","","","","UGP2018NAM-OT02-00796","","","","3","3","2","1","7","3","2","3","5","0","1.1","0","1","3","5","3","3","1","8","1.1","2.1","5","0.22","","0.22","1.666666667","1.666666667","1.666666667","1.666666667","0.366666667","0.366666667","0.333333333","0.333333333","100","52.38095238","100","12.22222222","12.22222222","11.11111111","23.33333333","12.22222222","12.22222222","11.11111111","23.33333333"
"","","UGP2018NAM-OT02","","","","","","","","","UGP2018NAM-OT02-00818","","","","3","3","1","1","7","2","2","3","14","10","4","0.5","6","3","2","3","2","1","8","4.5","10.5","24","0.285714286","0.05","0.1875","8","8","4.666666667","4.666666667","1.5","1.5","2","2","58.33333333","42.85714286","100","44.44444444","50","66.66666667","116.6666667","44.44444444","50","66.66666667","116.6666667"
"","","UGP2018NAM-OT02","","","","","","","","","UGP2018NAM-OT02-00840","","","","3","3","4","1","8","3","2","3","8","10","2","0.75","1","3","4","3","3","1","8","2.75","3.75","18","0.25","0.075","0.152777778","6","6","2.666666667","2.666666667","0.916666667","0.916666667","0.333333333","0.333333333","44.44444444","73.33333333","100","22.22222222","30.55555556","11.11111111","41.66666667","22.22222222","30.55555556","11.11111111","41.66666667"
