"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Number of plants planted per NET plot|CO_331:0000678","Number of plants established per NET plot|CO_331:0000192","Virus symptoms estimating 1-9|month 1|after planting|COMP:0000023","Virus symptoms estimating 1-9|month 1|before harvest|COMP:0000024","Vine vigor estimating 1-9|CO_331:0000197","Alternaria symptoms estimating 1-9|month 1|before harvest|COMP:0000022","Alternaria symptoms estimating 1-9|month 1|after planting|COMP:0000026","Number of plants harvested per NET plot|CO_331:0000679","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Weight of vines per NET plot in kg|CO_331:0000227","Storage root skin predominant color estimating 1-9 CIP|CO_331:0000175","Reaction to sweet potato weevil estimating 1-9|CO_331:0000207","Sprouting ability estimating 1-9|CO_331:0000277","Storage root appearance estimating 1-9 CIP|CO_331:0000202","Storage root size estimating 1-9|CO_331:0000184","Content of beta-carotene in fresh weight basis in raw storage roots estimating from RHS color chart in mg per 100g|CO_331:0001023","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Number of storage roots after harvest per NET plot|CO_331:0000233","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant harvested|CO_331:2000036","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant harvested|CO_331:0000681","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant harvested|CO_331:0000990","Vine weight in kg per plant planted|CO_331:0000991","Percentage of commercial storage root|CO_331:0000682","Harvest index computing percent|CO_331:0000302","Survival index computing percent|CO_331:0000301","Average total storage root weight computation kg|CO_331:0002040","Commercial storage root yield tons per ha|CO_331:0000809","Total storage roots yield computation tons per ha|CO_331:0000296","Total foliage yield in tons per ha|CO_331:0000684","Biomass yield in tons per ha|CO_331:0001003","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield adjusted in tons per ha|CO_331:0001002","Biomass yield adjusted in tons per ha|CO_331:0001004"
"","","UGP2014SER-PT06","","","","","","","","","UGP2014SER-PT06-00021","","","","30","0","","","","","","0","0","0","0","0","0","","","","","","","0","0","","","0","","0","","0","","0","","0","","","0","","0","0","0","0","","","",""
"","","UGP2014SER-PT06","","","","","","","","","UGP2014SER-PT06-00022","","","","30","28","2","3","8","1","2","26","0","0","0","0","68","","","","","","","0","68","","","0","0","0","0","0","0","0","2.615384615","2.266666667","","0","86.66666667","","0","0","75.55555556","75.55555556","0","0","87.17948718","87.17948718"
"","","UGP2014SER-PT06","","","","","","","","","UGP2014SER-PT06-00023","","","","30","20","2","3","7","1","2","17","22","0","1.5","0","21","2","5","3","5","5","0.02","1.5","22.5","0.068181818","","22","1.294117647","0.733333333","1.294117647","0.733333333","0.088235294","0.05","1.235294118","0.7","100","6.666666667","56.66666667","0.068181818","1.666666667","1.666666667","23.33333333","25","2.941176471","2.941176471","41.17647059","44.11764706"
"","","UGP2014SER-PT06","","","","","","","","","UGP2014SER-PT06-00024","","","","30","16","5","6","6","2","2","10","4","0","4.8","0","5.6","2","5","3","1","7","0.02","4.8","10.4","1.2","","4","0.4","0.133333333","0.4","0.133333333","0.48","0.16","0.56","0.186666667","100","46.15384615","33.33333333","1.2","5.333333333","5.333333333","6.222222222","11.55555556","16","16","18.66666667","34.66666667"
"","","UGP2014SER-PT06","","","","","","","","","UGP2014SER-PT06-00025","","","","30","25","2","2","8","1","2","17","44","4","9","0.08","38","2","5","5","5","5","0","9.08","47.08","0.204545455","0.02","48","2.823529412","1.6","2.588235294","1.466666667","0.534117647","0.302666667","2.235294118","1.266666667","91.66666667","19.28632116","56.66666667","0.189166667","10","10.08888889","42.22222222","52.31111111","17.64705882","17.80392157","74.50980392","92.31372549"
"","","UGP2014SER-PT06","","","","","","","","","UGP2014SER-PT06-00026","","","","30","26","2","2","8","1","2","20","25","2","5.2","0.2","28","2","4","6","5","5","0","5.4","33.4","0.208","0.1","27","1.35","0.9","1.25","0.833333333","0.27","0.18","1.4","0.933333333","92.59259259","16.16766467","66.66666667","0.2","5.777777778","6","31.11111111","37.11111111","8.666666667","9","46.66666667","55.66666667"
"","","UGP2014SER-PT06","","","","","","","","","UGP2014SER-PT06-00027","","","","30","17","3","5","7","1","2","12","13","0","3","0","20","6","3","1","1","5","0.12","3","23","0.230769231","","13","1.083333333","0.433333333","1.083333333","0.433333333","0.25","0.1","1.666666667","0.666666667","100","13.04347826","40","0.230769231","3.333333333","3.333333333","22.22222222","25.55555556","8.333333333","8.333333333","55.55555556","63.88888889"
"","","UGP2014SER-PT06","","","","","","","","","UGP2014SER-PT06-00028","","","","30","14","4","4","7","2","2","9","5","0","0.4","0","5","6","4","1","2","7","7.23","0.4","5.4","0.08","","5","0.555555556","0.166666667","0.555555556","0.166666667","0.044444444","0.013333333","0.555555556","0.166666667","100","7.407407407","30","0.08","0.444444444","0.444444444","5.555555556","6","1.481481481","1.481481481","18.51851852","20"
"","","UGP2014SER-PT06","","","","","","","","","UGP2014SER-PT06-00029","","","","30","23","4","3","6","2","2","9","0","0","0","0","44","","","","","","","0","44","","","0","0","0","0","0","0","0","4.888888889","1.466666667","","0","30","","0","0","48.88888889","48.88888889","0","0","162.962963","162.962963"
"","","UGP2014SER-PT06","","","","","","","","","UGP2014SER-PT06-00030","","","","30","21","2","3","7","2","3","7","13","0","3.2","0","6.2","2","4","3","2","5","0","3.2","9.4","0.246153846","","13","1.857142857","0.433333333","1.857142857","0.433333333","0.457142857","0.106666667","0.885714286","0.206666667","100","34.04255319","23.33333333","0.246153846","3.555555556","3.555555556","6.888888889","10.44444444","15.23809524","15.23809524","29.52380952","44.76190476"
