"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Number of plants planted per NET plot|CO_331:0000678","Number of plants established per NET plot|CO_331:0000192","Virus symptoms estimating 1-9|month 1|after planting|COMP:0000023","Virus symptoms estimating 1-9|month 1|before harvest|COMP:0000024","Vine vigor estimating 1-9|CO_331:0000197","Alternaria symptoms estimating 1-9|month 1|before harvest|COMP:0000022","Alternaria symptoms estimating 1-9|month 1|after planting|COMP:0000026","Number of plants harvested per NET plot|CO_331:0000679","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Weight of vines per NET plot in kg|CO_331:0000227","Storage root skin predominant color estimating 1-9 CIP|CO_331:0000175","Reaction to sweet potato weevil estimating 1-9|CO_331:0000207","Sprouting ability estimating 1-9|CO_331:0000277","Storage root appearance estimating 1-9 CIP|CO_331:0000202","Storage root size estimating 1-9|CO_331:0000184","Content of beta-carotene in fresh weight basis in raw storage roots estimating from RHS color chart in mg per 100g|CO_331:0001023","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Number of storage roots after harvest per NET plot|CO_331:0000233","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Average total storage root weight computation kg|CO_331:0002040","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant harvested|CO_331:2000036","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant harvested|CO_331:0000681","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant harvested|CO_331:0000990","Vine weight in kg per plant planted|CO_331:0000991","Percentage of commercial storage root|CO_331:0000682","Harvest index computing percent|CO_331:0000302","Survival index computing percent|CO_331:0000301","Commercial storage root yield tons per ha|CO_331:0000809","Total storage roots yield computation tons per ha|CO_331:0000296","Total foliage yield in tons per ha|CO_331:0000684","Biomass yield in tons per ha|CO_331:0001003","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield adjusted in tons per ha|CO_331:0001002","Biomass yield adjusted in tons per ha|CO_331:0001004"
"","","UGP2017NAM-AT03","","","","","","","","","UGP2017NAM-AT03-00119","","","","20","9","2","4","8","1","2","9","5","1","0.7","0.02","12","8","2","1","3","4","0","0.72","12.72","6","0.14","0.02","0.12","0.666666667","0.3","0.555555556","0.25","0.08","0.036","1.333333333","0.6","83.33333333","5.660377358","45","1.166666667","1.2","20","21.2","2.592592593","2.666666667","44.44444444","47.11111111"
"","","UGP2017NAM-AT03","","","","","","","","","UGP2017NAM-AT03-00120","","","","20","10","1","3","6","1","5","10","8","4","0.45","0.01","13","3","2","1","3","6","3.96","0.46","13.46","12","0.05625","0.0025","0.038333333","1.2","0.6","0.8","0.4","0.046","0.023","1.3","0.65","66.66666667","3.417533432","50","0.75","0.766666667","21.66666667","22.43333333","1.5","1.533333333","43.33333333","44.86666667"
"","","UGP2017NAM-AT03","","","","","","","","","UGP2017NAM-AT03-00121","","","","20","8","1","3","7","1","2","8","14","0","3","0","4","3","3","1","2","3","0.12","3","7","14","0.214285714","","0.214285714","1.75","0.7","1.75","0.7","0.375","0.15","0.5","0.2","100","42.85714286","40","5","5","6.666666667","11.66666667","12.5","12.5","16.66666667","29.16666667"
"","","UGP2017NAM-AT03","","","","","","","","","UGP2017NAM-AT03-00122","","","","20","8","2","3","7","1","2","8","4","0","1","0","12","3","3","3","2","3","0","1","13","4","0.25","","0.25","0.5","0.2","0.5","0.2","0.125","0.05","1.5","0.6","100","7.692307692","40","1.666666667","1.666666667","20","21.66666667","4.166666667","4.166666667","50","54.16666667"
"","","UGP2017NAM-AT03","","","","","","","","","UGP2017NAM-AT03-00123","","","","20","8","2","3","7","1","2","8","2","0","0.01","0","13","3","2","1","3","7","0","0.01","13.01","2","0.005","","0.005","0.25","0.1","0.25","0.1","0.00125","0.0005","1.625","0.65","100","0.076863951","40","0.016666667","0.016666667","21.66666667","21.68333333","0.041666667","0.041666667","54.16666667","54.20833333"
"","","UGP2017NAM-AT03","","","","","","","","","UGP2017NAM-AT03-00124","","","","20","10","1","3","8","1","2","8","8","5","1.2","0.01","29","9","2","1","4","2","0.12","1.21","30.21","13","0.15","0.002","0.093076923","1.625","0.65","1","0.4","0.15125","0.0605","3.625","1.45","61.53846154","4.00529626","40","2","2.016666667","48.33333333","50.35","5","5.041666667","120.8333333","125.875"
"","","UGP2017NAM-AT03","","","","","","","","","UGP2017NAM-AT03-00125","","","","20","3","2","3","5","1","2","2","0","0","0","0","0.2","","","","","","","0","0.2","0","","","","0","0","0","0","0","0","0.1","0.01","","0","10","0","0","0.333333333","0.333333333","0","0","3.333333333","3.333333333"
"","","UGP2017NAM-AT03","","","","","","","","","UGP2017NAM-AT03-00126","","","","20","8","2","4","9","2","2","8","14","0","4","0","24","9","2","1","4","3","0","4","28","14","0.285714286","","0.285714286","1.75","0.7","1.75","0.7","0.5","0.2","3","1.2","100","14.28571429","40","6.666666667","6.666666667","40","46.66666667","16.66666667","16.66666667","100","116.6666667"
"","","UGP2017NAM-AT03","","","","","","","","","UGP2017NAM-AT03-00127","","","","20","9","2","3","7","2","2","9","9","1","3","0.02","11","2","2","1","3","2","0","3.02","14.02","10","0.333333333","0.02","0.302","1.111111111","0.5","1","0.45","0.335555556","0.151","1.222222222","0.55","90","21.54065621","45","5","5.033333333","18.33333333","23.36666667","11.11111111","11.18518519","40.74074074","51.92592593"
"","","UGP2017NAM-AT03","","","","","","","","","UGP2017NAM-AT03-00128","","","","20","8","1","2","9","1","2","8","2","0","0.3","0","27","8","2","1","2","3","0","0.3","27.3","2","0.15","","0.15","0.25","0.1","0.25","0.1","0.0375","0.015","3.375","1.35","100","1.098901099","40","0.5","0.5","45","45.5","1.25","1.25","112.5","113.75"
