"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Number of plants planted per NET plot|CO_331:0000678","Number of plants established per NET plot|CO_331:0000192","Virus symptoms estimating 1-9|month 1|after planting|COMP:0000023","Virus symptoms estimating 1-9|month 1|before harvest|COMP:0000024","Vine vigor estimating 1-9|CO_331:0000197","Alternaria symptoms estimating 1-9|month 1|before harvest|COMP:0000022","Alternaria symptoms estimating 1-9|month 1|after planting|COMP:0000026","Number of plants harvested per NET plot|CO_331:0000679","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Weight of vines per NET plot in kg|CO_331:0000227","Storage root skin predominant color estimating 1-9 CIP|CO_331:0000175","Reaction to sweet potato weevil estimating 1-9|CO_331:0000207","Sprouting ability estimating 1-9|CO_331:0000277","Storage root appearance estimating 1-9 CIP|CO_331:0000202","Storage root size estimating 1-9|CO_331:0000184","Content of beta-carotene in fresh weight basis in raw storage roots estimating from RHS color chart in mg per 100g|CO_331:0001023","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Number of storage roots after harvest per NET plot|CO_331:0000233","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant harvested|CO_331:2000036","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant harvested|CO_331:0000681","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant harvested|CO_331:0000990","Vine weight in kg per plant planted|CO_331:0000991","Percentage of commercial storage root|CO_331:0000682","Harvest index computing percent|CO_331:0000302","Survival index computing percent|CO_331:0000301","Commercial storage root yield tons per ha|CO_331:0000809","Total storage roots yield computation tons per ha|CO_331:0000296","Total foliage yield in tons per ha|CO_331:0000684","Biomass yield in tons per ha|CO_331:0001003","Average total storage root weight computation kg|CO_331:0002040","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield adjusted in tons per ha|CO_331:0001002","Biomass yield adjusted in tons per ha|CO_331:0001004"
"","","UGP2016NAM-AT02","","","","","","","","","UGP2016NAM-AT02-00027","","","","10","9","1","2","7","1","2","7","7","5","1.3","0.18","2.5","3","1","1","5","3","0","1.48","3.98","0.185714286","0.036","12","1.714285714","1.2","1","0.7","0.211428571","0.148","0.357142857","0.25","58.33333333","37.18592965","70","4.333333333","4.933333333","8.333333333","13.26666667","0.123333333","6.19047619","7.047619048","11.9047619","18.95238095"
"","","UGP2016NAM-AT02","","","","","","","","","UGP2016NAM-AT02-00028","","","","10","10","1","2","7","1","2","9","11","2","2","0.02","1.8","2","1","1","4","3","0.15","2.02","3.82","0.181818182","0.01","13","1.444444444","1.3","1.222222222","1.1","0.224444444","0.202","0.2","0.18","84.61538462","52.87958115","90","6.666666667","6.733333333","6","12.73333333","0.155384615","7.407407407","7.481481481","6.666666667","14.14814815"
"","","UGP2016NAM-AT02","","","","","","","","","UGP2016NAM-AT02-00029","","","","10","10","2","3","9","1","3","10","8","0","1","0","6.3","8","1","1","7","5","1.38","1","7.3","0.125","","8","0.8","0.8","0.8","0.8","0.1","0.1","0.63","0.63","100","13.69863014","100","3.333333333","3.333333333","21","24.33333333","0.125","3.333333333","3.333333333","21","24.33333333"
"","","UGP2016NAM-AT02","","","","","","","","","UGP2016NAM-AT02-00030","","","","10","10","1","2","7","1","2","10","17","2","3","0.02","2.4","9","3","1","6","3","0","3.02","5.42","0.176470588","0.01","19","1.9","1.9","1.7","1.7","0.302","0.302","0.24","0.24","89.47368421","55.7195572","100","10","10.06666667","8","18.06666667","0.158947368","10","10.06666667","8","18.06666667"
"","","UGP2016NAM-AT02","","","","","","","","","UGP2016NAM-AT02-00031","","","","10","10","1","3","7","1","2","10","10","4","1.42","0.03","4","5","1","1","4","3","0","1.45","5.45","0.142","0.0075","14","1.4","1.4","1","1","0.145","0.145","0.4","0.4","71.42857143","26.60550459","100","4.733333333","4.833333333","13.33333333","18.16666667","0.103571429","4.733333333","4.833333333","13.33333333","18.16666667"
"","","UGP2016NAM-AT02","","","","","","","","","UGP2016NAM-AT02-00032","","","","10","10","1","2","8","1","2","10","6","4","1.22","0.04","7.5","5","1","1","6","3","0","1.26","8.76","0.203333333","0.01","10","1","1","0.6","0.6","0.126","0.126","0.75","0.75","60","14.38356164","100","4.066666667","4.2","25","29.2","0.126","4.066666667","4.2","25","29.2"
"","","UGP2016NAM-AT02","","","","","","","","","UGP2016NAM-AT02-00033","","","","10","10","1","2","8","1","2","10","6","3","1.4","0.04","7.6","3","1","1","4","3","0","1.44","9.04","0.233333333","0.013333333","9","0.9","0.9","0.6","0.6","0.144","0.144","0.76","0.76","66.66666667","15.92920354","100","4.666666667","4.8","25.33333333","30.13333333","0.16","4.666666667","4.8","25.33333333","30.13333333"
"","","UGP2016NAM-AT02","","","","","","","","","UGP2016NAM-AT02-00034","","","","10","10","2","3","7","1","2","10","20","7","1.8","0.02","2.2","2","1","1","5","5","0","1.82","4.02","0.09","0.002857143","27","2.7","2.7","2","2","0.182","0.182","0.22","0.22","74.07407407","45.27363184","100","6","6.066666667","7.333333333","13.4","0.067407407","6","6.066666667","7.333333333","13.4"
"","","UGP2016NAM-AT02","","","","","","","","","UGP2016NAM-AT02-00035","","","","10","10","3","4","7","1","2","10","8","8","0.8","0.08","2.7","2","1","3","4","3","0.12","0.88","3.58","0.1","0.01","16","1.6","1.6","0.8","0.8","0.088","0.088","0.27","0.27","50","24.58100559","100","2.666666667","2.933333333","9","11.93333333","0.055","2.666666667","2.933333333","9","11.93333333"
"","","UGP2016NAM-AT02","","","","","","","","","UGP2016NAM-AT02-00036","","","","10","10","1","2","8","1","2","10","15","11","2.2","0.4","3","2","1","1","4","3","0","2.6","5.6","0.146666667","0.036363636","26","2.6","2.6","1.5","1.5","0.26","0.26","0.3","0.3","57.69230769","46.42857143","100","7.333333333","8.666666667","10","18.66666667","0.1","7.333333333","8.666666667","10","18.66666667"
"","","UGP2016NAM-AT02","","","","","","","","","UGP2016NAM-AT02-00037","","","","10","9","1","2","7","1","2","9","10","0","2","0","3","2","1","1","6","1","0.12","2","5","0.2","","10","1.111111111","1","1.111111111","1","0.222222222","0.2","0.333333333","0.3","100","40","90","6.666666667","6.666666667","10","16.66666667","0.2","7.407407407","7.407407407","11.11111111","18.51851852"
"","","UGP2016NAM-AT02","","","","","","","","","UGP2016NAM-AT02-00038","","","","10","8","1","2","8","1","2","8","2","0","0.2","0","13.1","2","1","1","5","5","0","0.2","13.3","0.1","","2","0.25","0.2","0.25","0.2","0.025","0.02","1.6375","1.31","100","1.503759398","80","0.666666667","0.666666667","43.66666667","44.33333333","0.1","0.833333333","0.833333333","54.58333333","55.41666667"
"","","UGP2016NAM-AT02","","","","","","","","","UGP2016NAM-AT02-00039","","","","10","9","8","6","6","1","2","9","3","2","0.2","0.02","1","9","1","1","5","7","0","0.22","1.22","0.066666667","0.01","5","0.555555556","0.5","0.333333333","0.3","0.024444444","0.022","0.111111111","0.1","60","18.03278689","90","0.666666667","0.733333333","3.333333333","4.066666667","0.044","0.740740741","0.814814815","3.703703704","4.518518519"
"","","UGP2016NAM-AT02","","","","","","","","","UGP2016NAM-AT02-00040","","","","10","9","2","3","7","1","2","9","18","7","2","0.2","1.2","6","1","1","5","3","14.37","2.2","3.4","0.111111111","0.028571429","25","2.777777778","2.5","2","1.8","0.244444444","0.22","0.133333333","0.12","72","64.70588235","90","6.666666667","7.333333333","4","11.33333333","0.088","7.407407407","8.148148148","4.444444444","12.59259259"
"","","UGP2016NAM-AT02","","","","","","","","","UGP2016NAM-AT02-00041","","","","10","10","1","3","8","1","2","","0","0","0","0","18.7","","","","","","","0","18.7","","","0","","0","","0","","0","","1.87","","0","","0","0","62.33333333","62.33333333","","","","",""
"","","UGP2016NAM-AT02","","","","","","","","","UGP2016NAM-AT02-00042","","","","10","10","4","3","6","1","2","3","5","0","1","0","1","9","1","1","5","3","0.12","1","2","0.2","","5","1.666666667","0.5","1.666666667","0.5","0.333333333","0.1","0.333333333","0.1","100","50","30","3.333333333","3.333333333","3.333333333","6.666666667","0.2","11.11111111","11.11111111","11.11111111","22.22222222"
"","","UGP2016NAM-AT02","","","","","","","","","UGP2016NAM-AT02-00043","","","","10","8","7","4","7","1","2","4","2","0","0.22","0","1.4","8","1","1","4","7","0.12","0.22","1.62","0.11","","2","0.5","0.2","0.5","0.2","0.055","0.022","0.35","0.14","100","13.58024691","40","0.733333333","0.733333333","4.666666667","5.4","0.11","1.833333333","1.833333333","11.66666667","13.5"
"","","UGP2016NAM-AT02","","","","","","","","","UGP2016NAM-AT02-00044","","","","10","10","2","3","8","1","2","7","4","0","0.65","0","11.2","2","1","1","5","3","0.02","0.65","11.85","0.1625","","4","0.571428571","0.4","0.571428571","0.4","0.092857143","0.065","1.6","1.12","100","5.485232068","70","2.166666667","2.166666667","37.33333333","39.5","0.1625","3.095238095","3.095238095","53.33333333","56.42857143"
"","","UGP2016NAM-AT02","","","","","","","","","UGP2016NAM-AT02-00045","","","","10","10","1","2","6","1","2","8","3","3","1","0.03","3.2","3","1","1","4","3","0","1.03","4.23","0.333333333","0.01","6","0.75","0.6","0.375","0.3","0.12875","0.103","0.4","0.32","50","24.3498818","80","3.333333333","3.433333333","10.66666667","14.1","0.171666667","4.166666667","4.291666667","13.33333333","17.625"
"","","UGP2016NAM-AT02","","","","","","","","","UGP2016NAM-AT02-00046","","","","10","9","1","2","7","1","1","8","11","3","3.8","0.04","6.1","2","3","1","6","3","0.69","3.84","9.94","0.345454545","0.013333333","14","1.75","1.4","1.375","1.1","0.48","0.384","0.7625","0.61","78.57142857","38.63179074","80","12.66666667","12.8","20.33333333","33.13333333","0.274285714","15.83333333","16","25.41666667","41.41666667"
"","","UGP2016NAM-AT02","","","","","","","","","UGP2016NAM-AT02-00047","","","","10","10","3","3","8","2","2","10","32","12","5","0.22","3","2","1","1","5","3","0","5.22","8.22","0.15625","0.018333333","44","4.4","4.4","3.2","3.2","0.522","0.522","0.3","0.3","72.72727273","63.50364964","100","16.66666667","17.4","10","27.4","0.118636364","16.66666667","17.4","10","27.4"
"","","UGP2016NAM-AT02","","","","","","","","","UGP2016NAM-AT02-00048","","","","10","8","3","2","7","1","2","8","8","12","0.83","0.21","2.6","3","1","1","5","5","0","1.04","3.64","0.10375","0.0175","20","2.5","2","1","0.8","0.13","0.104","0.325","0.26","40","28.57142857","80","2.766666667","3.466666667","8.666666667","12.13333333","0.052","3.458333333","4.333333333","10.83333333","15.16666667"
"","","UGP2016NAM-AT02","","","","","","","","","UGP2016NAM-AT02-00049","","","","10","10","1","2","8","1","2","9","2","0","0.4","0","7.5","8","1","1","4","3","0","0.4","7.9","0.2","","2","0.222222222","0.2","0.222222222","0.2","0.044444444","0.04","0.833333333","0.75","100","5.063291139","90","1.333333333","1.333333333","25","26.33333333","0.2","1.481481481","1.481481481","27.77777778","29.25925926"
"","","UGP2016NAM-AT02","","","","","","","","","UGP2016NAM-AT02-00050","","","","10","10","2","2","6","1","2","10","9","4","1.25","0.06","2.8","9","1","1","4","3","0","1.31","4.11","0.138888889","0.015","13","1.3","1.3","0.9","0.9","0.131","0.131","0.28","0.28","69.23076923","31.87347932","100","4.166666667","4.366666667","9.333333333","13.7","0.100769231","4.166666667","4.366666667","9.333333333","13.7"
"","","UGP2016NAM-AT02","","","","","","","","","UGP2016NAM-AT02-00051","","","","10","10","7","3","6","1","2","0","0","0","0","0","0","","","","","","","0","0","","","0","","0","","0","","0","","0","","","0","0","0","0","0","","","","",""
"","","UGP2016NAM-AT02","","","","","","","","","UGP2016NAM-AT02-00052","","","","10","10","1","2","8","1","2","10","13","5","4","0.22","3.3","3","1","1","6","3","0","4.22","7.52","0.307692308","0.044","18","1.8","1.8","1.3","1.3","0.422","0.422","0.33","0.33","72.22222222","56.11702128","100","13.33333333","14.06666667","11","25.06666667","0.234444444","13.33333333","14.06666667","11","25.06666667"
"","","UGP2016NAM-AT02","","","","","","","","","UGP2016NAM-AT02-00053","","","","10","9","2","2","7","1","2","8","7","8","0.44","0.08","1","5","1","1","3","5","0.15","0.52","1.52","0.062857143","0.01","15","1.875","1.5","0.875","0.7","0.065","0.052","0.125","0.1","46.66666667","34.21052632","80","1.466666667","1.733333333","3.333333333","5.066666667","0.034666667","1.833333333","2.166666667","4.166666667","6.333333333"
