"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Number of plants planted per NET plot|CO_331:0000678","Number of plants established per NET plot|CO_331:0000192","Virus symptoms estimating 1-9|month 1|after planting|COMP:0000023","Virus symptoms estimating 1-9|month 1|before harvest|COMP:0000024","Vine vigor estimating 1-9|CO_331:0000197","Alternaria symptoms estimating 1-9|month 1|before harvest|COMP:0000022","Alternaria symptoms estimating 1-9|month 1|after planting|COMP:0000026","Number of plants harvested per NET plot|CO_331:0000679","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Weight of vines per NET plot in kg|CO_331:0000227","Storage root skin predominant color estimating 1-9 CIP|CO_331:0000175","Storage root size estimating 1-9|CO_331:0000184","Storage root appearance estimating 1-9 CIP|CO_331:0000202","Reaction to sweet potato weevil estimating 1-9|CO_331:0000207","Sprouting ability estimating 1-9|CO_331:0000277","Content of beta-carotene in fresh weight basis in raw storage roots estimating from RHS color chart in mg per 100g|CO_331:0001023","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Number of storage roots after harvest per NET plot|CO_331:0000233","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant harvested|CO_331:2000036","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant harvested|CO_331:0000681","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant harvested|CO_331:0000990","Vine weight in kg per plant planted|CO_331:0000991","Percentage of commercial storage root|CO_331:0000682","Harvest index computing percent|CO_331:0000302","Survival index computing percent|CO_331:0000301","Commercial storage root yield tons per ha|CO_331:0000809","Total storage roots yield computation tons per ha|CO_331:0000296","Total foliage yield in tons per ha|CO_331:0000684","Biomass yield in tons per ha|CO_331:0001003","Average total storage root weight computation kg|CO_331:0002040","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield adjusted in tons per ha|CO_331:0001002","Biomass yield adjusted in tons per ha|CO_331:0001004"
"","","UGP2015SER-ST01","","","","","","","","","UGP2015SER-ST01-00013","","","","20","10","1","1","8","1","2","10","18","8","2.4","0.16","10","8","3","4","3","3","0","2.56","12.56","0.133333333","0.02","26","2.6","1.3","1.8","0.9","0.256","0.128","1","0.5","69.23076923","20.38216561","50","4","4.266666667","16.66666667","20.93333333","0.098461538","8","8.533333333","33.33333333","41.86666667"
"","","UGP2015SER-ST01","","","","","","","","","UGP2015SER-ST01-00014","","","","20","14","1","2","9","1","1","14","18","12","7.4","0.4","5","3","2","8","2","1","1.04","7.8","12.8","0.411111111","0.033333333","30","2.142857143","1.5","1.285714286","0.9","0.557142857","0.39","0.357142857","0.25","60","60.9375","70","12.33333333","13","8.333333333","21.33333333","0.26","17.61904762","18.57142857","11.9047619","30.47619048"
"","","UGP2015SER-ST01","","","","","","","","","UGP2015SER-ST01-00015","","","","20","12","2","2","9","1","1","12","6","8","0.6","0.16","14","4","7","4","3","3","0","0.76","14.76","0.1","0.02","14","1.166666667","0.7","0.5","0.3","0.063333333","0.038","1.166666667","0.7","42.85714286","5.149051491","60","1","1.266666667","23.33333333","24.6","0.054285714","1.666666667","2.111111111","38.88888889","41"
"","","UGP2015SER-ST01","","","","","","","","","UGP2015SER-ST01-00016","","","","20","20","2","2","7","1","2","20","0","2","0","0.4","0.16","","","","","","","0.4","0.56","","0.2","2","0.1","0.1","0","0","0.02","0.02","0.008","0.008","0","71.42857143","100","0","0.666666667","0.266666667","0.933333333","0.2","0","0.666666667","0.266666667","0.933333333"
"","","UGP2015SER-ST01","","","","","","","","","UGP2015SER-ST01-00017","","","","20","12","1","2","8","1","2","8","0","10","0","6","0.4","","5","2","1","3","","6","6.4","","0.6","10","1.25","0.5","0","0","0.75","0.3","0.05","0.02","0","93.75","40","0","10","0.666666667","10.66666667","0.6","0","25","1.666666667","26.66666667"
"","","UGP2015SER-ST01","","","","","","","","","UGP2015SER-ST01-00018","","","","20","14","2","2","9","1","2","14","38","42","5","1.28","6","2","3","6","2","3","0.02","6.28","12.28","0.131578947","0.03047619","80","5.714285714","4","2.714285714","1.9","0.448571429","0.314","0.428571429","0.3","47.5","51.14006515","70","8.333333333","10.46666667","10","20.46666667","0.0785","11.9047619","14.95238095","14.28571429","29.23809524"
"","","UGP2015SER-ST01","","","","","","","","","UGP2015SER-ST01-00019","","","","20","20","1","1","8","1","2","20","12","3","16","1.5","12.6","5","2","6","2","1","1.38","17.5","30.1","1.333333333","0.5","15","0.75","0.75","0.6","0.6","0.875","0.875","0.63","0.63","80","58.13953488","100","26.66666667","29.16666667","21","50.16666667","1.166666667","26.66666667","29.16666667","21","50.16666667"
"","","UGP2015SER-ST01","","","","","","","","","UGP2015SER-ST01-00020","","","","20","20","2","2","9","1","2","16","0","2","0","0.8","","","2","5","1","1","","0.8","","","0.4","2","0.125","0.1","0","0","0.05","0.04","","","0","","80","0","1.333333333","","","0.4","0","1.666666667","",""
"","","UGP2015SER-ST01","","","","","","","","","UGP2015SER-ST01-00021","","","","20","16","1","2","8","1","3","16","0","10","0","1.04","0.8","","3","7","1","1","","1.04","1.84","","0.104","10","0.625","0.5","0","0","0.065","0.052","0.05","0.04","0","56.52173913","80","0","1.733333333","1.333333333","3.066666667","0.104","0","2.166666667","1.666666667","3.833333333"
"","","UGP2015SER-ST01","","","","","","","","","UGP2015SER-ST01-00022","","","","20","12","1","1","7","1","2","12","12","2","13","0.6","10","7","2","8","2","1","11.03","13.6","23.6","1.083333333","0.3","14","1.166666667","0.7","1","0.6","1.133333333","0.68","0.833333333","0.5","85.71428571","57.62711864","60","21.66666667","22.66666667","16.66666667","39.33333333","0.971428571","36.11111111","37.77777778","27.77777778","65.55555556"
"","","UGP2015SER-ST01","","","","","","","","","UGP2015SER-ST01-00023","","","","20","20","2","2","7","1","2","20","0","6","0","1.92","12","","","","","","","1.92","13.92","","0.32","6","0.3","0.3","0","0","0.096","0.096","0.6","0.6","0","13.79310345","100","0","3.2","20","23.2","0.32","0","3.2","20","23.2"
"","","UGP2015SER-ST01","","","","","","","","","UGP2015SER-ST01-00024","","","","20","20","1","1","8","1","2","20","13","4","12","2","9","6","2","6","2","1","0","14","23","0.923076923","0.5","17","0.85","0.85","0.65","0.65","0.7","0.7","0.45","0.45","76.47058824","60.86956522","100","20","23.33333333","15","38.33333333","0.823529412","20","23.33333333","15","38.33333333"
"","","UGP2015SER-ST01","","","","","","","","","UGP2015SER-ST01-00025","","","","20","12","1","2","8","2","2","12","14","12","2.4","0.4","5.2","2","3","4","3","1","0.02","2.8","8","0.171428571","0.033333333","26","2.166666667","1.3","1.166666667","0.7","0.233333333","0.14","0.433333333","0.26","53.84615385","35","60","4","4.666666667","8.666666667","13.33333333","0.107692308","6.666666667","7.777777778","14.44444444","22.22222222"
"","","UGP2015SER-ST01","","","","","","","","","UGP2015SER-ST01-00026","","","","20","0","","","","","","0","0","0","0","0","0","","","","","","","0","0","","","0","","0","","0","","0","","0","","","0","0","0","0","0","","","","",""
"","","UGP2015SER-ST01","","","","","","","","","UGP2015SER-ST01-00027","","","","20","20","2","2","6","1","2","0","0","0","0","0","0","","","","","","","0","0","","","0","","0","","0","","0","","0","","","0","0","0","0","0","","","","",""
"","","UGP2015SER-ST01","","","","","","","","","UGP2015SER-ST01-00028","","","","20","16","1","2","8","1","2","16","22","7","15","0.9","14","4","3","6","2","1","7.76","15.9","29.9","0.681818182","0.128571429","29","1.8125","1.45","1.375","1.1","0.99375","0.795","0.875","0.7","75.86206897","53.17725753","80","25","26.5","23.33333333","49.83333333","0.548275862","31.25","33.125","29.16666667","62.29166667"
"","","UGP2015SER-ST01","","","","","","","","","UGP2015SER-ST01-00029","","","","20","20","1","2","6","1","2","0","0","0","0","0","0","","","","","","","0","0","","","0","","0","","0","","0","","0","","","0","0","0","0","0","","","","",""
"","","UGP2015SER-ST01","","","","","","","","","UGP2015SER-ST01-00030","","","","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","UGP2015SER-ST01","","","","","","","","","UGP2015SER-ST01-00031","","","","20","20","1","1","8","1","2","20","19","4","15","0.9","10.5","5","3","4","2","1","0.15","15.9","26.4","0.789473684","0.225","23","1.15","1.15","0.95","0.95","0.795","0.795","0.525","0.525","82.60869565","60.22727273","100","25","26.5","17.5","44","0.691304348","25","26.5","17.5","44"
"","","UGP2015SER-ST01","","","","","","","","","UGP2015SER-ST01-00032","","","","20","20","1","2","8","1","2","20","0","10","0","1.76","","","","6","3","1","3.76","1.76","","","0.176","10","0.5","0.5","0","0","0.088","0.088","","","0","","100","0","2.933333333","","","0.176","0","2.933333333","",""
"","","UGP2015SER-ST01","","","","","","","","","UGP2015SER-ST01-00033","","","","20","16","1","1","9","1","1","16","12","0","2.4","0","5","2","3","3","3","1","0.02","2.4","7.4","0.2","","12","0.75","0.6","0.75","0.6","0.15","0.12","0.3125","0.25","100","32.43243243","80","4","4","8.333333333","12.33333333","0.2","5","5","10.41666667","15.41666667"
"","","UGP2015SER-ST01","","","","","","","","","UGP2015SER-ST01-00034","","","","20","20","1","1","6","1","2","16","0","6","0","0.8","0.32","","5","8","1","1","","0.8","1.12","","0.133333333","6","0.375","0.3","0","0","0.05","0.04","0.02","0.016","0","71.42857143","80","0","1.333333333","0.533333333","1.866666667","0.133333333","0","1.666666667","0.666666667","2.333333333"
"","","UGP2015SER-ST01","","","","","","","","","UGP2015SER-ST01-00035","","","","20","20","2","2","9","1","2","20","0","4","0","0.4","0.24","","","","","","","0.4","0.64","","0.1","4","0.2","0.2","0","0","0.02","0.02","0.012","0.012","0","62.5","100","0","0.666666667","0.4","1.066666667","0.1","0","0.666666667","0.4","1.066666667"
"","","UGP2015SER-ST01","","","","","","","","","UGP2015SER-ST01-00036","","","","20","16","2","2","7","2","1","16","0","0","0","0","3","","","","","","","0","3","","","0","0","0","0","0","0","0","0.1875","0.15","","0","80","0","0","5","5","","0","0","6.25","6.25"
"","","UGP2015SER-ST01","","","","","","","","","UGP2015SER-ST01-00037","","","","20","12","2","2","8","2","2","12","6","0","0.8","0","7","4","3","4","2","1","0","0.8","7.8","0.133333333","","6","0.5","0.3","0.5","0.3","0.066666667","0.04","0.583333333","0.35","100","10.25641026","60","1.333333333","1.333333333","11.66666667","13","0.133333333","2.222222222","2.222222222","19.44444444","21.66666667"
"","","UGP2015SER-ST01","","","","","","","","","UGP2015SER-ST01-00038","","","","20","20","3","2","6","1","3","0","0","0","0","0","0","","","","","","","0","0","","","0","","0","","0","","0","","0","","","0","0","0","0","0","","","","",""
"","","UGP2015SER-ST01","","","","","","","","","UGP2015SER-ST01-00039","","","","20","20","1","1","8","1","2","20","19","8","15","0.18","18","3","2","6","2","1","10.5","15.18","33.18","0.789473684","0.0225","27","1.35","1.35","0.95","0.95","0.759","0.759","0.9","0.9","70.37037037","45.75045208","100","25","25.3","30","55.3","0.562222222","25","25.3","30","55.3"
"","","UGP2015SER-ST01","","","","","","","","","UGP2015SER-ST01-00040","","","","20","12","2","2","8","1","2","8","0","2","0","0.8","","","","","","","","0.8","","","0.4","2","0.25","0.1","0","0","0.1","0.04","","","0","","40","0","1.333333333","","","0.4","0","3.333333333","",""
"","","UGP2015SER-ST01","","","","","","","","","UGP2015SER-ST01-00041","","","","20","16","1","2","9","1","2","16","0","26","0","12","0.48","","5","4","1","3","","12","12.48","","0.461538462","26","1.625","1.3","0","0","0.75","0.6","0.03","0.024","0","96.15384615","80","0","20","0.8","20.8","0.461538462","0","25","1","26"
"","","UGP2015SER-ST01","","","","","","","","","UGP2015SER-ST01-00042","","","","20","0","","","","","","0","0","0","0","0","0","","","","","","","0","0","","","0","","0","","0","","0","","0","","","0","0","0","0","0","","","","",""
"","","UGP2015SER-ST01","","","","","","","","","UGP2015SER-ST01-00043","","","","20","20","1","2","8","2","2","20","24","4","8","0.4","5","3","3","7","3","1","0","8.4","13.4","0.333333333","0.1","28","1.4","1.4","1.2","1.2","0.42","0.42","0.25","0.25","85.71428571","62.68656716","100","13.33333333","14","8.333333333","22.33333333","0.3","13.33333333","14","8.333333333","22.33333333"
"","","UGP2015SER-ST01","","","","","","","","","UGP2015SER-ST01-00044","","","","20","20","1","2","9","1","2","12","0","0","0","0","0.8","","","","","","","0","0.8","","","0","0","0","0","0","0","0","0.066666667","0.04","","0","60","0","0","1.333333333","1.333333333","","0","0","2.222222222","2.222222222"
"","","UGP2015SER-ST01","","","","","","","","","UGP2015SER-ST01-00045","","","","20","16","2","2","8","2","1","16","36","26","4","0.88","3","3","3","8","2","3","10.5","4.88","7.88","0.111111111","0.033846154","62","3.875","3.1","2.25","1.8","0.305","0.244","0.1875","0.15","58.06451613","61.92893401","80","6.666666667","8.133333333","5","13.13333333","0.078709677","8.333333333","10.16666667","6.25","16.41666667"
"","","UGP2015SER-ST01","","","","","","","","","UGP2015SER-ST01-00046","","","","20","12","2","1","9","2","1","12","10","6","1.8","0.16","30","3","3","4","1","1","0","1.96","31.96","0.18","0.026666667","16","1.333333333","0.8","0.833333333","0.5","0.163333333","0.098","2.5","1.5","62.5","6.132665832","60","3","3.266666667","50","53.26666667","0.1225","5","5.444444444","83.33333333","88.77777778"
"","","UGP2015SER-ST01","","","","","","","","","UGP2015SER-ST01-00047","","","","20","20","1","1","8","1","2","20","13","4","17","0.4","11.2","8","3","7","3","1","10.5","17.4","28.6","1.307692308","0.1","17","0.85","0.85","0.65","0.65","0.87","0.87","0.56","0.56","76.47058824","60.83916084","100","28.33333333","29","18.66666667","47.66666667","1.023529412","28.33333333","29","18.66666667","47.66666667"
"","","UGP2015SER-ST01","","","","","","","","","UGP2015SER-ST01-00048","","","","20","18","1","1","8","1","2","18","15","15","26.8","2.3","16.5","7","5","5","2","1","0.69","29.1","45.6","1.786666667","0.153333333","30","1.666666667","1.5","0.833333333","0.75","1.616666667","1.455","0.916666667","0.825","50","63.81578947","90","44.66666667","48.5","27.5","76","0.97","49.62962963","53.88888889","30.55555556","84.44444444"
"","","UGP2015SER-ST01","","","","","","","","","UGP2015SER-ST01-00049","","","","20","16","1","2","7","1","2","0","0","0","0","0","0","","","","","","","0","0","","","0","","0","","0","","0","","0","","","0","0","0","0","0","","","","",""
"","","UGP2015SER-ST01","","","","","","","","","UGP2015SER-ST01-00050","","","","20","18","2","1","6","1","2","18","10","6","1.2","0.4","1","3","3","3","6","1","0","1.6","2.6","0.12","0.066666667","16","0.888888889","0.8","0.555555556","0.5","0.088888889","0.08","0.055555556","0.05","62.5","61.53846154","90","2","2.666666667","1.666666667","4.333333333","0.1","2.222222222","2.962962963","1.851851852","4.814814815"
