"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Number of plants planted per NET plot|CO_331:0000678","Number of plants established per NET plot|CO_331:0000192","Virus symptoms estimating 1-9|month 1|after planting|COMP:0000023","Virus symptoms estimating 1-9|month 1|before harvest|COMP:0000024","Vine vigor estimating 1-9|CO_331:0000197","Alternaria symptoms estimating 1-9|month 1|before harvest|COMP:0000022","Alternaria symptoms estimating 1-9|month 1|after planting|COMP:0000026","Number of plants harvested per NET plot|CO_331:0000679","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Weight of vines per NET plot in kg|CO_331:0000227","Storage root skin predominant color estimating 1-9 CIP|CO_331:0000175","Storage root size estimating 1-9|CO_331:0000184","Storage root appearance estimating 1-9 CIP|CO_331:0000202","Reaction to sweet potato weevil estimating 1-9|CO_331:0000207","Sprouting ability estimating 1-9|CO_331:0000277","Content of beta-carotene in fresh weight basis in raw storage roots estimating from RHS color chart in mg per 100g|CO_331:0001023","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Number of storage roots after harvest per NET plot|CO_331:0000233","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant harvested|CO_331:2000036","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant harvested|CO_331:0000681","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant harvested|CO_331:0000990","Vine weight in kg per plant planted|CO_331:0000991","Percentage of commercial storage root|CO_331:0000682","Harvest index computing percent|CO_331:0000302","Survival index computing percent|CO_331:0000301","Average total storage root weight computation kg|CO_331:0002040","Commercial storage root yield tons per ha|CO_331:0000809","Total storage roots yield computation tons per ha|CO_331:0000296","Total foliage yield in tons per ha|CO_331:0000684","Biomass yield in tons per ha|CO_331:0001003","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield adjusted in tons per ha|CO_331:0001002","Biomass yield adjusted in tons per ha|CO_331:0001004"
"","","UGP2014SER-PT02","","","","","","","","","UGP2014SER-PT02-00023","","","","30","18","1","3","7","1","2","12","9","1","4.2","0.01","6.2","2","1","9","1","1","0","4.21","10.41","0.466666667","0.01","10","0.833333333","0.333333333","0.75","0.3","0.350833333","0.140333333","0.516666667","0.206666667","90","40.4418828","40","0.421","4.666666667","4.677777778","6.888888889","11.56666667","11.66666667","11.69444444","17.22222222","28.91666667"
"","","UGP2014SER-PT02","","","","","","","","","UGP2014SER-PT02-00024","","","","30","10","1","","","1","","0","0","0","0","0","0","","","","","","","0","0","","","0","","0","","0","","0","","0","","","0","","0","0","0","0","","","",""
"","","UGP2014SER-PT02","","","","","","","","","UGP2014SER-PT02-00025","","","","30","17","2","2","7","1","2","12","41","2","16.2","0.02","7.4","2","3","5","2","1","0.12","16.22","23.62","0.395121951","0.01","43","3.583333333","1.433333333","3.416666667","1.366666667","1.351666667","0.540666667","0.616666667","0.246666667","95.34883721","68.67061812","40","0.377209302","18","18.02222222","8.222222222","26.24444444","45","45.05555556","20.55555556","65.61111111"
"","","UGP2014SER-PT02","","","","","","","","","UGP2014SER-PT02-00026","","","","30","17","2","3","8","1","2","12","60","88","18.4","1.3","1.3","2","3","4","3","2","1.65","19.7","21","0.306666667","0.014772727","148","12.33333333","4.933333333","5","2","1.641666667","0.656666667","0.108333333","0.043333333","40.54054054","93.80952381","40","0.133108108","20.44444444","21.88888889","1.444444444","23.33333333","51.11111111","54.72222222","3.611111111","58.33333333"
"","","UGP2014SER-PT02","","","","","","","","","UGP2014SER-PT02-00027","","","","30","16","3","4","6","1","2","3","44","11","15","0.6","12.2","9","1","6","3","1","0.02","15.6","27.8","0.340909091","0.054545455","55","18.33333333","1.833333333","14.66666667","1.466666667","5.2","0.52","4.066666667","0.406666667","80","56.11510791","10","0.283636364","16.66666667","17.33333333","13.55555556","30.88888889","166.6666667","173.3333333","135.5555556","308.8888889"
"","","UGP2014SER-PT02","","","","","","","","","UGP2014SER-PT02-00028","","","","30","14","3","3","7","1","2","14","56","20","17","0.4","14","2","1","4","6","1","0.12","17.4","31.4","0.303571429","0.02","76","5.428571429","2.533333333","4","1.866666667","1.242857143","0.58","1","0.466666667","73.68421053","55.41401274","46.66666667","0.228947368","18.88888889","19.33333333","15.55555556","34.88888889","40.47619048","41.42857143","33.33333333","74.76190476"
"","","UGP2014SER-PT02","","","","","","","","","UGP2014SER-PT02-00029","","","","30","22","3","4","7","1","2","12","9","1","4.2","0.01","6.2","2","1","9","1","1","5.46","4.21","10.41","0.466666667","0.01","10","0.833333333","0.333333333","0.75","0.3","0.350833333","0.140333333","0.516666667","0.206666667","90","40.4418828","40","0.421","4.666666667","4.677777778","6.888888889","11.56666667","11.66666667","11.69444444","17.22222222","28.91666667"
"","","UGP2014SER-PT02","","","","","","","","","UGP2014SER-PT02-00030","","","","30","19","2","3","6","1","2","11","46","5","24.2","0.05","10.2","9","3","2","2","1","0.12","24.25","34.45","0.526086957","0.01","51","4.636363636","1.7","4.181818182","1.533333333","2.204545455","0.808333333","0.927272727","0.34","90.19607843","70.39187228","36.66666667","0.475490196","26.88888889","26.94444444","11.33333333","38.27777778","73.33333333","73.48484848","30.90909091","104.3939394"
"","","UGP2014SER-PT02","","","","","","","","","UGP2014SER-PT02-00031","","","","30","24","1","2","8","1","1","12","20","0","5.2","0","12","2","1","5","2","1","0","5.2","17.2","0.26","","20","1.666666667","0.666666667","1.666666667","0.666666667","0.433333333","0.173333333","1","0.4","100","30.23255814","40","0.26","5.777777778","5.777777778","13.33333333","19.11111111","14.44444444","14.44444444","33.33333333","47.77777778"
"","","UGP2014SER-PT02","","","","","","","","","UGP2014SER-PT02-00032","","","","30","21","1","2","8","1","2","14","57","19","24.8","1","11.6","8","1","9","2","1","0.12","25.8","37.4","0.435087719","0.052631579","76","5.428571429","2.533333333","4.071428571","1.9","1.842857143","0.86","0.828571429","0.386666667","75","68.98395722","46.66666667","0.339473684","27.55555556","28.66666667","12.88888889","41.55555556","59.04761905","61.42857143","27.61904762","89.04761905"
"","","UGP2014SER-PT02","","","","","","","","","UGP2014SER-PT02-00033","","","","30","12","1","2","8","1","2","1","3","0","1.5","0","12","2","1","7","2","1","4.92","1.5","13.5","0.5","","3","3","0.1","3","0.1","1.5","0.05","12","0.4","100","11.11111111","3.333333333","0.5","1.666666667","1.666666667","13.33333333","15","50","50","400","450"
"","","UGP2014SER-PT02","","","","","","","","","UGP2014SER-PT02-00034","","","","30","15","1","2","9","1","3","9","23","5","16.2","0.2","60","9","1","1","2","1","0.12","16.4","76.4","0.704347826","0.04","28","3.111111111","0.933333333","2.555555556","0.766666667","1.822222222","0.546666667","6.666666667","2","82.14285714","21.46596859","30","0.585714286","18","18.22222222","66.66666667","84.88888889","60","60.74074074","222.2222222","282.962963"
"","","UGP2014SER-PT02","","","","","","","","","UGP2014SER-PT02-00035","","","","30","6","1","2","7","1","2","2","6","0","2.2","0","5","2","1","2","2","2","0","2.2","7.2","0.366666667","","6","3","0.2","3","0.2","1.1","0.073333333","2.5","0.166666667","100","30.55555556","6.666666667","0.366666667","2.444444444","2.444444444","5.555555556","8","36.66666667","36.66666667","83.33333333","120"
"","","UGP2014SER-PT02","","","","","","","","","UGP2014SER-PT02-00036","","","","30","8","2","3","4","2","2","1","2","1","0.2","0.03","0.3","2","7","1","2","1","0","0.23","0.53","0.1","0.03","3","3","0.1","2","0.066666667","0.23","0.007666667","0.3","0.01","66.66666667","43.39622642","3.333333333","0.076666667","0.222222222","0.255555556","0.333333333","0.588888889","6.666666667","7.666666667","10","17.66666667"
"","","UGP2014SER-PT02","","","","","","","","","UGP2014SER-PT02-00037","","","","30","27","1","2","9","1","2","19","16","47","3","0.7","63","2","3","3","1","1","0","3.7","66.7","0.1875","0.014893617","63","3.315789474","2.1","0.842105263","0.533333333","0.194736842","0.123333333","3.315789474","2.1","25.3968254","5.547226387","63.33333333","0.058730159","3.333333333","4.111111111","70","74.11111111","5.263157895","6.49122807","110.5263158","117.0175439"
