"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Number of plants planted per NET plot|CO_331:0000678","Number of plants established per NET plot|CO_331:0000192","Virus symptoms estimating 1-9|month 1|after planting|COMP:0000023","Virus symptoms estimating 1-9|month 1|before harvest|COMP:0000024","Vine vigor estimating 1-9|CO_331:0000197","Alternaria symptoms estimating 1-9|month 1|before harvest|COMP:0000022","Alternaria symptoms estimating 1-9|month 1|after planting|COMP:0000026","Number of plants harvested per NET plot|CO_331:0000679","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Weight of vines per NET plot in kg|CO_331:0000227","Storage root skin predominant color estimating 1-9 CIP|CO_331:0000175","Reaction to sweet potato weevil estimating 1-9|CO_331:0000207","Sprouting ability estimating 1-9|CO_331:0000277","Storage root appearance estimating 1-9 CIP|CO_331:0000202","Storage root size estimating 1-9|CO_331:0000184","Storage root predominant Flesh color estimating 1-9|CO_331:0000178","Content of beta-carotene in fresh weight basis in raw storage roots estimating from RHS color chart in mg per 100g|CO_331:0001023","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Number of storage roots after harvest per NET plot|CO_331:0000233","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant harvested|CO_331:2000036","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant harvested|CO_331:0000681","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant harvested|CO_331:0000990","Vine weight in kg per plant planted|CO_331:0000991","Percentage of commercial storage root|CO_331:0000682","Harvest index computing percent|CO_331:0000302","Survival index computing percent|CO_331:0000301","Average total storage root weight computation kg|CO_331:0002040","Commercial storage root yield tons per ha|CO_331:0000809","Total storage roots yield computation tons per ha|CO_331:0000296","Total foliage yield in tons per ha|CO_331:0000684","Biomass yield in tons per ha|CO_331:0001003","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield adjusted in tons per ha|CO_331:0001002","Biomass yield adjusted in tons per ha|CO_331:0001004"
"","","UGP2013NAM-OT04","","","","","","","","","UGP2013NAM-OT04-00022","","","","5","4","2","3","7","1","2","3","7","5","2","0.2","7","2","3","1","8","3","","0.12","2.2","9.2","0.285714286","0.04","12","4","2.4","2.333333333","1.4","0.733333333","0.44","2.333333333","1.4","58.33333333","23.91304348","60","0.183333333","13.33333333","14.66666667","46.66666667","61.33333333","22.22222222","24.44444444","77.77777778","102.2222222"
"","","UGP2013NAM-OT04","","","","","","","","","UGP2013NAM-OT04-00023","","","","5","0","","","","","","0","0","0","0","0","0","","","","","","","","0","0","","","0","","0","","0","","0","","0","","","0","","0","0","0","0","","","",""
"","","UGP2013NAM-OT04","","","","","","","","","UGP2013NAM-OT04-00024","","","","5","4","2","5","7","1","2","4","8","1","1.6","0.04","1.6","2","3","1","7","3","","0.12","1.64","3.24","0.2","0.04","9","2.25","1.8","2","1.6","0.41","0.328","0.4","0.32","88.88888889","50.61728395","80","0.182222222","10.66666667","10.93333333","10.66666667","21.6","13.33333333","13.66666667","13.33333333","27"
"","","UGP2013NAM-OT04","","","","","","","","","UGP2013NAM-OT04-00025","","","","5","3","1","2","6","1","2","3","3","5","0.4","0.16","1.4","2","1","1","9","5","","0","0.56","1.96","0.133333333","0.032","8","2.666666667","1.6","1","0.6","0.186666667","0.112","0.466666667","0.28","37.5","28.57142857","60","0.07","2.666666667","3.733333333","9.333333333","13.06666667","4.444444444","6.222222222","15.55555556","21.77777778"
"","","UGP2013NAM-OT04","","","","","","","","","UGP2013NAM-OT04-00026","","","","5","4","2","5","5","1","2","3","0","0","0","0","0.2","","","","","","","","0","0.2","","","0","0","0","0","0","0","0","0.066666667","0.04","","0","60","","0","0","1.333333333","1.333333333","0","0","2.222222222","2.222222222"
"","","UGP2013NAM-OT04","","","","","","","","","UGP2013NAM-OT04-00027","","","","5","4","1","4","5","1","2","3","4","6","0.28","0.16","0.8","5","1","1","8","5","","0.15","0.44","1.24","0.07","0.026666667","10","3.333333333","2","1.333333333","0.8","0.146666667","0.088","0.266666667","0.16","40","35.48387097","60","0.044","1.866666667","2.933333333","5.333333333","8.266666667","3.111111111","4.888888889","8.888888889","13.77777778"
"","","UGP2013NAM-OT04","","","","","","","","","UGP2013NAM-OT04-00028","","","","5","2","1","3","6","1","2","2","4","3","0.6","0.08","1.6","2","3","1","3","3","","0","0.68","2.28","0.15","0.026666667","7","3.5","1.4","2","0.8","0.34","0.136","0.8","0.32","57.14285714","29.8245614","40","0.097142857","4","4.533333333","10.66666667","15.2","10","11.33333333","26.66666667","38"
"","","UGP2013NAM-OT04","","","","","","","","","UGP2013NAM-OT04-00029","","","","5","4","2","7","6","2","2","4","3","6","0.5","0.1","0.4","6","1","1","3","5","","0.15","0.6","1","0.166666667","0.016666667","9","2.25","1.8","0.75","0.6","0.15","0.12","0.1","0.08","33.33333333","60","80","0.066666667","3.333333333","4","2.666666667","6.666666667","4.166666667","5","3.333333333","8.333333333"
"","","UGP2013NAM-OT04","","","","","","","","","UGP2013NAM-OT04-00030","","","","5","3","1","2","7","1","2","3","3","4","","0.08","3","2","3","1","9","5","","0.02","","","","0.02","7","2.333333333","1.4","1","0.6","","","1","0.6","42.85714286","","60","","","","20","","","","33.33333333",""
"","","UGP2013NAM-OT04","","","","","","","","","UGP2013NAM-OT04-00031","","","","5","5","1","3","7","2","3","0","0","0","0","0","0","","","","","","","","0","0","","","0","","0","","0","","0","","0","","","0","","0","0","0","0","","","",""
