"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Number of plants planted per NET plot|CO_331:0000678","Number of plants established per NET plot|CO_331:0000192","Virus symptoms estimating 1-9|month 1|after planting|COMP:0000023","Virus symptoms estimating 1-9|month 1|before harvest|COMP:0000024","Vine vigor estimating 1-9|CO_331:0000197","Alternaria symptoms estimating 1-9|month 1|before harvest|COMP:0000022","Alternaria symptoms estimating 1-9|month 1|after planting|COMP:0000026","Number of plants harvested per NET plot|CO_331:0000679","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Weight of vines per NET plot in kg|CO_331:0000227","Storage root skin predominant color estimating 1-9 CIP|CO_331:0000175","Storage root size estimating 1-9|CO_331:0000184","Storage root appearance estimating 1-9 CIP|CO_331:0000202","Reaction to sweet potato weevil estimating 1-9|CO_331:0000207","Content of beta-carotene in fresh weight basis in raw storage roots estimating from RHS color chart in mg per 100g|CO_331:0001023","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Number of storage roots after harvest per NET plot|CO_331:0000233","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Average total storage root weight computation kg|CO_331:0002040","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant harvested|CO_331:2000036","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant harvested|CO_331:0000681","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant harvested|CO_331:0000990","Vine weight in kg per plant planted|CO_331:0000991","Percentage of commercial storage root|CO_331:0000682","Harvest index computing percent|CO_331:0000302","Survival index computing percent|CO_331:0000301","Commercial storage root yield tons per ha|CO_331:0000809","Total storage roots yield computation tons per ha|CO_331:0000296","Total foliage yield in tons per ha|CO_331:0000684","Biomass yield in tons per ha|CO_331:0001003","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield adjusted in tons per ha|CO_331:0001002","Biomass yield adjusted in tons per ha|CO_331:0001004"
"","","UGP2017NAM-PT04","","","","","","","","","UGP2017NAM-PT04-00148","","","","16","13","3","2","6","1","1","13","43","31","7","0.65","2.5","6","2","8","5","14.37","7.65","10.15","74","0.162790698","0.020967742","0.103378378","5.692307692","4.625","3.307692308","2.6875","0.588461538","0.478125","0.192307692","0.15625","58.10810811","75.36945813","81.25","14.58333333","15.9375","5.208333333","21.14583333","17.94871795","19.61538462","6.41025641","26.02564103"
"","","UGP2017NAM-PT04","","","","","","","","","UGP2017NAM-PT04-00149","","","","16","16","3","3","7","1","2","14","33","9","8.5","0.34","3.4","6","2","5","3","6.12","8.84","12.24","42","0.257575758","0.037777778","0.21047619","3","2.625","2.357142857","2.0625","0.631428571","0.5525","0.242857143","0.2125","78.57142857","72.22222222","87.5","17.70833333","18.41666667","7.083333333","25.5","20.23809524","21.04761905","8.095238095","29.14285714"
"","","UGP2017NAM-PT04","","","","","","","","","UGP2017NAM-PT04-00150","","","","16","15","3","2","8","1","1","14","29","10","6","0.34","7.4","6","3","1","4","1.5","6.34","13.74","39","0.206896552","0.034","0.162564103","2.785714286","2.4375","2.071428571","1.8125","0.452857143","0.39625","0.528571429","0.4625","74.35897436","46.1426492","87.5","12.5","13.20833333","15.41666667","28.625","14.28571429","15.0952381","17.61904762","32.71428571"
"","","UGP2017NAM-PT04","","","","","","","","","UGP2017NAM-PT04-00151","","","","16","14","2","3","8","1","1","14","13","16","7","0.54","9.5","6","2","4","4","10.5","7.54","17.04","29","0.538461538","0.03375","0.26","2.071428571","1.8125","0.928571429","0.8125","0.538571429","0.47125","0.678571429","0.59375","44.82758621","44.24882629","87.5","14.58333333","15.70833333","19.79166667","35.5","16.66666667","17.95238095","22.61904762","40.57142857"
"","","UGP2017NAM-PT04","","","","","","","","","UGP2017NAM-PT04-00152","","","","16","16","3","3","9","1","1","13","32","36","7.8","1","11.5","2","2","3","2","0.15","8.8","20.3","68","0.24375","0.027777778","0.129411765","5.230769231","4.25","2.461538462","2","0.676923077","0.55","0.884615385","0.71875","47.05882353","43.34975369","81.25","16.25","18.33333333","23.95833333","42.29166667","20","22.56410256","29.48717949","52.05128205"
"","","UGP2017NAM-PT04","","","","","","","","","UGP2017NAM-PT04-00153","","","","16","14","2","4","8","1","1","14","40","30","7","0.6","8.2","6","3","4","3","1.65","7.6","15.8","70","0.175","0.02","0.108571429","5","4.375","2.857142857","2.5","0.542857143","0.475","0.585714286","0.5125","57.14285714","48.10126582","87.5","14.58333333","15.83333333","17.08333333","32.91666667","16.66666667","18.0952381","19.52380952","37.61904762"
"","","UGP2017NAM-PT04","","","","","","","","","UGP2017NAM-PT04-00154","","","","16","14","3","5","7","1","2","13","37","47","4.4","0.08","3.4","4","4","3","2","10.5","4.48","7.88","84","0.118918919","0.001702128","0.053333333","6.461538462","5.25","2.846153846","2.3125","0.344615385","0.28","0.261538462","0.2125","44.04761905","56.85279188","81.25","9.166666667","9.333333333","7.083333333","16.41666667","11.28205128","11.48717949","8.717948718","20.20512821"
"","","UGP2017NAM-PT04","","","","","","","","","UGP2017NAM-PT04-00155","","","","16","13","1","3","8","1","1","13","27","28","4.2","1","7.7","3","3","4","4","0.12","5.2","12.9","55","0.155555556","0.035714286","0.094545455","4.230769231","3.4375","2.076923077","1.6875","0.4","0.325","0.592307692","0.48125","49.09090909","40.31007752","81.25","8.75","10.83333333","16.04166667","26.875","10.76923077","13.33333333","19.74358974","33.07692308"
"","","UGP2017NAM-PT04","","","","","","","","","UGP2017NAM-PT04-00156","","","","16","13","1","2","7","1","1","13","20","30","6","0.6","5","2","2","3","3","0","6.6","11.6","50","0.3","0.02","0.132","3.846153846","3.125","1.538461538","1.25","0.507692308","0.4125","0.384615385","0.3125","40","56.89655172","81.25","12.5","13.75","10.41666667","24.16666667","15.38461538","16.92307692","12.82051282","29.74358974"
"","","UGP2017NAM-PT04","","","","","","","","","UGP2017NAM-PT04-00157","","","","16","13","1","3","8","1","2","13","37","33","5.4","1.2","4.6","5","4","3","4","1.17","6.6","11.2","70","0.145945946","0.036363636","0.094285714","5.384615385","4.375","2.846153846","2.3125","0.507692308","0.4125","0.353846154","0.2875","52.85714286","58.92857143","81.25","11.25","13.75","9.583333333","23.33333333","13.84615385","16.92307692","11.79487179","28.71794872"
