"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Number of plants planted per NET plot|CO_331:0000678","Number of plants established per NET plot|CO_331:0000192","Virus symptoms estimating 1-9|month 1|after planting|COMP:0000023","Virus symptoms estimating 1-9|month 1|before harvest|COMP:0000024","Vine vigor estimating 1-9|CO_331:0000197","Alternaria symptoms estimating 1-9|month 1|before harvest|COMP:0000022","Alternaria symptoms estimating 1-9|month 1|after planting|COMP:0000026","Number of plants harvested per NET plot|CO_331:0000679","Number of plants with storage roots per NET plot|CO_331:0000211","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Weight of vines per NET plot in kg|CO_331:0000227","Storage root skin predominant color estimating 1-9 CIP|CO_331:0000175","Storage root size estimating 1-9|CO_331:0000184","Storage root appearance estimating 1-9 CIP|CO_331:0000202","Reaction to sweet potato weevil estimating 1-9|CO_331:0000207","Sprouting ability estimating 1-9|CO_331:0000277","Content of beta-carotene in fresh weight basis in raw storage roots estimating from RHS color chart in mg per 100g|CO_331:0001023","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Number of storage roots after harvest per NET plot|CO_331:0000233","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant harvested|CO_331:2000036","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant harvested|CO_331:0000681","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant harvested|CO_331:0000990","Vine weight in kg per plant planted|CO_331:0000991","Percentage of commercial storage root|CO_331:0000682","Harvest index computing percent|CO_331:0000302","Survival index computing percent|CO_331:0000301","Average total storage root weight computation kg|CO_331:0002040","Commercial storage root yield tons per ha|CO_331:0000809","Total storage roots yield computation tons per ha|CO_331:0000296","Total foliage yield in tons per ha|CO_331:0000684","Biomass yield in tons per ha|CO_331:0001003","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield adjusted in tons per ha|CO_331:0001002","Biomass yield adjusted in tons per ha|CO_331:0001004"
"","","UGP2014SER-PT01","","","","","","","","","UGP2014SER-PT01-00106","","","","30","24","1","3","8","1","2","24","0","0","0","0","0","47","","","","","","","0","47","","","0","0","0","0","0","0","0","1.958333333","1.566666667","","0","80","","0","0","52.22222222","52.22222222","0","0","65.27777778","65.27777778"
"","","UGP2014SER-PT01","","","","","","","","","UGP2014SER-PT01-00107","","","","30","0","","","","","","0","0","0","0","0","0","0","","","","","","","0","0","","","0","","0","","0","","0","","0","","","0","","0","0","0","0","","","",""
"","","UGP2014SER-PT01","","","","","","","","","UGP2014SER-PT01-00108","","","","30","20","1","2","9","1","1","20","","28","4","21.2","0.2","37","9","1","4","3","2","0.12","21.4","58.4","0.757142857","0.05","32","1.6","1.066666667","1.4","0.933333333","1.07","0.713333333","1.85","1.233333333","87.5","36.64383562","66.66666667","0.66875","23.55555556","23.77777778","41.11111111","64.88888889","35.33333333","35.66666667","61.66666667","97.33333333"
"","","UGP2014SER-PT01","","","","","","","","","UGP2014SER-PT01-00109","","","","30","6","1","2","","1","2","0","0","0","0","0","0","0","","","","","","","0","0","","","0","","0","","0","","0","","0","","","0","","0","0","0","0","","","",""
"","","UGP2014SER-PT01","","","","","","","","","UGP2014SER-PT01-00110","","","","30","18","1","2","9","1","2","18","","10","3","4.4","0.18","28.6","9","3","9","1","2","0.12","4.58","33.18","0.44","0.06","13","0.722222222","0.433333333","0.555555556","0.333333333","0.254444444","0.152666667","1.588888889","0.953333333","76.92307692","13.80349608","60","0.352307692","4.888888889","5.088888889","31.77777778","36.86666667","8.148148148","8.481481481","52.96296296","61.44444444"
"","","UGP2014SER-PT01","","","","","","","","","UGP2014SER-PT01-00111","","","","30","25","2","8","1","1","","25","","0","15","0","0.22","2","3","3","3","1","3","0.03","0.22","2.22","","0.014666667","15","0.6","0.5","0","0","0.0088","0.007333333","0.08","0.066666667","0","9.90990991","83.33333333","0.014666667","0","0.244444444","2.222222222","2.466666667","0","0.293333333","2.666666667","2.96"
"","","UGP2014SER-PT01","","","","","","","","","UGP2014SER-PT01-00112","","","","30","9","5","6","","1","2","0","0","0","0","0","0","0","","","","","","","0","0","","","0","","0","","0","","0","","0","","","0","","0","0","0","0","","","",""
"","","UGP2014SER-PT01","","","","","","","","","UGP2014SER-PT01-00113","","","","30","5","1","2","","1","1","0","0","0","0","0","0","0","","","","","","","0","0","","","0","","0","","0","","0","","0","","","0","","0","0","0","0","","","",""
"","","UGP2014SER-PT01","","","","","","","","","UGP2014SER-PT01-00114","","","","30","8","1","1","5","1","2","0","0","0","0","0","0","0","","","","","","","0","0","","","0","","0","","0","","0","","0","","","0","","0","0","0","0","","","",""
"","","UGP2014SER-PT01","","","","","","","","","UGP2014SER-PT01-00115","","","","30","12","1","2","7","2","2","12","","54","0","31","0","26.1","9","1","5","1","1","6.12","31","57.1","0.574074074","","54","4.5","1.8","4.5","1.8","2.583333333","1.033333333","2.175","0.87","100","54.29071804","40","0.574074074","34.44444444","34.44444444","29","63.44444444","86.11111111","86.11111111","72.5","158.6111111"
