"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Alcidodes sp. damage estimating 1-9|CO_331:0000806","Biomass yield in tons per ha|CO_331:0001003","Total foliage yield in tons per ha|CO_331:0000684","Content of fructose in dry weight basis in boiled storage roots measuring g per 100g|CO_331:0001046","Content of glucose in dry weight basis in boiled storage roots measuring g per 100g|CO_331:0001048","Harvest index computing percent|CO_331:0000302","Content of maltose in dry weight basis in boiled storage roots measuring g per 100g|CO_331:0001052","Millipede damage estimating 1-9|CO_331:0000805","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Number of plants established per NET plot|CO_331:0000192","Number of plants harvested per NET plot|CO_331:0000679","Number of plants planted per NET plot|CO_331:0000678","Number of plants with storage roots per NET plot|CO_331:0000211","Storage root predominant Flesh color estimating 1-9|CO_331:0000178","Storage root skin predominant color estimating 1-9 CIP|CO_331:0000175","Reaction to Striped sweet potato weevil estimating 1-9|CO_331:0000720","Content of starch in dry weight basis in boiled storage roots measuring percentage|CO_331:2000027","Storage root dry matter content computing percent|CO_331:0000297","Storage root appearance estimating 1-9 CIP|CO_331:0000202","Percentage of commercial storage root|CO_331:0000682","Commercial storage root yield tons per ha|CO_331:0000809","Storage root size estimating 1-9|CO_331:0000184","Content of sucrose in dry weight basis in boiled storage roots measuring g per 100g|CO_331:0001050","Number of storage roots after harvest per NET plot|CO_331:0000233","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Total storage root weight per NET plot in kg|CO_331:0000237","Vine vigor estimating 1-9|CO_331:0000197","Virus symptoms estimating 1-9|CO_331:0000193","Virus symptoms estimating 1-9|month 1|before harvest|COMP:0000024","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Weight of vines per NET plot in kg|CO_331:0000227","Total storage roots yield computation tons per ha|CO_331:0000296","Biomass yield in kg per plot|CO_331:0000683","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Average total storage root weight computation kg|CO_331:0002040","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant harvested|CO_331:2000036","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant harvested|CO_331:0000681","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant harvested|CO_331:0000990","Vine weight in kg per plant planted|CO_331:0000991","Survival index computing percent|CO_331:0000301","Total storage root weight in dry weight basis per NET plot in kg|CO_331:0000995","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield adjusted in tons per ha|CO_331:0001002","Storage root dry matter yield per NET plot in tons per ha|CO_331:0001000","Storage root dry matter yield adjusted per NET plot in tons per ha|CO_331:0001001","Biomass yield adjusted in tons per ha|CO_331:0001004"
"","","GHP2018WAG-PT01","","","","","","","","","GHP2018WAG-PT01-00019","","","","3","12.73333333","3.866666667","0.888445","1.896057","69.63350785","13.190464","1","15","16","10","10","10","9","3","6","1","62.3708229","31.16214611","5","48.38709677","7.4","5","13.3492279","31","3.1","2.66","5","1","1","2.22","0.44","1.16","8.866666667","3.82","0.148","0.0275","0.085806452","3.1","1.5","1.5","0.266","0.266","0.116","0.116","100","0.828913087","7.4","8.866666667","3.866666667","2.763043622","2.763043622","12.73333333"
"","","GHP2018WAG-PT01","","","","","","","","","GHP2018WAG-PT01-00002","","","","1","28.73333333","0.866666667","","","96.9837587","","1","","21","10","8","10","5","","","1","","","5","","26.66666667","9","","","","8.36","5","1","2","8","0.36","0.26","27.86666667","8.62","","0.017142857","","","","","1.045","0.836","0.0325","0.026","80","","33.33333333","34.83333333","1.083333333","","","35.91666667"
"","","GHP2018WAG-PT01","","","","","","","","","GHP2018WAG-PT01-00020","","","","1","11.86666667","2.6","0","3.4199841","78.08988764","13.2481251","1","16","70","10","10","10","10","9","9","1","59.0359955","34.48959366","3","18.60465116","4.933333333","5","6.5435791","86","8.6","2.78","6","1","1","1.48","1.3","0.78","9.266666667","3.56","0.0925","0.018571429","0.032325581","8.6","1.6","1.6","0.278","0.278","0.078","0.078","100","0.958810704","4.933333333","9.266666667","2.6","3.196035679","3.196035679","11.86666667"
"","","GHP2018WAG-PT01","","","","","","","","","GHP2018WAG-PT01-00021","","","","1","5.6","1.333333333","","","76.19047619","","5","6","16","10","10","10","10","","","7","","","5","27.27272727","2.333333333","5","","22","2.2","1.28","6","1","1","0.7","0.58","0.4","4.266666667","1.68","0.116666667","0.03625","0.058181818","2.2","0.6","0.6","0.128","0.128","0.04","0.04","100","","2.333333333","4.266666667","1.333333333","","","5.6"
"","","GHP2018WAG-PT01","","","","","","","","","GHP2018WAG-PT01-00022","","","","1","6.666666667","0.933333333","","","86","","7","10","18","10","10","10","10","","","7","","","1","35.71428571","2.533333333","1","","28","2.8","1.72","6","1","1","0.76","0.96","0.28","5.733333333","2","0.076","0.053333333","0.061428571","2.8","1","1","0.172","0.172","0.028","0.028","100","","2.533333333","5.733333333","0.933333333","","","6.666666667"
"","","GHP2018WAG-PT01","","","","","","","","","GHP2018WAG-PT01-00023","","","","5","4.866666667","1.6","","","67.12328767","","5","5","6","10","10","10","10","","","5","","","3","45.45454545","1.333333333","7","","11","1.1","0.98","6","1","1","0.4","0.58","0.48","3.266666667","1.46","0.08","0.096666667","0.089090909","1.1","0.5","0.5","0.098","0.098","0.048","0.048","100","","1.333333333","3.266666667","1.6","","","4.866666667"
"","","GHP2018WAG-PT01","","","","","","","","","GHP2018WAG-PT01-00024","","","","1","3.8","0.4","0","3.3928261","89.47368421","10.7762299","1","4","16","10","9","10","9","9","9","1","61.560379","31.68316832","1","20","1.866666667","5","5.853828","20","2.222222222","1.02","7","1","1","0.56","0.46","0.12","3.4","1.14","0.14","0.02875","0.051","2","0.444444444","0.4","0.113333333","0.102","0.013333333","0.012","90","0.323168317","2.074074074","3.777777778","0.444444444","1.077227723","1.196919692","4.222222222"
"","","GHP2018WAG-PT01","","","","","","","","","GHP2018WAG-PT01-00025","","","","3","12.66666667","4.466666667","2.8553519","4.4786811","64.73684211","2.5413511","1","13","24","10","10","10","10","6","6","1","52.5946312","30.94629156","5","35.13513514","4.733333333","5","15.7880554","37","3.7","2.46","7","1","1","1.42","1.04","1.34","8.2","3.8","0.109230769","0.043333333","0.066486486","3.7","1.3","1.3","0.246","0.246","0.134","0.134","100","0.761278772","4.733333333","8.2","4.466666667","2.537595908","2.537595908","12.66666667"
"","","GHP2018WAG-PT01","","","","","","","","","GHP2018WAG-PT01-00026","","","","1","5.933333333","2.2","","","62.92134831","","1","5","20","10","10","10","10","","","1","","","1","20","1.466666667","7","","25","2.5","1.12","7","1","1","0.44","0.68","0.66","3.733333333","1.78","0.088","0.034","0.0448","2.5","0.5","0.5","0.112","0.112","0.066","0.066","100","","1.466666667","3.733333333","2.2","","","5.933333333"
"","","GHP2018WAG-PT01","","","","","","","","","GHP2018WAG-PT01-00027","","","","5","23.33333333","5.2","3.4356821","6.7552719","77.71428571","12.2968349","1","22","39","10","10","10","10","5","2","1","46.8322258","17.20494418","1","36.06557377","12.46666667","3","16.9836655","61","6.1","5.44","6","1","1","3.74","1.7","1.56","18.13333333","7","0.17","0.043589744","0.089180328","6.1","2.2","2.2","0.544","0.544","0.156","0.156","100","0.935948963","12.46666667","18.13333333","5.2","3.119829878","3.119829878","23.33333333"
"","","GHP2018WAG-PT01","","","","","","","","","GHP2018WAG-PT01-00028","","","","1","9.433333333","1.6","","","83.03886926","","7","15","25","10","10","10","10","","","5","","","1","37.5","4.5","5","","40","4","2.35","7","1","1","1.35","1","0.48","7.833333333","2.83","0.09","0.04","0.05875","4","1.5","1.5","0.235","0.235","0.048","0.048","100","","4.5","7.833333333","1.6","","","9.433333333"
"","","GHP2018WAG-PT01","","","","","","","","","GHP2018WAG-PT01-00029","","","","5","8.166666667","1.733333333","2.2928309","2.4703419","78.7755102","4.577579","3","7","23","10","10","10","10","5","8","3","62.1457176","26.67332667","5","23.33333333","3.033333333","5","12.9120255","30","3","1.93","7","1","1","0.91","1.02","0.52","6.433333333","2.45","0.13","0.044347826","0.064333333","3","0.7","0.7","0.193","0.193","0.052","0.052","100","0.514795205","3.033333333","6.433333333","1.733333333","1.715984016","1.715984016","8.166666667"
"","","GHP2018WAG-PT01","","","","","","","","","GHP2018WAG-PT01-00003","","","","5","3.4","0.533333333","","","84.31372549","","5","5","14","9","9","10","9","","","7","","","1","26.31578947","1.466666667","9","","19","2.111111111","0.86","6","1","1","0.44","0.42","0.16","2.866666667","1.02","0.088","0.03","0.045263158","1.9","0.555555556","0.5","0.095555556","0.086","0.017777778","0.016","90","","1.62962963","3.185185185","0.592592593","","","3.777777778"
"","","GHP2018WAG-PT01","","","","","","","","","GHP2018WAG-PT01-00030","","","","1","7.2","1.333333333","0","3.922194","81.48148148","17.6553402","5","13","19","10","8","10","8","9","9","3","53.4035912","26.70931627","3","40.625","3.933333333","5","9.8205338","32","4","1.76","7","1","1","1.18","0.58","0.4","5.866666667","2.16","0.090769231","0.030526316","0.055","3.2","1.625","1.3","0.22","0.176","0.05","0.04","80","0.470083966","4.916666667","7.333333333","1.666666667","1.566946555","1.958683193","9"
"","","GHP2018WAG-PT01","","","","","","","","","GHP2018WAG-PT01-00031","","","","3","10.73333333","2.933333333","1.369377","2.154155","72.67080745","5.4684138","3","11","21","10","10","10","10","3","6","3","59.9298363","30.65577038","5","34.375","3.666666667","3","12.0157776","32","3.2","2.34","7","1","1","1.1","1.24","0.88","7.8","3.22","0.1","0.059047619","0.073125","3.2","1.1","1.1","0.234","0.234","0.088","0.088","100","0.717345027","3.666666667","7.8","2.933333333","2.39115009","2.39115009","10.73333333"
"","","GHP2018WAG-PT01","","","","","","","","","GHP2018WAG-PT01-00032","","","","3","14.66666667","4.4","0.868694","1.843215","70","13.6442127","1","19","21","10","10","10","10","3","8","3","61.6059074","31.38033764","5","47.5","7.466666667","5","15.6843491","40","4","3.08","7","1","1","2.24","0.84","1.32","10.26666667","4.4","0.117894737","0.04","0.077","4","1.9","1.9","0.308","0.308","0.132","0.132","100","0.966514399","7.466666667","10.26666667","4.4","3.221714664","3.221714664","14.66666667"
"","","GHP2018WAG-PT01","","","","","","","","","GHP2018WAG-PT01-00033","","","","3","12.53333333","1.466666667","0.604279","3.2672651","88.29787234","17.3313351","3","24","14","10","10","10","10","5","6","3","54.9642715","31.2662014","1","63.15789474","9","5","14.4682922","38","3.8","3.32","7","1","1","2.7","0.62","0.44","11.06666667","3.76","0.1125","0.044285714","0.087368421","3.8","2.4","2.4","0.332","0.332","0.044","0.044","100","1.038037886","9","11.06666667","1.466666667","3.460126288","3.460126288","12.53333333"
"","","GHP2018WAG-PT01","","","","","","","","","GHP2018WAG-PT01-00034","","","","1","6.733333333","2.6","","","61.38613861","","1","5","21","10","10","10","10","","","1","","","3","19.23076923","1.533333333","7","","26","2.6","1.24","8","1","1","0.46","0.78","0.78","4.133333333","2.02","0.092","0.037142857","0.047692308","2.6","0.5","0.5","0.124","0.124","0.078","0.078","100","","1.533333333","4.133333333","2.6","","","6.733333333"
"","","GHP2018WAG-PT01","","","","","","","","","GHP2018WAG-PT01-00035","","","","1","1.466666667","0.533333333","","","63.63636364","","1","0","9","10","7","10","5","","","1","","","3","0","0","7","","9","1.285714286","0.28","6","1","1","0","0.28","0.16","0.933333333","0.44","","0.031111111","0.031111111","0.9","0","0","0.04","0.028","0.022857143","0.016","70","","0","1.333333333","0.761904762","","","2.095238095"
"","","GHP2018WAG-PT01","","","","","","","","","GHP2018WAG-PT01-00036","","","","1","0.966666667","0.133333333","","","86.20689655","","1","","3","6","4","10","3","","","7","","","5","","0.4","5","","","","0.25","6","1","1","0.12","0.13","0.04","0.833333333","0.29","","0.043333333","","","","","0.0625","0.025","0.01","0.004","40","","1","2.083333333","0.333333333","","","2.416666667"
"","","GHP2018WAG-PT01","","","","","","","","","GHP2018WAG-PT01-00037","","","","1","1.2","0.466666667","","","61.11111111","","1","0","9","6","3","10","3","","","5","","","1","0","0","7","","9","3","0.22","5","1","1","0","0.22","0.14","0.733333333","0.36","","0.024444444","0.024444444","0.9","0","0","0.073333333","0.022","0.046666667","0.014","30","","0","2.444444444","1.555555556","","","4"
"","","GHP2018WAG-PT01","","","","","","","","","GHP2018WAG-PT01-00038","","","","","0.066666667","0.066666667","","","0","","","0","0","10","5","10","0","","","","","","","","0","","","0","0","0","5","1","1","0","0","0.02","0","0.02","","","","0","0","0","0","0","0.004","0.002","50","","0","0","0.133333333","","","0.133333333"
"","","GHP2018WAG-PT01","","","","","","","","","GHP2018WAG-PT01-00039","","","","5","8.6","3.333333333","","","61.24031008","","1","3","43","10","10","10","10","","","1","","","5","6.52173913","1.066666667","7","","46","4.6","1.58","7","1","1","0.32","1.26","1","5.266666667","2.58","0.106666667","0.029302326","0.034347826","4.6","0.3","0.3","0.158","0.158","0.1","0.1","100","","1.066666667","5.266666667","3.333333333","","","8.6"
"","","GHP2018WAG-PT01","","","","","","","","","GHP2018WAG-PT01-00004","","","","1","6.333333333","1.4","1.013273","1.396104","77.89473684","2.503273","1","2","35","10","10","10","10","3","6","3","68.3827591","37.64122894","3","5.405405405","0.8","3","10.4170151","37","3.7","1.48","7","1","1","0.24","1.24","0.42","4.933333333","1.9","0.12","0.035428571","0.04","3.7","0.2","0.2","0.148","0.148","0.042","0.042","100","0.557090188","0.8","4.933333333","1.4","1.856967294","1.856967294","6.333333333"
"","","GHP2018WAG-PT01","","","","","","","","","GHP2018WAG-PT01-00040","","","","1","17.73333333","3.133333333","","","82.33082707","","1","7","8","10","10","10","10","","","1","","","5","46.66666667","13","5","","15","1.5","4.38","7","1","1","3.9","0.48","0.94","14.6","5.32","0.557142857","0.06","0.292","1.5","0.7","0.7","0.438","0.438","0.094","0.094","100","","13","14.6","3.133333333","","","17.73333333"
"","","GHP2018WAG-PT01","","","","","","","","","GHP2018WAG-PT01-00041","","","","1","4.866666667","1","1.78941","2.4220991","79.45205479","12.5569057","1","5","17","10","10","10","10","3","6","1","59.1416359","34.09542744","3","22.72727273","2","5","12.0461731","22","2.2","1.16","6","1","1","0.6","0.56","0.3","3.866666667","1.46","0.12","0.032941176","0.052727273","2.2","0.5","0.5","0.116","0.116","0.03","0.03","100","0.395506958","2","3.866666667","1","1.318356528","1.318356528","4.866666667"
"","","GHP2018WAG-PT01","","","","","","","","","GHP2018WAG-PT01-00042","","","","1","6.733333333","2.333333333","0","2.6372011","65.34653465","6.0139198","1","5","20","10","8","10","8","9","6","1","63.1091766","28.37596669","1","20","1.6","7","6.3806381","25","3.125","1.32","8","1","1","0.48","0.84","0.7","4.4","2.02","0.096","0.042","0.0528","2.5","0.625","0.5","0.165","0.132","0.0875","0.07","80","0.37456276","2","5.5","2.916666667","1.248542534","1.560678168","8.416666667"
"","","GHP2018WAG-PT01","","","","","","","","","GHP2018WAG-PT01-00043","","","","3","13.86666667","2.6","3.170742","3.132874","81.25","5.257164","1","10","35","10","10","10","10","4","8","1","60.3761292","26.72379434","1","22.22222222","7.133333333","5","12.1992798","45","4.5","3.38","7","1","1","2.14","1.24","0.78","11.26666667","4.16","0.214","0.035428571","0.075111111","4.5","1","1","0.338","0.338","0.078","0.078","100","0.903264249","7.133333333","11.26666667","2.6","3.010880829","3.010880829","13.86666667"
"","","GHP2018WAG-PT01","","","","","","","","","GHP2018WAG-PT01-00044","","","","1","4.333333333","0.8","","","81.53846154","","1","9","27","10","10","10","10","","","1","","","1","25","1.533333333","7","","36","3.6","1.06","6","1","1","0.46","0.6","0.24","3.533333333","1.3","0.051111111","0.022222222","0.029444444","3.6","0.9","0.9","0.106","0.106","0.024","0.024","100","","1.533333333","3.533333333","0.8","","","4.333333333"
"","","GHP2018WAG-PT01","","","","","","","","","GHP2018WAG-PT01-00045","","","","3","5.6","1.4","","","75","","1","5","21","10","9","10","9","","","","","","3","19.23076923","1.733333333","5","","26","2.888888889","1.26","6","1","1","0.52","0.74","0.42","4.2","1.68","0.104","0.035238095","0.048461538","2.6","0.555555556","0.5","0.14","0.126","0.046666667","0.042","90","","1.925925926","4.666666667","1.555555556","","","6.222222222"
"","","GHP2018WAG-PT01","","","","","","","","","GHP2018WAG-PT01-00046","","","","1","8.4","1.133333333","2.4243431","4.1638179","86.50793651","13.8858261","1","15","22","10","10","10","10","5","2","1","52.338768","25.9980139","1","40.54054054","4.666666667","5","15.8703537","37","3.7","2.18","7","1","1","1.4","0.78","0.34","7.266666667","2.52","0.093333333","0.035454545","0.058918919","3.7","1.5","1.5","0.218","0.218","0.034","0.034","100","0.566756703","4.666666667","7.266666667","1.133333333","1.88918901","1.88918901","8.4"
"","","GHP2018WAG-PT01","","","","","","","","","GHP2018WAG-PT01-00047","","","","3","3.4","1.266666667","","","62.74509804","","1","2","14","10","8","10","8","","","1","","","1","12.5","0.666666667","7","","16","2","0.64","6","1","1","0.2","0.44","0.38","2.133333333","1.02","0.1","0.031428571","0.04","1.6","0.25","0.2","0.08","0.064","0.0475","0.038","80","","0.833333333","2.666666667","1.583333333","","","4.25"
"","","GHP2018WAG-PT01","","","","","","","","","GHP2018WAG-PT01-00048","","","","5","7.8","0.133333333","1.403385","4.1446362","98.29059829","12.5309734","1","20","21","10","10","10","10","6","8","1","50.0027847","25.75757576","1","48.7804878","5.266666667","5","19.0620346","41","4.1","2.3","8","1","1","1.58","0.72","0.04","7.666666667","2.34","0.079","0.034285714","0.056097561","4.1","2","2","0.23","0.23","0.004","0.004","100","0.592424242","5.266666667","7.666666667","0.133333333","1.974747475","1.974747475","7.8"
"","","GHP2018WAG-PT01","","","","","","","","","GHP2018WAG-PT01-00049","","","","1","6.466666667","0.666666667","0","4.2732358","89.69072165","22.8320942","3","9","19","10","10","10","10","9","9","5","50.8034782","25.96039604","1","32.14285714","3.266666667","5","12.1993408","28","2.8","1.74","6","1","1","0.98","0.76","0.2","5.8","1.94","0.108888889","0.04","0.062142857","2.8","0.9","0.9","0.174","0.174","0.02","0.02","100","0.451710891","3.266666667","5.8","0.666666667","1.50570297","1.50570297","6.466666667"
"","","GHP2018WAG-PT01","","","","","","","","","GHP2018WAG-PT01-00005","","","","1","9.533333333","1.466666667","1.865459","2.9567831","84.61538462","16.7088108","1","14","26","10","10","10","10","2","4","1","58.3142548","35.05195843","1","35","4.8","7","12.319397","40","4","2.42","6","1","1","1.44","0.98","0.44","8.066666667","2.86","0.102857143","0.037692308","0.0605","4","1.4","1.4","0.242","0.242","0.044","0.044","100","0.848257394","4.8","8.066666667","1.466666667","2.827524647","2.827524647","9.533333333"
"","","GHP2018WAG-PT01","","","","","","","","","GHP2018WAG-PT01-00050","","","","1","7.2","1.8","1.850809","4.5027318","75","9.6749878","1","11","20","10","10","10","10","7","4","1","49.9465675","24.96044304","1","35.48387097","3.666666667","7","19.5740433","31","3.1","1.62","7","1","1","1.1","0.52","0.54","5.4","2.16","0.1","0.026","0.052258065","3.1","1.1","1.1","0.162","0.162","0.054","0.054","100","0.404359177","3.666666667","5.4","1.8","1.347863924","1.347863924","7.2"
"","","GHP2018WAG-PT01","","","","","","","","","GHP2018WAG-PT01-00051","","","","5","6","1","0.776659","2.399236","83.33333333","19.9524746","1","9","19","10","10","10","10","3","2","1","56.1966667","33.1562377","1","32.14285714","3.2","5","16.7493591","28","2.8","1.5","8","1","1","0.96","0.54","0.3","5","1.8","0.106666667","0.028421053","0.053571429","2.8","0.9","0.9","0.15","0.15","0.03","0.03","100","0.497343566","3.2","5","1","1.657811885","1.657811885","6"
"","","GHP2018WAG-PT01","","","","","","","","","GHP2018WAG-PT01-00052","","","","1","6.266666667","1.933333333","","","69.14893617","","1","6","30","10","10","10","10","","","1","","","1","16.66666667","1.666666667","7","","36","3.6","1.3","9","1","1","0.5","0.8","0.58","4.333333333","1.88","0.083333333","0.026666667","0.036111111","3.6","0.6","0.6","0.13","0.13","0.058","0.058","100","","1.666666667","4.333333333","1.933333333","","","6.266666667"
