"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Alcidodes sp. damage estimating 1-9|CO_331:0000806","Biomass yield in tons per ha|CO_331:0001003","Total foliage yield in tons per ha|CO_331:0000684","Harvest index computing percent|CO_331:0000302","Millipede damage estimating 1-9|CO_331:0000805","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Number of plants established per NET plot|CO_331:0000192","Number of plants harvested per NET plot|CO_331:0000679","Number of plants planted per NET plot|CO_331:0000678","Number of plants with storage roots per NET plot|CO_331:0000211","Reaction to Striped sweet potato weevil estimating 1-9|CO_331:0000720","Storage root appearance estimating 1-9 CIP|CO_331:0000202","Percentage of commercial storage root|CO_331:0000682","Storage root size estimating 1-9|CO_331:0000184","Commercial storage root yield tons per ha|CO_331:0000809","Survival index computing percent|CO_331:0000301","Number of storage roots after harvest per NET plot|CO_331:0000233","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Total storage root weight per NET plot in kg|CO_331:0000237","Vine vigor estimating 1-9|CO_331:0000197","Virus symptoms estimating 1-9|CO_331:0000193","Virus symptoms estimating 1-9|month 1|before harvest|COMP:0000024","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Weight of vines per NET plot in kg|CO_331:0000227","Total storage roots yield computation tons per ha|CO_331:0000296","Biomass yield in kg per plot|CO_331:0000683","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Average total storage root weight computation kg|CO_331:0002040","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant harvested|CO_331:2000036","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant harvested|CO_331:0000681","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant harvested|CO_331:0000990","Vine weight in kg per plant planted|CO_331:0000991","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield adjusted in tons per ha|CO_331:0001002","Biomass yield adjusted in tons per ha|CO_331:0001004"
"","","GHP2018BWK-PT01","","","","","","","","","GHP2018BWK-PT01-00033","","","","1","17.13333333","5.2","69.64980545","1","21","37","10","8","10","8","2","1","36.20689655","5","8.466666667","80","58","7.25","3.58","6","2","1","2.54","1.04","1.56","11.93333333","5.14","0.120952381","0.028108108","0.061724138","5.8","2.625","2.1","0.4475","0.358","0.195","0.156","10.58333333","14.91666667","6.5","21.41666667"
"","","GHP2018BWK-PT01","","","","","","","","","GHP2018BWK-PT01-00034","","","","1","27.13333333","9.6","64.61916462","1","20","18","5","5","10","5","1","1","52.63157895","3","15.6","50","38","7.6","5.26","6","1","1","4.68","0.58","2.88","17.53333333","8.14","0.234","0.032222222","0.138421053","3.8","4","2","1.052","0.526","0.576","0.288","31.2","35.06666667","19.2","54.26666667"
"","","GHP2018BWK-PT01","","","","","","","","","GHP2018BWK-PT01-00035","","","","1","1.933333333","1","48.27586207","1","0","3","1","1","10","1","1","1","0","9","0","10","3","3","0.28","6","1","1","0","0.28","0.3","0.933333333","0.58","","0.093333333","0.093333333","0.3","0","0","0.28","0.028","0.3","0.03","0","9.333333333","10","19.33333333"
"","","GHP2018BWK-PT01","","","","","","","","","GHP2018BWK-PT01-00036","","","","5","24.13333333","7.866666667","67.40331492","1","26","18","7","7","10","7","1","1","59.09090909","3","14.4","70","44","6.285714286","4.88","6","1","1","4.32","0.56","2.36","16.26666667","7.24","0.166153846","0.031111111","0.110909091","4.4","3.714285714","2.6","0.697142857","0.488","0.337142857","0.236","20.57142857","23.23809524","11.23809524","34.47619048"
"","","GHP2018BWK-PT01","","","","","","","","","GHP2018BWK-PT01-00037","","","","1","25.26666667","13.4","46.96569921","1","20","11","7","7","10","7","2","1","64.51612903","3","10","70","31","4.428571429","3.56","7","1","1","3","0.56","4.02","11.86666667","7.58","0.15","0.050909091","0.11483871","3.1","2.857142857","2","0.508571429","0.356","0.574285714","0.402","14.28571429","16.95238095","19.14285714","36.0952381"
"","","GHP2018BWK-PT01","","","","","","","","","GHP2018BWK-PT01-00038","","","","3","23.33333333","10","57.14285714","3","18","3","10","6","10","6","1","1","85.71428571","3","13","60","21","3.5","4","6","1","1","3.9","0.1","3","13.33333333","7","0.216666667","0.033333333","0.19047619","2.1","3","1.8","0.666666667","0.4","0.5","0.3","21.66666667","22.22222222","16.66666667","38.88888889"
"","","GHP2018BWK-PT01","","","","","","","","","GHP2018BWK-PT01-00039","","","","3","32.73333333","12.6","61.50712831","1","27","13","8","8","10","6","1","1","67.5","3","18.13333333","80","40","5","6.04","6","2","1","5.44","0.6","3.78","20.13333333","9.82","0.201481481","0.046153846","0.151","4","3.375","2.7","0.755","0.604","0.4725","0.378","22.66666667","25.16666667","15.75","40.91666667"
"","","GHP2018BWK-PT01","","","","","","","","","GHP2018BWK-PT01-00004","","","","5","34","12.13333333","64.31372549","1","26","25","9","9","10","9","3","1","50.98039216","5","19.26666667","90","51","5.666666667","6.56","6","1","1","5.78","0.78","3.64","21.86666667","10.2","0.222307692","0.0312","0.128627451","5.1","2.888888889","2.6","0.728888889","0.656","0.404444444","0.364","21.40740741","24.2962963","13.48148148","37.77777778"
"","","GHP2018BWK-PT01","","","","","","","","","GHP2018BWK-PT01-00040","","","","3","21.5","7.6","64.65116279","3","23","23","8","8","10","8","5","3","50","3","9.966666667","80","46","5.75","4.17","6","2","1","2.99","1.18","2.28","13.9","6.45","0.13","0.051304348","0.090652174","4.6","2.875","2.3","0.52125","0.417","0.285","0.228","12.45833333","17.375","9.5","26.875"
"","","GHP2018BWK-PT01","","","","","","","","","GHP2018BWK-PT01-00041","","","","3","38.33333333","11.2","70.7826087","1","34","10","8","8","10","8","3","1","77.27272727","3","25.46666667","80","44","5.5","8.14","6","1","1","7.64","0.5","3.36","27.13333333","11.5","0.224705882","0.05","0.185","4.4","4.25","3.4","1.0175","0.814","0.42","0.336","31.83333333","33.91666667","14","47.91666667"
"","","GHP2018BWK-PT01","","","","","","","","","GHP2018BWK-PT01-00042","","","","3","10.93333333","6.4","41.46341463","1","6","8","3","3","10","3","1","1","42.85714286","5","3.133333333","30","14","4.666666667","1.36","6","1","1","0.94","0.42","1.92","4.533333333","3.28","0.156666667","0.0525","0.097142857","1.4","2","0.6","0.453333333","0.136","0.64","0.192","10.44444444","15.11111111","21.33333333","36.44444444"
"","","GHP2018BWK-PT01","","","","","","","","","GHP2018BWK-PT01-00043","","","","5","21.33333333","7.533333333","64.6875","1","18","8","8","8","10","8","1","5","69.23076923","3","12.53333333","80","26","3.25","4.14","6","2","1","3.76","0.38","2.26","13.8","6.4","0.208888889","0.0475","0.159230769","2.6","2.25","1.8","0.5175","0.414","0.2825","0.226","15.66666667","17.25","9.416666667","26.66666667"
"","","GHP2018BWK-PT01","","","","","","","","","GHP2018BWK-PT01-00044","","","","5","33.06666667","13.6","58.87096774","1","23","12","10","9","10","9","1","1","65.71428571","3","17.4","90","35","3.888888889","5.84","7","1","1","5.22","0.62","4.08","19.46666667","9.92","0.226956522","0.051666667","0.166857143","3.5","2.555555556","2.3","0.648888889","0.584","0.453333333","0.408","19.33333333","21.62962963","15.11111111","36.74074074"
"","","GHP2018BWK-PT01","","","","","","","","","GHP2018BWK-PT01-00045","","","","3","24.73333333","12.53333333","49.32614555","3","14","7","3","3","10","3","5","5","66.66666667","5","11.2","30","21","7","3.66","6","1","1","3.36","0.3","3.76","12.2","7.42","0.24","0.042857143","0.174285714","2.1","4.666666667","1.4","1.22","0.366","1.253333333","0.376","37.33333333","40.66666667","41.77777778","82.44444444"
"","","GHP2018BWK-PT01","","","","","","","","","GHP2018BWK-PT01-00046","","","","3","24.66666667","11.93333333","51.62162162","3","41","16","9","9","10","9","7","1","71.92982456","3","10.4","90","57","6.333333333","3.82","6","2","1","3.12","0.7","3.58","12.73333333","7.4","0.076097561","0.04375","0.067017544","5.7","4.555555556","4.1","0.424444444","0.382","0.397777778","0.358","11.55555556","14.14814815","13.25925926","27.40740741"
"","","GHP2018BWK-PT01","","","","","","","","","GHP2018BWK-PT01-00047","","","","3","6.4","4.866666667","23.95833333","1","0","13","10","8","10","6","1","1","0","9","0","80","13","1.625","0.46","6","2","2","0","0.46","1.46","1.533333333","1.92","","0.035384615","0.035384615","1.3","0","0","0.0575","0.046","0.1825","0.146","0","1.916666667","6.083333333","8"
"","","GHP2018BWK-PT01","","","","","","","","","GHP2018BWK-PT01-00048","","","","3","35.4","13.93333333","60.64030132","1","24","15","10","10","10","10","3","5","61.53846154","3","12.93333333","100","39","3.9","6.44","6","2","1","3.88","2.56","4.18","21.46666667","10.62","0.161666667","0.170666667","0.165128205","3.9","2.4","2.4","0.644","0.644","0.418","0.418","12.93333333","21.46666667","13.93333333","35.4"
"","","GHP2018BWK-PT01","","","","","","","","","GHP2018BWK-PT01-00049","","","","5","34.8","9.733333333","72.03065134","3","38","34","7","7","10","7","7","1","52.77777778","3","22.66666667","70","72","10.28571429","7.52","6","1","1","6.8","0.72","2.92","25.06666667","10.44","0.178947368","0.021176471","0.104444444","7.2","5.428571429","3.8","1.074285714","0.752","0.417142857","0.292","32.38095238","35.80952381","13.9047619","49.71428571"
"","","GHP2018BWK-PT01","","","","","","","","","GHP2018BWK-PT01-00005","","","","5","26.86666667","13.86666667","48.38709677","1","32","13","9","9","10","9","1","1","71.11111111","5","11.53333333","90","45","5","3.9","6","2","1","3.46","0.44","4.16","13","8.06","0.108125","0.033846154","0.086666667","4.5","3.555555556","3.2","0.433333333","0.39","0.462222222","0.416","12.81481481","14.44444444","15.40740741","29.85185185"
