"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Alcidodes sp. damage estimating 1-9|CO_331:0000806","Content of beta-carotene in dry weight basis in raw storage roots measuring mg per 100g|CO_331:0000289","Dry weight of storage root samples measuring g|CO_331:0000247","Fresh weight of storage root samples measuring g|CO_331:0000243","Content of fructose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001045","Content of glucose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001047","Content of maltose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001051","Millipede damage estimating 1-9|CO_331:0000805","Number of plants planted per NET plot|CO_331:0000678","Number of plants established per NET plot|CO_331:0000192","Number of plants harvested per NET plot|CO_331:0000679","Number of plants with storage roots per NET plot|CO_331:0000211","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Storage root predominant Flesh color estimating 1-9|CO_331:0000178","Storage root skin predominant color estimating 1-9 CIP|CO_331:0000175","Reaction to sweet potato weevil estimating 1-9|CO_331:0000207","Content of starch in dry weight basis in raw storage roots measuring percentage|CO_331:0000291","Storage root secondary defects estimating 1-18| CO_331:0000810","Storage root shape estimating 1-9 CIP|CO_331:0000181","Storage root dry matter content computing percent|CO_331:0000297","Storage root appearance estimating 1-9 CIP|CO_331:0000202","Storage root size estimating 1-9|CO_331:0000184","Content of sucrose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001049","Vine vigor estimating 1-9|CO_331:0000197","Virus symptoms estimating 1-9|CO_331:0000193","Virus symptoms estimating 1-9|month 1|before harvest|COMP:0000024","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Weight of vines per NET plot in kg|CO_331:0000227","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Number of storage roots after harvest per NET plot|CO_331:0000233","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Average total storage root weight computation kg|CO_331:0002040","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Number of commercial storage roots per plant harvested|CO_331:2000036","Storage roots yield in kg per plant harvested|CO_331:0000681","Vine weight in kg per plant harvested|CO_331:0000990","Percentage of commercial storage root|CO_331:0000682","Harvest index computing percent|CO_331:0000302","Total storage root weight in dry weight basis per NET plot in kg|CO_331:0000995","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield adjusted in tons per ha|CO_331:0001002","Storage root dry matter yield adjusted per NET plot in tons per ha|CO_331:0001001","Biomass yield adjusted in tons per ha|CO_331:0001004","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant planted|CO_331:0000991","Survival index computing percent|CO_331:0000301","Commercial storage root yield tons per ha|CO_331:0000809","Total storage roots yield computation tons per ha|CO_331:0000296","Total foliage yield in tons per ha|CO_331:0000684","Storage root dry matter yield per NET plot in tons per ha|CO_331:0001000","Biomass yield in tons per ha|CO_331:0001003"
"","","GHP2017KMD-PT01","","","","","","","","","GHP2017KMD-PT01-00019","","","","7","1.8401871","20.82","50.08","0.35","1.65","18.14","3","10","10","10","10","38","10","3","7","5","59.59","7","2","41.57348243","3","3","17.78","7","3","4","5.1","0.4","12","5.5","17.5","48","0.134210526","0.04","0.114583333","4.8","3.8","0.55","1.2","79.16666667","31.42857143","2.286541534","17","18.33333333","40","7.621805112","58.33333333","4.8","3.8","0.55","1.2","100","17","18.33333333","40","7.621805112","58.33333333"
"","","GHP2017KMD-PT01","","","","","","","","","GHP2017KMD-PT01-00002","","","","7","6.8467674","22.67","50.48","0.67","2.53","22.39","1","10","10","10","10","37","33","5","3","4","55.9","6","3","44.9088748","3","5","20.37","8","1","3","6.4","0.9","15","7.3","22.3","70","0.172972973","0.027272727","0.104285714","7","3.7","0.73","1.5","52.85714286","32.73542601","3.278347861","21.33333333","24.33333333","50","10.9278262","74.33333333","7","3.7","0.73","1.5","100","21.33333333","24.33333333","50","10.9278262","74.33333333"
"","","GHP2017KMD-PT01","","","","","","","","","GHP2017KMD-PT01-00020","","","","5","5.0896263","21.74","50.49","0","1.46","20.71","3","10","10","10","10","16","7","5","3","5","58.84","6","2","43.05803129","3","5","18.89","6","4","5","2.7","0.4","5.5","3.1","8.6","23","0.16875","0.057142857","0.134782609","2.3","1.6","0.31","0.55","69.56521739","36.04651163","1.33479897","9","10.33333333","18.33333333","4.4493299","28.66666667","2.3","1.6","0.31","0.55","100","9","10.33333333","18.33333333","4.4493299","28.66666667"
"","","GHP2017KMD-PT01","","","","","","","","","GHP2017KMD-PT01-00021","","","","5","","","","","","","","10","10","7","7","","","","","","","","","","","","","6","5","6","","","2.5","","","","","","","","","","0.357142857","","","","","","11.9047619","","","","","","0.25","70","","","8.333333333","",""
"","","GHP2017KMD-PT01","","","","","","","","","GHP2017KMD-PT01-00022","","","","7","6.9265347","21.03","50.56","0","1.99","29.19","1","10","10","10","10","30","25","5","3","5","53.82","6","3","41.59414557","3","5","21.8","8","3","3","3.6","0.6","6.5","4.2","10.7","55","0.12","0.024","0.076363636","5.5","3","0.42","0.65","54.54545455","39.25233645","1.746954114","12","14","21.66666667","5.82318038","35.66666667","5.5","3","0.42","0.65","100","12","14","21.66666667","5.82318038","35.66666667"
"","","GHP2017KMD-PT01","","","","","","","","","GHP2017KMD-PT01-00023","","","","7","17.5178299","18.25","50.01","1.18","3.74","13.86","3","10","9","9","9","24","18","6","7","6","52.38","6","2","36.49270146","3","5","20.54","5","3","5","4.2","0.4","5.5","4.6","10.1","42","0.175","0.022222222","0.10952381","4.666666667","2.666666667","0.511111111","0.611111111","57.14285714","45.54455446","1.678664267","15.55555556","17.03703704","20.37037037","6.217275064","37.40740741","4.2","2.4","0.46","0.55","90","14","15.33333333","18.33333333","5.595547557","33.66666667"
"","","GHP2017KMD-PT01","","","","","","","","","GHP2017KMD-PT01-00024","","","","7","9.9385548","14.95","50.67","0.83","2.63","20.61","3","10","10","10","10","45","12","3","3","6","54.32","7","3","29.50463785","3","5","20.19","5","1","6","7.8","0.3","6.5","8.1","14.6","57","0.173333333","0.025","0.142105263","5.7","4.5","0.81","0.65","78.94736842","55.47945205","2.389875666","26","27","21.66666667","7.96625222","48.66666667","5.7","4.5","0.81","0.65","100","26","27","21.66666667","7.96625222","48.66666667"
"","","GHP2017KMD-PT01","","","","","","","","","GHP2017KMD-PT01-00025","","","","3","","","","","","","1","10","8","6","1","0","3","","","3","","5","","","3","7","","5","5","6","0","0.1","2","0.1","2.1","3","","0.033333333","0.033333333","0.5","0","0.016666667","0.333333333","0","4.761904762","","0","0.555555556","11.11111111","","11.66666667","0.3","0","0.01","0.2","60","0","0.333333333","6.666666667","","7"
"","","GHP2017KMD-PT01","","","","","","","","","GHP2017KMD-PT01-00026","","","","5","7.5064831","18.14","50.38","0","1.67","22.73","1","10","10","10","10","16","5","4","5","5","56.27","7","3","36.00635173","3","5","20.59","5","3","6","1.9","0.2","4.5","2.1","6.6","21","0.11875","0.04","0.1","2.1","1.6","0.21","0.45","76.19047619","31.81818182","0.756133386","6.333333333","7","15","2.520444621","22","2.1","1.6","0.21","0.45","100","6.333333333","7","15","2.520444621","22"
"","","GHP2017KMD-PT01","","","","","","","","","GHP2017KMD-PT01-00003","","","","7","5.5717258","18.16","50.59","0.73","2.7","19.7","3","10","10","10","10","34","6","3","3","6","53.92","6","3","35.89642222","5","5","19.16","6","3","5","7.3","0.3","4","7.6","11.6","40","0.214705882","0.05","0.19","4","3.4","0.76","0.4","85","65.51724138","2.728128089","24.33333333","25.33333333","13.33333333","9.093760295","38.66666667","4","3.4","0.76","0.4","100","24.33333333","25.33333333","13.33333333","9.093760295","38.66666667"
"","","GHP2017KMD-PT01","","","","","","","","","GHP2017KMD-PT01-00004","","","","5","35.5034218","11.09","50.16","0.37","5.42","17.87","5","10","10","10","10","27","10","7","5","6","43.42","8","2","22.1092504","3","5","28.09","5","4","6","4.7","0.4","2.5","5.1","7.6","37","0.174074074","0.04","0.137837838","3.7","2.7","0.51","0.25","72.97297297","67.10526316","1.12757177","15.66666667","17","8.333333333","3.758572568","25.33333333","3.7","2.7","0.51","0.25","100","15.66666667","17","8.333333333","3.758572568","25.33333333"
"","","GHP2017KMD-PT01","","","","","","","","","GHP2017KMD-PT01-00005","","","","3","6.4518299","9.55","25.03","0","1.37","21.45","1","10","8","5","3","5","2","5","3","4","53.09","6","5","38.15421494","3","5","24.36","5","5","6","0.5","0.1","2","0.6","2.6","7","0.1","0.05","0.085714286","1.4","1","0.12","0.4","71.42857143","23.07692308","0.22892529","3.333333333","4","13.33333333","1.526168598","17.33333333","0.7","0.5","0.06","0.2","50","1.666666667","2","6.666666667","0.763084299","8.666666667"
"","","GHP2017KMD-PT01","","","","","","","","","GHP2017KMD-PT01-00006","","","","3","2.4025631","17.61","50.23","0.05","1.42","5.83","3","10","10","10","10","21","8","4","5","4","58.13","5","2","35.05872984","3","3","20.61","7","3","4","4","0.4","6","4.4","10.4","29","0.19047619","0.05","0.151724138","2.9","2.1","0.44","0.6","72.4137931","42.30769231","1.542584113","13.33333333","14.66666667","20","5.141947044","34.66666667","2.9","2.1","0.44","0.6","100","13.33333333","14.66666667","20","5.141947044","34.66666667"
"","","GHP2017KMD-PT01","","","","","","","","","GHP2017KMD-PT01-00007","","","","5","","","","","","","5","10","10","9","9","12","10","","","6","","6","","","5","5","","5","4","6","1.2","0.3","2","1.5","3.5","22","0.1","0.03","0.068181818","2.444444444","1.333333333","0.166666667","0.222222222","54.54545455","42.85714286","","4.444444444","5.555555556","7.407407407","","12.96296296","2.2","1.2","0.15","0.2","90","4","5","6.666666667","","11.66666667"
"","","GHP2017KMD-PT01","","","","","","","","","GHP2017KMD-PT01-00008","","","","3","5.2508068","23.56","50.72","0","1.04","9.64","1","10","10","7","2","8","3","2","8","4","64.46","7","2","46.4511041","3","3","15.84","7","4","6","2.8","0.2","9.5","3","12.5","11","0.35","0.066666667","0.272727273","1.571428571","1.142857143","0.428571429","1.357142857","72.72727273","24","1.393533123","13.33333333","14.28571429","45.23809524","6.635872014","59.52380952","1.1","0.8","0.3","0.95","70","9.333333333","10","31.66666667","4.64511041","41.66666667"
"","","GHP2017KMD-PT01","","","","","","","","","GHP2017KMD-PT01-00009","","","","5","4.9249725","20.43","50.41","0.2","1.38","10.44","3","10","10","5","5","12","1","3","7","5","61.75","7","3","40.52767308","3","3","18.15","6","3","5","7","0.1","6.5","7.1","13.6","13","0.583333333","0.1","0.546153846","2.6","2.4","1.42","1.3","92.30769231","52.20588235","2.877464789","46.66666667","47.33333333","43.33333333","19.18309859","90.66666667","1.3","1.2","0.71","0.65","50","23.33333333","23.66666667","21.66666667","9.591549296","45.33333333"
