"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Fresh weight of storage root samples measuring g|CO_331:0000243","Dry weight of storage root samples measuring g|CO_331:0000247","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Number of plants established per NET plot|CO_331:0000192","Number of plants harvested per NET plot|CO_331:0000679","Number of plants planted per NET plot|CO_331:0000678","Number of plants with storage roots per NET plot|CO_331:0000211","Alcidodes sp. damage estimating 1-9|CO_331:0000806","Millipede damage estimating 1-9|CO_331:0000805","Reaction to Striped sweet potato weevil estimating 1-9|CO_331:0000720","Storage root predominant Flesh color estimating 1-9|CO_331:0000178","Storage root skin predominant color estimating 1-9 CIP|CO_331:0000175","Storage root appearance estimating 1-9 CIP|CO_331:0000202","Storage root size estimating 1-9|CO_331:0000184","Vine vigor estimating 1-9|CO_331:0000197","Virus symptoms estimating 1-9|CO_331:0000193","Virus symptoms estimating 1-9|month 1|before harvest|COMP:0000024","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Weight of vines per NET plot in kg|CO_331:0000227","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Number of storage roots after harvest per NET plot|CO_331:0000233","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Average total storage root weight computation kg|CO_331:0002040","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant harvested|CO_331:2000036","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant harvested|CO_331:0000681","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant harvested|CO_331:0000990","Vine weight in kg per plant planted|CO_331:0000991","Percentage of commercial storage root|CO_331:0000682","Harvest index computing percent|CO_331:0000302","Survival index computing percent|CO_331:0000301","Storage root dry matter content computing percent|CO_331:0000297","Total storage root weight in dry weight basis per NET plot in kg|CO_331:0000995","Commercial storage root yield tons per ha|CO_331:0000809","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield computation tons per ha|CO_331:0000296","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield in tons per ha|CO_331:0000684","Total foliage yield adjusted in tons per ha|CO_331:0001002","Storage root dry matter yield per NET plot in tons per ha|CO_331:0001000","Storage root dry matter yield adjusted per NET plot in tons per ha|CO_331:0001001","Biomass yield in tons per ha|CO_331:0001003","Biomass yield adjusted in tons per ha|CO_331:0001004"
"","","GHP2014KMD-PT01","","","","","","","","","GHP2014KMD-PT01-00108","","","","","","0","0","10","10","10","0","","","","","","","","6","1","5","0","0","6.4","0","6.4","0","","","","0","0","0","0","0","0","0.64","0.64","","0","100","","","0","0","0","0","21.33333333","21.33333333","","","21.33333333","21.33333333"
"","","GHP2014KMD-PT01","","","","","","","","","GHP2014KMD-PT01-00109","","","","5.46","2.59","6","8","10","10","10","7","2","1","1","8","6","5","5","6","1","5","1.2","0.4","11.9","1.6","13.5","14","0.2","0.05","0.114285714","1.4","1.4","0.6","0.6","0.16","0.16","1.19","1.19","42.85714286","11.85185185","100","47.43589744","0.758974359","4","4","5.333333333","5.333333333","39.66666667","39.66666667","2.52991453","2.52991453","45","45"
"","","GHP2014KMD-PT01","","","","","","","","","GHP2014KMD-PT01-00011","","","","","","9","9","8","8","10","8","3","1","1","","","5","5","6","5","5","2","0.7","2.1","2.7","4.8","18","0.222222222","0.077777778","0.15","2.25","1.8","1.125","0.9","0.3375","0.27","0.2625","0.21","50","56.25","80","","","6.666666667","8.333333333","9","11.25","7","8.75","","","16","20"
"","","GHP2014KMD-PT01","","","","","","","","","GHP2014KMD-PT01-00110","","","","5.12","2.13","8","14","10","10","10","5","1","1","3","5","3","5","6","6","1","5","2.1","0.7","4","2.8","6.8","22","0.2625","0.05","0.127272727","2.2","2.2","0.8","0.8","0.28","0.28","0.4","0.4","36.36363636","41.17647059","100","41.6015625","1.16484375","7","7","9.333333333","9.333333333","13.33333333","13.33333333","3.8828125","3.8828125","22.66666667","22.66666667"
"","","GHP2014KMD-PT01","","","","","","","","","GHP2014KMD-PT01-00111","","","","","","8","21","10","10","10","7","1","1","1","","","5","5","6","4","4","1.4","1.1","5.1","2.5","7.6","29","0.175","0.052380952","0.086206897","2.9","2.9","0.8","0.8","0.25","0.25","0.51","0.51","27.5862069","32.89473684","100","","","4.666666667","4.666666667","8.333333333","8.333333333","17","17","","","25.33333333","25.33333333"
"","","GHP2014KMD-PT01","","","","","","","","","GHP2014KMD-PT01-00112","","","","","","8","16","10","10","10","8","1","1","2","","","6","6","7","4","3","2.4","1.6","12.3","4","16.3","24","0.3","0.1","0.166666667","2.4","2.4","0.8","0.8","0.4","0.4","1.23","1.23","33.33333333","24.5398773","100","","","8","8","13.33333333","13.33333333","41","41","","","54.33333333","54.33333333"
"","","GHP2014KMD-PT01","","","","","","","","","GHP2014KMD-PT01-00113","","","","","","0","2","9","9","10","8","3","1","1","","","2","2","1","9","9","0","0.1","1.7","0.1","1.8","2","","0.05","0.05","0.222222222","0.2","0","0","0.011111111","0.01","0.188888889","0.17","0","5.555555556","90","","","0","0","0.333333333","0.37037037","5.666666667","6.296296296","","","6","6.666666667"
"","","GHP2014KMD-PT01","","","","","","","","","GHP2014KMD-PT01-00114","","","","","","2","3","10","10","10","8","1","1","1","","","3","4","6","1","4","0.4","0.2","6.9","0.6","7.5","5","0.2","0.066666667","0.12","0.5","0.5","0.2","0.2","0.06","0.06","0.69","0.69","40","8","100","","","1.333333333","1.333333333","2","2","23","23","","","25","25"
"","","GHP2014KMD-PT01","","","","","","","","","GHP2014KMD-PT01-00115","","","","","","0","4","9","9","10","8","1","1","1","","","2","2","4","5","7","0","0.1","2.3","0.1","2.4","4","","0.025","0.025","0.444444444","0.4","0","0","0.011111111","0.01","0.255555556","0.23","0","4.166666667","90","","","0","0","0.333333333","0.37037037","7.666666667","8.518518519","","","8","8.888888889"
"","","GHP2014KMD-PT01","","","","","","","","","GHP2014KMD-PT01-00116","","","","","","0","0","0","0","10","0","","","","","","","","","","","0","0","0","0","0","0","","","","","0","","0","","0","","0","","","0","","","0","","0","","0","","","","0",""
"","","GHP2014KMD-PT01","","","","","","","","","GHP2014KMD-PT01-00117","","","","","","0","7","8","8","10","7","1","1","1","","","1","1","4","5","6","0","0.3","2","0.3","2.3","7","","0.042857143","0.042857143","0.875","0.7","0","0","0.0375","0.03","0.25","0.2","0","13.04347826","80","","","0","0","1","1.25","6.666666667","8.333333333","","","7.666666667","9.583333333"
"","","GHP2014KMD-PT01","","","","","","","","","GHP2014KMD-PT01-00118","","","","","","0","10","8","8","10","6","1","1","1","","","2","2","3","4","6","0","0.4","1.2","0.4","1.6","10","","0.04","0.04","1.25","1","0","0","0.05","0.04","0.15","0.12","0","25","80","","","0","0","1.333333333","1.666666667","4","5","","","5.333333333","6.666666667"
"","","GHP2014KMD-PT01","","","","","","","","","GHP2014KMD-PT01-00119","","","","","","7","16","8","8","10","7","1","1","1","","","5","5","6","3","5","1.2","0.5","4.3","1.7","6","23","0.171428571","0.03125","0.073913043","2.875","2.3","0.875","0.7","0.2125","0.17","0.5375","0.43","30.43478261","28.33333333","80","","","4","5","5.666666667","7.083333333","14.33333333","17.91666667","","","20","25"
"","","GHP2014KMD-PT01","","","","","","","","","GHP2014KMD-PT01-00012","","","","","","6","4","6","6","10","8","4","1","2","","","4","4","5","7","6","1.2","0.4","1.6","1.6","3.2","10","0.2","0.1","0.16","1.666666667","1","1","0.6","0.266666667","0.16","0.266666667","0.16","60","50","60","","","4","6.666666667","5.333333333","8.888888889","5.333333333","8.888888889","","","10.66666667","17.77777778"
"","","GHP2014KMD-PT01","","","","","","","","","GHP2014KMD-PT01-00120","","","","","","0","5","10","10","10","8","1","2","2","","","2","3","7","1","4","0","0.2","6.1","0.2","6.3","5","","0.04","0.04","0.5","0.5","0","0","0.02","0.02","0.61","0.61","0","3.174603175","100","","","0","0","0.666666667","0.666666667","20.33333333","20.33333333","","","21","21"
"","","GHP2014KMD-PT01","","","","","","","","","GHP2014KMD-PT01-00121","","","","","","0","0","9","9","10","0","","","","","","","","2","7","8","0","0","2.9","0","2.9","0","","","","0","0","0","0","0","0","0.322222222","0.29","","0","90","","","0","0","0","0","9.666666667","10.74074074","","","9.666666667","10.74074074"
"","","GHP2014KMD-PT01","","","","","","","","","GHP2014KMD-PT01-00122","","","","","","0","1","8","8","10","7","1","1","1","","","2","2","2","7","8","0","0.1","0.2","0.1","0.3","1","","0.1","0.1","0.125","0.1","0","0","0.0125","0.01","0.025","0.02","0","33.33333333","80","","","0","0","0.333333333","0.416666667","0.666666667","0.833333333","","","1","1.25"
"","","GHP2014KMD-PT01","","","","","","","","","GHP2014KMD-PT01-00123","","","","","","0","4","9","9","10","8","1","2","2","","","2","2","4","4","5","0","0.1","2.7","0.1","2.8","4","","0.025","0.025","0.444444444","0.4","0","0","0.011111111","0.01","0.3","0.27","0","3.571428571","90","","","0","0","0.333333333","0.37037037","9","10","","","9.333333333","10.37037037"
"","","GHP2014KMD-PT01","","","","","","","","","GHP2014KMD-PT01-00124","","","","","","0","0","8","8","10","0","","","","","","","","1","9","9","0","0","2.6","0","2.6","0","","","","0","0","0","0","0","0","0.325","0.26","","0","80","","","0","0","0","0","8.666666667","10.83333333","","","8.666666667","10.83333333"
"","","GHP2014KMD-PT01","","","","","","","","","GHP2014KMD-PT01-00125","","","","","","0","0","8","8","10","0","","","","","","","","4","3","7","0","0","2.7","0","2.7","0","","","","0","0","0","0","0","0","0.3375","0.27","","0","80","","","0","0","0","0","9","11.25","","","9","11.25"
"","","GHP2014KMD-PT01","","","","","","","","","GHP2014KMD-PT01-00126","","","","17.3","5.9","3","8","9","9","10","9","1","1","1","8","6","4","4","3","1","7","1.5","0.5","1.3","2","3.3","11","0.5","0.0625","0.181818182","1.222222222","1.1","0.333333333","0.3","0.222222222","0.2","0.144444444","0.13","27.27272727","60.60606061","90","34.10404624","0.682080925","5","5.555555556","6.666666667","7.407407407","4.333333333","4.814814815","2.273603083","2.526225648","11","12.22222222"
"","","GHP2014KMD-PT01","","","","","","","","","GHP2014KMD-PT01-00127","","","","","","0","0","0","0","10","0","","","","","","","","","","","0","0","0","0","0","0","","","","","0","","0","","0","","0","","","0","","","0","","0","","0","","","","0",""
"","","GHP2014KMD-PT01","","","","","","","","","GHP2014KMD-PT01-00128","","","","","","0","2","2","2","10","7","1","1","1","","","2","2","1","7","9","0","0.1","0.1","0.1","0.2","2","","0.05","0.05","1","0.2","0","0","0.05","0.01","0.05","0.01","0","50","20","","","0","0","0.333333333","1.666666667","0.333333333","1.666666667","","","0.666666667","3.333333333"
"","","GHP2014KMD-PT01","","","","","","","","","GHP2014KMD-PT01-00129","","","","","","0","2","4","4","10","8","1","1","1","","","2","2","1","7","9","0","0.1","0.2","0.1","0.3","2","","0.05","0.05","0.5","0.2","0","0","0.025","0.01","0.05","0.02","0","33.33333333","40","","","0","0","0.333333333","0.833333333","0.666666667","1.666666667","","","1","2.5"
"","","GHP2014KMD-PT01","","","","","","","","","GHP2014KMD-PT01-00013","","","","15.1","5.1","10","32","6","6","10","6","3","1","1","6","6","6","4","5","6","6","1.6","1.5","1","3.1","4.1","42","0.16","0.046875","0.073809524","7","4.2","1.666666667","1","0.516666667","0.31","0.166666667","0.1","23.80952381","75.6097561","60","33.77483444","1.047019868","5.333333333","8.888888889","10.33333333","17.22222222","3.333333333","5.555555556","3.490066225","5.816777042","13.66666667","22.77777778"
"","","GHP2014KMD-PT01","","","","","","","","","GHP2014KMD-PT01-00130","","","","","","0","0","3","3","10","0","","","","","","","","","9","","0","0","0.1","0","0.1","0","","","","0","0","0","0","0","0","0.033333333","0.01","","0","30","","","0","0","0","0","0.333333333","1.111111111","","","0.333333333","1.111111111"
"","","GHP2014KMD-PT01","","","","","","","","","GHP2014KMD-PT01-00131","","","","","","0","2","6","6","10","9","1","1","1","","","2","2","2","8","8","0","0.1","0.4","0.1","0.5","2","","0.05","0.05","0.333333333","0.2","0","0","0.016666667","0.01","0.066666667","0.04","0","20","60","","","0","0","0.333333333","0.555555556","1.333333333","2.222222222","","","1.666666667","2.777777778"
"","","GHP2014KMD-PT01","","","","","","","","","GHP2014KMD-PT01-00132","","","","19.2","5.78","4","11","10","10","10","7","1","1","1","3","9","6","6","8","3","4","1","0.6","5.7","1.6","7.3","15","0.25","0.054545455","0.106666667","1.5","1.5","0.4","0.4","0.16","0.16","0.57","0.57","26.66666667","21.91780822","100","30.10416667","0.481666667","3.333333333","3.333333333","5.333333333","5.333333333","19","19","1.605555556","1.605555556","24.33333333","24.33333333"
"","","GHP2014KMD-PT01","","","","","","","","","GHP2014KMD-PT01-00133","","","","","","6","3","9","9","10","5","1","1","3","","","","4","7","4","5","0.7","0.1","2","0.8","2.8","9","0.116666667","0.033333333","0.088888889","1","0.9","0.666666667","0.6","0.088888889","0.08","0.222222222","0.2","66.66666667","28.57142857","90","","","2.333333333","2.592592593","2.666666667","2.962962963","6.666666667","7.407407407","","","9.333333333","10.37037037"
"","","GHP2014KMD-PT01","","","","","","","","","GHP2014KMD-PT01-00134","","","","21.2","5.11","8","11","10","10","10","5","1","1","2","3","9","4","5","9","3","4","1.9","0.9","12.5","2.8","15.3","19","0.2375","0.081818182","0.147368421","1.9","1.9","0.8","0.8","0.28","0.28","1.25","1.25","42.10526316","18.30065359","100","24.10377358","0.67490566","6.333333333","6.333333333","9.333333333","9.333333333","41.66666667","41.66666667","2.249685535","2.249685535","51","51"
"","","GHP2014KMD-PT01","","","","","","","","","GHP2014KMD-PT01-00135","","","","","","0","0","4","4","10","0","","","","","","","","1","9","9","0","0","0.3","0","0.3","0","","","","0","0","0","0","0","0","0.075","0.03","","0","40","","","0","0","0","0","1","2.5","","","1","2.5"
"","","GHP2014KMD-PT01","","","","","","","","","GHP2014KMD-PT01-00136","","","","","","0","0","10","10","10","0","","","","","","","","2","9","8","0","0","1.2","0","1.2","0","","","","0","0","0","0","0","0","0.12","0.12","","0","100","","","0","0","0","0","4","4","","","4","4"
"","","GHP2014KMD-PT01","","","","","","","","","GHP2014KMD-PT01-00137","","","","","","0","9","10","10","10","7","1","1","1","","","3","3","8","1","3","0","0.3","13.4","0.3","13.7","9","","0.033333333","0.033333333","0.9","0.9","0","0","0.03","0.03","1.34","1.34","0","2.189781022","100","","","0","0","1","1","44.66666667","44.66666667","","","45.66666667","45.66666667"
"","","GHP2014KMD-PT01","","","","","","","","","GHP2014KMD-PT01-00138","","","","14.5","5.45","15","23","10","10","10","8","1","2","4","6","6","6","6","6","1","5","2.9","1.3","2.6","4.2","6.8","38","0.193333333","0.056521739","0.110526316","3.8","3.8","1.5","1.5","0.42","0.42","0.26","0.26","39.47368421","61.76470588","100","37.5862069","1.57862069","9.666666667","9.666666667","14","14","8.666666667","8.666666667","5.262068966","5.262068966","22.66666667","22.66666667"
"","","GHP2014KMD-PT01","","","","","","","","","GHP2014KMD-PT01-00139","","","","","","4","17","10","10","10","9","1","1","1","","","4","5","6","3","5","0.6","0.8","6.7","1.4","8.1","21","0.15","0.047058824","0.066666667","2.1","2.1","0.4","0.4","0.14","0.14","0.67","0.67","19.04761905","17.28395062","100","","","2","2","4.666666667","4.666666667","22.33333333","22.33333333","","","27","27"
"","","GHP2014KMD-PT01","","","","","","","","","GHP2014KMD-PT01-00014","","","","","","","","4","4","10","4","","","","","","","","1","8","9","","","0.1","","","","","","","","","","","","","0.025","0.01","","","40","","","","","","","0.333333333","0.833333333","","","",""
"","","GHP2014KMD-PT01","","","","","","","","","GHP2014KMD-PT01-00140","","","","12.13","5.15","15","20","10","10","10","7","1","1","2","5","9","7","7","5","4","6","4","1.3","2.4","5.3","7.7","35","0.266666667","0.065","0.151428571","3.5","3.5","1.5","1.5","0.53","0.53","0.24","0.24","42.85714286","68.83116883","100","42.45671888","2.250206101","13.33333333","13.33333333","17.66666667","17.66666667","8","8","7.500687002","7.500687002","25.66666667","25.66666667"
"","","GHP2014KMD-PT01","","","","","","","","","GHP2014KMD-PT01-00141","","","","","","5","7","8","8","10","8","1","1","1","","","3","4","3","4","6","1.7","0.6","1.6","2.3","3.9","12","0.34","0.085714286","0.191666667","1.5","1.2","0.625","0.5","0.2875","0.23","0.2","0.16","41.66666667","58.97435897","80","","","5.666666667","7.083333333","7.666666667","9.583333333","5.333333333","6.666666667","","","13","16.25"
"","","GHP2014KMD-PT01","","","","","","","","","GHP2014KMD-PT01-00142","","","","","","5","8","9","9","10","7","1","1","1","","","5","5","2","7","8","0.9","0.5","1.4","1.4","2.8","13","0.18","0.0625","0.107692308","1.444444444","1.3","0.555555556","0.5","0.155555556","0.14","0.155555556","0.14","38.46153846","50","90","","","3","3.333333333","4.666666667","5.185185185","4.666666667","5.185185185","","","9.333333333","10.37037037"
"","","GHP2014KMD-PT01","","","","","","","","","GHP2014KMD-PT01-00143","","","","17.4","5.31","5","12","9","9","10","9","1","1","1","3","8","4","4","6","5","6","0.9","0.6","2.5","1.5","4","17","0.18","0.05","0.088235294","1.888888889","1.7","0.555555556","0.5","0.166666667","0.15","0.277777778","0.25","29.41176471","37.5","90","30.51724138","0.457758621","3","3.333333333","5","5.555555556","8.333333333","9.259259259","1.525862069","1.695402299","13.33333333","14.81481481"
"","","GHP2014KMD-PT01","","","","","","","","","GHP2014KMD-PT01-00144","","","","21.87","5.67","13","16","10","10","10","8","1","1","1","4","9","4","4","6","1","5","2.3","1","5.7","3.3","9","29","0.176923077","0.0625","0.113793103","2.9","2.9","1.3","1.3","0.33","0.33","0.57","0.57","44.82758621","36.66666667","100","25.92592593","0.855555556","7.666666667","7.666666667","11","11","19","19","2.851851852","2.851851852","30","30"
"","","GHP2014KMD-PT01","","","","","","","","","GHP2014KMD-PT01-00145","","","","","","3","5","9","9","10","7","1","1","1","","","4","5","3","4","7","0.6","0.4","2.7","1","3.7","8","0.2","0.08","0.125","0.888888889","0.8","0.333333333","0.3","0.111111111","0.1","0.3","0.27","37.5","27.02702703","90","","","2","2.222222222","3.333333333","3.703703704","9","10","","","12.33333333","13.7037037"
"","","GHP2014KMD-PT01","","","","","","","","","GHP2014KMD-PT01-00146","","","","","","4","17","8","8","10","8","1","1","2","","","6","5","4","3","7","0.7","0.8","2.3","1.5","3.8","21","0.175","0.047058824","0.071428571","2.625","2.1","0.5","0.4","0.1875","0.15","0.2875","0.23","19.04761905","39.47368421","80","","","2.333333333","2.916666667","5","6.25","7.666666667","9.583333333","","","12.66666667","15.83333333"
"","","GHP2014KMD-PT01","","","","","","","","","GHP2014KMD-PT01-00147","","","","","","0","4","8","8","10","9","1","1","1","","","2","3","2","6","8","0","0.1","1.5","0.1","1.6","4","","0.025","0.025","0.5","0.4","0","0","0.0125","0.01","0.1875","0.15","0","6.25","80","","","0","0","0.333333333","0.416666667","5","6.25","","","5.333333333","6.666666667"
"","","GHP2014KMD-PT01","","","","","","","","","GHP2014KMD-PT01-00148","","","","","","2","11","9","9","10","8","1","1","1","","","5","5","3","6","7","0.6","0.4","1.8","1","2.8","13","0.3","0.036363636","0.076923077","1.444444444","1.3","0.222222222","0.2","0.111111111","0.1","0.2","0.18","15.38461538","35.71428571","90","","","2","2.222222222","3.333333333","3.703703704","6","6.666666667","","","9.333333333","10.37037037"
"","","GHP2014KMD-PT01","","","","","","","","","GHP2014KMD-PT01-00149","","","","","","0","0","0","0","10","0","","","","","","","","","","","0","0","0","0","0","0","","","","","0","","0","","0","","0","","","0","","","0","","0","","0","","","","0",""
"","","GHP2014KMD-PT01","","","","","","","","","GHP2014KMD-PT01-00015","","","","","","0","0","0","0","10","0","","","","","","","","","","","0","0","0","0","0","0","","","","","0","","0","","0","","0","","","0","","","0","","0","","0","","","","0",""
"","","GHP2014KMD-PT01","","","","","","","","","GHP2014KMD-PT01-00150","","","","","","3","4","10","10","10","9","1","1","1","","","5","5","4","5","7","0.3","0.2","3.1","0.5","3.6","7","0.1","0.05","0.071428571","0.7","0.7","0.3","0.3","0.05","0.05","0.31","0.31","42.85714286","13.88888889","100","","","1","1","1.666666667","1.666666667","10.33333333","10.33333333","","","12","12"
"","","GHP2014KMD-PT01","","","","","","","","","GHP2014KMD-PT01-00151","","","","","","4","13","9","9","10","7","1","1","1","","","4","6","3","4","7","1.1","0.7","2.4","1.8","4.2","17","0.275","0.053846154","0.105882353","1.888888889","1.7","0.444444444","0.4","0.2","0.18","0.266666667","0.24","23.52941176","42.85714286","90","","","3.666666667","4.074074074","6","6.666666667","8","8.888888889","","","14","15.55555556"
"","","GHP2014KMD-PT01","","","","","","","","","GHP2014KMD-PT01-00152","","","","","","2","6","10","10","10","7","1","1","1","","","4","5","6","3","6","0.7","0.3","6.7","1","7.7","8","0.35","0.05","0.125","0.8","0.8","0.2","0.2","0.1","0.1","0.67","0.67","25","12.98701299","100","","","2.333333333","2.333333333","3.333333333","3.333333333","22.33333333","22.33333333","","","25.66666667","25.66666667"
