"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Alcidodes sp. damage estimating 1-9|CO_331:0000806","Content of beta-carotene in dry weight basis in raw storage roots measuring mg per 100g|CO_331:0000289","Content of iron in dry weight basis measuring mg per 100g by NIRS|CO_331:0001016","Content of zinc in dry weight basis measuring mg per 100g by NIRS|CO_331:0001017","Dry weight of storage root samples measuring g|CO_331:0000247","Fresh weight of storage root samples measuring g|CO_331:0000243","Content of fructose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001045","Content of glucose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001047","Millipede damage estimating 1-9|CO_331:0000805","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Number of plants established per NET plot|CO_331:0000192","Number of plants harvested per NET plot|CO_331:0000679","Number of plants planted per NET plot|CO_331:0000678","Number of plants with storage roots per NET plot|CO_331:0000211","Storage root predominant Flesh color estimating 1-9|CO_331:0000178","Storage root skin predominant color estimating 1-9 CIP|CO_331:0000175","Content of protein in dry weight basis in raw storage roots measuring percentage|CO_331:0000278","Reaction to Striped sweet potato weevil estimating 1-9|CO_331:0000720","Content of starch in dry weight basis in raw storage roots measuring percentage|CO_331:0000291","Storage root dry matter content computing percent|CO_331:0000297","Storage root appearance estimating 1-9 CIP|CO_331:0000202","Storage root size estimating 1-9|CO_331:0000184","Content of sucrose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001049","Vine vigor estimating 1-9|CO_331:0000197","Virus symptoms estimating 1-9|CO_331:0000193","Virus symptoms estimating 1-9|month 1|before harvest|COMP:0000024","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Weight of vines per NET plot in kg|CO_331:0000227","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Number of storage roots after harvest per NET plot|CO_331:0000233","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Average total storage root weight computation kg|CO_331:0002040","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant harvested|CO_331:2000036","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant harvested|CO_331:0000681","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant harvested|CO_331:0000990","Vine weight in kg per plant planted|CO_331:0000991","Percentage of commercial storage root|CO_331:0000682","Harvest index computing percent|CO_331:0000302","Survival index computing percent|CO_331:0000301","Total storage root weight in dry weight basis per NET plot in kg|CO_331:0000995","Commercial storage root yield tons per ha|CO_331:0000809","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield computation tons per ha|CO_331:0000296","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield in tons per ha|CO_331:0000684","Total foliage yield adjusted in tons per ha|CO_331:0001002","Storage root dry matter yield per NET plot in tons per ha|CO_331:0001000","Storage root dry matter yield adjusted per NET plot in tons per ha|CO_331:0001001","Biomass yield in tons per ha|CO_331:0001003","Biomass yield adjusted in tons per ha|CO_331:0001004"
"","","GHP2014TON-AT02","","","","","","","","","GHP2014TON-AT02-00020","","","","1","0","1.67","0.93","17.33","50.6","3.01","4.18","1","52","50","43","43","45","39","1","8","2.91","1","62.01","34.24901186","5","7","7.9","9","1","3","16.5","2.5","57","19","76","102","0.317307692","0.05","0.18627451","2.372093023","2.266666667","1.209302326","1.155555556","0.441860465","0.422222222","1.325581395","1.266666667","50.98039216","25","95.55555556","6.507312253","12.22222222","12.79069767","14.07407407","14.72868217","42.22222222","44.18604651","4.820231298","5.044428103","56.2962963","58.91472868"
"","","GHP2014TON-AT02","","","","","","","","","GHP2014TON-AT02-00021","","","","1","0","1.82","1.09","18.92","50.43","1.3","2.68","1","118","56","44","44","45","44","5","8","4","1","64.93","37.51735078","6","8","10.09","9","3","3","44","4","20","48","68","174","0.372881356","0.071428571","0.275862069","3.954545455","3.866666667","2.681818182","2.622222222","1.090909091","1.066666667","0.454545455","0.444444444","67.81609195","70.58823529","97.77777778","18.00832838","32.59259259","33.33333333","35.55555556","36.36363636","14.81481481","15.15151515","13.3395025","13.64267301","50.37037037","51.51515152"
"","","GHP2014TON-AT02","","","","","","","","","GHP2014TON-AT02-00022","","","","3","","","","18.97","50.98","","","1","38","37","36","36","45","35","5","3","","2","","37.21067085","6","8","","7","7","7","16.6","2.5","14","19.1","33.1","75","0.436842105","0.067567568","0.254666667","2.083333333","1.666666667","1.055555556","0.844444444","0.530555556","0.424444444","0.388888889","0.311111111","50.66666667","57.70392749","80","7.107238133","12.2962963","15.37037037","14.14814815","17.68518519","10.37037037","12.96296296","5.264620839","6.580776049","24.51851852","30.64814815"
"","","GHP2014TON-AT02","","","","","","","","","GHP2014TON-AT02-00023","","","","1","0","1.8","1.18","16.78","50.73","1.4","2.28","1","106","56","45","45","45","45","6","3","3.89","3","62.19","33.07707471","6","8","9.47","9","3","3","21.4","3.3","23","24.7","47.7","162","0.201886792","0.058928571","0.152469136","3.6","3.6","2.355555556","2.355555556","0.548888889","0.548888889","0.511111111","0.511111111","65.43209877","51.78197065","100","8.170037453","15.85185185","15.85185185","18.2962963","18.2962963","17.03703704","17.03703704","6.051879595","6.051879595","35.33333333","35.33333333"
"","","GHP2014TON-AT02","","","","","","","","","GHP2014TON-AT02-00024","","","","1","0","1.77","1.08","19.06","50.33","1.33","2.22","2","109","97","41","41","45","41","8","6","4.52","2","68.49","37.87005762","4","9","5.91","7","3","4","40","6.8","19","46.8","65.8","206","0.366972477","0.070103093","0.227184466","5.024390244","4.577777778","2.658536585","2.422222222","1.141463415","1.04","0.463414634","0.422222222","52.91262136","71.12462006","91.11111111","17.72318697","29.62962963","32.5203252","34.66666667","38.04878049","14.07407407","15.44715447","13.12828664","14.40909509","48.74074074","53.49593496"
"","","GHP2014TON-AT02","","","","","","","","","GHP2014TON-AT02-00025","","","","1","0","1.57","1.1","19.95","50.38","1.21","2.23","1","73","36","44","44","45","43","5","9","3.89","1","66.84","39.59904724","4","6","8.06","9","3","3","19.2","2.1","24","21.3","45.3","109","0.263013699","0.058333333","0.195412844","2.477272727","2.422222222","1.659090909","1.622222222","0.484090909","0.473333333","0.545454545","0.533333333","66.97247706","47.01986755","97.77777778","8.434597062","14.22222222","14.54545455","15.77777778","16.13636364","17.77777778","18.18181818","6.247849676","6.389846259","33.55555556","34.31818182"
"","","GHP2014TON-AT02","","","","","","","","","GHP2014TON-AT02-00026","","","","2","0","1.48","0.99","17.46","50.63","1.69","3.08","1","62","68","39","39","45","39","6","7","2.78","4","62.71","34.48548292","6","7","11.28","9","1","1","17.1","6.1","39","23.2","62.2","130","0.275806452","0.089705882","0.178461538","3.333333333","2.888888889","1.58974359","1.377777778","0.594871795","0.515555556","1","0.866666667","47.69230769","37.29903537","86.66666667","8.000632036","12.66666667","14.61538462","17.18518519","19.82905983","28.88888889","33.33333333","5.926394101","6.83814704","46.07407407","53.16239316"
"","","GHP2014TON-AT02","","","","","","","","","GHP2014TON-AT02-00027","","","","2","0","1.53","0.94","18.41","50.54","2.23","3.45","1","58","75","42","42","45","40","1","8","3.19","1","64.75","36.4265928","5","7","6.99","7","3","4","16.5","4.5","20","21","41","133","0.284482759","0.06","0.157894737","3.166666667","2.955555556","1.380952381","1.288888889","0.5","0.466666667","0.476190476","0.444444444","43.60902256","51.2195122","93.33333333","7.649584488","12.22222222","13.0952381","15.55555556","16.66666667","14.81481481","15.87301587","5.66635888","6.0710988","30.37037037","32.53968254"
"","","GHP2014TON-AT02","","","","","","","","","GHP2014TON-AT02-00028","","","","1","","","","17.3","50.28","","","1","46","41","36","36","45","35","5","3","","2","","34.40731901","6","6","","8","5","5","10","2.7","24.5","12.7","37.2","87","0.217391304","0.065853659","0.145977011","2.416666667","1.933333333","1.277777778","1.022222222","0.352777778","0.282222222","0.680555556","0.544444444","52.87356322","34.13978495","80","4.369729515","7.407407407","9.259259259","9.407407407","11.75925926","18.14814815","22.68518519","3.236836678","4.046045847","27.55555556","34.44444444"
"","","GHP2014TON-AT02","","","","","","","","","GHP2014TON-AT02-00029","","","","2","","2.13","1.1","10.64","50.25","8.52","11.93","1","59","36","41","41","45","32","3","7","3.12","1","44.29","21.17412935","5","9","13.48","9","6","6","23.2","2.2","30","25.4","55.4","95","0.393220339","0.061111111","0.267368421","2.317073171","2.111111111","1.43902439","1.311111111","0.619512195","0.564444444","0.731707317","0.666666667","62.10526316","45.84837545","91.11111111","5.378228856","17.18518519","18.86178862","18.81481481","20.6504065","22.22222222","24.3902439","3.983873226","4.372543785","41.03703704","45.04065041"
"","","GHP2014TON-AT02","","","","","","","","","GHP2014TON-AT02-00003","","","","1","0","1.95","1.23","19.61","50.98","1.31","2.42","1","47","32","42","42","45","28","3","7","4.04","2","63.18","38.46606512","5","7","10.93","7","6","6","14.3","2.2","32","16.5","48.5","79","0.304255319","0.06875","0.208860759","1.880952381","1.755555556","1.119047619","1.044444444","0.392857143","0.366666667","0.761904762","0.711111111","59.49367089","34.02061856","93.33333333","6.346900745","10.59259259","11.34920635","12.22222222","13.0952381","23.7037037","25.3968254","4.70140796","5.037222814","35.92592593","38.49206349"
"","","GHP2014TON-AT02","","","","","","","","","GHP2014TON-AT02-00030","","","","1","","","","18.8","50.24","","","1","67","12","44","44","45","44","1","7","","1","","37.42038217","5","9","","9","3","3","43.4","2","20","45.4","65.4","79","0.647761194","0.166666667","0.574683544","1.795454545","1.755555556","1.522727273","1.488888889","1.031818182","1.008888889","0.454545455","0.444444444","84.81012658","69.41896024","97.77777778","16.9888535","32.14814815","32.87878788","33.62962963","34.39393939","14.81481481","15.15151515","12.58433593","12.87034356","48.44444444","49.54545455"
"","","GHP2014TON-AT02","","","","","","","","","GHP2014TON-AT02-00004","","","","2","","","","19.5","50.6","","","2","33","23","45","45","45","38","5","3","","4","","38.53754941","5","9","","6","6","6","11.8","1.8","18","13.6","31.6","56","0.357575758","0.07826087","0.242857143","1.244444444","1.244444444","0.733333333","0.733333333","0.302222222","0.302222222","0.4","0.4","58.92857143","43.03797468","100","5.241106719","8.740740741","8.740740741","10.07407407","10.07407407","13.33333333","13.33333333","3.882301274","3.882301274","23.40740741","23.40740741"
"","","GHP2014TON-AT02","","","","","","","","","GHP2014TON-AT02-00005","","","","1","0","1.65","1.05","18.84","50.88","1.4","2.45","1","120","87","45","45","45","45","5","8","3.46","1","64.49","37.02830189","7","8","10.03","8","1","1","51.6","9.3","26","60.9","86.9","207","0.43","0.106896552","0.294202899","4.6","4.6","2.666666667","2.666666667","1.353333333","1.353333333","0.577777778","0.577777778","57.97101449","70.08055236","100","22.55023585","38.22222222","38.22222222","45.11111111","45.11111111","19.25925926","19.25925926","16.70387841","16.70387841","64.37037037","64.37037037"
"","","GHP2014TON-AT02","","","","","","","","","GHP2014TON-AT02-00006","","","","1","0","1.81","1.09","20.02","50.75","1.27","2.21","2","121","61","41","41","45","41","8","6","4.11","3","65.26","39.44827586","5","7","10.36","8","3","4","44.8","5.6","24.8","50.4","75.2","182","0.370247934","0.091803279","0.276923077","4.43902439","4.044444444","2.951219512","2.688888889","1.229268293","1.12","0.604878049","0.551111111","66.48351648","67.0212766","91.11111111","19.88193103","33.18518519","36.42276423","37.33333333","40.97560976","18.37037037","20.16260163","14.72735632","16.16417157","55.7037037","61.13821138"
"","","GHP2014TON-AT02","","","","","","","","","GHP2014TON-AT02-00007","","","","1","","","","19.8","50.6","","","1","74","15","41","41","45","41","1","7","","3","","39.13043478","5","9","","9","3","3","38.3","1.5","12","39.8","51.8","89","0.517567568","0.1","0.447191011","2.170731707","1.977777778","1.804878049","1.644444444","0.970731707","0.884444444","0.292682927","0.266666667","83.14606742","76.83397683","91.11111111","15.57391304","28.37037037","31.13821138","29.48148148","32.35772358","8.888888889","9.756097561","11.53623188","12.66171792","38.37037037","42.11382114"
"","","GHP2014TON-AT02","","","","","","","","","GHP2014TON-AT02-00008","","","","1","0.47","1.71","1.09","17.73","50.47","2.34","3.67","1","90","61","43","43","45","43","6","3","3.01","2","64.11","35.12978007","6","7","6.3","9","1","1","25.7","4.2","20.2","29.9","50.1","151","0.285555556","0.068852459","0.198013245","3.511627907","3.355555556","2.093023256","2","0.695348837","0.664444444","0.469767442","0.448888889","59.60264901","59.68063872","95.55555556","10.50380424","19.03703704","19.92248062","22.14814815","23.17829457","14.96296296","15.65891473","7.780595733","8.142483907","37.11111111","38.8372093"
"","","GHP2014TON-AT02","","","","","","","","","GHP2014TON-AT02-00009","","","","2","","2.23","1.29","13.09","50.63","4.66","7.11","1","75","40","36","36","45","32","5","3","3.91","2","48.59","25.85423662","7","9","20.39","7","5","5","32.4","3.1","16","35.5","51.5","115","0.432","0.0775","0.308695652","3.194444444","2.555555556","2.083333333","1.666666667","0.986111111","0.788888889","0.444444444","0.355555556","65.2173913","68.93203883","80","9.178254","24","30","26.2962963","32.87037037","11.85185185","14.81481481","6.798706666","8.498383333","38.14814815","47.68518519"
