"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Alcidodes sp. damage estimating 1-9|CO_331:0000806","Dry weight of storage root samples measuring g|CO_331:0000247","Fresh weight of storage root samples measuring g|CO_331:0000243","Millipede damage estimating 1-9|CO_331:0000805","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Number of plants established per NET plot|CO_331:0000192","Number of plants harvested per NET plot|CO_331:0000679","Number of plants planted per NET plot|CO_331:0000678","Number of plants with storage roots per NET plot|CO_331:0000211","Storage root predominant Flesh color estimating 1-9|CO_331:0000178","Storage root skin predominant color estimating 1-9 CIP|CO_331:0000175","Reaction to Striped sweet potato weevil estimating 1-9|CO_331:0000720","Storage root appearance estimating 1-9 CIP|CO_331:0000202","Storage root size estimating 1-9|CO_331:0000184","Vine vigor estimating 1-9|CO_331:0000197","Virus symptoms estimating 1-9|CO_331:0000193","Virus symptoms estimating 1-9|month 1|before harvest|COMP:0000024","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Weight of vines per NET plot in kg|CO_331:0000227","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Number of storage roots after harvest per NET plot|CO_331:0000233","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Average total storage root weight computation kg|CO_331:0002040","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant harvested|CO_331:2000036","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant harvested|CO_331:0000681","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant harvested|CO_331:0000990","Vine weight in kg per plant planted|CO_331:0000991","Percentage of commercial storage root|CO_331:0000682","Harvest index computing percent|CO_331:0000302","Survival index computing percent|CO_331:0000301","Storage root dry matter content computing percent|CO_331:0000297","Total storage root weight in dry weight basis per NET plot in kg|CO_331:0000995","Commercial storage root yield tons per ha|CO_331:0000809","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield computation tons per ha|CO_331:0000296","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield in tons per ha|CO_331:0000684","Total foliage yield adjusted in tons per ha|CO_331:0001002","Storage root dry matter yield per NET plot in tons per ha|CO_331:0001000","Storage root dry matter yield adjusted per NET plot in tons per ha|CO_331:0001001","Biomass yield in tons per ha|CO_331:0001003","Biomass yield adjusted in tons per ha|CO_331:0001004"
"","","GHP2015MNG-AT01","","","","","","","","","GHP2015MNG-AT01-00019","","","","1","21.1","50.8","4","2","3","14","12","30","1","9","9","1","4","1","6","1","2","0.4","0.2","3","0.6","3.6","5","0.2","0.066666667","0.12","0.416666667","0.166666667","0.166666667","0.066666667","0.05","0.02","0.25","0.1","40","16.66666667","40","41.53543307","0.249212598","0.444444444","1.111111111","0.666666667","1.666666667","3.333333333","8.333333333","0.276902887","0.692257218","4","10"
"","","GHP2015MNG-AT01","","","","","","","","","GHP2015MNG-AT01-00002","","","","2","","","5","1","39","26","19","30","17","","","4","5","1","6","2","2","0.1","2.4","2.4","2.5","4.9","40","0.1","0.061538462","0.0625","2.105263158","1.333333333","0.052631579","0.033333333","0.131578947","0.083333333","0.126315789","0.08","2.5","51.02040816","63.33333333","","","0.111111111","0.175438596","2.777777778","4.385964912","2.666666667","4.210526316","","","5.444444444","8.596491228"
"","","GHP2015MNG-AT01","","","","","","","","","GHP2015MNG-AT01-00020","","","","1","","","6","1","17","13","13","30","5","","","5","5","2","7","1","1","0.2","1.1","2.3","1.3","3.6","18","0.2","0.064705882","0.072222222","1.384615385","0.6","0.076923077","0.033333333","0.1","0.043333333","0.176923077","0.076666667","5.555555556","36.11111111","43.33333333","","","0.222222222","0.512820513","1.444444444","3.333333333","2.555555556","5.897435897","","","4","9.230769231"
"","","GHP2015MNG-AT01","","","","","","","","","GHP2015MNG-AT01-00021","","","","1","","","6","4","13","17","14","30","6","","","4","3","1","7","2","2","0.3","0.5","4.2","0.8","5","17","0.075","0.038461538","0.047058824","1.214285714","0.566666667","0.285714286","0.133333333","0.057142857","0.026666667","0.3","0.14","23.52941176","16","46.66666667","","","0.333333333","0.714285714","0.888888889","1.904761905","4.666666667","10","","","5.555555556","11.9047619"
"","","GHP2015MNG-AT01","","","","","","","","","GHP2015MNG-AT01-00003","","","","2","18.1","50.2","6","8","14","22","15","30","14","4","3","2","6","2","5","2","1","2.2","1.1","2.1","3.3","5.4","22","0.275","0.078571429","0.15","1.466666667","0.733333333","0.533333333","0.266666667","0.22","0.11","0.14","0.07","36.36363636","61.11111111","50","36.05577689","1.189840637","2.444444444","4.888888889","3.666666667","7.333333333","2.333333333","4.666666667","1.322045153","2.644090305","6","12"
"","","GHP2015MNG-AT01","","","","","","","","","GHP2015MNG-AT01-00004","","","","2","16.3","46.5","5","8","32","25","18","30","17","8","3","4","5","2","6","2","1","1","1.1","3.8","2.1","5.9","40","0.125","0.034375","0.0525","2.222222222","1.333333333","0.444444444","0.266666667","0.116666667","0.07","0.211111111","0.126666667","20","35.59322034","60","35.05376344","0.736129032","1.111111111","1.851851852","2.333333333","3.888888889","4.222222222","7.037037037","0.817921147","1.363201912","6.555555556","10.92592593"
"","","GHP2015MNG-AT01","","","","","","","","","GHP2015MNG-AT01-00005","","","","1","21.7","50.6","5","7","48","28","21","30","19","4","4","6","6","2","5","3","3","0.5","4.6","4","5.1","9.1","55","0.071428571","0.095833333","0.092727273","2.619047619","1.833333333","0.333333333","0.233333333","0.242857143","0.17","0.19047619","0.133333333","12.72727273","56.04395604","70","42.88537549","2.18715415","0.555555556","0.793650794","5.666666667","8.095238095","4.444444444","6.349206349","2.430171278","3.471673254","10.11111111","14.44444444"
"","","GHP2015MNG-AT01","","","","","","","","","GHP2015MNG-AT01-00006","","","","2","15.7","44.3","6","6","10","27","12","30","10","8","5","6","5","2","5","3","2","1","1.3","1.1","2.3","3.4","16","0.166666667","0.13","0.14375","1.333333333","0.533333333","0.5","0.2","0.191666667","0.076666667","0.091666667","0.036666667","37.5","67.64705882","40","35.44018059","0.815124153","1.111111111","2.777777778","2.555555556","6.388888889","1.222222222","3.055555556","0.905693504","2.26423376","3.777777778","9.444444444"
"","","GHP2015MNG-AT01","","","","","","","","","GHP2015MNG-AT01-00007","","","","1","","","5","1","1","10","7","30","2","","","5","4","1","5","2","1","0.3","0.1","1.7","0.4","2.1","2","0.3","0.1","0.2","0.285714286","0.066666667","0.142857143","0.033333333","0.057142857","0.013333333","0.242857143","0.056666667","50","19.04761905","23.33333333","","","0.333333333","1.428571429","0.444444444","1.904761905","1.888888889","8.095238095","","","2.333333333","10"
"","","GHP2015MNG-AT01","","","","","","","","","GHP2015MNG-AT01-00008","","","","1","","","5","6","28","30","14","30","14","","","6","6","2","8","2","2","0.7","1.8","2.3","2.5","4.8","34","0.116666667","0.064285714","0.073529412","2.428571429","1.133333333","0.428571429","0.2","0.178571429","0.083333333","0.164285714","0.076666667","17.64705882","52.08333333","46.66666667","","","0.777777778","1.666666667","2.777777778","5.952380952","2.555555556","5.476190476","","","5.333333333","11.42857143"
"","","GHP2015MNG-AT01","","","","","","","","","GHP2015MNG-AT01-00009","","","","1","17.9","50.5","5","3","7","19","16","30","9","4","3","2","6","2","6","1","1","1.1","0.4","2.3","1.5","3.8","10","0.366666667","0.057142857","0.15","0.625","0.333333333","0.1875","0.1","0.09375","0.05","0.14375","0.076666667","30","39.47368421","53.33333333","35.44554455","0.531683168","1.222222222","2.291666667","1.666666667","3.125","2.555555556","4.791666667","0.590759076","1.107673267","4.222222222","7.916666667"
