"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Alcidodes sp. damage estimating 1-9|CO_331:0000806","Biomass yield in tons per ha|CO_331:0001003","Total foliage yield in tons per ha|CO_331:0000684","Harvest index computing percent|CO_331:0000302","Millipede damage estimating 1-9|CO_331:0000805","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Number of plants harvested per NET plot|CO_331:0000679","Number of plants planted per NET plot|CO_331:0000678","Number of plants with storage roots per NET plot|CO_331:0000211","Reaction to Striped sweet potato weevil estimating 1-9|CO_331:0000720","Storage root appearance estimating 1-9 CIP|CO_331:0000202","Percentage of commercial storage root|CO_331:0000682","Commercial storage root yield tons per ha|CO_331:0000809","Storage root size estimating 1-9|CO_331:0000184","Number of storage roots after harvest per NET plot|CO_331:0000233","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Total storage root weight per NET plot in kg|CO_331:0000237","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Weight of vines per NET plot in kg|CO_331:0000227","Total storage roots yield computation tons per ha|CO_331:0000296","Biomass yield in kg per plot|CO_331:0000683","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Average total storage root weight computation kg|CO_331:0002040","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant harvested|CO_331:2000036","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant harvested|CO_331:0000681","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant harvested|CO_331:0000990","Vine weight in kg per plant planted|CO_331:0000991","Survival index computing percent|CO_331:0000301","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield adjusted in tons per ha|CO_331:0001002","Biomass yield adjusted in tons per ha|CO_331:0001004"
"","","GHP2018TUM-AT01","","","","","","","","","GHP2018TUM-AT01-00019","","","","1","45.46666667","22","51.61290323","1","67","30","23","30","23","3","7","69.07216495","22","1","97","4.217391304","21.12","19.8","1.32","19.8","23.46666667","40.92","0.295522388","0.044","0.217731959","3.233333333","2.913043478","2.233333333","0.91826087","0.704","0.860869565","0.66","76.66666667","28.69565217","30.60869565","28.69565217","59.30434783"
"","","GHP2018TUM-AT01","","","","","","","","","GHP2018TUM-AT01-00002","","","","3","40.37777778","19.11111111","52.669235","3","68","46","21","30","21","3","3","59.64912281","19.11111111","3","114","5.428571429","19.14","17.2","1.94","17.2","21.26666667","36.34","0.252941176","0.042173913","0.167894737","3.8","3.238095238","2.266666667","0.911428571","0.638","0.819047619","0.573333333","70","27.3015873","30.38095238","27.3015873","57.68253968"
"","","GHP2018TUM-AT01","","","","","","","","","GHP2018TUM-AT01-00020","","","","5","23.55555556","10.51111111","55.37735849","5","47","63","26","30","26","1","3","42.72727273","10.51111111","3","110","4.230769231","11.74","9.46","2.28","9.46","13.04444444","21.2","0.201276596","0.036190476","0.106727273","3.666666667","1.807692308","1.566666667","0.451538462","0.391333333","0.363846154","0.315333333","86.66666667","12.12820513","15.05128205","12.12820513","27.17948718"
"","","GHP2018TUM-AT01","","","","","","","","","GHP2018TUM-AT01-00021","","","","3","41.13333333","18.91111111","54.02485143","3","64","70","30","30","30","5","3","47.76119403","18.91111111","3","134","4.466666667","20","17.02","2.98","17.02","22.22222222","37.02","0.2659375","0.042571429","0.149253731","4.466666667","2.133333333","2.133333333","0.666666667","0.666666667","0.567333333","0.567333333","100","18.91111111","22.22222222","18.91111111","41.13333333"
"","","GHP2018TUM-AT01","","","","","","","","","GHP2018TUM-AT01-00022","","","","1","36.91111111","17.58888889","52.34798314","1","51","37","27","30","27","1","5","57.95454545","17.58888889","3","88","3.259259259","17.39","15.83","1.56","15.83","19.32222222","33.22","0.310392157","0.042162162","0.197613636","2.933333333","1.888888889","1.7","0.644074074","0.579666667","0.586296296","0.527666667","90","19.54320988","21.4691358","19.54320988","41.01234568"
"","","GHP2018TUM-AT01","","","","","","","","","GHP2018TUM-AT01-00023","","","","1","17.43333333","4.366666667","74.95219885","1","40","24","25","30","25","1","3","62.5","11.53333333","3","64","2.56","11.76","10.38","1.38","3.93","13.06666667","15.69","0.2595","0.0575","0.18375","2.133333333","1.6","1.333333333","0.4704","0.392","0.1572","0.131","83.33333333","13.84","15.68","5.24","20.92"
"","","GHP2018TUM-AT01","","","","","","","","","GHP2018TUM-AT01-00024","","","","3","17.06666667","4.733333333","72.265625","1","66","55","28","30","28","5","3","54.54545455","9.9","5","121","4.321428571","11.1","8.91","2.19","4.26","12.33333333","15.36","0.135","0.039818182","0.091735537","4.033333333","2.357142857","2.2","0.396428571","0.37","0.152142857","0.142","93.33333333","10.60714286","13.21428571","5.071428571","18.28571429"
"","","GHP2018TUM-AT01","","","","","","","","","GHP2018TUM-AT01-00025","","","","5","15.17777778","5.5","63.76281113","1","40","54","25","30","25","1","1","42.55319149","7.766666667","5","94","3.76","8.71","6.99","1.72","4.95","9.677777778","13.66","0.17475","0.031851852","0.092659574","3.133333333","1.6","1.333333333","0.3484","0.290333333","0.198","0.165","83.33333333","9.32","11.61333333","6.6","18.21333333"
"","","GHP2018TUM-AT01","","","","","","","","","GHP2018TUM-AT01-00026","","","","","","","","","","","","30","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","GHP2018TUM-AT01","","","","","","","","","GHP2018TUM-AT01-00027","","","","","","","","","","","","30","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","GHP2018TUM-AT01","","","","","","","","","GHP2018TUM-AT01-00028","","","","","","","","","","","","30","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","GHP2018TUM-AT01","","","","","","","","","GHP2018TUM-AT01-00029","","","","","","","","","","","","30","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","GHP2018TUM-AT01","","","","","","","","","GHP2018TUM-AT01-00003","","","","5","40.71111111","30.66666667","24.67248908","3","110","56","29","30","29","1","1","66.26506024","7.4","3","166","5.724137931","9.04","6.66","2.38","27.6","10.04444444","36.64","0.060545455","0.0425","0.054457831","5.533333333","3.793103448","3.666666667","0.311724138","0.301333333","0.951724138","0.92","96.66666667","7.655172414","10.3908046","31.72413793","42.11494253"
"","","GHP2018TUM-AT01","","","","","","","","","GHP2018TUM-AT01-00030","","","","","","","","","","","","30","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","GHP2018TUM-AT01","","","","","","","","","GHP2018TUM-AT01-00031","","","","3","27.6","6.333333333","77.0531401","1","94","24","27","30","27","3","3","79.66101695","20.46666667","3","118","4.37037037","19.14","18.42","0.72","5.7","21.26666667","24.84","0.195957447","0.03","0.16220339","3.933333333","3.481481481","3.133333333","0.708888889","0.638","0.211111111","0.19","90","22.74074074","23.62962963","7.037037037","30.66666667"
"","","GHP2018TUM-AT01","","","","","","","","","GHP2018TUM-AT01-00032","","","","","","","","","","","","30","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","GHP2018TUM-AT01","","","","","","","","","GHP2018TUM-AT01-00033","","","","3","20.23333333","6.033333333","70.18121911","1","51","45","25","30","25","1","1","53.125","12.06666667","3","96","3.84","12.78","10.86","1.92","5.43","14.2","18.21","0.212941176","0.042666667","0.133125","3.2","2.04","1.7","0.5112","0.426","0.2172","0.181","83.33333333","14.48","17.04","7.24","24.28"
"","","GHP2018TUM-AT01","","","","","","","","","GHP2018TUM-AT01-00004","","","","3","31.42222222","7.866666667","74.96463932","1","37","57","22","30","22","1","1","39.36170213","22.22222222","1","94","4.272727273","21.2","20","1.2","7.08","23.55555556","28.28","0.540540541","0.021052632","0.225531915","3.133333333","1.681818182","1.233333333","0.963636364","0.706666667","0.321818182","0.236","73.33333333","30.3030303","32.12121212","10.72727273","42.84848485"
"","","GHP2018TUM-AT01","","","","","","","","","GHP2018TUM-AT01-00005","","","","3","7.244444444","2.844444444","60.73619632","1","24","38","15","30","13","1","3","38.70967742","2.844444444","7","62","4.133333333","3.96","2.56","1.4","2.56","4.4","6.52","0.106666667","0.036842105","0.063870968","2.066666667","1.6","0.8","0.264","0.132","0.170666667","0.085333333","50","5.688888889","8.8","5.688888889","14.48888889"
"","","GHP2018TUM-AT01","","","","","","","","","GHP2018TUM-AT01-00006","","","","3","15.88888889","6.555555556","58.74125874","1","35","42","21","30","21","1","5","45.45454545","6.555555556","3","77","3.666666667","8.4","5.9","2.5","5.9","9.333333333","14.3","0.168571429","0.05952381","0.109090909","2.566666667","1.666666667","1.166666667","0.4","0.28","0.280952381","0.196666667","70","9.365079365","13.33333333","9.365079365","22.6984127"
"","","GHP2018TUM-AT01","","","","","","","","","GHP2018TUM-AT01-00007","","","","1","21.4","5.833333333","72.74143302","1","60","78","22","30","22","3","1","43.47826087","10.43333333","3","138","6.272727273","14.01","9.39","4.62","5.25","15.56666667","19.26","0.1565","0.059230769","0.101521739","4.6","2.727272727","2","0.636818182","0.467","0.238636364","0.175","73.33333333","14.22727273","21.22727273","7.954545455","29.18181818"
"","","GHP2018TUM-AT01","","","","","","","","","GHP2018TUM-AT01-00008","","","","3","58.46666667","28.91111111","50.55112125","3","65","11","21","30","21","5","7","85.52631579","28.91111111","1","76","3.619047619","26.6","26.02","0.58","26.02","29.55555556","52.62","0.400307692","0.052727273","0.35","2.533333333","3.095238095","2.166666667","1.266666667","0.886666667","1.239047619","0.867333333","70","41.3015873","42.22222222","41.3015873","83.52380952"
"","","GHP2018TUM-AT01","","","","","","","","","GHP2018TUM-AT01-00009","","","","3","35.84444444","16.86666667","52.94482331","1","45","38","18","30","18","1","5","54.21686747","16.86666667","3","83","4.611111111","17.08","15.18","1.9","15.18","18.97777778","32.26","0.337333333","0.05","0.205783133","2.766666667","2.5","1.5","0.948888889","0.569333333","0.843333333","0.506","60","28.11111111","31.62962963","28.11111111","59.74074074"
