"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Alcidodes sp. damage estimating 1-9|CO_331:0000806","Millipede damage estimating 1-9|CO_331:0000805","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Number of plants harvested per NET plot|CO_331:0000679","Number of plants planted per NET plot|CO_331:0000678","Number of plants with storage roots per NET plot|CO_331:0000211","Reaction to Striped sweet potato weevil estimating 1-9|CO_331:0000720","Storage root appearance estimating 1-9 CIP|CO_331:0000202","Storage root size estimating 1-9|CO_331:0000184","Vine vigor estimating 1-9|CO_331:0000197","Virus symptoms estimating 1-9|month 1|before harvest|COMP:0000024","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Weight of vines per NET plot in kg|CO_331:0000227","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Number of storage roots after harvest per NET plot|CO_331:0000233","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Average total storage root weight computation kg|CO_331:0002040","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant harvested|CO_331:2000036","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant harvested|CO_331:0000681","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant harvested|CO_331:0000990","Vine weight in kg per plant planted|CO_331:0000991","Percentage of commercial storage root|CO_331:0000682","Harvest index computing percent|CO_331:0000302","Survival index computing percent|CO_331:0000301","Commercial storage root yield tons per ha|CO_331:0000809","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield computation tons per ha|CO_331:0000296","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield in tons per ha|CO_331:0000684","Total foliage yield adjusted in tons per ha|CO_331:0001002","Biomass yield in tons per ha|CO_331:0001003","Biomass yield adjusted in tons per ha|CO_331:0001004"
"","","GHP2013TON-PT03","","","","","","","","","GHP2013TON-PT03-00028","","","","2","1","16","26","10","14","10","3","4","6","6","3","4","2.5","1.4","6.5","7.9","42","0.25","0.096153846","0.154761905","4.2","3","1.6","1.142857143","0.65","0.464285714","0.14","0.1","38.0952381","82.27848101","71.42857143","9.523809524","13.33333333","15.47619048","21.66666667","3.333333333","4.666666667","18.80952381","26.33333333"
"","","GHP2013TON-PT03","","","","","","","","","GHP2013TON-PT03-00029","","","","4","3","5","50","10","14","10","6","3","4","6","4","0.8","4.1","1.8","4.9","6.7","55","0.16","0.082","0.089090909","5.5","3.928571429","0.5","0.357142857","0.49","0.35","0.18","0.128571429","9.090909091","73.13432836","71.42857143","1.904761905","2.666666667","11.66666667","16.33333333","4.285714286","6","15.95238095","22.33333333"
"","","GHP2013TON-PT03","","","","","","","","","GHP2013TON-PT03-00003","","","","2","1","13","17","10","14","10","3","6","7","9","3","3","1.2","3.7","4.2","7.9","30","0.230769231","0.070588235","0.14","3","2.142857143","1.3","0.928571429","0.42","0.3","0.37","0.264285714","43.33333333","53.16455696","71.42857143","7.142857143","10","10","14","8.80952381","12.33333333","18.80952381","26.33333333"
"","","GHP2013TON-PT03","","","","","","","","","GHP2013TON-PT03-00030","","","","4","1","22","35","10","14","10","3","7","8","6","4","5.5","2.7","4","8.2","12.2","57","0.25","0.077142857","0.143859649","5.7","4.071428571","2.2","1.571428571","0.82","0.585714286","0.4","0.285714286","38.59649123","67.21311475","71.42857143","13.0952381","18.33333333","19.52380952","27.33333333","9.523809524","13.33333333","29.04761905","40.66666667"
"","","GHP2013TON-PT03","","","","","","","","","GHP2013TON-PT03-00031","","","","1","1","20","24","10","14","10","3","4","8","7","3","7","3.6","3","10.6","13.6","44","0.35","0.15","0.240909091","4.4","3.142857143","2","1.428571429","1.06","0.757142857","0.3","0.214285714","45.45454545","77.94117647","71.42857143","16.66666667","23.33333333","25.23809524","35.33333333","7.142857143","10","32.38095238","45.33333333"
"","","GHP2013TON-PT03","","","","","","","","","GHP2013TON-PT03-00032","","","","1","1","12","32","10","14","10","6","6","9","3","5","5.7","4","4.2","9.7","13.9","44","0.475","0.125","0.220454545","4.4","3.142857143","1.2","0.857142857","0.97","0.692857143","0.42","0.3","27.27272727","69.78417266","71.42857143","13.57142857","19","23.0952381","32.33333333","10","14","33.0952381","46.33333333"
"","","GHP2013TON-PT03","","","","","","","","","GHP2013TON-PT03-00033","","","","1","1","6","10","6","14","6","2","4","4","8","3","1","0.6","5.4","1.6","7","16","0.166666667","0.06","0.1","2.666666667","1.142857143","1","0.428571429","0.266666667","0.114285714","0.9","0.385714286","37.5","22.85714286","42.85714286","2.380952381","5.555555556","3.80952381","8.888888889","12.85714286","30","16.66666667","38.88888889"
"","","GHP2013TON-PT03","","","","","","","","","GHP2013TON-PT03-00034","","","","2","1","17","28","10","14","10","3","4","8","7","3","5.6","2.6","6.4","8.2","14.6","45","0.329411765","0.092857143","0.182222222","4.5","3.214285714","1.7","1.214285714","0.82","0.585714286","0.64","0.457142857","37.77777778","56.16438356","71.42857143","13.33333333","18.66666667","19.52380952","27.33333333","15.23809524","21.33333333","34.76190476","48.66666667"
"","","GHP2013TON-PT03","","","","","","","","","GHP2013TON-PT03-00035","","","","1","1","11","20","10","14","10","2","5","5","8","4","1.8","2.4","3","4.2","7.2","31","0.163636364","0.12","0.135483871","3.1","2.214285714","1.1","0.785714286","0.42","0.3","0.3","0.214285714","35.48387097","58.33333333","71.42857143","4.285714286","6","10","14","7.142857143","10","17.14285714","24"
"","","GHP2013TON-PT03","","","","","","","","","GHP2013TON-PT03-00036","","","","2","1","5","10","10","14","4","1","3","5","8","4","1.2","0.5","5.9","1.7","7.6","15","0.24","0.05","0.113333333","1.5","1.071428571","0.5","0.357142857","0.17","0.121428571","0.59","0.421428571","33.33333333","22.36842105","71.42857143","2.857142857","4","4.047619048","5.666666667","14.04761905","19.66666667","18.0952381","25.33333333"
"","","GHP2013TON-PT03","","","","","","","","","GHP2013TON-PT03-00037","","","","4","2","7","42","9","14","9","4","4","6","2","5","0.6","3.7","1.5","4.3","5.8","49","0.085714286","0.088095238","0.087755102","5.444444444","3.5","0.777777778","0.5","0.477777778","0.307142857","0.166666667","0.107142857","14.28571429","74.13793103","64.28571429","1.428571429","2.222222222","10.23809524","15.92592593","3.571428571","5.555555556","13.80952381","21.48148148"
"","","GHP2013TON-PT03","","","","","","","","","GHP2013TON-PT03-00038","","","","1","1","8","22","9","14","8","2","6","7","5","5","2.4","1.9","3.1","4.3","7.4","30","0.3","0.086363636","0.143333333","3.333333333","2.142857143","0.888888889","0.571428571","0.477777778","0.307142857","0.344444444","0.221428571","26.66666667","58.10810811","64.28571429","5.714285714","8.888888889","10.23809524","15.92592593","7.380952381","11.48148148","17.61904762","27.40740741"
"","","GHP2013TON-PT03","","","","","","","","","GHP2013TON-PT03-00039","","","","1","1","12","14","10","14","10","4","4","5","6","3","2.6","1","2","3.6","5.6","26","0.216666667","0.071428571","0.138461538","2.6","1.857142857","1.2","0.857142857","0.36","0.257142857","0.2","0.142857143","46.15384615","64.28571429","71.42857143","6.19047619","8.666666667","8.571428571","12","4.761904762","6.666666667","13.33333333","18.66666667"
"","","GHP2013TON-PT03","","","","","","","","","GHP2013TON-PT03-00004","","","","1","1","26","13","10","14","9","3","7","7","8","2","5.7","1","5.2","6.7","11.9","39","0.219230769","0.076923077","0.171794872","3.9","2.785714286","2.6","1.857142857","0.67","0.478571429","0.52","0.371428571","66.66666667","56.30252101","71.42857143","13.57142857","19","15.95238095","22.33333333","12.38095238","17.33333333","28.33333333","39.66666667"
"","","GHP2013TON-PT03","","","","","","","","","GHP2013TON-PT03-00040","","","","1","1","11","30","10","14","9","1","5","6","8","2","2.3","1.6","2.6","3.9","6.5","41","0.209090909","0.053333333","0.095121951","4.1","2.928571429","1.1","0.785714286","0.39","0.278571429","0.26","0.185714286","26.82926829","60","71.42857143","5.476190476","7.666666667","9.285714286","13","6.19047619","8.666666667","15.47619048","21.66666667"
"","","GHP2013TON-PT03","","","","","","","","","GHP2013TON-PT03-00041","","","","1","1","9","30","10","14","10","2","5","7","6","4","2.5","2","3.4","4.5","7.9","39","0.277777778","0.066666667","0.115384615","3.9","2.785714286","0.9","0.642857143","0.45","0.321428571","0.34","0.242857143","23.07692308","56.96202532","71.42857143","5.952380952","8.333333333","10.71428571","15","8.095238095","11.33333333","18.80952381","26.33333333"
"","","GHP2013TON-PT03","","","","","","","","","GHP2013TON-PT03-00042","","","","1","1","17","23","10","14","10","1","7","7","6","5","4.5","1.1","2.7","5.6","8.3","40","0.264705882","0.047826087","0.14","4","2.857142857","1.7","1.214285714","0.56","0.4","0.27","0.192857143","42.5","67.46987952","71.42857143","10.71428571","15","13.33333333","18.66666667","6.428571429","9","19.76190476","27.66666667"
"","","GHP2013TON-PT03","","","","","","","","","GHP2013TON-PT03-00043","","","","1","1","16","10","9","14","8","1","5","8","7","3","5.9","2","3","7.9","10.9","26","0.36875","0.2","0.303846154","2.888888889","1.857142857","1.777777778","1.142857143","0.877777778","0.564285714","0.333333333","0.214285714","61.53846154","72.47706422","64.28571429","14.04761905","21.85185185","18.80952381","29.25925926","7.142857143","11.11111111","25.95238095","40.37037037"
"","","GHP2013TON-PT03","","","","","","","","","GHP2013TON-PT03-00044","","","","1","1","10","10","9","14","9","1","6","7","7","3","2.9","0.8","2.2","3.7","5.9","20","0.29","0.08","0.185","2.222222222","1.428571429","1.111111111","0.714285714","0.411111111","0.264285714","0.244444444","0.157142857","50","62.71186441","64.28571429","6.904761905","10.74074074","8.80952381","13.7037037","5.238095238","8.148148148","14.04761905","21.85185185"
"","","GHP2013TON-PT03","","","","","","","","","GHP2013TON-PT03-00045","","","","1","1","12","8","10","14","10","2","7","8","8","2","5","1.1","2.7","6.1","8.8","20","0.416666667","0.1375","0.305","2","1.428571429","1.2","0.857142857","0.61","0.435714286","0.27","0.192857143","60","69.31818182","71.42857143","11.9047619","16.66666667","14.52380952","20.33333333","6.428571429","9","20.95238095","29.33333333"
"","","GHP2013TON-PT03","","","","","","","","","GHP2013TON-PT03-00046","","","","1","1","7","12","9","14","9","1","6","6","6","3","2.2","0.7","8","2.9","10.9","19","0.314285714","0.058333333","0.152631579","2.111111111","1.357142857","0.777777778","0.5","0.322222222","0.207142857","0.888888889","0.571428571","36.84210526","26.60550459","64.28571429","5.238095238","8.148148148","6.904761905","10.74074074","19.04761905","29.62962963","25.95238095","40.37037037"
