"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Alcidodes sp. damage estimating 1-9|CO_331:0000806","Biomass yield in tons per ha|CO_331:0001003","Total foliage yield in tons per ha|CO_331:0000684","Content of fructose in dry weight basis in boiled storage roots measuring g per 100g|CO_331:0001046","Content of glucose in dry weight basis in boiled storage roots measuring g per 100g|CO_331:0001048","Harvest index computing percent|CO_331:0000302","Content of maltose in dry weight basis in boiled storage roots measuring g per 100g|CO_331:0001052","Millipede damage estimating 1-9|CO_331:0000805","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Number of plants established per NET plot|CO_331:0000192","Number of plants harvested per NET plot|CO_331:0000679","Number of plants planted per NET plot|CO_331:0000678","Number of plants with storage roots per NET plot|CO_331:0000211","Reaction to Striped sweet potato weevil estimating 1-9|CO_331:0000720","Content of starch in dry weight basis in boiled storage roots measuring percentage|CO_331:2000027","Storage root dry matter content computing percent|CO_331:0000297","Storage root appearance estimating 1-9 CIP|CO_331:0000202","Percentage of commercial storage root|CO_331:0000682","Storage root size estimating 1-9|CO_331:0000184","Commercial storage root yield tons per ha|CO_331:0000809","Content of sucrose in dry weight basis in boiled storage roots measuring g per 100g|CO_331:0001050","Number of storage roots after harvest per NET plot|CO_331:0000233","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Total storage root weight per NET plot in kg|CO_331:0000237","Vine vigor estimating 1-9|CO_331:0000197","Virus symptoms estimating 1-9|CO_331:0000193","Virus symptoms estimating 1-9|month 1|before harvest|COMP:0000024","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Weight of vines per NET plot in kg|CO_331:0000227","Total storage roots yield computation tons per ha|CO_331:0000296","Biomass yield in kg per plot|CO_331:0000683","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Average total storage root weight computation kg|CO_331:0002040","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant harvested|CO_331:2000036","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant harvested|CO_331:0000681","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant harvested|CO_331:0000990","Vine weight in kg per plant planted|CO_331:0000991","Survival index computing percent|CO_331:0000301","Total storage root weight in dry weight basis per NET plot in kg|CO_331:0000995","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield adjusted in tons per ha|CO_331:0001002","Storage root dry matter yield per NET plot in tons per ha|CO_331:0001000","Storage root dry matter yield adjusted per NET plot in tons per ha|CO_331:0001001","Biomass yield adjusted in tons per ha|CO_331:0001004"
"","","GHP2018WAG-AT02","","","","","","","","","GHP2018WAG-AT02-00028","","","","1","5.866666667","1.488888889","0.955736","1.7426209","74.62121212","12.008707","1","24","28","30","22","30","21","1","62.0912743","30.04975124","1","46.15384615","5","3.266666667","15.906044","52","2.363636364","3.94","4","1","2","2.94","1","1.34","4.377777778","5.28","0.1225","0.035714286","0.075769231","1.733333333","1.090909091","0.8","0.179090909","0.131333333","0.060909091","0.044666667","73.33333333","1.183960199","4.454545455","5.96969697","2.03030303","1.315511332","1.793879089","8"
"","","GHP2018WAG-AT02","","","","","","","","","GHP2018WAG-AT02-00029","","","","1","0.6","0.266666667","1.306641","2.675982","55.55555556","0","1","2","4","30","12","30","5","1","57.3091583","27.94146727","1","33.33333333","9","0.222222222","17.917099","6","0.5","0.3","3","1","3","0.2","0.1","0.24","0.333333333","0.54","0.1","0.025","0.05","0.2","0.166666667","0.066666667","0.025","0.01","0.02","0.008","40","0.083824402","0.555555556","0.833333333","0.666666667","0.093138224","0.232845561","1.5"
"","","GHP2018WAG-AT02","","","","","","","","","GHP2018WAG-AT02-00003","","","","3","6.311111111","1.177777778","1.647228","6.001019","81.33802817","7.8569832","5","36","37","30","26","30","26","7","43.7819328","17.98063624","1","49.31506849","5","4.133333333","26.7933884","73","2.807692308","4.62","3","1","1","3.72","0.9","1.06","5.133333333","5.68","0.103333333","0.024324324","0.063287671","2.433333333","1.384615385","1.2","0.177692308","0.154","0.040769231","0.035333333","86.66666667","0.830705394","4.769230769","5.923076923","1.358974359","0.923005994","1.065006916","7.282051282"
"","","GHP2018WAG-AT02","","","","","","","","","GHP2018WAG-AT02-00030","","","","1","6.044444444","1.422222222","0.873716","2.0183439","76.47058824","13.3481312","1","35","29","30","27","30","27","1","61.7029648","32.47626582","1","54.6875","7","3.688888889","16.3723297","64","2.37037037","4.16","4","1","2","3.32","0.84","1.28","4.622222222","5.44","0.094857143","0.028965517","0.065","2.133333333","1.296296296","1.166666667","0.154074074","0.138666667","0.047407407","0.042666667","90","1.351012658","4.098765432","5.135802469","1.580246914","1.501125176","1.667916862","6.716049383"
"","","GHP2018WAG-AT02","","","","","","","","","GHP2018WAG-AT02-00031","","","","1","6.688888889","0.644444444","2.128382","5.0887299","90.3654485","11.2242165","1","35","33","30","27","30","27","5","48.5730324","21.88679245","1","51.47058824","7","4.666666667","20.646637","68","2.518518519","5.44","3","1","2","4.2","1.24","0.58","6.044444444","6.02","0.12","0.037575758","0.08","2.266666667","1.296296296","1.166666667","0.201481481","0.181333333","0.021481481","0.019333333","90","1.190641509","5.185185185","6.716049383","0.716049383","1.32293501","1.469927789","7.432098765"
"","","GHP2018WAG-AT02","","","","","","","","","GHP2018WAG-AT02-00032","","","","1","3.511111111","0.622222222","1.191702","2.340601","82.27848101","12.9448795","5","18","28","30","19","30","19","1","58.092514","25.02972652","1","39.13043478","7","1.955555556","16.704071","46","2.421052632","2.6","3","1","2","1.76","0.84","0.56","2.888888889","3.16","0.097777778","0.03","0.056521739","1.533333333","0.947368421","0.6","0.136842105","0.086666667","0.029473684","0.018666667","63.33333333","0.65077289","3.087719298","4.561403509","0.98245614","0.723080988","1.141706824","5.543859649"
"","","GHP2018WAG-AT02","","","","","","","","","GHP2018WAG-AT02-00033","","","","3","6.822222222","1.577777778","1.232821","2.9701431","76.87296417","9.1228771","1","27","55","30","30","30","30","5","50.906105","21.96032214","1","32.92682927","7","1.711111111","20.2142105","82","2.733333333","4.72","4","1","1","1.54","3.18","1.42","5.244444444","6.14","0.057037037","0.057818182","0.057560976","2.733333333","0.9","0.9","0.157333333","0.157333333","0.047333333","0.047333333","100","1.036527205","1.711111111","5.244444444","1.577777778","1.151696894","1.151696894","6.822222222"
"","","GHP2018WAG-AT02","","","","","","","","","GHP2018WAG-AT02-00004","","","","3","6.377777778","1.533333333","1.41267","2.4853771","75.95818815","6.361351","1","39","37","28","25","30","25","1","59.9072342","30.21310496","1","51.31578947","7","3.8","15.4443665","76","3.04","4.36","3","1","1","3.42","0.94","1.38","4.844444444","5.74","0.087692308","0.025405405","0.057368421","2.533333333","1.56","1.3","0.1744","0.145333333","0.0552","0.046","83.33333333","1.317291376","4.56","5.813333333","1.84","1.463657085","1.756388502","7.653333333"
"","","GHP2018WAG-AT02","","","","","","","","","GHP2018WAG-AT02-00005","","","","5","1.088888889","0.377777778","0.7929","2.0300319","65.30612245","1.699459","1","6","8","30","17","30","10","1","57.3901176","35.7270738","1","42.85714286","9","0.488888889","18.3122101","14","0.823529412","0.64","2","1","2","0.44","0.2","0.34","0.711111111","0.98","0.073333333","0.025","0.045714286","0.466666667","0.352941176","0.2","0.037647059","0.021333333","0.02","0.011333333","56.66666667","0.228653272","0.862745098","1.254901961","0.666666667","0.254059191","0.44833975","1.921568627"
"","","GHP2018WAG-AT02","","","","","","","","","GHP2018WAG-AT02-00006","","","","7","9.333333333","3.622222222","0.765991","2.0107231","61.19047619","15.2780628","1","28","41","30","21","30","21","1","61.3804588","29.20565399","1","40.57971014","5","4.311111111","17.3308945","69","3.285714286","5.14","5","1","2","3.88","1.26","3.26","5.711111111","8.4","0.138571429","0.030731707","0.074492754","2.3","1.333333333","0.933333333","0.244761905","0.171333333","0.155238095","0.108666667","70","1.501170615","6.158730159","8.158730159","5.174603175","1.66796735","2.3828105","13.33333333"
"","","GHP2018WAG-AT02","","","","","","","","","GHP2018WAG-AT02-00007","","","","5","16.97777778","4.088888889","1.648146","4.6824999","75.91623037","7.7551379","1","77","110","30","30","30","30","1","51.5222893","21.95361635","1","41.17647059","5","9.755555556","20.6147766","187","6.233333333","11.6","5","1","2","8.78","2.82","3.68","12.88888889","15.28","0.114025974","0.025636364","0.062032086","6.233333333","2.566666667","2.566666667","0.386666667","0.386666667","0.122666667","0.122666667","100","2.546619497","9.755555556","12.88888889","4.088888889","2.829577218","2.829577218","16.97777778"
"","","GHP2018WAG-AT02","","","","","","","","","GHP2018WAG-AT02-00008","","","","7","17.6","2.622222222","1.337683","4.6800961","85.1010101","10.4590931","1","66","40","30","30","30","29","1","50.3783836","24.7217806","1","62.26415094","3","13.82222222","22.6002274","106","3.533333333","13.48","5","1","1","12.44","1.04","2.36","14.97777778","15.84","0.188484848","0.026","0.127169811","3.533333333","2.2","2.2","0.449333333","0.449333333","0.078666667","0.078666667","100","3.332496025","13.82222222","14.97777778","2.622222222","3.702773361","3.702773361","17.6"
"","","GHP2018WAG-AT02","","","","","","","","","GHP2018WAG-AT02-00009","","","","5","14.44444444","2.822222222","0.509878","1.31911","80.46153846","15.5296841","1","54","41","30","30","30","30","1","63.7077522","31.74162869","3","56.84210526","3","10.33333333","15.9085464","95","3.166666667","10.46","5","1","1","9.3","1.16","2.54","11.62222222","13","0.172222222","0.028292683","0.110105263","3.166666667","1.8","1.8","0.348666667","0.348666667","0.084666667","0.084666667","100","3.320174361","10.33333333","11.62222222","2.822222222","3.689082623","3.689082623","14.44444444"
