"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Alcidodes sp. damage estimating 1-9|CO_331:0000806","Content of beta-carotene in dry weight basis in raw storage roots measuring mg per 100g|CO_331:0000289","Content of magnesium in dry weight basis measuring mg per 100g by NIRS|CO_331:0001030","Content of zinc in dry weight basis measuring mg per 100g by NIRS|CO_331:0001017","Dry weight of storage root samples measuring g|CO_331:0000247","Fresh weight of storage root samples measuring g|CO_331:0000243","Content of fructose in dry weight basis in boiled storage roots measuring g per 100g|CO_331:0001046","Content of fructose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001045","Content of glucose in dry weight basis in boiled storage roots measuring g per 100g|CO_331:0001048","Content of glucose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001047","Content of maltose in dry weight basis in boiled storage roots measuring g per 100g|CO_331:0001052","Millipede damage estimating 1-9|CO_331:0000805","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Number of plants established per NET plot|CO_331:0000192","Number of plants harvested per NET plot|CO_331:0000679","Number of plants planted per NET plot|CO_331:0000678","Number of plants with storage roots per NET plot|CO_331:0000211","Storage root predominant Flesh color estimating 1-9|CO_331:0000178","Storage root skin predominant color estimating 1-9 CIP|CO_331:0000175","Content of protein in dry weight basis in raw storage roots measuring percentage|CO_331:0000278","Reaction to Striped sweet potato weevil estimating 1-9|CO_331:0000720","Reaction to sweet potato weevil estimating 1-9|CO_331:0000207","Content of starch in dry weight basis in boiled storage roots measuring percentage|CO_331:2000027","Content of starch in dry weight basis in raw storage roots measuring percentage|CO_331:0000291","Storage root shape estimating 1-9 CIP|CO_331:0000181","Storage root dry matter content computing percent|CO_331:0000297","Storage root appearance estimating 1-9 CIP|CO_331:0000202","Storage root size estimating 1-9|CO_331:0000184","Content of sucrose in dry weight basis in boiled storage roots measuring g per 100g|CO_331:0001050","Content of sucrose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001049","Vine vigor estimating 1-9|CO_331:0000197","Virus symptoms estimating 1-9|CO_331:0000193","Virus symptoms estimating 1-9|month 1|before harvest|COMP:0000024","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Weight of vines per NET plot in kg|CO_331:0000227","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Number of storage roots after harvest per NET plot|CO_331:0000233","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Average total storage root weight computation kg|CO_331:0002040","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant harvested|CO_331:2000036","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant harvested|CO_331:0000681","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant harvested|CO_331:0000990","Vine weight in kg per plant planted|CO_331:0000991","Percentage of commercial storage root|CO_331:0000682","Harvest index computing percent|CO_331:0000302","Survival index computing percent|CO_331:0000301","Total storage root weight in dry weight basis per NET plot in kg|CO_331:0000995","Commercial storage root yield tons per ha|CO_331:0000809","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield computation tons per ha|CO_331:0000296","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield in tons per ha|CO_331:0000684","Total foliage yield adjusted in tons per ha|CO_331:0001002","Storage root dry matter yield per NET plot in tons per ha|CO_331:0001000","Storage root dry matter yield adjusted per NET plot in tons per ha|CO_331:0001001","Biomass yield in tons per ha|CO_331:0001003","Biomass yield adjusted in tons per ha|CO_331:0001004"
"","","GHP2017NYK-AT06","","","","","","","","","GHP2017NYK-AT06-00019","","","","3","11.8881321","1.64","0.75","13.99","50.56","1.58","5.69","3.19","7.99","18.48","2","23","35","30","20","30","20","5","6","2.07","3","3","52.95","63.86","2","27.67009494","3","2","18.19","9.66","9","1","1","8.62","3.42","22.62","12.04","34.66","58","0.374782609","0.097714286","0.207586207","2.9","1.933333333","1.15","0.766666667","0.602","0.401333333","1.131","0.754","39.65517241","34.73744951","66.66666667","3.33147943","9.577777778","14.36666667","13.37777778","20.06666667","25.13333333","37.7","3.701643812","5.552465717","38.51111111","57.76666667"
"","","GHP2017NYK-AT06","","","","","","","","","GHP2017NYK-AT06-00002","","","","3","0","1.87","1.06","15.4","50.15","0.78","2.37","1.84","4.07","23.95","2","17","26","26","18","30","18","5","5","3.26","2","2","56.2","67.6","2","30.70787637","3","3","17.55","9.91","9","1","1","6.18","3.1","17.32","9.28","26.6","43","0.363529412","0.119230769","0.215813953","2.388888889","1.433333333","0.944444444","0.566666667","0.515555556","0.309333333","0.962222222","0.577333333","39.53488372","34.88721805","60","2.849690927","6.866666667","11.44444444","10.31111111","17.18518519","19.24444444","32.07407407","3.166323252","5.277205421","29.55555556","49.25925926"
"","","GHP2017NYK-AT06","","","","","","","","","GHP2017NYK-AT06-00020","","","","1","0","1.53","0.72","17.31","50.55","0.53","1.15","1.79","1.86","26.45","3","20","23","30","20","30","20","5","5","3.11","2","2","58.23","73.78","2","34.24332344","3","1","15.98","8.89","9","1","1","10.98","2.5","20.18","13.48","33.66","43","0.549","0.108695652","0.313488372","2.15","1.433333333","1","0.666666667","0.674","0.449333333","1.009","0.672666667","46.51162791","40.04753417","66.66666667","4.616","12.2","18.3","14.97777778","22.46666667","22.42222222","33.63333333","5.128888889","7.693333333","37.4","56.1"
"","","GHP2017NYK-AT06","","","","","","","","","GHP2017NYK-AT06-00021","","","","3","","","","","","","","","","","3","30","56","30","30","30","30","","","","2","2","","","","","3","2","","","9","2","1","10.32","5.02","20.56","15.34","35.9","86","0.344","0.089642857","0.178372093","2.866666667","2.866666667","1","1","0.511333333","0.511333333","0.685333333","0.685333333","34.88372093","42.72980501","100","","11.46666667","11.46666667","17.04444444","17.04444444","22.84444444","22.84444444","","","39.88888889","39.88888889"
"","","GHP2017NYK-AT06","","","","","","","","","GHP2017NYK-AT06-00022","","","","2","0","1.38","0.77","17.17","50.89","1.03","1.39","1.93","2.48","17.61","3","54","62","30","25","30","25","5","6","2.46","3","3","58.8","74.33","2","33.739438","3","3","15.43","9.75","7","2","1","7.6","3.34","13.12","10.94","24.06","116","0.140740741","0.053870968","0.094310345","4.64","3.866666667","2.16","1.8","0.4376","0.364666667","0.5248","0.437333333","46.55172414","45.46965919","83.33333333","3.691094518","8.444444444","10.13333333","12.15555556","14.58666667","14.57777778","17.49333333","4.101216131","4.921459357","26.73333333","32.08"
"","","GHP2017NYK-AT06","","","","","","","","","GHP2017NYK-AT06-00023","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","GHP2017NYK-AT06","","","","","","","","","GHP2017NYK-AT06-00024","","","","1","0","1.6","0.72","17.38","50.39","0.63","1.09","1.74","1.91","21.96","1","21","17","30","20","30","20","3","6","2.57","1","1","61.07","75.41","2","34.49097043","2","2","15.39","7.19","8","1","2","6.34","1.1","12.16","7.44","19.6","38","0.301904762","0.064705882","0.195789474","1.9","1.266666667","1.05","0.7","0.372","0.248","0.608","0.405333333","55.26315789","37.95918367","66.66666667","2.5661282","7.044444444","10.56666667","8.266666667","12.4","13.51111111","20.26666667","2.851253556","4.276880333","21.77777778","32.66666667"
"","","GHP2017NYK-AT06","","","","","","","","","GHP2017NYK-AT06-00025","","","","1","0","1.9","0.87","15.91","50.11","0.97","1.79","2.1","2.6","12.54","1","8","36","30","30","30","22","5","5","3.38","1","1","58.27","65.71","3","31.75014967","3","5","15.18","9.45","7","1","2","1.04","1.54","15.64","2.58","18.22","44","0.13","0.042777778","0.058636364","1.466666667","1.466666667","0.266666667","0.266666667","0.086","0.086","0.521333333","0.521333333","18.18181818","14.16026345","100","0.819153862","1.155555556","1.155555556","2.866666667","2.866666667","17.37777778","17.37777778","0.910170957","0.910170957","20.24444444","20.24444444"
"","","GHP2017NYK-AT06","","","","","","","","","GHP2017NYK-AT06-00026","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","GHP2017NYK-AT06","","","","","","","","","GHP2017NYK-AT06-00027","","","","3","0","1.79","0.85","16.12","50.38","0.89","1.02","2.41","2.41","10.39","1","22","43","30","27","30","27","5","7","2.63","2","2","52.73","70.04","2","31.99682414","3","3","17.82","13.96","8","1","2","7.68","4.82","16.08","12.5","28.58","65","0.349090909","0.112093023","0.192307692","2.407407407","2.166666667","0.814814815","0.733333333","0.462962963","0.416666667","0.595555556","0.536","33.84615385","43.73687894","90","3.999603017","8.533333333","9.481481481","13.88888889","15.43209877","17.86666667","19.85185185","4.444003352","4.937781503","31.75555556","35.28395062"
"","","GHP2017NYK-AT06","","","","","","","","","GHP2017NYK-AT06-00003","","","","3","0","2.01","0.97","16.14","50.55","1.43","1.91","2.95","3.52","12.68","3","18","78","30","25","30","25","5","7","2.83","4","4","52.29","68.54","2","31.92878338","4","3","17.29","11.64","8","3","1","4.72","5.9","11.18","10.62","21.8","96","0.262222222","0.075641026","0.110625","3.84","3.2","0.72","0.6","0.4248","0.354","0.4472","0.372666667","18.75","48.71559633","83.33333333","3.390836795","5.244444444","6.293333333","11.8","14.16","12.42222222","14.90666667","3.767596439","4.521115727","24.22222222","29.06666667"
"","","GHP2017NYK-AT06","","","","","","","","","GHP2017NYK-AT06-00004","","","","2","12.1222172","2.56","1.31","12.71","50.75","1.45","2.83","4.36","4.68","23.09","2","26","66","29","27","30","27","6","7","5.78","2","2","43.88","59.74","2","25.04433498","3","3","21.94","13.79","8","1","2","7.4","5.48","12.62","12.88","25.5","92","0.284615385","0.083030303","0.14","3.407407407","3.066666667","0.962962963","0.866666667","0.477037037","0.429333333","0.467407407","0.420666667","28.26086957","50.50980392","90","3.225710345","8.222222222","9.135802469","14.31111111","15.90123457","14.02222222","15.58024691","3.584122605","3.98235845","28.33333333","31.48148148"
"","","GHP2017NYK-AT06","","","","","","","","","GHP2017NYK-AT06-00005","","","","1","0","1.6","0.77","17.7","50.6","0.38","1.22","1.88","2.18","27.39","1","13","30","30","13","30","13","3","6","2.58","1","1","57.8","74.87","2","34.98023715","2","2","16.72","7.91","9","1","1","5.52","3.12","16.25","8.64","24.89","43","0.424615385","0.104","0.200930233","3.307692308","1.433333333","1","0.433333333","0.664615385","0.288","1.25","0.541666667","30.23255814","34.71273604","43.33333333","3.02229249","6.133333333","14.15384615","9.6","22.15384615","18.05555556","41.66666667","3.358102767","7.749467923","27.65555556","63.82051282"
"","","GHP2017NYK-AT06","","","","","","","","","GHP2017NYK-AT06-00006","","","","1","0","1.71","0.95","15.47","50.15","1.51","1.78","1.79","3.26","0","2","22","43","28","26","30","26","5","5","2.73","3","3","65.3","71.2","2","30.84745763","2","3","12.91","12.92","8","1","1","9.44","5.1","22.92","14.54","37.46","65","0.429090909","0.118604651","0.223692308","2.5","2.166666667","0.846153846","0.733333333","0.559230769","0.484666667","0.881538462","0.764","33.84615385","38.81473572","86.66666667","4.485220339","10.48888889","12.1025641","16.15555556","18.64102564","25.46666667","29.38461538","4.983578154","5.750282486","41.62222222","48.02564103"
"","","GHP2017NYK-AT06","","","","","","","","","GHP2017NYK-AT06-00007","","","","1","32.4361076","2.28","1.28","12.7","50.38","1.79","2.85","6.17","5.1","11.59","2","16","62","30","25","30","25","7","6","3.09","3","3","43.27","56.53","3","25.20841604","3","3","26.16","20.93","8","3","1","4.44","5.9","13.82","10.34","24.16","78","0.2775","0.09516129","0.132564103","3.12","2.6","0.64","0.533333333","0.4136","0.344666667","0.5528","0.460666667","20.51282051","42.79801325","83.33333333","2.606550218","4.933333333","5.92","11.48888889","13.78666667","15.35555556","18.42666667","2.896166909","3.475400291","26.84444444","32.21333333"
"","","GHP2017NYK-AT06","","","","","","","","","GHP2017NYK-AT06-00008","","","","1","0","1.46","0.74","16.6","50.53","0.72","1.38","1.76","2.13","24.79","2","22","33","30","30","30","30","5","5","2.87","1","1","58.27","70.48","3","32.85177123","3","2","15.83","11.59","9","2","1","10.44","3.54","14.64","13.98","28.62","55","0.474545455","0.107272727","0.254181818","1.833333333","1.833333333","0.733333333","0.733333333","0.466","0.466","0.488","0.488","40","48.84696017","100","4.592677617","11.6","11.6","15.53333333","15.53333333","16.26666667","16.26666667","5.10297513","5.10297513","31.8","31.8"
"","","GHP2017NYK-AT06","","","","","","","","","GHP2017NYK-AT06-00009","","","","2","0.7019958","2.11","1.03","15.76","50.11","1.8","1.39","3.34","2.98","18.25","1","31","49","30","28","30","28","5","6","2.86","1","1","52.37","67.53","2","31.45080822","3","1","18.25","15.34","8","1","1","16.98","4.92","20.64","21.9","42.54","80","0.547741935","0.100408163","0.27375","2.857142857","2.666666667","1.107142857","1.033333333","0.782142857","0.73","0.737142857","0.688","38.75","51.4809591","93.33333333","6.887727001","18.86666667","20.21428571","24.33333333","26.07142857","22.93333333","24.57142857","7.653030001","8.199675001","47.26666667","50.64285714"
