"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Alcidodes sp. damage estimating 1-9|CO_331:0000806","Content of beta-carotene in dry weight basis in raw storage roots measuring mg per 100g|CO_331:0000289","Content of iron in dry weight basis measuring mg per 100g by NIRS|CO_331:0001016","Content of zinc in dry weight basis measuring mg per 100g by NIRS|CO_331:0001017","Dry weight of storage root samples measuring g|CO_331:0000247","Fresh weight of storage root samples measuring g|CO_331:0000243","Content of fructose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001045","Content of glucose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001047","Millipede damage estimating 1-9|CO_331:0000805","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Number of plants established per NET plot|CO_331:0000192","Number of plants harvested per NET plot|CO_331:0000679","Number of plants planted per NET plot|CO_331:0000678","Number of plants with storage roots per NET plot|CO_331:0000211","Storage root predominant Flesh color estimating 1-9|CO_331:0000178","Storage root skin predominant color estimating 1-9 CIP|CO_331:0000175","Content of protein in dry weight basis in raw storage roots measuring percentage|CO_331:0000278","Reaction to Striped sweet potato weevil estimating 1-9|CO_331:0000720","Content of starch in dry weight basis in raw storage roots measuring percentage|CO_331:0000291","Storage root dry matter content computing percent|CO_331:0000297","Storage root appearance estimating 1-9 CIP|CO_331:0000202","Storage root size estimating 1-9|CO_331:0000184","Content of sucrose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001049","Vine vigor estimating 1-9|CO_331:0000197","Virus symptoms estimating 1-9|CO_331:0000193","Virus symptoms estimating 1-9|month 1|before harvest|COMP:0000024","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Weight of vines per NET plot in kg|CO_331:0000227","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Number of storage roots after harvest per NET plot|CO_331:0000233","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Average total storage root weight computation kg|CO_331:0002040","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant harvested|CO_331:2000036","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant harvested|CO_331:0000681","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant harvested|CO_331:0000990","Vine weight in kg per plant planted|CO_331:0000991","Percentage of commercial storage root|CO_331:0000682","Harvest index computing percent|CO_331:0000302","Survival index computing percent|CO_331:0000301","Total storage root weight in dry weight basis per NET plot in kg|CO_331:0000995","Commercial storage root yield tons per ha|CO_331:0000809","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield computation tons per ha|CO_331:0000296","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield in tons per ha|CO_331:0000684","Total foliage yield adjusted in tons per ha|CO_331:0001002","Storage root dry matter yield per NET plot in tons per ha|CO_331:0001000","Storage root dry matter yield adjusted per NET plot in tons per ha|CO_331:0001001","Biomass yield in tons per ha|CO_331:0001003","Biomass yield adjusted in tons per ha|CO_331:0001004"
"","","GHP2014PKS-AT03","","","","","","","","","GHP2014PKS-AT03-00019","","","","1","0","1.7","0.94","18.69","50.25","1.94","3.11","1","75","56","41","41","45","41","6","7","4.18","1","68.42","37.19402985","7","8","4.6","9","4","4","23.6","3.6","37","27.2","64.2","131","0.314666667","0.064285714","0.207633588","3.195121951","2.911111111","1.829268293","1.666666667","0.663414634","0.604444444","0.902439024","0.822222222","57.2519084","42.36760125","91.11111111","10.11677612","17.48148148","19.18699187","20.14814815","22.11382114","27.40740741","30.08130081","7.493908237","8.225021235","47.55555556","52.19512195"
"","","GHP2014PKS-AT03","","","","","","","","","GHP2014PKS-AT03-00002","","","","1","0","1.87","1.01","18.4","50.77","2.52","3.8","1","75","33","43","43","45","43","6","7","3.83","2","65.34","36.24187512","6","7","5.44","9","1","1","26.8","3.3","28","30.1","58.1","108","0.357333333","0.1","0.278703704","2.511627907","2.4","1.744186047","1.666666667","0.7","0.668888889","0.651162791","0.622222222","69.44444444","51.80722892","95.55555556","10.90880441","19.85185185","20.7751938","22.2962963","23.33333333","20.74074074","21.70542636","8.080595861","8.456437529","43.03703704","45.03875969"
"","","GHP2014PKS-AT03","","","","","","","","","GHP2014PKS-AT03-00020","","","","1","0","1.73","1.01","20.08","50.79","0.85","1.75","1","52","50","43","43","45","39","1","8","4.93","1","69.93","39.5353416","5","7","5.66","9","1","3","16.5","2.5","57","19","76","102","0.317307692","0.05","0.18627451","2.372093023","2.266666667","1.209302326","1.155555556","0.441860465","0.422222222","1.325581395","1.266666667","50.98039216","25","95.55555556","7.511714905","12.22222222","12.79069767","14.07407407","14.72868217","42.22222222","44.18604651","5.564233263","5.82303481","56.2962963","58.91472868"
"","","GHP2014PKS-AT03","","","","","","","","","GHP2014PKS-AT03-00021","","","","1","0","1.46","1","17.07","50.78","1.11","2.15","1","118","56","44","44","45","44","5","8","3.97","1","68.32","33.61559669","6","8","5.44","9","3","3","44","4","20","48","68","174","0.372881356","0.071428571","0.275862069","3.954545455","3.866666667","2.681818182","2.622222222","1.090909091","1.066666667","0.454545455","0.444444444","67.81609195","70.58823529","97.77777778","16.13548641","32.59259259","33.33333333","35.55555556","36.36363636","14.81481481","15.15151515","11.95221216","12.22385334","50.37037037","51.51515152"
"","","GHP2014PKS-AT03","","","","","","","","","GHP2014PKS-AT03-00022","","","","3","0","1.48","0.94","18.97","50.98","0.83","1.68","1","38","37","36","36","45","35","5","3","3.88","2","70","37.21067085","6","8","5.72","7","7","7","16.6","2.5","14","19.1","33.1","75","0.436842105","0.067567568","0.254666667","2.083333333","1.666666667","1.055555556","0.844444444","0.530555556","0.424444444","0.388888889","0.311111111","50.66666667","57.70392749","80","7.107238133","12.2962963","15.37037037","14.14814815","17.68518519","10.37037037","12.96296296","5.264620839","6.580776049","24.51851852","30.64814815"
"","","GHP2014PKS-AT03","","","","","","","","","GHP2014PKS-AT03-00023","","","","1","0.67","1.63","0.99","16.66","50.59","1.16","2.04","1","106","56","45","45","45","45","6","3","2.8","3","67.71","32.93140937","6","8","6.9","9","3","3","21.4","3.3","23","24.7","47.7","162","0.201886792","0.058928571","0.152469136","3.6","3.6","2.355555556","2.355555556","0.548888889","0.548888889","0.511111111","0.511111111","65.43209877","51.78197065","100","8.134058114","15.85185185","15.85185185","18.2962963","18.2962963","17.03703704","17.03703704","6.025228233","6.025228233","35.33333333","35.33333333"
"","","GHP2014PKS-AT03","","","","","","","","","GHP2014PKS-AT03-00024","","","","1","","2.49","1.51","10.57","50.22","5.75","8.91","2","109","97","41","41","45","41","8","6","4.77","2","46.62","21.04739148","4","9","15.08","7","3","4","40","6.8","19","46.8","65.8","206","0.366972477","0.070103093","0.227184466","5.024390244","4.577777778","2.658536585","2.422222222","1.141463415","1.04","0.463414634","0.422222222","52.91262136","71.12462006","91.11111111","9.850179211","29.62962963","32.5203252","34.66666667","38.04878049","14.07407407","15.44715447","7.296429046","8.008275782","48.74074074","53.49593496"
"","","GHP2014PKS-AT03","","","","","","","","","GHP2014PKS-AT03-00025","","","","1","0","1.49","0.9","20.04","50.74","1.39","2.53","1","73","36","44","44","45","43","5","9","3.54","1","68.32","39.49546709","4","6","7","9","3","3","19.2","2.1","24","21.3","45.3","109","0.263013699","0.058333333","0.195412844","2.477272727","2.422222222","1.659090909","1.622222222","0.484090909","0.473333333","0.545454545","0.533333333","66.97247706","47.01986755","97.77777778","8.41253449","14.22222222","14.54545455","15.77777778","16.13636364","17.77777778","18.18181818","6.231507029","6.373132189","33.55555556","34.31818182"
"","","GHP2014PKS-AT03","","","","","","","","","GHP2014PKS-AT03-00026","","","","2","0","1.56","0.93","18.52","50.84","2.01","2.99","1","62","68","39","39","45","39","6","7","3.27","4","67.39","36.42800944","6","7","5.24","9","1","1","17.1","6.1","39","23.2","62.2","130","0.275806452","0.089705882","0.178461538","3.333333333","2.888888889","1.58974359","1.377777778","0.594871795","0.515555556","1","0.866666667","47.69230769","37.29903537","86.66666667","8.45129819","12.66666667","14.61538462","17.18518519","19.82905983","28.88888889","33.33333333","6.260220882","7.223331787","46.07407407","53.16239316"
"","","GHP2014PKS-AT03","","","","","","","","","GHP2014PKS-AT03-00027","","","","2","0","1.43","0.88","18.77","50.3","0.41","1.09","1","58","75","42","42","45","40","1","8","3.34","1","72.93","37.31610338","5","7","5.37","7","3","4","16.5","4.5","20","21","41","133","0.284482759","0.06","0.157894737","3.166666667","2.955555556","1.380952381","1.288888889","0.5","0.466666667","0.476190476","0.444444444","43.60902256","51.2195122","93.33333333","7.83638171","12.22222222","13.0952381","15.55555556","16.66666667","14.81481481","15.87301587","5.804727192","6.219350563","30.37037037","32.53968254"
"","","GHP2014PKS-AT03","","","","","","","","","GHP2014PKS-AT03-00028","","","","1","0","1.72","0.95","17.3","50.28","2.05","3.17","1","46","41","36","36","45","35","5","3","4.09","2","62.69","34.40731901","6","6","7.95","8","5","5","10","2.7","24.5","12.7","37.2","87","0.217391304","0.065853659","0.145977011","2.416666667","1.933333333","1.277777778","1.022222222","0.352777778","0.282222222","0.680555556","0.544444444","52.87356322","34.13978495","80","4.369729515","7.407407407","9.259259259","9.407407407","11.75925926","18.14814815","22.68518519","3.236836678","4.046045847","27.55555556","34.44444444"
"","","GHP2014PKS-AT03","","","","","","","","","GHP2014PKS-AT03-00029","","","","2","0","1.46","0.94","19.62","50.54","0.68","1.33","1","59","36","41","41","45","32","3","7","3.62","1","69.68","38.82073605","5","9","5.2","9","6","6","23.2","2.2","30","25.4","55.4","95","0.393220339","0.061111111","0.267368421","2.317073171","2.111111111","1.43902439","1.311111111","0.619512195","0.564444444","0.731707317","0.666666667","62.10526316","45.84837545","91.11111111","9.860466957","17.18518519","18.86178862","18.81481481","20.6504065","22.22222222","24.3902439","7.304049598","8.016639802","41.03703704","45.04065041"
"","","GHP2014PKS-AT03","","","","","","","","","GHP2014PKS-AT03-00003","","","","1","0","1.33","0.85","21.06","50.65","0.73","1.53","1","47","32","42","42","45","28","3","7","3.21","2","72.64","41.57946693","5","7","4.3","7","6","6","14.3","2.2","32","16.5","48.5","79","0.304255319","0.06875","0.208860759","1.880952381","1.755555556","1.119047619","1.044444444","0.392857143","0.366666667","0.761904762","0.711111111","59.49367089","34.02061856","93.33333333","6.860612043","10.59259259","11.34920635","12.22222222","13.0952381","23.7037037","25.3968254","5.081934847","5.444930193","35.92592593","38.49206349"
"","","GHP2014PKS-AT03","","","","","","","","","GHP2014PKS-AT03-00030","","","","1","0","1.53","0.87","18.8","50.24","1.58","2.48","1","67","12","44","44","45","44","1","7","3.38","1","68.56","37.42038217","5","9","5.1","9","3","3","43.4","2","20","45.4","65.4","79","0.647761194","0.166666667","0.574683544","1.795454545","1.755555556","1.522727273","1.488888889","1.031818182","1.008888889","0.454545455","0.444444444","84.81012658","69.41896024","97.77777778","16.9888535","32.14814815","32.87878788","33.62962963","34.39393939","14.81481481","15.15151515","12.58433593","12.87034356","48.44444444","49.54545455"
"","","GHP2014PKS-AT03","","","","","","","","","GHP2014PKS-AT03-00004","","","","2","0","2.02","1.11","19.47","50.63","0.98","1.98","2","33","23","45","45","45","38","5","3","6.06","4","65.19","38.45546119","5","9","7.42","6","6","6","11.8","1.8","18","13.6","31.6","56","0.357575758","0.07826087","0.242857143","1.244444444","1.244444444","0.733333333","0.733333333","0.302222222","0.302222222","0.4","0.4","58.92857143","43.03797468","100","5.229942722","8.740740741","8.740740741","10.07407407","10.07407407","13.33333333","13.33333333","3.874031646","3.874031646","23.40740741","23.40740741"
"","","GHP2014PKS-AT03","","","","","","","","","GHP2014PKS-AT03-00005","","","","1","0","1.63","1","17.27","50.67","1.3","2.26","1","120","87","45","45","45","45","5","8","4.76","1","68.69","34.08328399","7","8","5.34","8","1","1","51.6","9.3","26","60.9","86.9","207","0.43","0.106896552","0.294202899","4.6","4.6","2.666666667","2.666666667","1.353333333","1.353333333","0.577777778","0.577777778","57.97101449","70.08055236","100","20.75671995","38.22222222","38.22222222","45.11111111","45.11111111","19.25925926","19.25925926","15.37534811","15.37534811","64.37037037","64.37037037"
"","","GHP2014PKS-AT03","","","","","","","","","GHP2014PKS-AT03-00006","","","","1","","2.93","1.68","10.4","50.8","4.64","7.36","2","121","61","41","41","45","41","8","6","5.69","3","47.07","20.47244094","5","7","17.57","8","3","4","44.8","5.6","24.8","50.4","75.2","182","0.370247934","0.091803279","0.276923077","4.43902439","4.044444444","2.951219512","2.688888889","1.229268293","1.12","0.604878049","0.551111111","66.48351648","67.0212766","91.11111111","10.31811024","33.18518519","36.42276423","37.33333333","40.97560976","18.37037037","20.16260163","7.643044619","8.388707509","55.7037037","61.13821138"
"","","GHP2014PKS-AT03","","","","","","","","","GHP2014PKS-AT03-00007","","","","1","0","1.26","0.76","19.78","50.58","1.33","2.02","1","74","15","41","41","45","41","1","7","3.6","3","70.79","39.10636615","5","9","4.34","9","3","3","38.3","1.5","12","39.8","51.8","89","0.517567568","0.1","0.447191011","2.170731707","1.977777778","1.804878049","1.644444444","0.970731707","0.884444444","0.292682927","0.266666667","83.14606742","76.83397683","91.11111111","15.56433373","28.37037037","31.13821138","29.48148148","32.35772358","8.888888889","9.756097561","11.5291361","12.65392986","38.37037037","42.11382114"
"","","GHP2014PKS-AT03","","","","","","","","","GHP2014PKS-AT03-00008","","","","1","0","1.49","0.96","17.42","50.53","1.37","2.36","1","90","61","43","43","45","43","6","3","3.06","2","68.44","34.47456956","6","7","6.41","9","1","1","25.7","4.2","20.2","29.9","50.1","151","0.285555556","0.068852459","0.198013245","3.511627907","3.355555556","2.093023256","2","0.695348837","0.664444444","0.469767442","0.448888889","59.60264901","59.68063872","95.55555556","10.3078963","19.03703704","19.92248062","22.14814815","23.17829457","14.96296296","15.65891473","7.63547874","7.990617286","37.11111111","38.8372093"
"","","GHP2014PKS-AT03","","","","","","","","","GHP2014PKS-AT03-00009","","","","2","0","1.32","0.74","17.31","50.75","1.66","2.43","1","75","40","36","36","45","32","5","3","2.95","2","68.35","34.10837438","7","9","8.75","7","5","5","32.4","3.1","16","35.5","51.5","115","0.432","0.0775","0.308695652","3.194444444","2.555555556","2.083333333","1.666666667","0.986111111","0.788888889","0.444444444","0.355555556","65.2173913","68.93203883","80","12.10847291","24","30","26.2962963","32.87037037","11.85185185","14.81481481","8.96923919","11.21154899","38.14814815","47.68518519"
