"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Alcidodes sp. damage estimating 1-9|CO_331:0000806","Dry weight of storage root samples measuring g|CO_331:0000247","Content of fructose in dry weight basis in boiled storage roots measuring g per 100g|CO_331:0001046","Content of glucose in dry weight basis in boiled storage roots measuring g per 100g|CO_331:0001048","Content of maltose in dry weight basis in boiled storage roots measuring g per 100g|CO_331:0001052","Millipede damage estimating 1-9|CO_331:0000805","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Number of plants established per NET plot|CO_331:0000192","Number of plants harvested per NET plot|CO_331:0000679","Number of plants planted per NET plot|CO_331:0000678","Number of plants with storage roots per NET plot|CO_331:0000211","Reaction to Striped sweet potato weevil estimating 1-9|CO_331:0000720","Content of starch in dry weight basis in boiled storage roots measuring percentage|CO_331:2000027","Storage root appearance estimating 1-9 CIP|CO_331:0000202","Storage root size estimating 1-9|CO_331:0000184","Content of sucrose in dry weight basis in boiled storage roots measuring g per 100g|CO_331:0001050","Vine vigor estimating 1-9|CO_331:0000197","Virus symptoms estimating 1-9|CO_331:0000193","Virus symptoms estimating 1-9|month 1|before harvest|COMP:0000024","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Weight of vines per NET plot in kg|CO_331:0000227","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Number of storage roots after harvest per NET plot|CO_331:0000233","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Average total storage root weight computation kg|CO_331:0002040","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant harvested|CO_331:2000036","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant harvested|CO_331:0000681","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant harvested|CO_331:0000990","Vine weight in kg per plant planted|CO_331:0000991","Percentage of commercial storage root|CO_331:0000682","Harvest index computing percent|CO_331:0000302","Survival index computing percent|CO_331:0000301","Commercial storage root yield tons per ha|CO_331:0000809","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield computation tons per ha|CO_331:0000296","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield in tons per ha|CO_331:0000684","Total foliage yield adjusted in tons per ha|CO_331:0001002","Biomass yield in tons per ha|CO_331:0001003","Biomass yield adjusted in tons per ha|CO_331:0001004"
"","","GHP2017NYK-AT03","","","","","","","","","GHP2017NYK-AT03-00028","","","","3","18.03","1.79","4.41","19.51","1","53","32","24","23","30","23","3","47.37","3","1","19.91","8","1","1","16.72","1.96","22.14","18.68","40.82","85","0.315471698","0.06125","0.219764706","3.695652174","2.833333333","2.304347826","1.766666667","0.812173913","0.622666667","0.962608696","0.738","62.35294118","45.76188143","76.66666667","18.57777778","24.23188406","20.75555556","27.07246377","24.6","32.08695652","45.35555556","59.15942029"
"","","GHP2017NYK-AT03","","","","","","","","","GHP2017NYK-AT03-00029","","","","3","15.27","2.18","5.34","12.6","3","49","32","18","17","30","16","5","43.8","6","1","23.07","7","1","1","13.36","1.04","12.62","14.4","27.02","81","0.272653061","0.0325","0.177777778","4.764705882","2.7","2.882352941","1.633333333","0.847058824","0.48","0.742352941","0.420666667","60.49382716","53.2938564","56.66666667","14.84444444","26.19607843","16","28.23529412","14.02222222","24.74509804","30.02222222","52.98039216"
"","","GHP2017NYK-AT03","","","","","","","","","GHP2017NYK-AT03-00003","","","","3","20.76","1.28","3.12","12.86","5","75","28","27","23","30","23","1","53.75","3","1","18.01","1","8","1","27.62","1.96","25.44","29.58","55.02","103","0.368266667","0.07","0.287184466","4.47826087","3.433333333","3.260869565","2.5","1.286086957","0.986","1.106086957","0.848","72.81553398","53.76226827","76.66666667","30.68888889","40.02898551","32.86666667","42.86956522","28.26666667","36.86956522","61.13333333","79.73913043"
"","","GHP2017NYK-AT03","","","","","","","","","GHP2017NYK-AT03-00030","","","","3","17.53","0.37","1.92","18.6","3","53","42","26","25","30","25","1","58.33","6","1","16.69","8","2","1","15.1","1.98","13.32","17.08","30.4","95","0.28490566","0.047142857","0.179789474","3.8","3.166666667","2.12","1.766666667","0.6832","0.569333333","0.5328","0.444","55.78947368","56.18421053","83.33333333","16.77777778","20.13333333","18.97777778","22.77333333","14.8","17.76","33.77777778","40.53333333"
"","","GHP2017NYK-AT03","","","","","","","","","GHP2017NYK-AT03-00004","","","","1","15.92","2.07","4.71","16.82","5","54","64","30","25","30","25","1","46.47","6","5","20.36","1","8","2","14.34","3.46","9.54","17.8","27.34","118","0.265555556","0.0540625","0.150847458","4.72","3.933333333","2.16","1.8","0.712","0.593333333","0.3816","0.318","45.76271186","65.10607169","83.33333333","15.93333333","19.12","19.77777778","23.73333333","10.6","12.72","30.37777778","36.45333333"
"","","GHP2017NYK-AT03","","","","","","","","","GHP2017NYK-AT03-00005","","","","1","22.25","0.97","2.53","25.19","5","30","20","30","25","30","22","3","54.5","5","1","17.73","5","6","3","5.06","1.32","9.54","6.38","15.92","50","0.168666667","0.066","0.1276","2","1.666666667","1.2","1","0.2552","0.212666667","0.3816","0.318","60","40.07537688","83.33333333","5.622222222","6.746666667","7.088888889","8.506666667","10.6","12.72","17.68888889","21.22666667"
"","","GHP2017NYK-AT03","","","","","","","","","GHP2017NYK-AT03-00006","","","","3","17.98","0.78","2.22","0.91","5","72","22","30","22","30","22","1","58.67","6","1","19.18","1","8","1","22.92","1.74","11.76","24.66","36.42","94","0.318333333","0.079090909","0.262340426","4.272727273","3.133333333","3.272727273","2.4","1.120909091","0.822","0.534545455","0.392","76.59574468","67.71004942","73.33333333","25.46666667","34.72727273","27.4","37.36363636","13.06666667","17.81818182","40.46666667","55.18181818"
"","","GHP2017NYK-AT03","","","","","","","","","GHP2017NYK-AT03-00007","","","","1","17.5","2.88","5.77","13.24","5","45","28","22","16","30","16","1","46.93","5","1","18.73","3","7","2","12.76","1.1","7.23","13.86","21.09","73","0.283555556","0.039285714","0.189863014","4.5625","2.433333333","2.8125","1.5","0.86625","0.462","0.451875","0.241","61.64383562","65.71834993","53.33333333","14.17777778","26.58333333","15.4","28.875","8.033333333","15.0625","23.43333333","43.9375"
"","","GHP2017NYK-AT03","","","","","","","","","GHP2017NYK-AT03-00008","","","","1","14.63","2.2","6.18","5.65","3","53","26","30","27","30","27","1","45.02","3","3","24.17","3","7","1","19.14","1.92","9.62","21.06","30.68","79","0.361132075","0.073846154","0.266582278","2.925925926","2.633333333","1.962962963","1.766666667","0.78","0.702","0.356296296","0.320666667","67.08860759","68.6440678","90","21.26666667","23.62962963","23.4","26","10.68888889","11.87654321","34.08888889","37.87654321"
"","","GHP2017NYK-AT03","","","","","","","","","GHP2017NYK-AT03-00009","","","","3","15.64","0.17","1.46","21.81","3","36","21","30","26","30","26","2","59.76","5","1","16.49","1","7","2","23.2","1.24","9.62","24.44","34.06","57","0.644444444","0.059047619","0.42877193","2.192307692","1.9","1.384615385","1.2","0.94","0.814666667","0.37","0.320666667","63.15789474","71.75572519","86.66666667","25.77777778","29.74358974","27.15555556","31.33333333","10.68888889","12.33333333","37.84444444","43.66666667"
