"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Alcidodes sp. damage estimating 1-9|CO_331:0000806","Content of beta-carotene in dry weight basis in raw storage roots measuring mg per 100g|CO_331:0000289","Content of iron in dry weight basis measuring mg per 100g by NIRS|CO_331:0001016","Content of zinc in dry weight basis measuring mg per 100g by NIRS|CO_331:0001017","Content of fructose in dry weight basis in boiled storage roots measuring g per 100g|CO_331:0001046","Content of fructose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001045","Content of glucose in dry weight basis in boiled storage roots measuring g per 100g|CO_331:0001048","Content of glucose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001047","Content of maltose in dry weight basis in boiled storage roots measuring g per 100g|CO_331:0001052","Millipede damage estimating 1-9|CO_331:0000805","Number of plants planted per NET plot|CO_331:0000678","Number of plants harvested per NET plot|CO_331:0000679","Number of plants with storage roots per NET plot|CO_331:0000211","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Storage root predominant Flesh color estimating 1-9|CO_331:0000178","Storage root skin predominant color estimating 1-9 CIP|CO_331:0000175","Content of protein in dry weight basis in raw storage roots measuring percentage|CO_331:0000278","Reaction to Striped sweet potato weevil estimating 1-9|CO_331:0000720","Content of starch in dry weight basis in boiled storage roots measuring percentage|CO_331:2000027","Content of starch in dry weight basis in raw storage roots measuring percentage|CO_331:0000291","Storage root dry matter content computing percent|CO_331:0000297","Storage root appearance estimating 1-9 CIP|CO_331:0000202","Storage root size estimating 1-9|CO_331:0000184","Content of sucrose in dry weight basis in boiled storage roots measuring g per 100g|CO_331:0001050","Content of sucrose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001049","Virus symptoms estimating 1-9|month 1|before harvest|COMP:0000024","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Weight of vines per NET plot in kg|CO_331:0000227","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Number of storage roots after harvest per NET plot|CO_331:0000233","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Average total storage root weight computation kg|CO_331:0002040","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant harvested|CO_331:2000036","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant harvested|CO_331:0000681","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant harvested|CO_331:0000990","Vine weight in kg per plant planted|CO_331:0000991","Percentage of commercial storage root|CO_331:0000682","Harvest index computing percent|CO_331:0000302","Survival index computing percent|CO_331:0000301","Total storage root weight in dry weight basis per NET plot in kg|CO_331:0000995","Commercial storage root yield tons per ha|CO_331:0000809","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield computation tons per ha|CO_331:0000296","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield in tons per ha|CO_331:0000684","Total foliage yield adjusted in tons per ha|CO_331:0001002","Storage root dry matter yield per NET plot in tons per ha|CO_331:0001000","Storage root dry matter yield adjusted per NET plot in tons per ha|CO_331:0001001","Biomass yield in tons per ha|CO_331:0001003","Biomass yield adjusted in tons per ha|CO_331:0001004"
"","","GHP2018EJR-ST01","","","","","","","","","GHP2018EJR-ST01-00108","","","","3","","","","","","","","","1","30","7","7","1","6","","","","1","","","","","","","","6","0.1","0.3","6.1","0.4","6.5","7","0.1","0.05","0.057142857","1","0.233333333","0.142857143","0.033333333","0.057142857","0.013333333","0.871428571","0.203333333","14.28571429","6.153846154","23.33333333","","0.111111111","0.476190476","0.444444444","1.904761905","6.777777778","29.04761905","","","7.222222222","30.95238095"
"","","GHP2018EJR-ST01","","","","","","","","","GHP2018EJR-ST01-00109","","","","3","0","2.0294421","1.051275","0.249044","1.666883","2.5085809","3.217844","20.5676498","1","30","29","29","83","23","3","8","3.463707","1","56.0267563","68.3149338","36.68311945","4","3","18.8994141","13.951088","4","21.4","1.1","25.4","22.5","47.9","106","0.257831325","0.047826087","0.212264151","3.655172414","3.533333333","2.862068966","2.766666667","0.775862069","0.75","0.875862069","0.846666667","78.30188679","46.97286013","96.66666667","8.253701876","23.77777778","24.59770115","25","25.86206897","28.22222222","29.1954023","9.170779863","9.487013651","53.22222222","55.05747126"
"","","GHP2018EJR-ST01","","","","","","","","","GHP2018EJR-ST01-00011","","","","3","2.0650558","1.920925","0.839445","0.782022","2.7928619","1.615644","4.731956","10.6184368","1","30","14","14","23","18","4","8","2.098635","1","64.035614","72.9711304","40.09950249","3","5","13.8972397","11.2042141","6","2.6","0.4","7.6","3","10.6","41","0.113043478","0.022222222","0.073170732","2.928571429","1.366666667","1.642857143","0.766666667","0.214285714","0.1","0.542857143","0.253333333","56.09756098","28.30188679","46.66666667","1.202985075","2.888888889","6.19047619","3.333333333","7.142857143","8.444444444","18.0952381","1.336650083","2.864250178","11.77777778","25.23809524"
"","","GHP2018EJR-ST01","","","","","","","","","GHP2018EJR-ST01-00110","","","","1","0","1.560953","0.784238","0.361053","3.236032","2.1837251","5.3477302","23.42869","1","30","30","30","60","20","4","8","2.47839","1","57.4065094","67.3250504","38.45546119","3","3","18.5481796","12.5928736","5","10.4","0.8","15.4","11.2","26.6","80","0.173333333","0.04","0.14","2.666666667","2.666666667","2","2","0.373333333","0.373333333","0.513333333","0.513333333","75","42.10526316","100","4.307011653","11.55555556","11.55555556","12.44444444","12.44444444","17.11111111","17.11111111","4.785568504","4.785568504","29.55555556","29.55555556"
"","","GHP2018EJR-ST01","","","","","","","","","GHP2018EJR-ST01-00111","","","","3","1.901844","2.2018299","1.179864","0.28578","0.938631","2.0231199","2.86129","4.560822","1","30","24","24","39","28","6","6","2.944792","1","62.6503754","72.1325607","41.54846336","3","3","16.7163773","12.3914299","5","5.3","1.2","10.3","6.5","16.8","67","0.135897436","0.042857143","0.097014925","2.791666667","2.233333333","1.625","1.3","0.270833333","0.216666667","0.429166667","0.343333333","58.20895522","38.69047619","80","2.700650118","5.888888889","7.361111111","7.222222222","9.027777778","11.44444444","14.30555556","3.000722354","3.750902942","18.66666667","23.33333333"
"","","GHP2018EJR-ST01","","","","","","","","","GHP2018EJR-ST01-00112","","","","3","0","1.562956","0.733662","0.185604","1.084327","1.910561","2.694459","5.578629","1","30","25","25","30","20","5","6","1.986755","1","66.1454773","74.2093201","39.88886684","3","3","15.9895706","13.763607","5","8.2","0.7","13.2","8.9","22.1","50","0.273333333","0.035","0.178","2","1.666666667","1.2","1","0.356","0.296666667","0.528","0.44","60","40.27149321","83.33333333","3.550109149","9.111111111","10.93333333","9.888888889","11.86666667","14.66666667","17.6","3.944565721","4.733478865","24.55555556","29.46666667"
"","","GHP2018EJR-ST01","","","","","","","","","GHP2018EJR-ST01-00113","","","","3","25.7856483","2.309731","1.160274","1.3476371","2.5672579","4.262641","5.040431","7.7496338","1","30","17","16","34","22","7","6","1.819714","1","51.567379","58.4014511","28.6028383","4","3","21.1964798","20.2888927","4","3.6","0.6","7.6","4.2","11.8","56","0.105882353","0.027272727","0.075","3.294117647","1.866666667","2","1.133333333","0.247058824","0.14","0.447058824","0.253333333","60.71428571","35.59322034","56.66666667","1.201319209","4","7.058823529","4.666666667","8.235294118","8.444444444","14.90196078","1.334799121","2.35552786","13.11111111","23.1372549"
"","","GHP2018EJR-ST01","","","","","","","","","GHP2018EJR-ST01-00114","","","","1","4.7190914","1.864935","0.741663","1.337042","4.9982572","2.7069011","7.2916331","19.2253704","1","30","19","19","26","13","4","9","1.59166","1","56.416378","68.2401352","38.94259223","3","5","17.9230499","9.6650124","5","2.6","0.4","7.6","3","10.6","39","0.1","0.030769231","0.076923077","2.052631579","1.3","1.368421053","0.866666667","0.157894737","0.1","0.4","0.253333333","66.66666667","28.30188679","63.33333333","1.168277767","2.888888889","4.561403509","3.333333333","5.263157895","8.444444444","13.33333333","1.298086408","2.049610117","11.77777778","18.59649123"
"","","GHP2018EJR-ST01","","","","","","","","","GHP2018EJR-ST01-00115","","","","3","0","1.723502","0.89947","0.566509","0.730429","1.80266","2.406569","8.4376793","1","30","18","17","24","9","5","2","2.4486201","1","64.5014877","72.8660355","42.83721857","2","3","16.3830414","14.4234667","5","4.3","0.3","9.3","4.6","13.9","33","0.179166667","0.033333333","0.139393939","1.833333333","1.1","1.333333333","0.8","0.255555556","0.153333333","0.516666667","0.31","72.72727273","33.09352518","60","1.970512054","4.777777778","7.962962963","5.111111111","8.518518519","10.33333333","17.22222222","2.189457838","3.649096397","15.44444444","25.74074074"
"","","GHP2018EJR-ST01","","","","","","","","","GHP2018EJR-ST01-00116","","","","1","2.7748775","1.973115","0.862957","0.482485","2.131788","2.274014","4.1349449","4.4917598","1","30","22","22","36","39","6","2","3.008806","1","61.9034348","65.4906311","34.85180028","4","3","17.0179672","17.363308","4","7.2","2.4","11.2","9.6","20.8","75","0.2","0.061538462","0.128","3.409090909","2.5","1.636363636","1.2","0.436363636","0.32","0.509090909","0.373333333","48","46.15384615","73.33333333","3.345772827","8","10.90909091","10.66666667","14.54545455","12.44444444","16.96969697","3.717525363","5.069352768","23.11111111","31.51515152"
"","","GHP2018EJR-ST01","","","","","","","","","GHP2018EJR-ST01-00117","","","","","","","","","","","","","","30","","","","","","","","","","","","","","","","6","","","6","","","","","","","","","","","","","","0.2","","","","","","","","","6.666666667","","","","",""
"","","GHP2018EJR-ST01","","","","","","","","","GHP2018EJR-ST01-00118","","","","1","44.9647942","1.854712","0.680047","1.67029","10.7982626","6.5580888","15.3196135","16.0467834","1","30","14","14","10","21","8","4","1.488005","1","44.8469505","50.596489","24.83516484","5","5","24.5635529","10.1440954","6","1.3","1","7.3","2.3","9.6","31","0.13","0.047619048","0.074193548","2.214285714","1.033333333","0.714285714","0.333333333","0.164285714","0.076666667","0.521428571","0.243333333","32.25806452","23.95833333","46.66666667","0.571208791","1.444444444","3.095238095","2.555555556","5.476190476","8.111111111","17.38095238","0.634676435","1.360020932","10.66666667","22.85714286"
"","","GHP2018EJR-ST01","","","","","","","","","GHP2018EJR-ST01-00119","","","","3","15.5611916","2.1779499","1.128682","0.9291","1.815684","3.871649","3.84075","6.8469429","1","30","9","6","4","10","6","6","3.020956","1","54.0487213","65.4045715","36.38352894","4","5","20.5704422","13.4905081","5","1.4","0.5","14.4","1.9","16.3","14","0.35","0.05","0.135714286","1.555555556","0.466666667","0.444444444","0.133333333","0.211111111","0.063333333","1.6","0.48","28.57142857","11.65644172","30","0.69128705","1.555555556","5.185185185","2.111111111","7.037037037","16","53.33333333","0.768096722","2.560322407","18.11111111","60.37037037"
"","","GHP2018EJR-ST01","","","","","","","","","GHP2018EJR-ST01-00012","","","","3","0","1.633707","0.878572","0.654356","1.2879291","1.685822","2.430366","10.8191566","1","30","21","21","19","20","5","8","2.7972641","1","63.9993095","73.9404984","46.55548938","3","3","14.5445862","11.4549541","7","3.4","0.8","7.4","4.2","11.6","39","0.178947368","0.04","0.107692308","1.857142857","1.3","0.904761905","0.633333333","0.2","0.14","0.352380952","0.246666667","48.71794872","36.20689655","70","1.955330554","3.777777778","5.396825397","4.666666667","6.666666667","8.222222222","11.74603175","2.172589504","3.103699292","12.88888889","18.41269841"
"","","GHP2018EJR-ST01","","","","","","","","","GHP2018EJR-ST01-00120","","","","1","7.4290295","2.1343081","0.738711","1.334244","2.0347469","2.769979","3.726814","4.680882","1","30","16","4","7","11","4","2","2.5896571","1","60.436924","66.8183746","37.72871917","5","5","16.9663162","19.2628689","5","1.4","0.4","6.4","1.8","8.2","18","0.2","0.036363636","0.1","1.125","0.6","0.4375","0.233333333","0.1125","0.06","0.4","0.213333333","38.88888889","21.95121951","53.33333333","0.679116945","1.555555556","2.916666667","2","3.75","7.111111111","13.33333333","0.754574383","1.414826969","9.111111111","17.08333333"
"","","GHP2018EJR-ST01","","","","","","","","","GHP2018EJR-ST01-00121","","","","1","5.166193","2.2718699","1.129264","0.690245","2.6771441","2.8311529","4.8941979","21.3287315","1","30","28","28","66","17","5","2","3.4462681","1","50.7217026","65.7188492","33.5175681","4","1","21.4936371","11.5365467","3","14.6","1","17.6","15.6","33.2","83","0.221212121","0.058823529","0.187951807","2.964285714","2.766666667","2.357142857","2.2","0.557142857","0.52","0.628571429","0.586666667","79.51807229","46.98795181","93.33333333","5.228740624","16.22222222","17.38095238","17.33333333","18.57142857","19.55555556","20.95238095","5.809711804","6.224691219","36.88888889","39.52380952"
"","","GHP2018EJR-ST01","","","","","","","","","GHP2018EJR-ST01-00122","","","","1","5.6971493","2.5151241","1.0323991","0","2.163435","1.589275","4.0088968","11.9554596","1","30","27","27","34","17","4","8","2.806879","1","61.9987144","69.6511917","47.66024381","3","3","16.9749146","16.496563","4","7","0.9","11","7.9","18.9","51","0.205882353","0.052941176","0.154901961","1.888888889","1.7","1.259259259","1.133333333","0.292592593","0.263333333","0.407407407","0.366666667","66.66666667","41.7989418","90","3.765159261","7.777777778","8.641975309","8.777777778","9.75308642","12.22222222","13.58024691","4.18351029","4.648344767","21","23.33333333"
"","","GHP2018EJR-ST01","","","","","","","","","GHP2018EJR-ST01-00123","","","","3","39.9600067","2.552989","1.112394","0","1.250373","3.402452","3.1583891","12.0521717","3","30","13","13","17","8","9","9","4.2354388","1","58.7899666","64.2329788","40.00395883","3","3","9.4412308","17.4242744","5","3.1","0.5","8.1","3.6","11.7","25","0.182352941","0.0625","0.144","1.923076923","0.833333333","1.307692308","0.566666667","0.276923077","0.12","0.623076923","0.27","68","30.76923077","43.33333333","1.440142518","3.444444444","7.948717949","4","9.230769231","9","20.76923077","1.600158353","3.692673123","13","30"
"","","GHP2018EJR-ST01","","","","","","","","","GHP2018EJR-ST01-00124","","","","3","36.3098984","2.2564559","1.1669689","1.297155","5.8670092","5.7329898","9.5339279","10.4201794","3","30","15","15","43","25","7","6","2.4552231","1","44.2682343","56.8352051","24.86022364","5","3","26.9477997","13.6003981","5","7.3","1.1","12.3","8.4","20.7","68","0.169767442","0.044","0.123529412","4.533333333","2.266666667","2.866666667","1.433333333","0.56","0.28","0.82","0.41","63.23529412","40.57971014","50","2.088258786","8.111111111","16.22222222","9.333333333","18.66666667","13.66666667","27.33333333","2.32028754","4.640575079","23","46"
"","","GHP2018EJR-ST01","","","","","","","","","GHP2018EJR-ST01-00125","","","","3","5.43437","2.234756","0.927398","0.850912","1.581751","2.5149469","3.606885","7.5815811","1","30","17","11","18","16","3","2","2.6256139","1","56.987999","63.4449081","33.8","3","3","18.6315689","20.7538967","5","3.1","1","8.1","4.1","12.2","34","0.172222222","0.0625","0.120588235","2","1.133333333","1.058823529","0.6","0.241176471","0.136666667","0.476470588","0.27","52.94117647","33.60655738","56.66666667","1.3858","3.444444444","6.078431373","4.555555556","8.039215686","9","15.88235294","1.539777778","2.717254902","13.55555556","23.92156863"
"","","GHP2018EJR-ST01","","","","","","","","","GHP2018EJR-ST01-00126","","","","","","","","","","","","","","30","1","0","0","0","","","","","","","","","","","","","0","0","","0","","0","","","","0","0","0","0","0","0","","","","","3.333333333","","0","0","0","0","","","","","",""
"","","GHP2018EJR-ST01","","","","","","","","","GHP2018EJR-ST01-00127","","","","1","0","1.4611731","0.830085","0.852705","4.1018262","2.5201759","6.3462749","2.1195681","1","30","16","16","29","20","4","5","1.542486","1","63.6045494","67.2841721","31.8692141","2","3","16.4114838","11.6071482","5","6","1","11","7","18","49","0.206896552","0.05","0.142857143","3.0625","1.633333333","1.8125","0.966666667","0.4375","0.233333333","0.6875","0.366666667","59.18367347","38.88888889","53.33333333","2.230844987","6.666666667","12.5","7.777777778","14.58333333","12.22222222","22.91666667","2.478716652","4.647593723","20","37.5"
"","","GHP2018EJR-ST01","","","","","","","","","GHP2018EJR-ST01-00128","","","","1","11.8765221","2.8402619","1.1188231","0.731148","2.9793811","2.6096671","5.0864758","21.6102428","1","30","23","23","16","21","4","7","3.53932","1","53.1119843","64.233284","41.96125424","5","5","21.1729279","16.7485657","5","1.5","0.7","6.5","2.2","8.7","37","0.09375","0.033333333","0.059459459","1.608695652","1.233333333","0.695652174","0.533333333","0.095652174","0.073333333","0.282608696","0.216666667","43.24324324","25.28735632","76.66666667","0.923147593","1.666666667","2.173913043","2.444444444","3.188405797","7.222222222","9.420289855","1.025719548","1.337895063","9.666666667","12.60869565"
"","","GHP2018EJR-ST01","","","","","","","","","GHP2018EJR-ST01-00129","","","","1","0","1.285904","0.556574","0.417192","1.077927","2.73506","1.673061","17.2818756","1","30","27","27","32","15","5","8","1.849388","1","58.0432816","74.5956955","43.19952067","4","3","18.4217224","12.9897652","5","4.7","0.9","9.7","5.6","15.3","47","0.146875","0.06","0.119148936","1.740740741","1.566666667","1.185185185","1.066666667","0.207407407","0.186666667","0.359259259","0.323333333","68.08510638","36.60130719","90","2.419173158","5.222222222","5.802469136","6.222222222","6.913580247","10.77777778","11.97530864","2.687970175","2.986633528","17","18.88888889"
"","","GHP2018EJR-ST01","","","","","","","","","GHP2018EJR-ST01-00013","","","","1","0","1.341556","0.702917","0.454361","1.330633","1.536747","2.7795279","9.0884647","1","30","10","10","12","11","3","5","2.724781","1","66.4331131","75.9212723","41.27330424","3","5","14.3539658","10.9551334","5","1.6","0.3","6.6","1.9","8.5","23","0.133333333","0.027272727","0.082608696","2.3","0.766666667","1.2","0.4","0.19","0.063333333","0.66","0.22","52.17391304","22.35294118","33.33333333","0.784192781","1.777777778","5.333333333","2.111111111","6.333333333","7.333333333","22","0.871325312","2.613975935","9.444444444","28.33333333"
"","","GHP2018EJR-ST01","","","","","","","","","GHP2018EJR-ST01-00130","","","","1","0","1.777967","0.90276","0.362928","1.036471","2.375623","2.866096","11.8771191","3","30","30","30","116","53","4","8","2.3598311","1","60.7259254","69.5864105","38.16946443","3","3","17.3143921","15.9927626","4","27.3","2.4","31.3","29.7","61","169","0.235344828","0.045283019","0.175739645","5.633333333","5.633333333","3.866666667","3.866666667","0.99","0.99","1.043333333","1.043333333","68.63905325","48.68852459","100","11.33633094","30.33333333","30.33333333","33","33","34.77777778","34.77777778","12.59592326","12.59592326","67.77777778","67.77777778"
