"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Alcidodes sp. damage estimating 1-9|CO_331:0000806","Dry weight of storage root samples measuring g|CO_331:0000247","Fresh weight of storage root samples measuring g|CO_331:0000243","Millipede damage estimating 1-9|CO_331:0000805","Number of plants planted per NET plot|CO_331:0000678","Number of plants established per NET plot|CO_331:0000192","Number of plants harvested per NET plot|CO_331:0000679","Number of plants with storage roots per NET plot|CO_331:0000211","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Reaction to Striped sweet potato weevil estimating 1-9|CO_331:0000720","Storage root appearance estimating 1-9 CIP|CO_331:0000202","Storage root size estimating 1-9|CO_331:0000184","Vine vigor estimating 1-9|CO_331:0000197","Virus symptoms estimating 1-9|CO_331:0000193","Virus symptoms estimating 1-9|month 1|before harvest|COMP:0000024","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Weight of vines per NET plot in kg|CO_331:0000227","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Number of storage roots after harvest per NET plot|CO_331:0000233","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Average total storage root weight computation kg|CO_331:0002040","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant harvested|CO_331:2000036","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant harvested|CO_331:0000681","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant harvested|CO_331:0000990","Vine weight in kg per plant planted|CO_331:0000991","Percentage of commercial storage root|CO_331:0000682","Harvest index computing percent|CO_331:0000302","Survival index computing percent|CO_331:0000301","Storage root dry matter content computing percent|CO_331:0000297","Total storage root weight in dry weight basis per NET plot in kg|CO_331:0000995","Commercial storage root yield tons per ha|CO_331:0000809","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield computation tons per ha|CO_331:0000296","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield in tons per ha|CO_331:0000684","Total foliage yield adjusted in tons per ha|CO_331:0001002","Storage root dry matter yield per NET plot in tons per ha|CO_331:0001000","Storage root dry matter yield adjusted per NET plot in tons per ha|CO_331:0001001","Biomass yield in tons per ha|CO_331:0001003","Biomass yield adjusted in tons per ha|CO_331:0001004"
"","","GHP2015NYK-PT01","","","","","","","","","GHP2015NYK-PT01-00108","","","","2","","","1","10","10","10","5","0","11","1","3","3","7","1","2","0","0.4","8.55","0.4","8.95","11","","0.036363636","0.036363636","1.1","1.1","0","0","0.04","0.04","0.855","0.855","0","4.469273743","100","","","0","0","1.333333333","1.333333333","28.5","28.5","","","29.83333333","29.83333333"
"","","GHP2015NYK-PT01","","","","","","","","","GHP2015NYK-PT01-00109","","","","1","23.78","50.67","1","10","10","10","10","10","7","1","7","8","3","7","4","2.1","0.65","2.3","2.75","5.05","17","0.21","0.092857143","0.161764706","1.7","1.7","1","1","0.275","0.275","0.23","0.23","58.82352941","54.45544554","100","46.93112295","1.290605881","7","7","9.166666667","9.166666667","7.666666667","7.666666667","4.302019604","4.302019604","16.83333333","16.83333333"
"","","GHP2015NYK-PT01","","","","","","","","","GHP2015NYK-PT01-00011","","","","2","","","1","10","9","9","9","0","10","1","4","5","8","1","1","0","0.6","17.6","0.6","18.2","10","","0.06","0.06","1.111111111","1","0","0","0.066666667","0.06","1.955555556","1.76","0","3.296703297","90","","","0","0","2","2.222222222","58.66666667","65.18518519","","","60.66666667","67.40740741"
"","","GHP2015NYK-PT01","","","","","","","","","GHP2015NYK-PT01-00110","","","","1","","","1","10","10","10","3","3","4","1","2","3","7","2","1","0.35","0.2","4.05","0.55","4.6","7","0.116666667","0.05","0.078571429","0.7","0.7","0.3","0.3","0.055","0.055","0.405","0.405","42.85714286","11.95652174","100","","","1.166666667","1.166666667","1.833333333","1.833333333","13.5","13.5","","","15.33333333","15.33333333"
"","","GHP2015NYK-PT01","","","","","","","","","GHP2015NYK-PT01-00111","","","","2","22.01","49.92","1","10","10","10","10","10","15","1","7","7","9","1","1","1.9","0.7","15.9","2.6","18.5","25","0.19","0.046666667","0.104","2.5","2.5","1","1","0.26","0.26","1.59","1.59","40","14.05405405","100","44.09054487","1.146354167","6.333333333","6.333333333","8.666666667","8.666666667","53","53","3.821180556","3.821180556","61.66666667","61.66666667"
"","","GHP2015NYK-PT01","","","","","","","","","GHP2015NYK-PT01-00112","","","","2","","","1","10","10","10","7","0","12","1","2","3","9","1","1","0","0.4","10.35","0.4","10.75","12","","0.033333333","0.033333333","1.2","1.2","0","0","0.04","0.04","1.035","1.035","0","3.720930233","100","","","0","0","1.333333333","1.333333333","34.5","34.5","","","35.83333333","35.83333333"
"","","GHP2015NYK-PT01","","","","","","","","","GHP2015NYK-PT01-00113","","","","2","","","1","10","10","10","4","0","8","1","2","2","7","2","1","0","0.4","4.95","0.4","5.35","8","","0.05","0.05","0.8","0.8","0","0","0.04","0.04","0.495","0.495","0","7.476635514","100","","","0","0","1.333333333","1.333333333","16.5","16.5","","","17.83333333","17.83333333"
"","","GHP2015NYK-PT01","","","","","","","","","GHP2015NYK-PT01-00114","","","","2","","","1","10","10","10","1","0","2","1","2","2","6","2","1","0","0.1","3.9","0.1","4","2","","0.05","0.05","0.2","0.2","0","0","0.01","0.01","0.39","0.39","0","2.5","100","","","0","0","0.333333333","0.333333333","13","13","","","13.33333333","13.33333333"
"","","GHP2015NYK-PT01","","","","","","","","","GHP2015NYK-PT01-00115","","","","2","19.8","43.53","1","10","10","10","8","8","7","1","3","4","5","2","1","0.95","0.35","2.05","1.3","3.35","15","0.11875","0.05","0.086666667","1.5","1.5","0.8","0.8","0.13","0.13","0.205","0.205","53.33333333","38.80597015","100","45.48587181","0.591316334","3.166666667","3.166666667","4.333333333","4.333333333","6.833333333","6.833333333","1.971054445","1.971054445","11.16666667","11.16666667"
"","","GHP2015NYK-PT01","","","","","","","","","GHP2015NYK-PT01-00116","","","","2","","","1","10","10","10","10","3","6","1","4","4","5","5","2","0.45","0.3","2.1","0.75","2.85","9","0.15","0.05","0.083333333","0.9","0.9","0.3","0.3","0.075","0.075","0.21","0.21","33.33333333","26.31578947","100","","","1.5","1.5","2.5","2.5","7","7","","","9.5","9.5"
"","","GHP2015NYK-PT01","","","","","","","","","GHP2015NYK-PT01-00117","","","","2","","","1","10","10","10","7","9","9","1","4","4","6","1","1","0.95","0.25","4.2","1.2","5.4","18","0.105555556","0.027777778","0.066666667","1.8","1.8","0.9","0.9","0.12","0.12","0.42","0.42","50","22.22222222","100","","","3.166666667","3.166666667","4","4","14","14","","","18","18"
"","","GHP2015NYK-PT01","","","","","","","","","GHP2015NYK-PT01-00118","","","","2","21.01","50.39","1","10","10","10","7","7","3","1","5","5","6","2","1","1.25","0.3","2.3","1.55","3.85","10","0.178571429","0.1","0.155","1","1","0.7","0.7","0.155","0.155","0.23","0.23","70","40.25974026","100","41.69478071","0.646269101","4.166666667","4.166666667","5.166666667","5.166666667","7.666666667","7.666666667","2.154230337","2.154230337","12.83333333","12.83333333"
"","","GHP2015NYK-PT01","","","","","","","","","GHP2015NYK-PT01-00119","","","","2","","","1","10","9","9","3","3","0","1","3","4","6","1","1","0.45","0","3.55","0.45","4","3","0.15","","0.15","0.333333333","0.3","0.333333333","0.3","0.05","0.045","0.394444444","0.355","100","11.25","90","","","1.5","1.666666667","1.5","1.666666667","11.83333333","13.14814815","","","13.33333333","14.81481481"
"","","GHP2015NYK-PT01","","","","","","","","","GHP2015NYK-PT01-00012","","","","3","","","1","10","10","10","8","8","16","1","3","4","7","1","1","1.9","0.8","3.4","2.7","6.1","24","0.2375","0.05","0.1125","2.4","2.4","0.8","0.8","0.27","0.27","0.34","0.34","33.33333333","44.26229508","100","","","6.333333333","6.333333333","9","9","11.33333333","11.33333333","","","20.33333333","20.33333333"
"","","GHP2015NYK-PT01","","","","","","","","","GHP2015NYK-PT01-00120","","","","1","","","1","10","10","9","4","0","7","1","2","2","6","3","1","0","0.25","3.6","0.25","3.85","7","","0.035714286","0.035714286","0.777777778","0.7","0","0","0.027777778","0.025","0.4","0.36","0","6.493506494","90","","","0","0","0.833333333","0.925925926","12","13.33333333","","","12.83333333","14.25925926"
"","","GHP2015NYK-PT01","","","","","","","","","GHP2015NYK-PT01-00121","","","","2","23.56","50.44","1","10","10","10","7","10","10","1","4","5","6","2","1","1.15","0.45","2.55","1.6","4.15","20","0.115","0.045","0.08","2","2","1","1","0.16","0.16","0.255","0.255","50","38.55421687","100","46.70896114","0.747343378","3.833333333","3.833333333","5.333333333","5.333333333","8.5","8.5","2.491144594","2.491144594","13.83333333","13.83333333"
"","","GHP2015NYK-PT01","","","","","","","","","GHP2015NYK-PT01-00122","","","","2","","","1","10","10","10","10","9","15","1","5","6","7","1","1","1.8","0.6","5.35","2.4","7.75","24","0.2","0.04","0.1","2.4","2.4","0.9","0.9","0.24","0.24","0.535","0.535","37.5","30.96774194","100","","","6","6","8","8","17.83333333","17.83333333","","","25.83333333","25.83333333"
"","","GHP2015NYK-PT01","","","","","","","","","GHP2015NYK-PT01-00123","","","","2","","","1","10","10","10","7","7","13","1","3","3","8","1","1","0.45","0.5","5.25","0.95","6.2","20","0.064285714","0.038461538","0.0475","2","2","0.7","0.7","0.095","0.095","0.525","0.525","35","15.32258065","100","","","1.5","1.5","3.166666667","3.166666667","17.5","17.5","","","20.66666667","20.66666667"
"","","GHP2015NYK-PT01","","","","","","","","","GHP2015NYK-PT01-00124","","","","2","","","1","10","9","8","5","4","4","1","5","6","6","2","1","0.75","0.1","3.45","0.85","4.3","8","0.1875","0.025","0.10625","1","0.8","0.5","0.4","0.10625","0.085","0.43125","0.345","50","19.76744186","80","","","2.5","3.125","2.833333333","3.541666667","11.5","14.375","","","14.33333333","17.91666667"
"","","GHP2015NYK-PT01","","","","","","","","","GHP2015NYK-PT01-00125","","","","1","","","1","10","10","10","10","10","10","1","7","7","6","1","1","2.75","1.15","7.15","3.9","11.05","20","0.275","0.115","0.195","2","2","1","1","0.39","0.39","0.715","0.715","50","35.29411765","100","","","9.166666667","9.166666667","13","13","23.83333333","23.83333333","","","36.83333333","36.83333333"
"","","GHP2015NYK-PT01","","","","","","","","","GHP2015NYK-PT01-00126","","","","3","","","1","10","10","10","8","7","13","1","3","5","6","3","1","1.3","0.65","4.25","1.95","6.2","20","0.185714286","0.05","0.0975","2","2","0.7","0.7","0.195","0.195","0.425","0.425","35","31.4516129","100","","","4.333333333","4.333333333","6.5","6.5","14.16666667","14.16666667","","","20.66666667","20.66666667"
"","","GHP2015NYK-PT01","","","","","","","","","GHP2015NYK-PT01-00013","","","","3","","","1","10","10","10","2","3","8","1","2","2","7","5","3","1","0.8","17","1.8","18.8","11","0.333333333","0.1","0.163636364","1.1","1.1","0.3","0.3","0.18","0.18","1.7","1.7","27.27272727","9.574468085","100","","","3.333333333","3.333333333","6","6","56.66666667","56.66666667","","","62.66666667","62.66666667"
"","","GHP2015NYK-PT01","","","","","","","","","GHP2015NYK-PT01-00014","","","","2","","","1","10","10","10","3","0","6","1","2","2","4","3","3","0","0.6","4.7","0.6","5.3","6","","0.1","0.1","0.6","0.6","0","0","0.06","0.06","0.47","0.47","0","11.32075472","100","","","0","0","2","2","15.66666667","15.66666667","","","17.66666667","17.66666667"
"","","GHP2015NYK-PT01","","","","","","","","","GHP2015NYK-PT01-00015","","","","3","","","1","10","10","10","10","7","19","1","4","6","6","3","1","0.6","0.5","7","1.1","8.1","26","0.085714286","0.026315789","0.042307692","2.6","2.6","0.7","0.7","0.11","0.11","0.7","0.7","26.92307692","13.58024691","100","","","2","2","3.666666667","3.666666667","23.33333333","23.33333333","","","27","27"
"","","GHP2015NYK-PT01","","","","","","","","","GHP2015NYK-PT01-00016","","","","4","","","1","10","10","10","8","13","7","1","5","7","7","1","1","1.8","1.3","8.7","3.1","11.8","20","0.138461538","0.185714286","0.155","2","2","1.3","1.3","0.31","0.31","0.87","0.87","65","26.27118644","100","","","6","6","10.33333333","10.33333333","29","29","","","39.33333333","39.33333333"
"","","GHP2015NYK-PT01","","","","","","","","","GHP2015NYK-PT01-00017","","","","5","","","1","10","10","10","9","8","31","1","4","6","6","2","1","3.4","0.7","4.1","4.1","8.2","39","0.425","0.022580645","0.105128205","3.9","3.9","0.8","0.8","0.41","0.41","0.41","0.41","20.51282051","50","100","","","11.33333333","11.33333333","13.66666667","13.66666667","13.66666667","13.66666667","","","27.33333333","27.33333333"
"","","GHP2015NYK-PT01","","","","","","","","","GHP2015NYK-PT01-00018","","","","3","","","1","10","10","10","4","","2","1","3","3","7","2","1","","1","3.8","","","","","0.5","","","","","","","","0.38","0.38","","","100","","","","","","","12.66666667","12.66666667","","","",""
"","","GHP2015NYK-PT01","","","","","","","","","GHP2015NYK-PT01-00019","","","","","","","","10","8","8","0","0","0","","","","3","5","1","0","0","5.5","0","5.5","0","","","","0","0","0","0","0","0","0.6875","0.55","","0","80","","","0","0","0","0","18.33333333","22.91666667","","","18.33333333","22.91666667"
"","","GHP2015NYK-PT01","","","","","","","","","GHP2015NYK-PT01-00002","","","","1","","","1","10","9","9","5","2","6","1","2","4","7","1","2","0.6","0.6","2.6","1.2","3.8","8","0.3","0.1","0.15","0.888888889","0.8","0.222222222","0.2","0.133333333","0.12","0.288888889","0.26","25","31.57894737","90","","","2","2.222222222","4","4.444444444","8.666666667","9.62962963","","","12.66666667","14.07407407"
"","","GHP2015NYK-PT01","","","","","","","","","GHP2015NYK-PT01-00020","","","","2","22.7","50.4","1","10","10","10","10","10","21","1","6","6","4","1","2","1.7","1.1","4.6","2.8","7.4","31","0.17","0.052380952","0.090322581","3.1","3.1","1","1","0.28","0.28","0.46","0.46","32.25806452","37.83783784","100","45.03968254","1.261111111","5.666666667","5.666666667","9.333333333","9.333333333","15.33333333","15.33333333","4.203703704","4.203703704","24.66666667","24.66666667"
"","","GHP2015NYK-PT01","","","","","","","","","GHP2015NYK-PT01-00021","","","","2","15.8","36.6","1","10","10","10","10","9","10","1","3","4","4","1","1","1.6","0.8","2.4","2.4","4.8","19","0.177777778","0.08","0.126315789","1.9","1.9","0.9","0.9","0.24","0.24","0.24","0.24","47.36842105","50","100","43.16939891","1.036065574","5.333333333","5.333333333","8","8","8","8","3.453551913","3.453551913","16","16"
"","","GHP2015NYK-PT01","","","","","","","","","GHP2015NYK-PT01-00022","","","","2","","","1","10","10","10","9","10","12","1","4","4","3","4","2","1.2","0.8","0.9","2","2.9","22","0.12","0.066666667","0.090909091","2.2","2.2","1","1","0.2","0.2","0.09","0.09","45.45454545","68.96551724","100","","","4","4","6.666666667","6.666666667","3","3","","","9.666666667","9.666666667"
"","","GHP2015NYK-PT01","","","","","","","","","GHP2015NYK-PT01-00023","","","","3","","","1","10","10","10","10","5","22","1","3","4","5","1","2","2.2","0.9","2.5","3.1","5.6","27","0.44","0.040909091","0.114814815","2.7","2.7","0.5","0.5","0.31","0.31","0.25","0.25","18.51851852","55.35714286","100","","","7.333333333","7.333333333","10.33333333","10.33333333","8.333333333","8.333333333","","","18.66666667","18.66666667"
"","","GHP2015NYK-PT01","","","","","","","","","GHP2015NYK-PT01-00024","","","","4","","","1","10","10","10","7","5","14","1","3","3","6","2","3","0.9","0.8","2.55","1.7","4.25","19","0.18","0.057142857","0.089473684","1.9","1.9","0.5","0.5","0.17","0.17","0.255","0.255","26.31578947","40","100","","","3","3","5.666666667","5.666666667","8.5","8.5","","","14.16666667","14.16666667"
"","","GHP2015NYK-PT01","","","","","","","","","GHP2015NYK-PT01-00025","","","","3","21.37","50.97","1","10","10","10","10","8","13","1","6","8","5","1","2","2.8","0.8","1.25","3.6","4.85","21","0.35","0.061538462","0.171428571","2.1","2.1","0.8","0.8","0.36","0.36","0.125","0.125","38.0952381","74.22680412","100","41.9266235","1.509358446","9.333333333","9.333333333","12","12","4.166666667","4.166666667","5.03119482","5.03119482","16.16666667","16.16666667"
"","","GHP2015NYK-PT01","","","","","","","","","GHP2015NYK-PT01-00026","","","","2","","","1","10","10","10","10","5","8","1","3","3","6","2","1","1.8","0.7","1.95","2.5","4.45","13","0.36","0.0875","0.192307692","1.3","1.3","0.5","0.5","0.25","0.25","0.195","0.195","38.46153846","56.17977528","100","","","6","6","8.333333333","8.333333333","6.5","6.5","","","14.83333333","14.83333333"
"","","GHP2015NYK-PT01","","","","","","","","","GHP2015NYK-PT01-00027","","","","2","","","1","10","10","10","10","8","30","3","5","4","5","1","1","1.4","1.1","2.25","2.5","4.75","38","0.175","0.036666667","0.065789474","3.8","3.8","0.8","0.8","0.25","0.25","0.225","0.225","21.05263158","52.63157895","100","","","4.666666667","4.666666667","8.333333333","8.333333333","7.5","7.5","","","15.83333333","15.83333333"
"","","GHP2015NYK-PT01","","","","","","","","","GHP2015NYK-PT01-00028","","","","1","","","1","10","10","10","2","4","7","1","3","3","7","1","1","0.6","0.6","4.15","1.2","5.35","11","0.15","0.085714286","0.109090909","1.1","1.1","0.4","0.4","0.12","0.12","0.415","0.415","36.36363636","22.42990654","100","","","2","2","4","4","13.83333333","13.83333333","","","17.83333333","17.83333333"
"","","GHP2015NYK-PT01","","","","","","","","","GHP2015NYK-PT01-00029","","","","2","","","1","10","10","10","3","2","9","1","2","3","8","1","1","0.9","0.6","3.75","1.5","5.25","11","0.45","0.066666667","0.136363636","1.1","1.1","0.2","0.2","0.15","0.15","0.375","0.375","18.18181818","28.57142857","100","","","3","3","5","5","12.5","12.5","","","17.5","17.5"
"","","GHP2015NYK-PT01","","","","","","","","","GHP2015NYK-PT01-00003","","","","2","","","1","10","10","10","7","5","13","1","3","4","5","3","2","0.8","0.7","6.6","1.5","8.1","18","0.16","0.053846154","0.083333333","1.8","1.8","0.5","0.5","0.15","0.15","0.66","0.66","27.77777778","18.51851852","100","","","2.666666667","2.666666667","5","5","22","22","","","27","27"
"","","GHP2015NYK-PT01","","","","","","","","","GHP2015NYK-PT01-00030","","","","1","","","1","10","10","10","4","2","14","1","2","3","3","3","1","0.8","0.6","2.2","1.4","3.6","16","0.4","0.042857143","0.0875","1.6","1.6","0.2","0.2","0.14","0.14","0.22","0.22","12.5","38.88888889","100","","","2.666666667","2.666666667","4.666666667","4.666666667","7.333333333","7.333333333","","","12","12"
"","","GHP2015NYK-PT01","","","","","","","","","GHP2015NYK-PT01-00031","","","","2","","","1","10","10","10","5","4","17","3","2","2","8","1","1","0.7","0.7","4.35","1.4","5.75","21","0.175","0.041176471","0.066666667","2.1","2.1","0.4","0.4","0.14","0.14","0.435","0.435","19.04761905","24.34782609","100","","","2.333333333","2.333333333","4.666666667","4.666666667","14.5","14.5","","","19.16666667","19.16666667"
"","","GHP2015NYK-PT01","","","","","","","","","GHP2015NYK-PT01-00032","","","","2","","","1","10","10","10","8","5","17","1","5","6","8","1","1","1.5","0.9","3.65","2.4","6.05","22","0.3","0.052941176","0.109090909","2.2","2.2","0.5","0.5","0.24","0.24","0.365","0.365","22.72727273","39.66942149","100","","","5","5","8","8","12.16666667","12.16666667","","","20.16666667","20.16666667"
"","","GHP2015NYK-PT01","","","","","","","","","GHP2015NYK-PT01-00033","","","","2","21.66","50.83","1","10","10","10","2","5","2","1","2","3","7","2","1","1","0.6","3.75","1.6","5.35","7","0.2","0.3","0.228571429","0.7","0.7","0.5","0.5","0.16","0.16","0.375","0.375","71.42857143","29.90654206","100","42.61263034","0.681802085","3.333333333","3.333333333","5.333333333","5.333333333","12.5","12.5","2.272673618","2.272673618","17.83333333","17.83333333"
"","","GHP2015NYK-PT01","","","","","","","","","GHP2015NYK-PT01-00034","","","","4","22.58","50.48","1","10","8","8","6","7","3","1","5","7","8","1","1","2.1","0.6","3.9","2.7","6.6","10","0.3","0.2","0.27","1.25","1","0.875","0.7","0.3375","0.27","0.4875","0.39","70","40.90909091","80","44.73058637","1.207725832","7","8.75","9","11.25","13","16.25","4.025752773","5.032190967","22","27.5"
"","","GHP2015NYK-PT01","","","","","","","","","GHP2015NYK-PT01-00035","","","","3","","","1","10","10","10","1","1","3","1","2","2","8","1","1","0.6","0.6","7.5","1.2","8.7","4","0.6","0.2","0.3","0.4","0.4","0.1","0.1","0.12","0.12","0.75","0.75","25","13.79310345","100","","","2","2","4","4","25","25","","","29","29"
"","","GHP2015NYK-PT01","","","","","","","","","GHP2015NYK-PT01-00036","","","","","","","","10","2","0","0","0","0","","","","5","1","1","0","0","0","0","0","0","","","","","0","","0","","0","","0","","","0","","","0","","0","","0","","","","0",""
"","","GHP2015NYK-PT01","","","","","","","","","GHP2015NYK-PT01-00037","","","","4","","","1","10","10","10","2","1","6","1","2","3","9","2","1","0.6","0.6","11.1","1.2","12.3","7","0.6","0.1","0.171428571","0.7","0.7","0.1","0.1","0.12","0.12","1.11","1.11","14.28571429","9.756097561","100","","","2","2","4","4","37","37","","","41","41"
