"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Alcidodes sp. damage estimating 1-9|CO_331:0000806","Fibers content in boiled storage root samples estimating 1-9|CO_331:0000259","Content of fructose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001045","Content of glucose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001047","Millipede damage estimating 1-9|CO_331:0000805","Number of plants planted per NET plot|CO_331:0000678","Number of plants established per NET plot|CO_331:0000192","Number of plants harvested per NET plot|CO_331:0000679","Number of plants with storage roots per NET plot|CO_331:0000211","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Reaction to Striped sweet potato weevil estimating 1-9|CO_331:0000720","Content of starch in dry weight basis in raw storage roots measuring percentage|CO_331:0000291","Storage root appearance estimating 1-9 CIP|CO_331:0000202","Storage root size estimating 1-9|CO_331:0000184","Vine vigor estimating 1-9|CO_331:0000197","Virus symptoms estimating 1-9|CO_331:0000193","Virus symptoms estimating 1-9|month 1|before harvest|COMP:0000024","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Weight of vines per NET plot in kg|CO_331:0000227","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Number of storage roots after harvest per NET plot|CO_331:0000233","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Average total storage root weight computation kg|CO_331:0002040","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant harvested|CO_331:2000036","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant harvested|CO_331:0000681","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant harvested|CO_331:0000990","Vine weight in kg per plant planted|CO_331:0000991","Percentage of commercial storage root|CO_331:0000682","Harvest index computing percent|CO_331:0000302","Survival index computing percent|CO_331:0000301","Commercial storage root yield tons per ha|CO_331:0000809","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield computation tons per ha|CO_331:0000296","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield in tons per ha|CO_331:0000684","Total foliage yield adjusted in tons per ha|CO_331:0001002","Biomass yield in tons per ha|CO_331:0001003","Biomass yield adjusted in tons per ha|CO_331:0001004"
"","","GHP2015FMS-PT01","","","","","","","","","GHP2015FMS-PT01-00121","","","","1","2","1.35561502","2.558904886","3","10","9","9","9","15","17","3","75.02539825","7","7","5","3","5","3.7","0.5","4.2","4.2","8.4","32","0.246666667","0.029411765","0.13125","3.555555556","3.2","1.666666667","1.5","0.466666667","0.42","0.466666667","0.42","46.875","50","90","12.33333333","13.7037037","14","15.55555556","14","15.55555556","28","31.11111111"
"","","GHP2015FMS-PT01","","","","","","","","","GHP2015FMS-PT01-00122","","","","1","2","1.91406405","3.679004908","3","10","10","9","8","12","16","4","72.55218506","5","6","5","5","6","3.1","0.7","2.4","3.8","6.2","28","0.258333333","0.04375","0.135714286","3.111111111","2.8","1.333333333","1.2","0.422222222","0.38","0.266666667","0.24","42.85714286","61.29032258","90","10.33333333","11.48148148","12.66666667","14.07407407","8","8.888888889","20.66666667","22.96296296"
"","","GHP2015FMS-PT01","","","","","","","","","GHP2015FMS-PT01-00123","","","","1","4","1.119673967","2.118798971","3","10","10","10","10","17","8","4","75.22610474","7","7","6","4","6","4.4","0.4","7.5","4.8","12.3","25","0.258823529","0.05","0.192","2.5","2.5","1.7","1.7","0.48","0.48","0.75","0.75","68","39.02439024","100","14.66666667","14.66666667","16","16","25","25","41","41"
"","","GHP2015FMS-PT01","","","","","","","","","GHP2015FMS-PT01-00124","","","","1","2","1.022554994","2.36888504","4","10","10","9","8","8","6","4","73.98898315","6","6","6","3","5","1.9","0.2","6","2.1","8.1","14","0.2375","0.033333333","0.15","1.555555556","1.4","0.888888889","0.8","0.233333333","0.21","0.666666667","0.6","57.14285714","25.92592593","90","6.333333333","7.037037037","7","7.777777778","20","22.22222222","27","30"
"","","GHP2015FMS-PT01","","","","","","","","","GHP2015FMS-PT01-00125","","","","2","3","1.65","3.78","4","10","10","10","10","12","7","5","","6","6","7","1","5","2.9","0.3","2.6","3.2","5.8","19","0.241666667","0.042857143","0.168421053","1.9","1.9","1.2","1.2","0.32","0.32","0.26","0.26","63.15789474","55.17241379","100","9.666666667","9.666666667","10.66666667","10.66666667","8.666666667","8.666666667","19.33333333","19.33333333"
"","","GHP2015FMS-PT01","","","","","","","","","GHP2015FMS-PT01-00126","","","","","","","","","10","10","10","0","0","0","","","","","6","1","6","0","0","8.6","0","8.6","0","","","","0","0","0","0","0","0","0.86","0.86","","0","100","0","0","0","0","28.66666667","28.66666667","28.66666667","28.66666667"
"","","GHP2015FMS-PT01","","","","","","","","","GHP2015FMS-PT01-00013","","","","1","3","0.827362001","1.637380958","4","10","10","10","10","11","16","4","74.03967285","5","5","7","1","4","1.4","0.6","8.6","2","10.6","27","0.127272727","0.0375","0.074074074","2.7","2.7","1.1","1.1","0.2","0.2","0.86","0.86","40.74074074","18.86792453","100","4.666666667","4.666666667","6.666666667","6.666666667","28.66666667","28.66666667","35.33333333","35.33333333"
"","","GHP2015FMS-PT01","","","","","","","","","GHP2015FMS-PT01-00014","","","","1","","1.172523022","2.406105042","3","10","10","8","5","4","3","3","71.36811829","4","4","7","4","5","0.6","0.3","3.4","0.9","4.3","7","0.15","0.1","0.128571429","0.875","0.7","0.5","0.4","0.1125","0.09","0.425","0.34","57.14285714","20.93023256","80","2","2.5","3","3.75","11.33333333","14.16666667","14.33333333","17.91666667"
"","","GHP2015FMS-PT01","","","","","","","","","GHP2015FMS-PT01-00015","","","","1","","","","3","10","10","10","3","3","7","3","","4","3","7","2","5","0.4","0.3","11.2","0.7","11.9","10","0.133333333","0.042857143","0.07","1","1","0.3","0.3","0.07","0.07","1.12","1.12","30","5.882352941","100","1.333333333","1.333333333","2.333333333","2.333333333","37.33333333","37.33333333","39.66666667","39.66666667"
"","","GHP2015FMS-PT01","","","","","","","","","GHP2015FMS-PT01-00016","","","","1","2","","","4","10","10","10","7","8","14","3","","5","3","5","3","5","0.8","0.6","8.4","1.4","9.8","22","0.1","0.042857143","0.063636364","2.2","2.2","0.8","0.8","0.14","0.14","0.84","0.84","36.36363636","14.28571429","100","2.666666667","2.666666667","4.666666667","4.666666667","28","28","32.66666667","32.66666667"
