"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Alcidodes sp. damage estimating 1-9|CO_331:0000806","Content of beta-carotene in dry weight basis in raw storage roots measuring mg per 100g|CO_331:0000289","Content of iron in dry weight basis measuring mg per 100g by NIRS|CO_331:0001016","Content of zinc in dry weight basis measuring mg per 100g by NIRS|CO_331:0001017","Dry weight of storage root samples measuring g|CO_331:0000247","Fresh weight of storage root samples measuring g|CO_331:0000243","Content of fructose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001045","Content of glucose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001047","Millipede damage estimating 1-9|CO_331:0000805","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Number of plants harvested per NET plot|CO_331:0000679","Number of plants planted per NET plot|CO_331:0000678","Number of plants with storage roots per NET plot|CO_331:0000211","Storage root predominant Flesh color estimating 1-9|CO_331:0000178","Content of protein in dry weight basis in raw storage roots measuring percentage|CO_331:0000278","Reaction to Striped sweet potato weevil estimating 1-9|CO_331:0000720","Content of starch in dry weight basis in raw storage roots measuring percentage|CO_331:0000291","Storage root dry matter content computing percent|CO_331:0000297","Storage root appearance estimating 1-9 CIP|CO_331:0000202","Storage root size estimating 1-9|CO_331:0000184","Content of sucrose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001049","Vine vigor estimating 1-9|CO_331:0000197","Virus symptoms estimating 1-9|CO_331:0000193","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Weight of vines per NET plot in kg|CO_331:0000227","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Number of storage roots after harvest per NET plot|CO_331:0000233","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Average total storage root weight computation kg|CO_331:0002040","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant harvested|CO_331:2000036","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant harvested|CO_331:0000681","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant harvested|CO_331:0000990","Vine weight in kg per plant planted|CO_331:0000991","Percentage of commercial storage root|CO_331:0000682","Harvest index computing percent|CO_331:0000302","Survival index computing percent|CO_331:0000301","Total storage root weight in dry weight basis per NET plot in kg|CO_331:0000995","Commercial storage root yield tons per ha|CO_331:0000809","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield computation tons per ha|CO_331:0000296","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield in tons per ha|CO_331:0000684","Total foliage yield adjusted in tons per ha|CO_331:0001002","Storage root dry matter yield per NET plot in tons per ha|CO_331:0001000","Storage root dry matter yield adjusted per NET plot in tons per ha|CO_331:0001001","Biomass yield in tons per ha|CO_331:0001003","Biomass yield adjusted in tons per ha|CO_331:0001004"
"","","GHP2013PKS-AT01","","","","","","","","","GHP2013PKS-AT01-00019","","","","4","14.33","1.95","1.47","16.36","50.24","1.19","3.66","1","2","14","30","34","2","5","3.06","1","66.68","32.56369427","3","2","12.05","4","3","0.3","0.3","15.5","0.6","16.1","16","0.15","0.021428571","0.0375","0.533333333","0.470588235","0.066666667","0.058823529","0.02","0.017647059","0.516666667","0.455882353","12.5","3.726708075","88.23529412","0.195382166","0.294117647","0.333333333","0.588235294","0.666666667","15.19607843","17.22222222","0.191551143","0.217091295","15.78431373","17.88888889"
"","","GHP2013PKS-AT01","","","","","","","","","GHP2013PKS-AT01-00002","","","","4","7.11","1.87","1.23","16.06","50.68","2.51","4.64","1","5","14","28","34","5","5","3.49","1","66.43","31.6890292","4","5","8.02","4","1","0.6","0.7","25.5","1.3","26.8","19","0.12","0.05","0.068421053","0.678571429","0.558823529","0.178571429","0.147058824","0.046428571","0.038235294","0.910714286","0.75","26.31578947","4.850746269","82.35294118","0.41195738","0.588235294","0.714285714","1.274509804","1.547619048","25","30.35714286","0.403879784","0.490425452","26.2745098","31.9047619"
"","","GHP2013PKS-AT01","","","","","","","","","GHP2013PKS-AT01-00020","","","","2","0","1.79","1.22","18.18","50.67","0.04","1.57","1","19","33","30","34","23","1","4.26","3","73.67","35.87921847","5","7","7.14","5","4","4","1.4","23","5.4","28.4","52","0.210526316","0.042424242","0.103846154","1.733333333","1.529411765","0.633333333","0.558823529","0.18","0.158823529","0.766666667","0.676470588","36.53846154","19.01408451","88.23529412","1.937477798","3.921568627","4.444444444","5.294117647","6","22.54901961","25.55555556","1.899488037","2.152753108","27.84313725","31.55555556"
"","","GHP2013PKS-AT01","","","","","","","","","GHP2013PKS-AT01-00021","","","","3","0","1.7","1.24","16.11","50.13","0.91","2.69","2","50","23","22","34","22","5","3.69","4","66.12","32.13644524","5","7","11.98","4","5","13.9","1","11","14.9","25.9","73","0.278","0.043478261","0.204109589","3.318181818","2.147058824","2.272727273","1.470588235","0.677272727","0.438235294","0.5","0.323529412","68.49315068","57.52895753","64.70588235","4.788330341","13.62745098","21.06060606","14.60784314","22.57575758","10.78431373","16.66666667","4.694441511","7.255045971","25.39215686","39.24242424"
"","","GHP2013PKS-AT01","","","","","","","","","GHP2013PKS-AT01-00003","","","","2","3.48","2.23","1.33","14.17","50.66","1.09","2.4","1","22","46","29","34","25","6","5.35","2","64.69","27.97078563","5","5","12.34","4","5","2.1","2.6","16","4.7","20.7","68","0.095454545","0.056521739","0.069117647","2.344827586","2","0.75862069","0.647058824","0.162068966","0.138235294","0.551724138","0.470588235","32.35294118","22.70531401","85.29411765","1.314626925","2.058823529","2.413793103","4.607843137","5.402298851","15.68627451","18.3908046","1.288849926","1.511065431","20.29411765","23.79310345"
"","","GHP2013PKS-AT01","","","","","","","","","GHP2013PKS-AT01-00004","","","","3","4.88","1.65","1.15","15.74","50.21","2.31","4.33","2","32","14","28","34","27","3","2.85","3","66.49","31.34833698","6","6","7.37","4","4","7.5","0.7","14.5","8.2","22.7","46","0.234375","0.05","0.17826087","1.642857143","1.352941176","1.142857143","0.941176471","0.292857143","0.241176471","0.517857143","0.426470588","69.56521739","36.12334802","82.35294118","2.570563633","7.352941176","8.928571429","8.039215686","9.761904762","14.21568627","17.26190476","2.520160424","3.060194801","22.25490196","27.02380952"
"","","GHP2013PKS-AT01","","","","","","","","","GHP2013PKS-AT01-00005","","","","","","","","","","","","","0","0","24","34","0","","","","","","","","","4","3","0","0","12","0","12","0","","","","0","0","0","0","0","0","0.5","0.352941176","","0","70.58823529","","0","0","0","0","11.76470588","16.66666667","","","11.76470588","16.66666667"
"","","GHP2013PKS-AT01","","","","","","","","","GHP2013PKS-AT01-00006","","","","2","1.85","1.59","1.1","15.74","50.56","1.79","3.78","1","47","23","24","34","24","5","3.08","3","67.22","31.13132911","4","6","10.82","4","5","12.7","2.1","18.5","14.8","33.3","70","0.270212766","0.091304348","0.211428571","2.916666667","2.058823529","1.958333333","1.382352941","0.616666667","0.435294118","0.770833333","0.544117647","67.14285714","44.44444444","70.58823529","4.607436709","12.45098039","17.63888889","14.50980392","20.55555556","18.1372549","25.69444444","4.517094813","6.399217651","32.64705882","46.25"
"","","GHP2013PKS-AT01","","","","","","","","","GHP2013PKS-AT01-00007","","","","3","0.38","1.61","1.17","17.95","50.16","0.7","2.45","1","3","11","23","34","5","5","3.82","2","70.5","35.78548644","5","5","10.25","3","7","0.7","0.4","5","1.1","6.1","14","0.233333333","0.036363636","0.078571429","0.608695652","0.411764706","0.130434783","0.088235294","0.047826087","0.032352941","0.217391304","0.147058824","21.42857143","18.03278689","67.64705882","0.393640351","0.68627451","1.014492754","1.078431373","1.594202899","4.901960784","7.246376812","0.385921913","0.570493262","5.980392157","8.84057971"
"","","GHP2013PKS-AT01","","","","","","","","","GHP2013PKS-AT01-00008","","","","2","0","2.05","1.39","14.35","50.09","1.39","3.26","1","40","34","25","34","25","5","5.03","3","63.9","28.64843282","4","7","11.54","3","5","9.9","1","16.5","10.9","27.4","74","0.2475","0.029411765","0.147297297","2.96","2.176470588","1.6","1.176470588","0.436","0.320588235","0.66","0.485294118","54.05405405","39.7810219","73.52941176","3.122679177","9.705882353","13.2","10.68627451","14.53333333","16.17647059","22","3.061450174","4.163572237","26.8627451","36.53333333"
"","","GHP2013PKS-AT01","","","","","","","","","GHP2013PKS-AT01-00009","","","","2","13.33","1.85","1.27","16.46","50.14","1.29","3.36","1","0","12","29","34","4","5","2.96","1","66.18","32.82808137","4","2","11.83","4","3","0","0.5","17","0.5","17.5","12","","0.041666667","0.041666667","0.413793103","0.352941176","0","0","0.017241379","0.014705882","0.586206897","0.5","0","2.857142857","85.29411765","0.164140407","0","0","0.490196078","0.574712644","16.66666667","19.54022989","0.160921968","0.188667134","17.15686275","20.11494253"
