"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Alcidodes sp. damage estimating 1-9|CO_331:0000806","Content of beta-carotene in dry weight basis in raw storage roots measuring mg per 100g|CO_331:0000289","Content of iron in dry weight basis measuring mg per 100g by NIRS|CO_331:0001016","Content of zinc in dry weight basis measuring mg per 100g by NIRS|CO_331:0001017","Dry weight of storage root samples measuring g|CO_331:0000247","Fresh weight of storage root samples measuring g|CO_331:0000243","Content of fructose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001045","Content of glucose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001047","Millipede damage estimating 1-9|CO_331:0000805","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Number of plants harvested per NET plot|CO_331:0000679","Number of plants planted per NET plot|CO_331:0000678","Number of plants with storage roots per NET plot|CO_331:0000211","Content of protein in dry weight basis in raw storage roots measuring percentage|CO_331:0000278","Reaction to Striped sweet potato weevil estimating 1-9|CO_331:0000720","Content of starch in dry weight basis in raw storage roots measuring percentage|CO_331:0000291","Storage root dry matter content computing percent|CO_331:0000297","Storage root appearance estimating 1-9 CIP|CO_331:0000202","Storage root size estimating 1-9|CO_331:0000184","Content of sucrose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001049","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Weight of vines per NET plot in kg|CO_331:0000227","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Number of storage roots after harvest per NET plot|CO_331:0000233","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Average total storage root weight computation kg|CO_331:0002040","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant harvested|CO_331:2000036","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant harvested|CO_331:0000681","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant harvested|CO_331:0000990","Vine weight in kg per plant planted|CO_331:0000991","Percentage of commercial storage root|CO_331:0000682","Harvest index computing percent|CO_331:0000302","Survival index computing percent|CO_331:0000301","Total storage root weight in dry weight basis per NET plot in kg|CO_331:0000995","Commercial storage root yield tons per ha|CO_331:0000809","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield computation tons per ha|CO_331:0000296","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield in tons per ha|CO_331:0000684","Total foliage yield adjusted in tons per ha|CO_331:0001002","Storage root dry matter yield per NET plot in tons per ha|CO_331:0001000","Storage root dry matter yield adjusted per NET plot in tons per ha|CO_331:0001001","Biomass yield in tons per ha|CO_331:0001003","Biomass yield adjusted in tons per ha|CO_331:0001004"
"","","GHP2013KMD-PT02","","","","","","","","","GHP2013KMD-PT02-00019","","","","1","0.3","2.3","1.34","19.38","50.41","0.68","2.92","1","9","7","10","14","8","6.1","1","67.54","38.44475303","6","5","9.87","2","0.5","12.8","2.5","15.3","16","0.222222222","0.071428571","0.15625","1.6","1.142857143","0.9","0.642857143","0.25","0.178571429","1.28","0.914285714","56.25","16.33986928","71.42857143","0.961118826","4.761904762","6.666666667","5.952380952","8.333333333","30.47619048","42.66666667","2.288378156","3.203729419","36.42857143","51"
"","","GHP2013KMD-PT02","","","","","","","","","GHP2013KMD-PT02-00002","","","","1","0","2.33","1.54","17.3","50.9","0.54","1.79","1","17","20","10","14","10","6.68","1","68.4","33.98821218","5","6","9.62","4.6","1.5","5.9","6.1","12","37","0.270588235","0.075","0.164864865","3.7","2.642857143","1.7","1.214285714","0.61","0.435714286","0.59","0.421428571","45.94594595","50.83333333","71.42857143","2.073280943","10.95238095","15.33333333","14.52380952","20.33333333","14.04761905","19.66666667","4.936383198","6.910936477","28.57142857","40"
"","","GHP2013KMD-PT02","","","","","","","","","GHP2013KMD-PT02-00020","","","","1","9.48","3.06","1.6","13.69","50.93","4.34","7.01","2","7","6","8","14","6","8.1","2","56.39","26.88003142","5","5","12.45","2","0.3","2.2","2.3","4.5","13","0.285714286","0.05","0.176923077","1.625","0.928571429","0.875","0.5","0.2875","0.164285714","0.275","0.157142857","53.84615385","51.11111111","57.14285714","0.618240723","4.761904762","8.333333333","5.476190476","9.583333333","5.238095238","9.166666667","1.47200172","2.576003011","10.71428571","18.75"
"","","GHP2013KMD-PT02","","","","","","","","","GHP2013KMD-PT02-00003","","","","1","7.27","2.74","1.43","18.87","50.39","2.02","4.04","1","2","22","10","14","10","7.52","1","64.32","37.44790633","3","3","9.98","0.6","1.3","7.1","1.9","9","24","0.3","0.059090909","0.079166667","2.4","1.714285714","0.2","0.142857143","0.19","0.135714286","0.71","0.507142857","8.333333333","21.11111111","71.42857143","0.71151022","1.428571429","2","4.523809524","6.333333333","16.9047619","23.66666667","1.694071953","2.371700734","21.42857143","30"
"","","GHP2013KMD-PT02","","","","","","","","","GHP2013KMD-PT02-00004","","","","1","24.87","3.33","1.71","13.14","50.41","5.01","7.24","2","5","45","10","14","10","7.89","2","53.89","26.0662567","5","5","12.77","0.9","2.3","2","3.2","5.2","50","0.18","0.051111111","0.064","5","3.571428571","0.5","0.357142857","0.32","0.228571429","0.2","0.142857143","10","61.53846154","71.42857143","0.834120214","2.142857143","3","7.619047619","10.66666667","4.761904762","6.666666667","1.98600051","2.780400714","12.38095238","17.33333333"
"","","GHP2013KMD-PT02","","","","","","","","","GHP2013KMD-PT02-00005","","","","1","16.8","2.6","1.31","13.31","50.32","3.93","5.75","1","14","8","10","14","10","5.55","1","57.64","26.45071542","6","6","16.22","4.8","0.6","6.5","5.4","11.9","22","0.342857143","0.075","0.245454545","2.2","1.571428571","1.4","1","0.54","0.385714286","0.65","0.464285714","63.63636364","45.37815126","71.42857143","1.428338633","11.42857143","16","12.85714286","18","15.47619048","21.66666667","3.400806268","4.761128776","28.33333333","39.66666667"
"","","GHP2013KMD-PT02","","","","","","","","","GHP2013KMD-PT02-00006","","","","1","0","2.31","1.28","18.93","50.64","3.59","6.51","1","18","18","10","14","10","5.97","1","64.42","37.38151659","8","6","8.81","4.2","0.9","3.8","5.1","8.9","36","0.233333333","0.05","0.141666667","3.6","2.571428571","1.8","1.285714286","0.51","0.364285714","0.38","0.271428571","50","57.30337079","71.42857143","1.906457346","10","14","12.14285714","17","9.047619048","12.66666667","4.539184157","6.35485782","21.19047619","29.66666667"
"","","GHP2013KMD-PT02","","","","","","","","","GHP2013KMD-PT02-00007","","","","2","5.44","2.4","1.21","14.34","50.34","3.31","5.53","1","18","20","10","14","10","5.7","1","59.76","28.48629321","5","5","15.48","2.2","1.2","1.4","3.4","4.8","38","0.122222222","0.06","0.089473684","3.8","2.714285714","1.8","1.285714286","0.34","0.242857143","0.14","0.1","47.36842105","70.83333333","71.42857143","0.968533969","5.238095238","7.333333333","8.095238095","11.33333333","3.333333333","4.666666667","2.30603326","3.228446563","11.42857143","16"
"","","GHP2013KMD-PT02","","","","","","","","","GHP2013KMD-PT02-00008","","","","2","41.2","2.95","1.63","9.07","50.4","10.7","16.29","3","10","26","10","14","10","5.54","3","38.53","17.99603175","5","5","16.54","2","3.6","1.5","5.6","7.1","36","0.2","0.138461538","0.155555556","3.6","2.571428571","1","0.714285714","0.56","0.4","0.15","0.107142857","27.77777778","78.87323944","71.42857143","1.007777778","4.761904762","6.666666667","13.33333333","18.66666667","3.571428571","5","2.399470899","3.359259259","16.9047619","23.66666667"
"","","GHP2013KMD-PT02","","","","","","","","","GHP2013KMD-PT02-00009","","","","2","1.96","1.98","0.97","17.8","50.88","3.42","5.31","2","9","19","10","14","8","4.93","2","65","34.98427673","3","4","10.44","1.7","2.2","1.8","3.9","5.7","28","0.188888889","0.115789474","0.139285714","2.8","2","0.9","0.642857143","0.39","0.278571429","0.18","0.128571429","32.14285714","68.42105263","71.42857143","1.364386792","4.047619048","5.666666667","9.285714286","13","4.285714286","6","3.248539982","4.547955975","13.57142857","19"
