"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Alcidodes sp. damage estimating 1-9|CO_331:0000806","Content of beta-carotene in dry weight basis in raw storage roots measuring mg per 100g|CO_331:0000289","Content of iron in dry weight basis measuring mg per 100g by NIRS|CO_331:0001016","Content of zinc in dry weight basis measuring mg per 100g by NIRS|CO_331:0001017","Dry weight of storage root samples measuring g|CO_331:0000247","Fresh weight of storage root samples measuring g|CO_331:0000243","Content of fructose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001045","Content of glucose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001047","Content of protein in dry weight basis in raw storage roots measuring percentage|CO_331:0000278","Content of starch in dry weight basis in raw storage roots measuring percentage|CO_331:0000291","Millipede damage estimating 1-9|CO_331:0000805","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Number of plants established per NET plot|CO_331:0000192","Number of plants harvested per NET plot|CO_331:0000679","Number of plants planted per NET plot|CO_331:0000678","Number of plants with storage roots per NET plot|CO_331:0000211","Reaction to Striped sweet potato weevil estimating 1-9|CO_331:0000720","Storage root shape estimating 1-9 CIP|CO_331:0000181","Storage root dry matter content computing percent|CO_331:0000297","Storage root appearance estimating 1-9 CIP|CO_331:0000202","Storage root size estimating 1-9|CO_331:0000184","Content of sucrose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001049","Vine vigor estimating 1-9|CO_331:0000197","Virus symptoms estimating 1-9|CO_331:0000193","Virus symptoms estimating 1-9|month 1|before harvest|COMP:0000024","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Weight of vines per NET plot in kg|CO_331:0000227","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Number of storage roots after harvest per NET plot|CO_331:0000233","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Average total storage root weight computation kg|CO_331:0002040","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant harvested|CO_331:2000036","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant harvested|CO_331:0000681","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant harvested|CO_331:0000990","Vine weight in kg per plant planted|CO_331:0000991","Percentage of commercial storage root|CO_331:0000682","Harvest index computing percent|CO_331:0000302","Survival index computing percent|CO_331:0000301","Total storage root weight in dry weight basis per NET plot in kg|CO_331:0000995","Commercial storage root yield tons per ha|CO_331:0000809","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield computation tons per ha|CO_331:0000296","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield in tons per ha|CO_331:0000684","Total foliage yield adjusted in tons per ha|CO_331:0001002","Storage root dry matter yield per NET plot in tons per ha|CO_331:0001000","Storage root dry matter yield adjusted per NET plot in tons per ha|CO_331:0001001","Biomass yield in tons per ha|CO_331:0001003","Biomass yield adjusted in tons per ha|CO_331:0001004"
"","","GHP2016NYK-PT01","","","","","","","","","GHP2016NYK-PT01-00018","","","","3","3.6941662","1.699234962","0.689911008","20.84","48.52","0.868372977","1.79679203","2.520420074","72.929039","1","12","15","6","6","10","6","1","5","42.95136026","5","1","12.36717701","6","6","6","3.3","1.1","5.7","4.4","10.1","27","0.275","0.073333333","0.162962963","4.5","2.7","2","1.2","0.733333333","0.44","0.95","0.57","44.44444444","43.56435644","60","1.889859852","11","18.33333333","14.66666667","24.44444444","19","31.66666667","6.299532839","10.4992214","33.66666667","56.11111111"
"","","GHP2016NYK-PT01","","","","","","","","","GHP2016NYK-PT01-00019","","","","3","0","1.708938003","0.809633017","20.89","48.32","0.566649973","1.570224047","3.106606007","75.04130554","1","14","14","10","10","10","10","1","4","43.23261589","3","1","10.23400021","7","3","3","3","0.8","1.5","3.8","5.3","28","0.214285714","0.057142857","0.135714286","2.8","2.8","1.4","1.4","0.38","0.38","0.15","0.15","50","71.69811321","100","1.642839404","10","10","12.66666667","12.66666667","5","5","5.476131347","5.476131347","17.66666667","17.66666667"
"","","GHP2016NYK-PT01","","","","","","","","","GHP2016NYK-PT01-00002","","","","3","0","1.682580948","0.761898994","20.86","49.07","0.727084994","1.848343968","2.578957081","75.89547729","1","29","7","10","10","10","10","1","5","42.510699","3","1","10.38481617","7","1","2","9.2","0.3","3.9","9.5","13.4","36","0.317241379","0.042857143","0.263888889","3.6","3.6","2.9","2.9","0.95","0.95","0.39","0.39","80.55555556","70.89552239","100","4.038516405","30.66666667","30.66666667","31.66666667","31.66666667","13","13","13.46172135","13.46172135","44.66666667","44.66666667"
"","","GHP2016NYK-PT01","","","","","","","","","GHP2016NYK-PT01-00020","","","","3","0","1.675773025","0.807578981","21.07","48.84","0.650433004","1.475378036","3.086364985","73.76786804","1","12","14","8","3","10","3","1","3","43.14086814","3","1","12.05135632","7","3","2","2.9","0.6","2.3","3.5","5.8","26","0.241666667","0.042857143","0.134615385","8.666666667","2.6","4","1.2","1.166666667","0.35","0.766666667","0.23","46.15384615","60.34482759","30","1.509930385","9.666666667","32.22222222","11.66666667","38.88888889","7.666666667","25.55555556","5.033101283","16.77700428","19.33333333","64.44444444"
"","","GHP2016NYK-PT01","","","","","","","","","GHP2016NYK-PT01-00021","","","","3","2.101017","1.542104006","0.613699019","21.51","48.28","1.209965944","2.168812037","2.354479074","74.23465729","1","9","9","9","8","10","8","1","3","44.55260978","3","3","10.35958481","7","2","3","2.1","0.4","3.5","2.5","6","18","0.233333333","0.044444444","0.138888889","2.25","1.8","1.125","0.9","0.3125","0.25","0.4375","0.35","50","41.66666667","80","1.113815244","7","8.75","8.333333333","10.41666667","11.66666667","14.58333333","3.712717481","4.640896852","20","25"
"","","GHP2016NYK-PT01","","","","","","","","","GHP2016NYK-PT01-00022","","","","3","0","1.599362969","0.842805982","19.28","48.25","0.929037988","2.234991074","2.516376019","73.27331543","1","10","12","5","4","10","4","1","3","39.95854922","3","1","12.24331379","5","2","2","2.7","0.6","1.5","3.3","4.8","22","0.27","0.05","0.15","5.5","2.2","2.5","1","0.825","0.33","0.375","0.15","45.45454545","68.75","40","1.318632124","9","22.5","11","27.5","5","12.5","4.395440415","10.98860104","16","40"
"","","GHP2016NYK-PT01","","","","","","","","","GHP2016NYK-PT01-00023","","","","","","","","","","","","","","","","","0","","10","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","GHP2016NYK-PT01","","","","","","","","","GHP2016NYK-PT01-00024","","","","3","0.0508232","1.94907701","0.876212001","15.54","48.78","1.018862963","2.287235975","3.007936001","67.39640808","1","21","19","10","9","10","9","1","2","31.85731857","3","3","14.52431965","7","2","2","4.1","1.1","4","5.2","9.2","40","0.195238095","0.057894737","0.13","4.444444444","4","2.333333333","2.1","0.577777778","0.52","0.444444444","0.4","52.5","56.52173913","90","1.656580566","13.66666667","15.18518519","17.33333333","19.25925926","13.33333333","14.81481481","5.521935219","6.135483577","30.66666667","34.07407407"
"","","GHP2016NYK-PT01","","","","","","","","","GHP2016NYK-PT01-00025","","","","5","22.4001083","2.087722063","0.888432026","13.33","48.92","5.062281132","7.401597023","2.374444962","58.51229095","1","22","29","10","10","10","10","1","5","27.24856909","3","1","14.18031693","7","2","1","5.7","1.4","5.1","7.1","12.2","51","0.259090909","0.048275862","0.139215686","5.1","5.1","2.2","2.2","0.71","0.71","0.51","0.51","43.1372549","58.19672131","100","1.934648406","19","19","23.66666667","23.66666667","17","17","6.448828019","6.448828019","40.66666667","40.66666667"
"","","GHP2016NYK-PT01","","","","","","","","","GHP2016NYK-PT01-00026","","","","3","0.8119278","1.84077096","0.780669987","19.21","48.96","1.229212999","2.437361956","2.238049984","73.48027802","1","30","9","10","10","10","10","1","2","39.23611111","1","1","11.40525055","9","2","1","10.7","0.7","4.7","11.4","16.1","39","0.356666667","0.077777778","0.292307692","3.9","3.9","3","3","1.14","1.14","0.47","0.47","76.92307692","70.80745342","100","4.472916667","35.66666667","35.66666667","38","38","15.66666667","15.66666667","14.90972222","14.90972222","53.66666667","53.66666667"
"","","GHP2016NYK-PT01","","","","","","","","","GHP2016NYK-PT01-00027","","","","3","4.0731106","2.407464981","1.004593015","20.04","48.56","1.706729054","3.089818001","4.234696865","69.32676697","1","3","4","4","3","10","3","1","3","41.26853377","5","7","9.882357597","6","3","3","0.4","0.3","0.4","0.7","1.1","7","0.133333333","0.075","0.1","2.333333333","0.7","1","0.3","0.233333333","0.07","0.133333333","0.04","42.85714286","63.63636364","30","0.288879736","1.333333333","4.444444444","2.333333333","7.777777778","1.333333333","4.444444444","0.962932455","3.209774849","3.666666667","12.22222222"
"","","GHP2016NYK-PT01","","","","","","","","","GHP2016NYK-PT01-00028","","","","3","4.502924","2.004781961","0.739712","20.52","49.05","1.250947952","2.463644028","2.751825094","71.80175781","1","12","11","4","9","10","9","1","3","41.83486239","5","5","12.91281509","6","1","2","2.1","0.7","3.9","2.8","6.7","23","0.175","0.063636364","0.12173913","2.555555556","2.3","1.333333333","1.2","0.311111111","0.28","0.433333333","0.39","52.17391304","41.79104478","90","1.171376147","7","7.777777778","9.333333333","10.37037037","13","14.44444444","3.904587156","4.338430173","22.33333333","24.81481481"
"","","GHP2016NYK-PT01","","","","","","","","","GHP2016NYK-PT01-00029","","","","3","4.1639137","1.913359046","0.716516972","20.81","48.9","1.780864","2.960248947","2.603652954","70.49794006","1","7","4","7","7","10","6","3","2","42.55623722","5","3","11.68963909","9","2","1","2.4","0.3","4","2.7","6.7","11","0.342857143","0.075","0.245454545","1.571428571","1.1","1","0.7","0.385714286","0.27","0.571428571","0.4","63.63636364","40.29850746","70","1.149018405","8","11.42857143","9","12.85714286","13.33333333","19.04761905","3.83006135","5.471516214","22.33333333","31.9047619"
"","","GHP2016NYK-PT01","","","","","","","","","GHP2016NYK-PT01-00003","","","","3","0","1.487061977","0.681303978","21.79","48.54","0.978039026","2.14485693","2.279162884","75.36314392","1","23","16","10","10","10","10","3","3","44.8908117","5","3","11.03295708","8","3","1","4","0.4","4.4","4.4","8.8","39","0.173913043","0.025","0.112820513","3.9","3.9","2.3","2.3","0.44","0.44","0.44","0.44","58.97435897","50","100","1.975195715","13.33333333","13.33333333","14.66666667","14.66666667","14.66666667","14.66666667","6.583985716","6.583985716","29.33333333","29.33333333"
"","","GHP2016NYK-PT01","","","","","","","","","GHP2016NYK-PT01-00030","","","","","","","","","","","","","","","","","0","","10","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","GHP2016NYK-PT01","","","","","","","","","GHP2016NYK-PT01-00031","","","","3","0","2.095684052","1.060781002","15.98","48.92","1.146633029","2.576546907","3.719413996","66.11982727","1","19","19","10","9","10","8","1","3","32.66557645","3","1","13.54248619","7","4","1","4","1","14.2","5","19.2","38","0.210526316","0.052631579","0.131578947","4.222222222","3.8","2.111111111","1.9","0.555555556","0.5","1.577777778","1.42","50","26.04166667","90","1.633278823","13.33333333","14.81481481","16.66666667","18.51851852","47.33333333","52.59259259","5.444262742","6.049180824","64","71.11111111"
"","","GHP2016NYK-PT01","","","","","","","","","GHP2016NYK-PT01-00032","","","","5","5.1271458","2.130213022","0.958033979","19.48","48.4","0.629893005","1.90910697","2.748100042","69.45223999","1","18","27","10","10","10","10","3","2","40.24793388","3","5","15.71006584","8","1","1","2.7","0.9","8.9","3.6","12.5","45","0.15","0.033333333","0.08","4.5","4.5","1.8","1.8","0.36","0.36","0.89","0.89","40","28.8","100","1.44892562","9","9","12","12","29.66666667","29.66666667","4.829752066","4.829752066","41.66666667","41.66666667"
"","","GHP2016NYK-PT01","","","","","","","","","GHP2016NYK-PT01-00033","","","","3","1.5868587","1.850087047","0.744275987","18.07","48.43","1.570078015","2.638582945","2.718233109","70.75465393","1","13","12","4","4","10","4","1","5","37.31158373","3","1","11.30943966","8","1","1","5.8","0.6","6.8","6.4","13.2","25","0.446153846","0.05","0.256","6.25","2.5","3.25","1.3","1.6","0.64","1.7","0.68","52","48.48484848","40","2.387941359","19.33333333","48.33333333","21.33333333","53.33333333","22.66666667","56.66666667","7.959804529","19.89951132","44","110"
"","","GHP2016NYK-PT01","","","","","","","","","GHP2016NYK-PT01-00034","","","","3","9.8541355","1.822255969","0.815028012","14.48","39.13","3.964155912","5.914061069","2.409584045","62.89411163","1","3","2","10","8","10","4","1","","37.00485561","5","7","13.34491444","6","1","1","0.4","0.1","9","0.5","9.5","5","0.133333333","0.05","0.1","0.625","0.5","0.375","0.3","0.0625","0.05","1.125","0.9","60","5.263157895","80","0.185024278","1.333333333","1.666666667","1.666666667","2.083333333","30","37.5","0.616747593","0.770934492","31.66666667","39.58333333"
"","","GHP2016NYK-PT01","","","","","","","","","GHP2016NYK-PT01-00035","","","","","","","","","","","","","","","","","0","","10","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","GHP2016NYK-PT01","","","","","","","","","GHP2016NYK-PT01-00036","","","","3","24.090992","2.185791969","0.972709","15.68","48.7","4.952634811","7.231286049","3.711193085","62.29354477","1","19","16","10","9","10","9","1","2","32.19712526","3","1","8.905078888","6","2","2","5.7","1.1","6.2","6.8","13","35","0.3","0.06875","0.194285714","3.888888889","3.5","2.111111111","1.9","0.755555556","0.68","0.688888889","0.62","54.28571429","52.30769231","90","2.189404517","19","21.11111111","22.66666667","25.18518519","20.66666667","22.96296296","7.298015058","8.10890562","43.33333333","48.14814815"
"","","GHP2016NYK-PT01","","","","","","","","","GHP2016NYK-PT01-00037","","","","3","3.2688274","2.18768692","0.881920993","18.66","48.93","1.149695992","2.547151089","4.035483837","70.24612427","1","5","12","5","8","10","6","1","3","38.13611281","5","7","15.36205101","6","1","3","0.7","0.7","3","1.4","4.4","17","0.14","0.058333333","0.082352941","2.125","1.7","0.625","0.5","0.175","0.14","0.375","0.3","29.41176471","31.81818182","80","0.533905579","2.333333333","2.916666667","4.666666667","5.833333333","10","12.5","1.779685265","2.224606581","14.66666667","18.33333333"
"","","GHP2016NYK-PT01","","","","","","","","","GHP2016NYK-PT01-00038","","","","","","","","","","","","","","","","","0","","10","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","GHP2016NYK-PT01","","","","","","","","","GHP2016NYK-PT01-00039","","","","3","0","2.261023045","1.040753007","19.33","48.95","0.568435013","1.940104008","3.564253092","69.77164459","1","20","12","10","10","10","10","1","2","39.48927477","3","3","15.57107353","6","2","3","4.5","0.6","2.6","5.1","7.7","32","0.225","0.05","0.159375","3.2","3.2","2","2","0.51","0.51","0.26","0.26","62.5","66.23376623","100","2.013953013","15","15","17","17","8.666666667","8.666666667","6.713176711","6.713176711","25.66666667","25.66666667"
"","","GHP2016NYK-PT01","","","","","","","","","GHP2016NYK-PT01-00004","","","","3","39.3854294","1.934960961","0.78026098","10.56","48.53","9.653817177","13.30953217","2.433717966","52.54485321","1","16","13","10","10","10","10","1","2","21.75973625","3","1","10.59404469","5","2","2","5.4","0.6","3","6","9","29","0.3375","0.046153846","0.206896552","2.9","2.9","1.6","1.6","0.6","0.6","0.3","0.3","55.17241379","66.66666667","100","1.305584175","18","18","20","20","10","10","4.351947249","4.351947249","30","30"
"","","GHP2016NYK-PT01","","","","","","","","","GHP2016NYK-PT01-00040","","","","5","20.5864677","2.096086979","0.908089995","16.59","48.44","2.277632952","3.840641022","3.575628042","61.06774139","3","18","23","10","10","10","10","5","3","34.24855491","3","1","18.56577301","6","1","1","5.7","1.4","1.6","7.1","8.7","41","0.316666667","0.060869565","0.173170732","4.1","4.1","1.8","1.8","0.71","0.71","0.16","0.16","43.90243902","81.6091954","100","2.431647399","19","19","23.66666667","23.66666667","5.333333333","5.333333333","8.105491329","8.105491329","29","29"
"","","GHP2016NYK-PT01","","","","","","","","","GHP2016NYK-PT01-00041","","","","3","6.5594196","1.84799099","0.747246981","20.45","48.85","2.818581104","4.802116871","1.858544946","66.46633911","1","12","27","7","7","10","7","1","2","41.86284545","3","3","19.50002098","6","4","3","3.6","1.4","7.5","5","12.5","39","0.3","0.051851852","0.128205128","5.571428571","3.9","1.714285714","1.2","0.714285714","0.5","1.071428571","0.75","30.76923077","40","70","2.093142272","12","17.14285714","16.66666667","23.80952381","25","35.71428571","6.977140908","9.967344154","41.66666667","59.52380952"
"","","GHP2016NYK-PT01","","","","","","","","","GHP2016NYK-PT01-00042","","","","","17.9676743","2.555342913","1.105960011","17.88","49.05","4.320240021","6.796235085","4.418383121","57.40924835","","","","3","","10","","","","36.45259939","","","14.8686924","4","3","7","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","GHP2016NYK-PT01","","","","","","","","","GHP2016NYK-PT01-00043","","","","3","27.057312","2.239887953","1.000399947","14.93","49.02","7.904500008","11.33406258","2.414169073","53.78186035","1","7","6","10","6","10","6","1","2","30.45695634","5","5","9.498558998","3","6","8","0.8","0.3","0.2","1.1","1.3","13","0.114285714","0.05","0.084615385","2.166666667","1.3","1.166666667","0.7","0.183333333","0.11","0.033333333","0.02","53.84615385","84.61538462","60","0.33502652","2.666666667","4.444444444","3.666666667","6.111111111","0.666666667","1.111111111","1.116755066","1.861258443","4.333333333","7.222222222"
