"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Alcidodes sp. damage estimating 1-9|CO_331:0000806","Content of beta-carotene in dry weight basis in raw storage roots measuring mg per 100g|CO_331:0000289","Content of iron in dry weight basis measuring mg per 100g by NIRS|CO_331:0001016","Content of zinc in dry weight basis measuring mg per 100g by NIRS|CO_331:0001017","Dry weight of storage root samples measuring g|CO_331:0000247","Fresh weight of storage root samples measuring g|CO_331:0000243","Content of fructose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001045","Content of glucose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001047","Millipede damage estimating 1-9|CO_331:0000805","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Number of plants established per NET plot|CO_331:0000192","Number of plants harvested per NET plot|CO_331:0000679","Number of plants planted per NET plot|CO_331:0000678","Number of plants with storage roots per NET plot|CO_331:0000211","Storage root predominant Flesh color estimating 1-9|CO_331:0000178","Storage root skin predominant color estimating 1-9 CIP|CO_331:0000175","Content of protein in dry weight basis in raw storage roots measuring percentage|CO_331:0000278","Reaction to Striped sweet potato weevil estimating 1-9|CO_331:0000720","Content of starch in dry weight basis in raw storage roots measuring percentage|CO_331:0000291","Storage root shape estimating 1-9 CIP|CO_331:0000181","Storage root dry matter content computing percent|CO_331:0000297","Storage root appearance estimating 1-9 CIP|CO_331:0000202","Storage root size estimating 1-9|CO_331:0000184","Content of sucrose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001049","Vine vigor estimating 1-9|CO_331:0000197","Virus symptoms estimating 1-9|month 1|before harvest|COMP:0000024","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Total storage root weight per NET plot in kg|CO_331:0000237","Number of storage roots after harvest per NET plot|CO_331:0000233","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Average total storage root weight computation kg|CO_331:0002040","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant harvested|CO_331:2000036","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant harvested|CO_331:0000681","Storage roots yield in kg per plant planted|CO_331:0000989","Percentage of commercial storage root|CO_331:0000682","Survival index computing percent|CO_331:0000301","Total storage root weight in dry weight basis per NET plot in kg|CO_331:0000995","Commercial storage root yield tons per ha|CO_331:0000809","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield computation tons per ha|CO_331:0000296","Total storage roots yield adjusted tons per ha|CO_331:0000999","Storage root dry matter yield per NET plot in tons per ha|CO_331:0001000","Storage root dry matter yield adjusted per NET plot in tons per ha|CO_331:0001001"
"","","GHP2014NVR-AT01","","","","","","","","","GHP2014NVR-AT01-00019","","","","3","0","2.02","1.07","23.03","50.46","0.86","1.79","1","3","54","33","28","34","26","5","5","4.55","3","68.73","3","45.64011098","4","3","6.38","6","2","0.3","1.5","1.8","57","0.1","0.027777778","0.031578947","2.035714286","1.676470588","0.107142857","0.088235294","0.064285714","0.052941176","5.263157895","82.35294118","0.821521998","0.294117647","0.357142857","1.764705882","2.142857143","0.805413723","0.978002378"
"","","GHP2014NVR-AT01","","","","","","","","","GHP2014NVR-AT01-00002","","","","3","22.25","2.02","1.06","15.39","50.91","3.18","4.23","1","15","46","32","25","34","24","8","6","4.26","4","52.75","3","30.22981732","6","5","18.53","5","2","2.8","5.2","8","61","0.186666667","0.113043478","0.131147541","2.44","1.794117647","0.6","0.441176471","0.32","0.235294118","24.59016393","73.52941176","2.418385386","2.745098039","3.733333333","7.843137255","10.66666667","2.370966065","3.224513848"
"","","GHP2014NVR-AT01","","","","","","","","","GHP2014NVR-AT01-00020","","","","3","41.61","1.93","0.9","20.95","50.91","2.19","3.09","1","2","8","20","14","34","6","9","9","4.83","1","64.7","2","41.15105087","5","2","5.88","6","2","0.2","0.3","0.5","10","0.1","0.0375","0.05","0.714285714","0.294117647","0.142857143","0.058823529","0.035714286","0.014705882","20","41.17647059","0.205755254","0.196078431","0.476190476","0.490196078","1.19047619","0.201720838","0.489893463"
"","","GHP2014NVR-AT01","","","","","","","","","GHP2014NVR-AT01-00021","","","","3","21.72","2.27","1.08","15.15","50.32","3.72","4.64","2","20","40","31","27","34","23","8","6","4.35","1","53.23","3","30.1073132","5","4","17.58","4","2","2.4","1.4","3.8","60","0.12","0.035","0.063333333","2.222222222","1.764705882","0.740740741","0.588235294","0.140740741","0.111764706","33.33333333","79.41176471","1.144077901","2.352941176","2.962962963","3.725490196","4.691358025","1.121645001","1.412441854"
"","","GHP2014NVR-AT01","","","","","","","","","GHP2014NVR-AT01-00003","","","","3","","","","","","","","1","0","40","34","24","34","9","3","","","1","","","","4","2","","8","2","0","1","1","40","","0.025","0.025","1.666666667","1.176470588","0","0","0.041666667","0.029411765","0","70.58823529","","0","0","0.980392157","1.388888889","",""
"","","GHP2014NVR-AT01","","","","","","","","","GHP2014NVR-AT01-00004","","","","3","14.66","2.15","1.09","16.09","50.91","1.76","2.28","1","6","59","33","21","34","21","8","6","4.57","5","59.96","2","31.60479277","5","5","12.55","7","2","0.7","3.8","4.5","65","0.116666667","0.06440678","0.069230769","3.095238095","1.911764706","0.285714286","0.176470588","0.214285714","0.132352941","9.230769231","61.76470588","1.422215675","0.68627451","1.111111111","4.411764706","7.142857143","1.394329093","2.257485198"
"","","GHP2014NVR-AT01","","","","","","","","","GHP2014NVR-AT01-00005","","","","4","","","","","","","","1","0","70","30","23","34","23","","","","6","","","","5","4","","7","2","0","4.7","4.7","70","","0.067142857","0.067142857","3.043478261","2.058823529","0","0","0.204347826","0.138235294","0","67.64705882","","0","0","4.607843137","6.811594203","",""
"","","GHP2014NVR-AT01","","","","","","","","","GHP2014NVR-AT01-00006","","","","3","","","","","","","","1","0","5","24","20","34","3","","","","3","","","","5","3","","6","2","0","0.4","0.4","5","","0.08","0.08","0.25","0.147058824","0","0","0.02","0.011764706","0","58.82352941","","0","0","0.392156863","0.666666667","",""
"","","GHP2014NVR-AT01","","","","","","","","","GHP2014NVR-AT01-00007","","","","4","29.09","2.99","1.47","11.76","50.68","7.36","10.19","1","10","56","31","25","34","25","8","6","6.8","5","41.69","3","23.20441989","5","4","16.8","6","1","1.3","3","4.3","66","0.13","0.053571429","0.065151515","2.64","1.941176471","0.4","0.294117647","0.172","0.126470588","15.15151515","73.52941176","0.997790055","1.274509804","1.733333333","4.215686275","5.733333333","0.978225544","1.33038674"
"","","GHP2014NVR-AT01","","","","","","","","","GHP2014NVR-AT01-00008","","","","3","0","1.95","1.1","20.2","50.53","1.26","1.75","1","10","55","32","29","34","27","5","5","4.98","3","67.53","3","39.97625173","6","5","6.4","7","1","1.5","2.9","4.4","65","0.15","0.052727273","0.067692308","2.24137931","1.911764706","0.344827586","0.294117647","0.151724138","0.129411765","15.38461538","85.29411765","1.758955076","1.470588235","1.724137931","4.31372549","5.057471264","1.724465761","2.021787444"
"","","GHP2014NVR-AT01","","","","","","","","","GHP2014NVR-AT01-00009","","","","3","21.9","1.96","0.98","14.17","50.92","3.39","3.68","1","23","46","28","30","34","29","8","6","4.65","3","56.57","3","27.82796544","6","4","13.31","5","1","3.2","3.5","6.7","69","0.139130435","0.076086957","0.097101449","2.3","2.029411765","0.766666667","0.676470588","0.223333333","0.197058824","33.33333333","88.23529412","1.864473684","3.137254902","3.555555556","6.568627451","7.444444444","1.827915377","2.071637427"
