"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Alcidodes sp. damage estimating 1-9|CO_331:0000806","Biomass yield in tons per ha|CO_331:0001003","Total foliage yield in tons per ha|CO_331:0000684","Harvest index computing percent|CO_331:0000302","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Number of plants harvested per NET plot|CO_331:0000679","Number of plants planted per NET plot|CO_331:0000678","Number of plants with storage roots per NET plot|CO_331:0000211","Reaction to Striped sweet potato weevil estimating 1-9|CO_331:0000720","Storage root appearance estimating 1-9 CIP|CO_331:0000202","Percentage of commercial storage root|CO_331:0000682","Commercial storage root yield tons per ha|CO_331:0000809","Storage root size estimating 1-9|CO_331:0000184","Number of storage roots after harvest per NET plot|CO_331:0000233","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Total storage root weight per NET plot in kg|CO_331:0000237","Vine vigor estimating 1-9|CO_331:0000197","Virus symptoms estimating 1-9|CO_331:0000193","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Weight of vines per NET plot in kg|CO_331:0000227","Total storage roots yield computation tons per ha|CO_331:0000296","Biomass yield in kg per plot|CO_331:0000683","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Average total storage root weight computation kg|CO_331:0002040","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant harvested|CO_331:2000036","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant harvested|CO_331:0000681","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant harvested|CO_331:0000990","Vine weight in kg per plant planted|CO_331:0000991","Survival index computing percent|CO_331:0000301","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield adjusted in tons per ha|CO_331:0001002","Biomass yield adjusted in tons per ha|CO_331:0001004"
"","","GHP2018NYK-FT01","","","","","","","","","GHP2018NYK-FT01-00019","","","","5","11.63333333","1.766666667","84.81375358","27","14","18","20","18","7","3","65.85365854","7.4","2","41","2.277777778","5.92","5","2","4.44","1.48","1.06","9.866666667","6.98","0.164444444","0.105714286","0.144390244","2.05","1.5","1.35","0.328888889","0.296","0.058888889","0.053","90","8.222222222","10.96296296","1.962962963","12.92592593"
"","","GHP2018NYK-FT01","","","","","","","","","GHP2018NYK-FT01-00002","","","","2","15.96666667","10.5","34.23799582","14","20","13","20","13","2","3","41.17647059","4.333333333","3","34","2.615384615","3.28","6","2","2.6","0.68","6.3","5.466666667","9.58","0.185714286","0.034","0.096470588","1.7","1.076923077","0.7","0.252307692","0.164","0.484615385","0.315","65","6.666666667","8.41025641","16.15384615","24.56410256"
"","","GHP2018NYK-FT01","","","","","","","","","GHP2018NYK-FT01-00020","","","","5","4.3","0.733333333","82.94573643","11","24","16","20","15","","4","31.42857143","2.133333333","4","35","2.1875","2.14","4","3","1.28","0.86","0.44","3.566666667","2.58","0.116363636","0.035833333","0.061142857","1.75","0.6875","0.55","0.13375","0.107","0.0275","0.022","80","2.666666667","4.458333333","0.916666667","5.375"
"","","GHP2018NYK-FT01","","","","","","","","","GHP2018NYK-FT01-00003","","","","2","5.1","1.9","62.74509804","11","15","10","20","9","3","3","42.30769231","2.466666667","3","26","2.6","1.92","6","3","1.48","0.44","1.14","3.2","3.06","0.134545455","0.029333333","0.073846154","1.3","1.1","0.55","0.192","0.096","0.114","0.057","50","4.933333333","6.4","3.8","10.2"
"","","GHP2018NYK-FT01","","","","","","","","","GHP2018NYK-FT01-00004","","","","5","16.8","2.9","82.73809524","47","39","17","20","17","5","2","54.65116279","11.83333333","2","86","5.058823529","8.34","6","2","7.1","1.24","1.74","13.9","10.08","0.15106383","0.031794872","0.096976744","4.3","2.764705882","2.35","0.490588235","0.417","0.102352941","0.087","85","13.92156863","16.35294118","3.411764706","19.76470588"
"","","GHP2018NYK-FT01","","","","","","","","","GHP2018NYK-FT01-00005","","","","2","12.06666667","4.166666667","65.46961326","15","26","12","20","12","1","2","36.58536585","6.266666667","3","41","3.416666667","4.74","8","2","3.76","0.98","2.5","7.9","7.24","0.250666667","0.037692308","0.115609756","2.05","1.25","0.75","0.395","0.237","0.208333333","0.125","60","10.44444444","13.16666667","6.944444444","20.11111111"
"","","GHP2018NYK-FT01","","","","","","","","","GHP2018NYK-FT01-00006","","","","1","10.13333333","1.666666667","83.55263158","32","48","15","20","15","2","2","40","5.833333333","4","80","5.333333333","5.08","4","2","3.5","1.58","1","8.466666667","6.08","0.109375","0.032916667","0.0635","4","2.133333333","1.6","0.338666667","0.254","0.066666667","0.05","75","7.777777778","11.28888889","2.222222222","13.51111111"
"","","GHP2018NYK-FT01","","","","","","","","","GHP2018NYK-FT01-00007","","","","3","3.666666667","1.533333333","58.18181818","5","20","13","20","13","2","4","20","1","5","25","1.923076923","1.28","6","1","0.6","0.68","0.92","2.133333333","2.2","0.12","0.034","0.0512","1.25","0.384615385","0.25","0.098461538","0.064","0.070769231","0.046","65","1.538461538","3.282051282","2.358974359","5.641025641"
"","","GHP2018NYK-FT01","","","","","","","","","GHP2018NYK-FT01-00008","","","","3","14.46666667","3.433333333","76.26728111","23","26","13","20","13","3","2","46.93877551","9.933333333","2","49","3.769230769","6.62","7","3","5.96","0.66","2.06","11.03333333","8.68","0.259130435","0.025384615","0.135102041","2.45","1.769230769","1.15","0.509230769","0.331","0.158461538","0.103","65","15.28205128","16.97435897","5.282051282","22.25641026"
"","","GHP2018NYK-FT01","","","","","","","","","GHP2018NYK-FT01-00009","","","","3","15.3","4.6","69.93464052","29","22","15","20","15","2","2","56.8627451","9.233333333","3","51","3.4","6.42","6","3","5.54","0.88","2.76","10.7","9.18","0.191034483","0.04","0.125882353","2.55","1.933333333","1.45","0.428","0.321","0.184","0.138","75","12.31111111","14.26666667","6.133333333","20.4"
