"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Alcidodes sp. damage estimating 1-9|CO_331:0000806","Dry weight of storage root samples measuring g|CO_331:0000247","Fibers content in boiled storage root samples estimating 1-9|CO_331:0000259","Fresh weight of storage root samples measuring g|CO_331:0000243","Content of fructose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001045","Content of glucose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001047","Millipede damage estimating 1-9|CO_331:0000805","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Boiled storage root flesh taste estimating 1-9|CO_331:0000269","Number of plants established per NET plot|CO_331:0000192","Number of plants harvested per NET plot|CO_331:0000679","Number of plants planted per NET plot|CO_331:0000678","Number of plants with storage roots per NET plot|CO_331:0000211","Reaction to Striped sweet potato weevil estimating 1-9|CO_331:0000720","Content of starch in dry weight basis in raw storage roots measuring percentage|CO_331:0000291","Storage root appearance estimating 1-9 CIP|CO_331:0000202","Storage root size estimating 1-9|CO_331:0000184","Vine vigor estimating 1-9|CO_331:0000197","Virus symptoms estimating 1-9|CO_331:0000193","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Weight of vines per NET plot in kg|CO_331:0000227","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Number of storage roots after harvest per NET plot|CO_331:0000233","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Average total storage root weight computation kg|CO_331:0002040","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant harvested|CO_331:2000036","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant harvested|CO_331:0000681","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant harvested|CO_331:0000990","Vine weight in kg per plant planted|CO_331:0000991","Percentage of commercial storage root|CO_331:0000682","Harvest index computing percent|CO_331:0000302","Survival index computing percent|CO_331:0000301","Storage root dry matter content computing percent|CO_331:0000297","Total storage root weight in dry weight basis per NET plot in kg|CO_331:0000995","Commercial storage root yield tons per ha|CO_331:0000809","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield computation tons per ha|CO_331:0000296","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield in tons per ha|CO_331:0000684","Total foliage yield adjusted in tons per ha|CO_331:0001002","Storage root dry matter yield per NET plot in tons per ha|CO_331:0001000","Storage root dry matter yield adjusted per NET plot in tons per ha|CO_331:0001001","Biomass yield in tons per ha|CO_331:0001003","Biomass yield adjusted in tons per ha|CO_331:0001004"
"","","GHP2011KMD-AT01","","","","","","","","","GHP2011KMD-AT01-00019","","","","2","16","2","50","1.25","2.64","1","20","20","2","30","16","34","12","2","68.56","4","5","5","1","7.6","1.3","7.8","8.9","16.7","40","0.38","0.065","0.2225","2.5","1.176470588","1.25","0.588235294","0.55625","0.261764706","0.4875","0.229411765","50","53.29341317","47.05882353","32","2.848","7.450980392","15.83333333","8.725490196","18.54166667","7.647058824","16.25","2.792156863","5.933333333","16.37254902","34.79166667"
"","","GHP2011KMD-AT01","","","","","","","","","GHP2011KMD-AT01-00002","","","","2","15.5","3","50","1.58","2.9","1","20","14","3","30","20","34","19","1","66.37","4","5","3","5","3.8","0.7","3","4.5","7.5","34","0.19","0.05","0.132352941","1.7","1","1","0.588235294","0.225","0.132352941","0.15","0.088235294","58.82352941","60","58.82352941","31","1.395","3.725490196","6.333333333","4.411764706","7.5","2.941176471","5","1.367647059","2.325","7.352941176","12.5"
"","","GHP2011KMD-AT01","","","","","","","","","GHP2011KMD-AT01-00020","","","","2","18.7","","50","0.07","1.3","1","37","13","","30","29","34","22","1","72.94","5","5","7","3","5.9","0.6","6.6","6.5","13.1","50","0.159459459","0.046153846","0.13","1.724137931","1.470588235","1.275862069","1.088235294","0.224137931","0.191176471","0.227586207","0.194117647","74","49.61832061","85.29411765","37.4","2.431","5.784313725","6.781609195","6.37254902","7.471264368","6.470588235","7.586206897","2.383333333","2.794252874","12.84313725","15.05747126"
"","","GHP2011KMD-AT01","","","","","","","","","GHP2011KMD-AT01-00021","","","","2","15.3","3","50","1.33","2.89","1","12","19","3","30","26","34","9","1","56.68","3","2","8","4","2","0.9","18.1","2.9","21","31","0.166666667","0.047368421","0.093548387","1.192307692","0.911764706","0.461538462","0.352941176","0.111538462","0.085294118","0.696153846","0.532352941","38.70967742","13.80952381","76.47058824","30.6","0.8874","1.960784314","2.564102564","2.843137255","3.717948718","17.74509804","23.20512821","0.87","1.137692308","20.58823529","26.92307692"
"","","GHP2011KMD-AT01","","","","","","","","","GHP2011KMD-AT01-00022","","","","2","16.31","3","50","1.35","2.87","1","14","20","2","30","23","34","20","1","66.67","3","3","3","5","3","0.9","2.4","3.9","6.3","34","0.214285714","0.045","0.114705882","1.47826087","1","0.608695652","0.411764706","0.169565217","0.114705882","0.104347826","0.070588235","41.17647059","61.9047619","67.64705882","32.62","1.27218","2.941176471","4.347826087","3.823529412","5.652173913","2.352941176","3.47826087","1.247235294","1.84373913","6.176470588","9.130434783"
"","","GHP2011KMD-AT01","","","","","","","","","GHP2011KMD-AT01-00023","","","","2","22.57","","50","1.03","2.51","1","12","27","","30","17","34","14","2","69.99","4","3","4","6","1.4","1.1","2.6","2.5","5.1","39","0.116666667","0.040740741","0.064102564","2.294117647","1.147058824","0.705882353","0.352941176","0.147058824","0.073529412","0.152941176","0.076470588","30.76923077","49.01960784","50","45.14","1.1285","1.37254902","2.745098039","2.450980392","4.901960784","2.549019608","5.098039216","1.106372549","2.212745098","5","10"
"","","GHP2011KMD-AT01","","","","","","","","","GHP2011KMD-AT01-00024","","","","2","14.99","3","50","3.6","5.76","1","12","22","2","30","15","34","13","1","61.3","5","5","4","7","3.1","1.7","2.8","4.8","7.6","34","0.258333333","0.077272727","0.141176471","2.266666667","1","0.8","0.352941176","0.32","0.141176471","0.186666667","0.082352941","35.29411765","63.15789474","44.11764706","29.98","1.43904","3.039215686","6.888888889","4.705882353","10.66666667","2.745098039","6.222222222","1.410823529","3.197866667","7.450980392","16.88888889"
"","","GHP2011KMD-AT01","","","","","","","","","GHP2011KMD-AT01-00025","","","","3","15.74","","50","5.05","7.31","1","8","5","","30","10","34","8","1","66.21","4","3","1","8","0.7","0.2","1.2","0.9","2.1","13","0.0875","0.04","0.069230769","1.3","0.382352941","0.8","0.235294118","0.09","0.026470588","0.12","0.035294118","61.53846154","42.85714286","29.41176471","31.48","0.28332","0.68627451","2.333333333","0.882352941","3","1.176470588","4","0.277764706","0.9444","2.058823529","7"
"","","GHP2011KMD-AT01","","","","","","","","","GHP2011KMD-AT01-00026","","","","2","18.77","3","50","0.47","1.75","1","16","20","1","30","18","34","11","2","70.64","5","3","5","4","2.1","1.2","8.8","3.3","12.1","36","0.13125","0.06","0.091666667","2","1.058823529","0.888888889","0.470588235","0.183333333","0.097058824","0.488888889","0.258823529","44.44444444","27.27272727","52.94117647","37.54","1.23882","2.058823529","3.888888889","3.235294118","6.111111111","8.62745098","16.2962963","1.214529412","2.294111111","11.8627451","22.40740741"
"","","GHP2011KMD-AT01","","","","","","","","","GHP2011KMD-AT01-00027","","","","2","18.94","3","50","1.03","2.51","1","18","17","2","24","23","34","15","1","69.99","4","3","4","5","2.8","0.7","4.8","3.5","8.3","35","0.155555556","0.041176471","0.1","1.52173913","1.029411765","0.782608696","0.529411765","0.152173913","0.102941176","0.208695652","0.141176471","51.42857143","42.1686747","67.64705882","37.88","1.3258","2.745098039","4.057971014","3.431372549","5.072463768","4.705882353","6.956521739","1.299803922","1.921449275","8.137254902","12.02898551"
"","","GHP2011KMD-AT01","","","","","","","","","GHP2011KMD-AT01-00028","","","","2","10.15","3","50","4.26","7.31","1","32","22","2","30","19","34","18","4","45.88","3","4","4","3","4.6","1.2","5.4","5.8","11.2","54","0.14375","0.054545455","0.107407407","2.842105263","1.588235294","1.684210526","0.941176471","0.305263158","0.170588235","0.284210526","0.158823529","59.25925926","51.78571429","55.88235294","20.3","1.1774","4.509803922","8.070175439","5.68627451","10.1754386","5.294117647","9.473684211","1.154313725","2.065614035","10.98039216","19.64912281"
"","","GHP2011KMD-AT01","","","","","","","","","GHP2011KMD-AT01-00029","","","","2","21.28","3","50","0.82","2.4","1","8","18","1","30","19","34","12","2","68.46","5","5","6","6","2.1","0.9","5.4","3","8.4","26","0.2625","0.05","0.115384615","1.368421053","0.764705882","0.421052632","0.235294118","0.157894737","0.088235294","0.284210526","0.158823529","30.76923077","35.71428571","55.88235294","42.56","1.2768","2.058823529","3.684210526","2.941176471","5.263157895","5.294117647","9.473684211","1.251764706","2.24","8.235294118","14.73684211"
"","","GHP2011KMD-AT01","","","","","","","","","GHP2011KMD-AT01-00003","","","","2","17.3","3","50","1.49","2.77","1","31","18","3","30","17","34","17","1","65.09","5","7","6","1","7.6","1.3","9.2","8.9","18.1","49","0.24516129","0.072222222","0.181632653","2.882352941","1.441176471","1.823529412","0.911764706","0.523529412","0.261764706","0.541176471","0.270588235","63.26530612","49.17127072","50","34.6","3.0794","7.450980392","14.90196078","8.725490196","17.45098039","9.019607843","18.03921569","3.019019608","6.038039216","17.74509804","35.49019608"
"","","GHP2011KMD-AT01","","","","","","","","","GHP2011KMD-AT01-00030","","","","1","18.61","2","50","0.82","2.4","1","17","16","1","30","24","34","17","1","68.46","4","4","6","5","2.6","0.8","7.4","3.4","10.8","33","0.152941176","0.05","0.103030303","1.375","0.970588235","0.708333333","0.5","0.141666667","0.1","0.308333333","0.217647059","51.51515152","31.48148148","70.58823529","37.22","1.26548","2.549019608","3.611111111","3.333333333","4.722222222","7.254901961","10.27777778","1.240666667","1.757611111","10.58823529","15"
"","","GHP2011KMD-AT01","","","","","","","","","GHP2011KMD-AT01-00031","","","","1","13.3","2","50","0.98","2.37","1","25","16","3","28","28","34","28","","65.94","","","3","3","3.2","1","1.4","4.2","5.6","41","0.128","0.0625","0.102439024","1.464285714","1.205882353","0.892857143","0.735294118","0.15","0.123529412","0.05","0.041176471","60.97560976","75","82.35294118","26.6","1.1172","3.137254902","3.80952381","4.117647059","5","1.37254902","1.666666667","1.095294118","1.33","5.490196078","6.666666667"
"","","GHP2011KMD-AT01","","","","","","","","","GHP2011KMD-AT01-00032","","","","2","18.5","3","50","0.12","1.48","1","31","19","1","30","28","34","27","1","73.86","5","7","8","3","8.3","1.2","10.2","9.5","19.7","50","0.267741935","0.063157895","0.19","1.785714286","1.470588235","1.107142857","0.911764706","0.339285714","0.279411765","0.364285714","0.3","62","48.22335025","82.35294118","37","3.515","8.137254902","9.880952381","9.31372549","11.30952381","10","12.14285714","3.446078431","4.18452381","19.31372549","23.45238095"
"","","GHP2011KMD-AT01","","","","","","","","","GHP2011KMD-AT01-00033","","","","2","","","","","","1","32","46","","30","28","34","27","2","","6","5","7","5","6.8","3.3","5.4","10.1","15.5","78","0.2125","0.07173913","0.129487179","2.785714286","2.294117647","1.142857143","0.941176471","0.360714286","0.297058824","0.192857143","0.158823529","41.02564103","65.16129032","82.35294118","","","6.666666667","8.095238095","9.901960784","12.02380952","5.294117647","6.428571429","","","15.19607843","18.45238095"
"","","GHP2011KMD-AT01","","","","","","","","","GHP2011KMD-AT01-00034","","","","","","","","","","","0","7","","28","23","34","3","","","","","7","4","0","0.3","7.4","0.3","7.7","7","","0.042857143","0.042857143","0.304347826","0.205882353","0","0","0.013043478","0.008823529","0.32173913","0.217647059","0","3.896103896","67.64705882","","","0","0","0.294117647","0.434782609","7.254901961","10.72463768","","","7.549019608","11.15942029"
"","","GHP2011KMD-AT01","","","","","","","","","GHP2011KMD-AT01-00035","","","","2","16.93","3","50","1.37","2.8","1","50","57","3","30","29","34","28","2","64.2","4","6","8","4","12.2","4.4","11.4","16.6","28","107","0.244","0.077192982","0.155140187","3.689655172","3.147058824","1.724137931","1.470588235","0.572413793","0.488235294","0.393103448","0.335294118","46.72897196","59.28571429","85.29411765","33.86","5.62076","11.96078431","14.02298851","16.2745098","19.08045977","11.17647059","13.10344828","5.51054902","6.460643678","27.45098039","32.18390805"
"","","GHP2011KMD-AT01","","","","","","","","","GHP2011KMD-AT01-00036","","","","1","19.18","","50","0.59","2.18","","15","19","","30","25","34","15","","71.11","","","6","3","1.9","0.8","7.6","2.7","10.3","34","0.126666667","0.042105263","0.079411765","1.36","1","0.6","0.441176471","0.108","0.079411765","0.304","0.223529412","44.11764706","26.21359223","73.52941176","38.36","1.03572","1.862745098","2.533333333","2.647058824","3.6","7.450980392","10.13333333","1.015411765","1.38096","10.09803922","13.73333333"
"","","GHP2011KMD-AT01","","","","","","","","","GHP2011KMD-AT01-00037","","","","2","14.83","2","50","4.55","6.7","1","4","9","2","26","13","34","8","1","65.16","4","3","2","7","0.9","0.4","2.2","1.3","3.5","13","0.225","0.044444444","0.1","1","0.382352941","0.307692308","0.117647059","0.1","0.038235294","0.169230769","0.064705882","30.76923077","37.14285714","38.23529412","29.66","0.38558","0.882352941","2.307692308","1.274509804","3.333333333","2.156862745","5.641025641","0.378019608","0.988666667","3.431372549","8.974358974"
"","","GHP2011KMD-AT01","","","","","","","","","GHP2011KMD-AT01-00038","","","","2","17.03","","50","1.18","2.69","1","8","19","","30","19","34","17","1","67.79","5","6","6","1","2.2","1.1","3.6","3.3","6.9","27","0.275","0.057894737","0.122222222","1.421052632","0.794117647","0.421052632","0.235294118","0.173684211","0.097058824","0.189473684","0.105882353","29.62962963","47.82608696","55.88235294","34.06","1.12398","2.156862745","3.859649123","3.235294118","5.789473684","3.529411765","6.315789474","1.101941176","1.971894737","6.764705882","12.10526316"
"","","GHP2011KMD-AT01","","","","","","","","","GHP2011KMD-AT01-00039","","","","2","18.28","","50","1.26","2.67","1","12","17","","30","17","34","12","2","70.13","4","6","4","5","3","0.9","4.4","3.9","8.3","29","0.25","0.052941176","0.134482759","1.705882353","0.852941176","0.705882353","0.352941176","0.229411765","0.114705882","0.258823529","0.129411765","41.37931034","46.98795181","50","36.56","1.42584","2.941176471","5.882352941","3.823529412","7.647058824","4.31372549","8.62745098","1.397882353","2.795764706","8.137254902","16.2745098"
"","","GHP2011KMD-AT01","","","","","","","","","GHP2011KMD-AT01-00004","","","","2","15.2","1","50","0.94","2.29","1","21","13","1","30","20","34","13","2","64.52","3","4","5","4","3.2","0.6","3.4","3.8","7.2","34","0.152380952","0.046153846","0.111764706","1.7","1","1.05","0.617647059","0.19","0.111764706","0.17","0.1","61.76470588","52.77777778","58.82352941","30.4","1.1552","3.137254902","5.333333333","3.725490196","6.333333333","3.333333333","5.666666667","1.13254902","1.925333333","7.058823529","12"
"","","GHP2011KMD-AT01","","","","","","","","","GHP2011KMD-AT01-00040","","","","2","16.23","3","50","1.08","2.4","1","24","18","1","30","24","34","20","2","63.79","4","4","6","6","4.3","1.2","5.4","5.5","10.9","42","0.179166667","0.066666667","0.130952381","1.75","1.235294118","1","0.705882353","0.229166667","0.161764706","0.225","0.158823529","57.14285714","50.4587156","70.58823529","32.46","1.7853","4.215686275","5.972222222","5.392156863","7.638888889","5.294117647","7.5","1.750294118","2.479583333","10.68627451","15.13888889"
"","","GHP2011KMD-AT01","","","","","","","","","GHP2011KMD-AT01-00041","","","","3","10.25","3","50","4.3","7.39","1","20","26","2","30","17","34","17","2","45.87","5","5","4","4","3","1.8","3.2","4.8","8","46","0.15","0.069230769","0.104347826","2.705882353","1.352941176","1.176470588","0.588235294","0.282352941","0.141176471","0.188235294","0.094117647","43.47826087","60","50","20.5","0.984","2.941176471","5.882352941","4.705882353","9.411764706","3.137254902","6.274509804","0.964705882","1.929411765","7.843137255","15.68627451"
"","","GHP2011KMD-AT01","","","","","","","","","GHP2011KMD-AT01-00042","","","","2","16.02","3","50","2.91","4.83","1","28","27","2","30","22","34","18","1","65.02","6","5","4","7","4.9","1.6","1.8","6.5","8.3","55","0.175","0.059259259","0.118181818","2.5","1.617647059","1.272727273","0.823529412","0.295454545","0.191176471","0.081818182","0.052941176","50.90909091","78.31325301","64.70588235","32.04","2.0826","4.803921569","7.424242424","6.37254902","9.848484848","1.764705882","2.727272727","2.041764706","3.155454545","8.137254902","12.57575758"
"","","GHP2011KMD-AT01","","","","","","","","","GHP2011KMD-AT01-00005","","","","2","","","","","","1","13","17","","26","17","34","10","2","","5","4","5","3","2","1.1","7.6","3.1","10.7","30","0.153846154","0.064705882","0.103333333","1.764705882","0.882352941","0.764705882","0.382352941","0.182352941","0.091176471","0.447058824","0.223529412","43.33333333","28.97196262","50","","","1.960784314","3.921568627","3.039215686","6.078431373","7.450980392","14.90196078","","","10.49019608","20.98039216"
"","","GHP2011KMD-AT01","","","","","","","","","GHP2011KMD-AT01-00006","","","","2","16.8","","50","2.15","3.96","1","20","25","","30","20","34","16","3","69.75","6","4","5","5","4","1.6","3.2","5.6","8.8","45","0.2","0.064","0.124444444","2.25","1.323529412","1","0.588235294","0.28","0.164705882","0.16","0.094117647","44.44444444","63.63636364","58.82352941","33.6","1.8816","3.921568627","6.666666667","5.490196078","9.333333333","3.137254902","5.333333333","1.844705882","3.136","8.62745098","14.66666667"
"","","GHP2011KMD-AT01","","","","","","","","","GHP2011KMD-AT01-00007","","","","2","17.8","3","50","1.8","3.73","1","10","22","3","30","15","34","12","1","64.92","6","5","5","5","2.3","1.6","7.6","3.9","11.5","32","0.23","0.072727273","0.121875","2.133333333","0.941176471","0.666666667","0.294117647","0.26","0.114705882","0.506666667","0.223529412","31.25","33.91304348","44.11764706","35.6","1.3884","2.254901961","5.111111111","3.823529412","8.666666667","7.450980392","16.88888889","1.361176471","3.085333333","11.2745098","25.55555556"
"","","GHP2011KMD-AT01","","","","","","","","","GHP2011KMD-AT01-00008","","","","2","","","","","","2","12","32","","30","16","34","14","4","","5","5","4","3","2.7","3.1","3","5.8","8.8","44","0.225","0.096875","0.131818182","2.75","1.294117647","0.75","0.352941176","0.3625","0.170588235","0.1875","0.088235294","27.27272727","65.90909091","47.05882353","","","2.647058824","5.625","5.68627451","12.08333333","2.941176471","6.25","","","8.62745098","18.33333333"
"","","GHP2011KMD-AT01","","","","","","","","","GHP2011KMD-AT01-00009","","","","2","16.4","","50","1.22","2.65","1","0","30","","30","25","34","13","1","66.22","4","2","7","3","0","2.4","19.2","2.4","21.6","30","","0.08","0.08","1.2","0.882352941","0","0","0.096","0.070588235","0.768","0.564705882","0","11.11111111","73.52941176","32.8","0.7872","0","0","2.352941176","3.2","18.82352941","25.6","0.771764706","1.0496","21.17647059","28.8"
