"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Alcidodes sp. damage estimating 1-9|CO_331:0000806","Dry weight of storage root samples measuring g|CO_331:0000247","Fresh weight of storage root samples measuring g|CO_331:0000243","Content of fructose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001045","Content of glucose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001047","Millipede damage estimating 1-9|CO_331:0000805","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Number of plants established per NET plot|CO_331:0000192","Number of plants harvested per NET plot|CO_331:0000679","Number of plants planted per NET plot|CO_331:0000678","Number of plants with storage roots per NET plot|CO_331:0000211","Storage root predominant Flesh color estimating 1-9|CO_331:0000178","Reaction to Striped sweet potato weevil estimating 1-9|CO_331:0000720","Content of starch in dry weight basis in raw storage roots measuring percentage|CO_331:0000291","Storage root appearance estimating 1-9 CIP|CO_331:0000202","Virus symptoms estimating 1-9|CO_331:0000193","Virus symptoms estimating 1-9|month 1|before harvest|COMP:0000024","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Weight of vines per NET plot in kg|CO_331:0000227","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Number of storage roots after harvest per NET plot|CO_331:0000233","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Average total storage root weight computation kg|CO_331:0002040","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant harvested|CO_331:2000036","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant harvested|CO_331:0000681","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant harvested|CO_331:0000990","Vine weight in kg per plant planted|CO_331:0000991","Percentage of commercial storage root|CO_331:0000682","Harvest index computing percent|CO_331:0000302","Survival index computing percent|CO_331:0000301","Storage root dry matter content computing percent|CO_331:0000297","Total storage root weight in dry weight basis per NET plot in kg|CO_331:0000995","Commercial storage root yield tons per ha|CO_331:0000809","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield computation tons per ha|CO_331:0000296","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield in tons per ha|CO_331:0000684","Total foliage yield adjusted in tons per ha|CO_331:0001002","Storage root dry matter yield per NET plot in tons per ha|CO_331:0001000","Storage root dry matter yield adjusted per NET plot in tons per ha|CO_331:0001001","Biomass yield in tons per ha|CO_331:0001003","Biomass yield adjusted in tons per ha|CO_331:0001004"
"","","GHP2013KPV-AT02","","","","","","","","","GHP2013KPV-AT02-00019","","","","4","20.2","50.6","1.06707","2.9202189","1","21","58","34","28","34","27","5","2","67.8056259","5","3","3","3.5","2.8","17.1","6.3","23.4","79","0.166666667","0.048275862","0.079746835","2.821428571","2.323529412","0.75","0.617647059","0.225","0.185294118","0.610714286","0.502941176","26.58227848","26.92307692","82.35294118","39.92094862","2.515019763","3.431372549","4.166666667","6.176470588","7.5","16.76470588","20.35714286","2.46570565","2.994071146","22.94117647","27.85714286"
"","","GHP2013KPV-AT02","","","","","","","","","GHP2013KPV-AT02-00002","","","","3","18.9","50.5","0.378275","1.91194","1","13","36","31","23","34","21","6","2","66.0620193","6","1","1","2.5","1.9","20","4.4","24.4","49","0.192307692","0.052777778","0.089795918","2.130434783","1.441176471","0.565217391","0.382352941","0.191304348","0.129411765","0.869565217","0.588235294","26.53061224","18.03278689","67.64705882","37.42574257","1.646732673","2.450980392","3.623188406","4.31372549","6.376811594","19.60784314","28.98550725","1.614443797","2.386569092","23.92156863","35.36231884"
"","","GHP2013KPV-AT02","","","","","","","","","GHP2013KPV-AT02-00020","","","","3","18.5","51","0.495303","2.085258","1","31","31","34","30","34","29","6","1","66.4661331","6","5","5","5.6","2.1","9.6","7.7","17.3","62","0.180645161","0.067741935","0.124193548","2.066666667","1.823529412","1.033333333","0.911764706","0.256666667","0.226470588","0.32","0.282352941","50","44.50867052","88.23529412","36.2745098","2.793137255","5.490196078","6.222222222","7.549019608","8.555555556","9.411764706","10.66666667","2.738369858","3.103485839","16.96078431","19.22222222"
"","","GHP2013KPV-AT02","","","","","","","","","GHP2013KPV-AT02-00021","","","","4","17.4","50","0.61477","2.085808","1","8","24","32","21","34","17","6","1","64.6076355","5","1","1","1.4","1.5","12","2.9","14.9","32","0.175","0.0625","0.090625","1.523809524","0.941176471","0.380952381","0.235294118","0.138095238","0.085294118","0.571428571","0.352941176","25","19.46308725","61.76470588","34.8","1.0092","1.37254902","2.222222222","2.843137255","4.603174603","11.76470588","19.04761905","0.989411765","1.601904762","14.60784314","23.65079365"
"","","GHP2013KPV-AT02","","","","","","","","","GHP2013KPV-AT02-00022","","","","4","20.53","50.29","1.920841","4.0467601","1","0","27","34","12","34","10","3","1","69.9420547","3","3","3","0","1.6","10","1.6","11.6","27","","0.059259259","0.059259259","2.25","0.794117647","0","0","0.133333333","0.047058824","0.833333333","0.294117647","0","13.79310345","35.29411765","40.82322529","0.653171605","0","0","1.568627451","4.444444444","9.803921569","27.77777778","0.640364318","1.814365569","11.37254902","32.22222222"
"","","GHP2013KPV-AT02","","","","","","","","","GHP2013KPV-AT02-00023","","","","2","21","50.74","0.015752","1.666276","1","18","26","34","29","34","25","3","1","68.9686203","6","3","3","3.8","1.8","23","5.6","28.6","44","0.211111111","0.069230769","0.127272727","1.517241379","1.294117647","0.620689655","0.529411765","0.193103448","0.164705882","0.793103448","0.676470588","40.90909091","19.58041958","85.29411765","41.38746551","2.317698069","3.725490196","4.367816092","5.490196078","6.436781609","22.54901961","26.43678161","2.272253008","2.664020768","28.03921569","32.87356322"
"","","GHP2013KPV-AT02","","","","","","","","","GHP2013KPV-AT02-00024","","","","3","19.02","50.19","0.295727","2.2078159","1","11","42","34","29","34","23","5","1","66.7584839","4","5","6","1.5","2","14.5","3.5","18","53","0.136363636","0.047619048","0.066037736","1.827586207","1.558823529","0.379310345","0.323529412","0.120689655","0.102941176","0.5","0.426470588","20.75471698","19.44444444","85.29411765","37.89599522","1.326359833","1.470588235","1.724137931","3.431372549","4.022988506","14.21568627","16.66666667","1.300352777","1.524551532","17.64705882","20.68965517"
"","","GHP2013KPV-AT02","","","","","","","","","GHP2013KPV-AT02-00003","","","","4","18.5","50.7","0.459175","1.833464","1","40","36","34","30","34","30","6","3","65.975029","7","4","4","9","3","10","12","22","76","0.225","0.083333333","0.157894737","2.533333333","2.235294118","1.333333333","1.176470588","0.4","0.352941176","0.333333333","0.294117647","52.63157895","54.54545455","88.23529412","36.48915187","4.378698225","8.823529412","10","11.76470588","13.33333333","9.803921569","11.11111111","4.292841397","4.86522025","21.56862745","24.44444444"
"","","GHP2013KPV-AT02","","","","","","","","","GHP2013KPV-AT02-00004","","","","3","19.3","50.2","0.156936","1.675156","1","12","42","34","30","34","30","3","1","66.4530487","5","5","5","3","1.8","18.7","4.8","23.5","54","0.25","0.042857143","0.088888889","1.8","1.588235294","0.4","0.352941176","0.16","0.141176471","0.623333333","0.55","22.22222222","20.42553191","88.23529412","38.44621514","1.845418327","2.941176471","3.333333333","4.705882353","5.333333333","18.33333333","20.77777778","1.809233654","2.050464807","23.03921569","26.11111111"
"","","GHP2013KPV-AT02","","","","","","","","","GHP2013KPV-AT02-00005","","","","4","18","50","1.3992929","3.121109","1","18","30","32","23","34","22","5","2","65.9709015","7","5","5","5.1","3","16.4","8.1","24.5","48","0.283333333","0.1","0.16875","2.086956522","1.411764706","0.782608696","0.529411765","0.352173913","0.238235294","0.713043478","0.482352941","37.5","33.06122449","67.64705882","36","2.916","5","7.391304348","7.941176471","11.73913043","16.07843137","23.76811594","2.858823529","4.226086957","24.01960784","35.50724638"
"","","GHP2013KPV-AT02","","","","","","","","","GHP2013KPV-AT02-00006","","","","4","20.4","50.2","0.547447","2.3458149","1","5","17","34","22","34","17","4","2","66.121109","3","3","3","0.8","1","6.8","1.8","8.6","22","0.16","0.058823529","0.081818182","1","0.647058824","0.227272727","0.147058824","0.081818182","0.052941176","0.309090909","0.2","22.72727273","20.93023256","64.70588235","40.6374502","0.731474104","0.784313725","1.212121212","1.764705882","2.727272727","6.666666667","10.3030303","0.717131474","1.108294096","8.431372549","13.03030303"
"","","GHP2013KPV-AT02","","","","","","","","","GHP2013KPV-AT02-00007","","","","3","21.2","50.9","0.354169","2.2116921","1","8","29","33","27","34","16","5","2","69.8116302","3","3","3","1.1","1.6","15.5","2.7","18.2","37","0.1375","0.055172414","0.072972973","1.37037037","1.088235294","0.296296296","0.235294118","0.1","0.079411765","0.574074074","0.455882353","21.62162162","14.83516484","79.41176471","41.6502947","1.124557957","1.078431373","1.358024691","2.647058824","3.333333333","15.19607843","19.13580247","1.102507801","1.388343157","17.84313725","22.4691358"
"","","GHP2013KPV-AT02","","","","","","","","","GHP2013KPV-AT02-00008","","","","4","19.3","50.2","0.594597","2.058172","1","11","89","34","28","34","26","4","2","68.7725067","4","6","5","1.7","4.4","7.5","6.1","13.6","100","0.154545455","0.049438202","0.061","3.571428571","2.941176471","0.392857143","0.323529412","0.217857143","0.179411765","0.267857143","0.220588235","11","44.85294118","82.35294118","38.44621514","2.345219124","1.666666667","2.023809524","5.980392157","7.261904762","7.352941176","8.928571429","2.299234435","2.791927528","13.33333333","16.19047619"
"","","GHP2013KPV-AT02","","","","","","","","","GHP2013KPV-AT02-00009","","","","5","19.4","50.4","0.557887","2.632566","1","5","31","34","25","34","15","4","2","67.6995087","4","6","5","1.5","1.6","6.9","3.1","10","36","0.3","0.051612903","0.086111111","1.44","1.058823529","0.2","0.147058824","0.124","0.091176471","0.276","0.202941176","13.88888889","31","73.52941176","38.49206349","1.193253968","1.470588235","2","3.039215686","4.133333333","6.764705882","9.2","1.169856832","1.591005291","9.803921569","13.33333333"
