"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Dry weight of vines samples measuring g|CO_331:0000255","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Number of plants established per NET plot|CO_331:0000192","Number of plants harvested per NET plot|CO_331:0000679","Number of plants planted per NET plot|CO_331:0000678","Number of plants with storage roots per NET plot|CO_331:0000211","Vine vigor estimating 1-9|CO_331:0000197","Virus symptoms estimating 1-9|CO_331:0000193","Virus symptoms estimating 1-9|month 1|before harvest|COMP:0000024","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Total storage root weight per NET plot in kg|CO_331:0000237","Number of storage roots after harvest per NET plot|CO_331:0000233","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Average total storage root weight computation kg|CO_331:0002040","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant harvested|CO_331:2000036","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant harvested|CO_331:0000681","Storage roots yield in kg per plant planted|CO_331:0000989","Percentage of commercial storage root|CO_331:0000682","Survival index computing percent|CO_331:0000301","Commercial storage root yield tons per ha|CO_331:0000809","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield computation tons per ha|CO_331:0000296","Total storage roots yield adjusted tons per ha|CO_331:0000999"
"","","GHP2015FMS-ST01","","","","","","","","","GHP2015FMS-ST01-00008","","","","0.0033","5","8","18","14","34","8","6","6","5","0.1","0.1","0.2","13","0.02","0.0125","0.015384615","0.928571429","0.382352941","0.357142857","0.147058824","0.014285714","0.005882353","38.46153846","41.17647059","0.098039216","0.238095238","0.196078431","0.476190476"
"","","GHP2015FMS-ST01","","","","","","","","","GHP2015FMS-ST01-00009","","","","0.005","11","24","16","12","34","11","6","6","4","3.6","0.8","4.4","35","0.327272727","0.033333333","0.125714286","2.916666667","1.029411765","0.916666667","0.323529412","0.366666667","0.129411765","31.42857143","35.29411765","3.529411765","10","4.31372549","12.22222222"
"","","GHP2015FMS-ST01","","","","","","","","","GHP2015FMS-ST01-00001","","","","0.0041","25","47","29","27","34","24","6","5","5","6.3","3.1","9.4","72","0.252","0.065957447","0.130555556","2.666666667","2.117647059","0.925925926","0.735294118","0.348148148","0.276470588","34.72222222","79.41176471","6.176470588","7.777777778","9.215686275","11.60493827"
"","","GHP2015FMS-ST01","","","","","","","","","GHP2015FMS-ST01-00013","","","","0.0039","14","21","32","20","34","19","5","6","5","5.8","2","7.8","35","0.414285714","0.095238095","0.222857143","1.75","1.029411765","0.7","0.411764706","0.39","0.229411765","40","58.82352941","5.68627451","9.666666667","7.647058824","13"
"","","GHP2015FMS-ST01","","","","","","","","","GHP2015FMS-ST01-00014","","","","0.0064","55","67","34","25","34","25","7","3","5","11.8","2.8","14.6","122","0.214545455","0.041791045","0.119672131","4.88","3.588235294","2.2","1.617647059","0.584","0.429411765","45.08196721","73.52941176","11.56862745","15.73333333","14.31372549","19.46666667"
"","","GHP2015FMS-ST01","","","","","","","","","GHP2015FMS-ST01-00015","","","","0.0051","24","36","34","19","34","19","5","5","6","5.2","1.2","6.4","60","0.216666667","0.033333333","0.106666667","3.157894737","1.764705882","1.263157895","0.705882353","0.336842105","0.188235294","40","55.88235294","5.098039216","9.122807018","6.274509804","11.22807018"
"","","GHP2015FMS-ST01","","","","","","","","","GHP2015FMS-ST01-00016","","","","0.0039","31","29","32","27","34","27","5","6","6","3","0.6","3.6","60","0.096774194","0.020689655","0.06","2.222222222","1.764705882","1.148148148","0.911764706","0.133333333","0.105882353","51.66666667","79.41176471","2.941176471","3.703703704","3.529411765","4.444444444"
"","","GHP2015FMS-ST01","","","","","","","","","GHP2015FMS-ST01-00017","","","","0.0052","45","36","32","25","34","25","6","3","6","10","1.4","11.4","81","0.222222222","0.038888889","0.140740741","3.24","2.382352941","1.8","1.323529412","0.456","0.335294118","55.55555556","73.52941176","9.803921569","13.33333333","11.17647059","15.2"
"","","GHP2015FMS-ST01","","","","","","","","","GHP2015FMS-ST01-00018","","","","0.0049","27","67","34","26","34","26","4","5","7","3.4","2.8","6.2","94","0.125925926","0.041791045","0.065957447","3.615384615","2.764705882","1.038461538","0.794117647","0.238461538","0.182352941","28.72340426","76.47058824","3.333333333","4.358974359","6.078431373","7.948717949"
"","","GHP2015FMS-ST01","","","","","","","","","GHP2015FMS-ST01-00019","","","","0.0068","21","39","34","21","34","19","6","5","5","6","1.6","7.6","60","0.285714286","0.041025641","0.126666667","2.857142857","1.764705882","1","0.617647059","0.361904762","0.223529412","35","61.76470588","5.882352941","9.523809524","7.450980392","12.06349206"
"","","GHP2015FMS-ST01","","","","","","","","","GHP2015FMS-ST01-00002","","","","0.004","17","40","32","23","34","22","5","5","6","1.8","1.4","3.2","57","0.105882353","0.035","0.056140351","2.47826087","1.676470588","0.739130435","0.5","0.139130435","0.094117647","29.8245614","67.64705882","1.764705882","2.608695652","3.137254902","4.637681159"
"","","GHP2015FMS-ST01","","","","","","","","","GHP2015FMS-ST01-00020","","","","0.0033","9","36","34","23","34","20","4","6","7","2.4","1.2","3.6","45","0.266666667","0.033333333","0.08","1.956521739","1.323529412","0.391304348","0.264705882","0.156521739","0.105882353","20","67.64705882","2.352941176","3.47826087","3.529411765","5.217391304"
"","","GHP2015FMS-ST01","","","","","","","","","GHP2015FMS-ST01-00003","","","","0.0041","22","18","32","20","34","18","6","3","4","8.4","1.2","9.6","40","0.381818182","0.066666667","0.24","2","1.176470588","1.1","0.647058824","0.48","0.282352941","55","58.82352941","8.235294118","14","9.411764706","16"
"","","GHP2015FMS-ST01","","","","","","","","","GHP2015FMS-ST01-00004","","","","0.0039","31","50","34","24","34","24","6","4","4","7.8","3.8","11.6","81","0.251612903","0.076","0.143209877","3.375","2.382352941","1.291666667","0.911764706","0.483333333","0.341176471","38.27160494","70.58823529","7.647058824","10.83333333","11.37254902","16.11111111"
